Block,Time,DULHASTI,KHSTPP-I,KHSTPP-II,KISHANGANGA,NAPP,RAPPB,SASAN,AURY_GF,FSTPP I & II,KKNPPU2,NLCIIST1,NTPL,TANDA2,TEHRI,URI,CHAMERA3,DADRT2,DHAULIGNGA,NLCIIST2,NLCTS2EXP,NNTPP,TALA,UNCHAHAR4,AURY_CRF,AURY_LF,DADRI_GF,BSIUL,JHAJJAR,MAPS,PARBATI3,RIHAND3,RSTPSU1TO6,SEWA2,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,BRBCL,CHAMERA1,KGSU1AND2,NJPC,RAPPC,RIHAND2,UNCHAHAR2,VALLURNTECL,CHAMERA2,KGSU3AND4,KUDGI,NLCEXP,RSTPSU7,SINGRAULI_HYDRO,UNCHAHAR1,AURY_RF,DADRI_CRF,KKNP,KOLDAM,RAMPUR,RIHAND1,SALAL,SIMHST1,TANAKPUR,DADRI_RF,KOTESHWR,SIMHST2,SINGRAULI,TALST2,TelanganaSTPP,UNCHAHAR3,URI2,DADRI_LF
1,00:00-00:15,0,33.08,148.3,0,44,0,258.75,0,20.8,0,0,0,0,0,3.31,0,683.14,0,0,0,0,0,0,0,0,0,0,651.98,0,0,124.33,0,0,0,0,0,44.62,20,0,0,0,53.8,118.76,42.39,0,0,0,0,0,0,0,10.28,53.75,0,0,0,0,92,1.4,0,7.81,69.05,8.87,0,139.69,0,0,26.4,4.31,23.56

2,00:15-00:30,0,33.08,148.3,0,44,0,270,0,20.8,0,0,0,0,0,0.66,0,683.14,0,0,0,0,0,0,0,0,0,0,651.98,0,0,124.33,0,0,0,0,0,44.62,20,0,0,0,53.8,118.76,42.39,0,0,0,0,0,0,0,10.28,53.75,0,0,0,0,92,1.4,0,7.81,69.05,8.87,0,139.69,0,0,26.4,4.31,23.56

3,00:30-00:45,0,33.08,148.3,0,44,0,281.25,0,18.07,0,0,0,0,0,0.66,0,683.14,0,0,0,0,0,0,0,0,0,0,651.98,0,0,124.33,0,0,0,0,0,44.62,20,0,0,0,53.8,118.76,42.39,0,0,0,0,0,0,0,10.28,53.75,0,0,0,0,92,1.4,0,7.81,69.05,8.87,0,139.69,0,0,26.4,4.31,23.56

4,00:45-01:00,0,33.08,148.3,0,44,0,292.5,0,18.07,0,0,0,0,0,0.66,0,683.14,0,0,0,0,0,0,0,0,0,0,651.98,0,0,124.33,0,0,0,0,0,44.62,20,0,0,0,53.8,118.76,42.39,0,0,0,0,0,0,0,10.28,53.75,0,0,0,0,92,1.4,0,7.81,69.05,8.87,0,139.69,0,0,26.4,4.31,23.56

5,01:00-01:15,0,33.08,148.3,0,44,0,303.75,0,18.07,0,0,0,0,0,1.11,0,683.14,0,0,0,0,0,0,0,0,0,0,651.98,0,0,124.33,0,0,0,0,0,44.62,20,0,0,0,53.8,118.76,42.39,0,0,0,0,0,0,0,10.28,53.75,0,0,0,0,92,1.4,0,7.81,69.05,8.87,0,139.69,0,0,26.4,4.31,23.56

