Column1,Time,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/12/8022,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/12/3458,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/2868,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/06/01/7786,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/06/12/2531,GNA/NR/2025/06/01/7663,GNARE/NR/2024/12/20/3668,NR/22102023/11042047/L_NR_2021_17,GNARE/SR/2025/01/13/4532,NR/01102023/30042040/GNA_LT_35,NR/01102023/19072037/LT-05,GNA/NR/2025/06/01/4444,NR/01102023/06022042/L_NR_2012_07,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/9257,NR/01102023/15082037/GNA_NR_2012_01,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/06/07/5932,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/06/01/5280,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/04/01/8964,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/04/01/8456,GNA/NR/2025/04/01/8510,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/31052040/LT-31,GNA/NR/2025/06/01/7782,NR/01102023/22052037/LT-59,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,L_NR_2019_19,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06
1,00:00-00:15,62.81,170.07,24.16,24.16,37.69,48.32,29.16,130.74,48.32,29.5,0,60.88,48.32,0,0,43.42,0,57.96,0,87.16,29.5,24.16,100.67,273.22,-0,10.78,11.91,9.84,6.44,29.27,10.57,15.7,14.98,0,11.9,10.52,0,0,0,0,0,0,0,0,22,0,0,22.5,67.5,0,0,0,22.5

2,00:15-00:30,62.81,170.07,24.16,24.16,37.69,48.32,29.16,130.74,48.32,29.5,0,60.88,48.32,0,0,43.42,0,57.96,0,87.16,29.5,24.16,100.67,273.22,-0,10.78,11.91,9.84,6.44,30.27,10.57,15.7,14.98,0,11.9,10.52,0,0,0,0,0,0,0,0,21.67,0,0,23.17,69.49,0,0,0,23.17

3,00:30-00:45,62.81,170.07,24.16,24.16,37.69,48.32,29.16,130.74,48.32,29.5,0,60.88,48.32,0,0,43.42,0,57.96,0,87.16,29.5,24.16,100.67,273.22,-0,10.78,11.91,9.84,6.44,30.27,10.57,15.7,14.98,0,11.9,10.52,0,0,0,0,0,0,0,0,22,0,0,23.67,70.99,0,0,0,23.67

4,00:45-01:00,62.81,170.07,24.16,24.16,37.69,48.32,29.16,130.74,48.32,29.5,0,60.88,48.32,0,0,43.42,0,57.96,0,87.16,29.5,24.16,100.67,273.22,-0,10.78,11.91,9.84,6.44,30.27,10.57,15.7,14.98,0,11.9,10.52,0,0,0,0,0,0,0,0,22,0,0,24.17,72.49,0,0,0,24.17

5,01:00-01:15,62.81,170.07,24.16,24.16,37.69,48.32,29.16,130.74,48.32,29.5,0,60.88,48.32,0,0,43.42,0,57.96,0,87.16,29.5,24.16,100.67,273.22,-0,10.78,11.91,9.84,6.44,31.29,10.57,15.7,14.61,0,11.9,10.13,0,0,0,0,0,0,0,0,21.67,0,0,24.33,73.01,0,0,0,24.33

6,01:15-01:30,62.81,170.07,24.16,24.16,37.69,48.32,29.16,130.74,48.32,29.5,0,60.88,48.32,0,0,43.42,0,57.96,0,87.16,29.5,24.16,100.67,273.22,-0,10.78,11.91,9.84,6.44,31.29,10.57,15.7,14.61,0,11.9,10.13,0,0,0,0,0,0,0,0,21.67,0,0,24.67,73.99,0,0,0,24.67

7,01:30-01:45,62.81,170.07,24.16,24.16,37.69,48.32,29.16,130.74,48.32,29.5,0,60.88,48.32,0,0,43.42,0,57.96,0,87.16,29.5,24.16,100.67,273.22,-0,10.78,11.91,9.84,6.44,31.29,10.57,15.7,14.61,0,11.9,10.13,0,0,0,0,0,0,0,0,21.67,0,0,24.83,74.51,0,0,0,24.83

