Block,Time,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2020_06,NR/01102023/08032047/L_NR_2021_14,WR/01102023/31032046/L_NR_2020_05,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_16,NR/01102023/14082046/L_NR_2021_16,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/02012046/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,WR/01102023/16072048/L_NR_2022_08,NR/01062024/30062024/8588/OAN/GMRETL/GPHHPPL-BRPL,NR/01062024/30062024/IIPL/(JPL(TM)-BRPL)/BRPLT-169/24-25/1,NR/01102023/31102037/L_NR_2019_11,NR/30092023/31122025/SH-07,NR/01062024/30062024/1000011195-SIEL-BRPL(DISCOM),NR/01062024/30062024/JPL-BRPL(PTC)GNA,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01062024/30062024/1000011017-PPGCL-BRPL,NR/01102023/19072037/LT-05,NR/02062024/02062024/IEX_240601_00854,NR/01102023/30042040/GNA_LT_35,NR/01062024/30062024/R2,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31052040/LT-31,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_07,NR/01042024/31072024/LT_MEJA_DELHI,NR/01062024/30062024/APPCPL/180/F25/GNA/12300,NR/01062024/30062024/NDMC/D-46/EE(Power)/2024,NR/01062024/30062024/1000011034-ACBL-BRPL,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,NR/01062024/15062024/1000011003-KWHPS-BRPL(DISCOM),NR/01102023/30042040/GNA_LT_36,NR/01102023/05012040/L_NR_2020_02,NR/01062024/15062024/1000011005-GOHP-BRPL,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01062024/30062024/IEPL01,NR/01102023/15082037/GNA_NR_2012_01
1,00:00-00:15,50.67,50.67,0,0,24.17,24.16,0,72.5,10.01,0,0,0,0,0,0,0,0,0,0,0,18.66,24.160000,24.160000,9.220000,30.920000,48.320000,48.320000,0.000000,24.160000,115.540000,144.960000,0.000000,24.160000,262.380000,0.000000,31.290000,14.390000,0.000000,87.170000,7.670000,38.660000,24.700000,24.160000,8.710000,30.920000,24.160000,0.000000,8.460000,48.320000,132.590000,38.660000,100.680000

2,00:15-00:30,49.67,49.67,0,0,24.67,24.66,0,74,10.41,0,0,0,0,0,0,0,0,0,0,0,19,24.160000,24.160000,9.220000,30.920000,48.320000,48.320000,0.000000,24.160000,115.540000,144.960000,0.000000,24.160000,262.380000,0.000000,31.290000,14.390000,0.000000,87.170000,7.670000,38.660000,24.700000,24.160000,8.710000,30.920000,24.160000,0.000000,8.460000,48.320000,132.590000,38.660000,100.680000

3,00:30-00:45,50,50,0,0,25.83,25.84,0,77.5,10.61,0,0,0,0,0,0,0,0,0,0,0,19.34,24.160000,24.160000,9.220000,30.920000,48.320000,48.320000,0.000000,24.160000,115.540000,144.960000,0.000000,24.160000,262.380000,0.000000,31.290000,14.390000,0.000000,87.170000,7.670000,38.660000,24.700000,24.160000,8.710000,30.920000,24.160000,0.000000,8.460000,48.320000,132.590000,38.660000,100.680000

4,00:45-01:00,36.33,36.33,0,0,27.17,27.16,0,81.5,7.01,0,0,0,0,0,0,0,0,0,0,0,12.34,24.160000,24.160000,9.220000,30.920000,48.320000,48.320000,0.000000,24.160000,115.540000,144.960000,0.000000,24.160000,262.380000,0.000000,31.290000,14.390000,0.000000,87.170000,7.670000,38.660000,24.700000,24.160000,8.710000,30.920000,24.160000,0.000000,8.460000,48.320000,132.590000,38.660000,100.680000

5,01:00-01:15,36.67,36.67,0,0,16.83,16.84,0,50.5,7.01,0,0,0,0,0,0,0,0,0,0,0,12.66,24.160000,24.160000,9.220000,30.920000,48.320000,48.320000,0.000000,24.160000,115.540000,144.960000,0.000000,24.160000,262.380000,0.000000,31.290000,14.300000,0.000000,87.170000,7.670000,38.660000,24.700000,24.160000,7.000000,30.920000,24.160000,0.000000,8.460000,48.320000,132.590000,38.660000,100.680000

6,01:15-01:30,37.67,37.67,0,0,17.17,17.16,0,51.5,7.01,0,0,0,0,0,0,0,0,0,0,0,13,24.160000,24.160000,9.220000,30.920000,48.320000,48.320000,0.000000,24.160000,115.540000,144.960000,0.000000,24.160000,262.380000,0.000000,31.290000,14.300000,0.000000,87.170000,7.670000,38.660000,24.700000,24.160000,7.770000,30.920000,24.160000,0.000000,8.460000,48.320000,132.590000,38.660000,100.680000

7,01:30-01:45,39,39,0,0,17.5,17.5,0,52.5,7.01,0,0,0,0,0,0,0,0,0,0,0,13.66,24.160000,24.160000,9.220000,30.920000,48.320000,48.320000,0.000000,24.160000,115.540000,144.960000,0.000000,24.160000,262.380000,0.000000,30.780000,14.300000,0.000000,87.170000,7.670000,38.660000,24.700000,24.160000,7.770000,30.920000,24.160000,0.000000,8.460000,48.320000,132.590000,38.660000,100.680000

8,01:45-02:00,40,40,0,0,17.5,17.5,0,52.5,7.01,0,0,0,0,0,0,0,0,0,0,0,14,24.160000,24.160000,9.220000,30.920000,48.320000,48.320000,0.000000,24.160000,115.540000,144.960000,0.000000,24.160000,262.380000,0.000000,30.780000,14.300000,0.000000,87.170000,7.670000,38.660000,24.700000,24.160000,7.770000,30.920000,24.160000,0.000000,8.460000,48.320000,132.590000,38.660000,100.680000

