Column1,Block,NR/2024/22058/A/30670,NR/2024/22052/A/30669,NR/2024/22302/C,NR/2024/21954/A/30812,NR/2024/21983/A/30596,NR/2024/22081/A/30792,NR/2024/21814/A/30839,GNA/NR/2024/08/06/4330,NR/2024/21970/A/30836,NR/2024/21961/A/30622,NR/2024/21938/A/30624,NR/2024/22042/A/30580,NR/2024/22010/A/30828,NR/2024/21974/A/30838,NR/2024/21909/A/30794,NR/2024/21971/A/30837,NR/2024/22228/A/30807,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/21956/A/30819,NR/2024/22080/A/30467,NR/2024/21940/A/30814,NR/30092023/31122025/SH-07,NR/2024/21943/A/30811,NR/2024/21658/A/30612,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21918/A/30831,NR/2024/22014/A/30587,NR/2024/21860/A/30793,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,NR/2024/21966/A/30619,NR/2024/21968/A/30835,NR/2024/22318/C,NR/2024/22313/C,NR/2024/22307/C,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/2024/22300/C,NR/2024/22335/C,NR/2024/22301/C,NR/01082024/15082024/APL-Raigarh,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/31082024/SKS-Raigarh,NR/01082024/31082024/jitpl,NR/30092023/26122029/SH-06,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,Total
,,SJVNL,SJVNL,NVVNL,APPCPL,TPTCL,TPDDL,NVVNL,PXIL,NVVNL,PTC,PTC,IEXL,MANIKARAN,NVVNL,AEL,NVVNL,APPCPL,DELHI,APPCPL,DIAPL,APPCPL,BAWANA_GAS,APPCPL,ITCLH,DELHI,MANIKARAN,IEXL,TPDDL,INSTINCT,INSTINCT,NVVNL,HPXL,IEXL,SJVNL,SECI_Trader,SECI_Trader,NVVNL,IEXL,NVVNL,AEL,TPTCL,DELHI,JITPL,PUNJAB,APPCPL,
,,NA,NA,NA,Manipur_State,NA,NA,NA,NA,NA,HIMACHAL_STATE,HIMACHAL_STATE,MSEB_State,GOA_State,NA,NA,NA,TAMILNADU_State,HIMACHAL_STATE,KERALA_State,HIMACHAL_STATE,UTTARAKHAND_STATE,DELHI_UT,MSEB_State,ANDHRA_PRADESH_STATE,MSEB_State,MSEB_State,HIMACHAL_STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HIMACHAL_STATE,NA,NA,NA,NA,NA,DELHI_UT,Arunachal_State,
,,TPSL_BKN2,RSRPL_BKN,SOLAPUR_SOLAR,Manipur_Ben,SIMHAPURI,JHAJJAR,JPNIGRIE_JNSTPP,SKS_Raigarh,TRN_ENERGY,HP,HP,A_A_Energy_MH_Bio,GOA_Beneficiary,RKM_POWER,APL_Raigarh_TPP,RKM_POWER,TANGEDCO,CHANJUII,KSEB,GBHHPL,UTTARAKHAND,BAWANA_GAS,AEML,ITCWIND,MSEB_Beneficiary,AEML,NHCPL_HP,JPL2,JPL2,JPL2,JPL2,SORANG_HEP,SKS_Raigarh,TPSL_BKN2,SBSRPC11PL_BKN,SBSRPC11PL_BKN,SORANG_HEP,HP_GOVT,Kameng,APL_Raigarh_TPP,SIMHAPURI,SKS_Raigarh,JITPL,BAWANA_GAS,Arunachal_Ben,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,
,,NDMC,NDMC,MES_Delhi,BRPL,BRPL,TPDDL,TPDDL,BRPL,NDMC,BRPL,BYPL,MES_Delhi,BRPL,NDMC,BRPL,NDMC,BYPL,TPDDL,BYPL,DIAPL,BYPL,HARYANA,BRPL,ITCLH,TPDDL,BYPL,MES_Delhi,TPDDL,BRPL,BRPL,NDMC,BRPL,BRPL,NDMC,TPDDL,BYPL,TPDDL,BRPL,TPDDL,BRPL,BRPL,NDMC,NDMC,PUNJAB,BRPL,
,,North-North,North-North,West-North,North East-East-North,South-East-North,North-North,West-North,West-North,West-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,South-West-North,North-North,South-West-North,North-North,North-North,North-North,West-North,South-West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,North-North,West-North,North-North,North-North,North-North,North-North,North-North,North East-East-North,West-North,South-West-North,West-North,East-North,North-North,North East-East-North,
1,00:00-00:15,0,0,0,24,0,240.72,48.14,144.44,12.4,81.25,27.09,3.85,11.69,37.2,0,37.2,0,15.91,67.4,9.63,83.95,32,38.52,0.87,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,144.44,163.93,192.58,48.14,12.4,11.79,32,38.52,1813.9000000000005

2,00:15-00:30,0,0,0,24,0,240.72,48.14,144.44,12.4,81.25,27.09,3.85,11.69,37.2,0,37.2,0,15.91,67.4,9.63,83.95,32,38.52,0.87,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,144.44,163.93,192.58,48.14,12.4,11.79,32,38.52,1813.9000000000005

3,00:30-00:45,0,0,0,24,0,240.72,48.14,144.44,12.4,81.25,27.09,3.85,11.69,37.2,0,37.2,0,15.91,67.4,9.63,83.95,32,38.52,0.87,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,11.79,32,38.52,1669.4600000000005

4,00:45-01:00,0,0,0,24,0,240.72,48.14,144.44,12.4,81.25,27.09,3.85,11.69,37.2,0,37.2,0,15.91,67.4,9.63,83.95,32,38.52,0.87,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,11.79,32,38.52,1669.4600000000005

5,01:00-01:15,0,0,0,24,0,240.72,48.14,144.44,12.4,81.25,27.09,3.85,11.69,37.2,0,37.2,0,15.91,67.4,9.63,83.95,18.5536,38.52,0.63,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,11.79,32,38.52,1655.7736000000004

6,01:15-01:30,0,0,0,24,0,240.72,48.14,144.44,12.4,81.25,27.09,3.85,11.69,37.2,0,37.2,0,15.91,67.4,9.63,83.95,18.5536,38.52,0.63,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,11.79,32,38.52,1655.7736000000004

