Time,Block,NR/2023/11341/F,NR/2023/11368/F,NR/2023/11154/F,NR/2023/11367/F,NR/2023/11100/F,NR/2023/11832/C,NR/2023/11099/F,NR/2023/10197/A,NR/2023/11369/F,NR/2023/11835/C,NR/2023/11096/F,NR/2023/11826/D,NER/2023/780/C,NR/2023/10433/A,NR/2023/11095/F,WR/2023/14547/C,NR/2023/11343/F,NR/2023/11747/F,NR/2023/11102/F,NR/2023/11221/F,NR/2023/11833/C,NR/2023/10486/A,NR/2023/11097/F,NR/2023/11104/F,NR/2023/10182/A,NR/2023/11166/F,NR/2023/10181/A,NR/2023/11834/C,NR/2023/11829/D,NR/2023/11828/D,Total
,,IEXL,SHPPBPL,HPXL,SHPPBPL,SHPPBPL,GBHHPL,SHPPBPL,TPTCL,SHPPBPL,PXIL,SHPPBPL,NVVNL,IEXL,NVVNL,APPCPL,IEXL,IEXL,SJVNL,SHPPBPL,IEXL,PXIL,TPTCL,SHPPBPL,SHPPBPL,NVVNL,IEXL,NVVNL,TPDDL,TS1PL_BKN,TS1PL_BKN,Total

,,TELANGANA,HIMACHAL PRADESH,KARNATAKA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,DELHI,HIMACHAL PRADESH,NA,DELHI,NA,MANIPUR,DELHI,NA,WEST BENGAL,HIMACHAL PRADESH,KARNATAKA,DELHI,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,KARNATAKA,NA,HIMACHAL PRADESH,NA,NA,
,,NAVABHARAT,SHPPBPL,NIRANISUGAR,SHPPBPL,SHPPBPL,GBHHPL,SHPPBPL,JPL,SHPPBPL,BYPL,SHPPBPL,SOLAPUR_SOLAR,BRPL,SEIL,Manipur_Ben,BRPL,JSPL_DCPP,IPCL_WB,SHPPBPL,KPRSUGAR,BYPL,APNRL,SHPPBPL,SHPPBPL,JPNIGRIE_JNSTPP,VISHWARAJSUGAR,ILFS,CHANJUII,TS1PL_BKN,TS1PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,MEGHALAYA,DELHI,DELHI,Gujarat,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BAL224,BRPL,BAL184,BMDRC,DIAPL,UHL,BRPL,BAL234,AMBASTL,MAX-HPTL,MES (Delhi),SCF MeSEB,TPDDL,STT,TPLD,BRPL,NDMC,JHPL-DL,BRPL,ASIL_UP,TPDDL,MHIL,AISHER,BRPL,BRPL,BRPL,TPDDL,BYPL,BRPL,
,,South-West-North,North-North,South-East-North,North-North,North-North,North-North,North-North,West-North,North-North,North-North,North-North,West-North,North-East-North East,South-West-North,North East-East-North,North-East-West,West-North,East-North,North-North,South-West-North,North-North,East-North,North-North,North-North,West-North,South-West-North,South-West-North,North-North,North-North,North-North,
1,00:00-00:15,115.740000,0.310000,9.640000,0.310000,0.530000,29.600000,0.360000,49.910000,0.610000,0.000000,0.530000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.600000,17.360000,0.000000,20.590000,0.360000,0.450000,49.910000,14.470000,99.830000,8.290000,0,0,494.62

2,00:15-00:30,115.740000,0.310000,9.640000,0.310000,0.530000,29.600000,0.360000,49.910000,0.610000,0.000000,0.530000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.600000,17.360000,0.000000,20.590000,0.360000,0.450000,49.910000,14.470000,99.830000,8.290000,0,0,494.62

3,00:30-00:45,115.740000,0.310000,9.640000,0.310000,0.530000,29.600000,0.360000,49.910000,0.610000,0.000000,0.530000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.600000,17.360000,0.000000,20.590000,0.360000,0.450000,49.910000,14.470000,99.830000,8.290000,0,0,494.62

4,00:45-01:00,115.740000,0.310000,9.640000,0.310000,0.530000,29.600000,0.360000,49.910000,0.610000,0.000000,0.530000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.600000,17.360000,0.000000,20.590000,0.360000,0.450000,49.910000,14.470000,99.830000,8.290000,0,0,494.62

5,01:00-01:15,115.740000,0.310000,9.640000,0.310000,0.530000,29.600000,0.360000,49.910000,0.610000,0.000000,0.530000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.600000,17.360000,0.000000,20.590000,0.360000,0.450000,49.910000,14.470000,99.830000,8.200000,0,0,494.53

6,01:15-01:30,115.740000,0.310000,9.640000,0.310000,0.530000,29.600000,0.360000,49.910000,0.610000,0.000000,0.530000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.600000,17.360000,0.000000,20.590000,0.360000,0.450000,49.910000,14.470000,99.830000,8.200000,0,0,494.53

7,01:30-01:45,115.740000,0.310000,9.640000,0.310000,0.530000,29.600000,0.360000,49.910000,0.610000,0.000000,0.530000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.600000,17.360000,0.000000,20.590000,0.360000,0.450000,49.910000,14.470000,99.830000,8.200000,0,0,494.53

8,01:45-02:00,115.740000,0.310000,9.640000,0.310000,0.530000,29.600000,0.360000,49.910000,0.610000,0.000000,0.530000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.600000,17.360000,0.000000,20.590000,0.360000,0.450000,49.910000,14.470000,99.830000,8.200000,0,0,494.53

9,02:00-02:15,115.740000,0.310000,9.640000,0.310000,0.530000,29.600000,0.360000,49.910000,0.610000,0.000000,0.530000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.600000,17.360000,0.000000,20.590000,0.360000,0.450000,49.910000,14.470000,99.830000,8.200000,0,0,494.53

10,02:15-02:30,115.740000,0.310000,9.640000,0.310000,0.530000,29.600000,0.360000,49.910000,0.610000,0.000000,0.530000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.600000,17.360000,0.000000,20.590000,0.360000,0.450000,49.910000,14.470000,99.830000,8.200000,0,0,494.53

11,02:30-02:45,115.740000,0.310000,9.640000,0.310000,0.530000,29.600000,0.360000,49.910000,0.610000,0.000000,0.530000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.600000,17.360000,0.000000,20.590000,0.360000,0.450000,49.910000,14.470000,99.830000,8.200000,0,0,494.53

12,02:45-03:00,115.740000,0.310000,9.640000,0.310000,0.530000,29.600000,0.360000,49.910000,0.610000,0.000000,0.530000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.600000,17.360000,0.000000,20.590000,0.360000,0.450000,49.910000,14.470000,99.830000,8.200000,0,0,494.53

13,03:00-03:15,115.740000,0.310000,9.640000,0.310000,0.530000,29.600000,0.360000,49.910000,0.610000,0.000000,0.530000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.600000,17.360000,0.000000,20.590000,0.360000,0.450000,49.910000,14.470000,99.830000,8.100000,0,0,494.43

14,03:15-03:30,115.740000,0.310000,9.640000,0.310000,0.530000,29.600000,0.360000,49.910000,0.610000,0.000000,0.530000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.600000,17.360000,0.000000,20.590000,0.360000,0.450000,49.910000,14.470000,99.830000,8.100000,0,0,494.43

15,03:30-03:45,115.740000,0.310000,9.640000,0.310000,0.530000,29.600000,0.360000,49.910000,0.610000,0.000000,0.530000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.600000,17.360000,0.000000,20.590000,0.360000,0.450000,49.910000,14.470000,99.830000,8.100000,0,0,494.43

16,03:45-04:00,115.740000,0.310000,9.640000,0.310000,0.530000,29.600000,0.360000,49.910000,0.610000,0.000000,0.530000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.600000,17.360000,0.000000,20.590000,0.360000,0.450000,49.910000,14.470000,99.830000,8.100000,0,0,494.43

17,04:00-04:15,115.740000,0.310000,9.640000,0.310000,0.530000,29.600000,0.360000,49.910000,0.610000,0.000000,0.530000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.600000,17.360000,0.000000,20.590000,0.360000,0.450000,49.910000,14.470000,99.830000,8.100000,0,0,494.43

18,04:15-04:30,115.740000,0.310000,9.640000,0.310000,0.530000,29.600000,0.360000,49.910000,0.610000,0.000000,0.530000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.600000,17.360000,0.000000,20.590000,0.360000,0.450000,49.910000,14.470000,99.830000,8.100000,0,0,494.43

