Block,Time,L_NR_2012_07,LT-59,LT-35,L_NR_2012_01,L_NR_2012_02,LT-05,L_NR_2012_04,SH-07,L_NR_2023_04,L_NR_2020_02,LT-31,LT_MEJA_Delhi,L_NR_2019_11,LT-36,SH-06,L_NR_2019_05,L_NR_2021_13,L_NR_2019_06,L_NR_2019_07,L_NR_2021_14,L_NR_2021_16,L_NR_2020_07,L_NR_2022_08,L_NR_2019_19,L_NR_2020_06,L_NR_2021_15,L_NR_2022_10,L_NR_2020_05,L_NR_2022_09,L_NR_2021_12,L_NR_2018_61,L_NR_2021_17
1,00:00-00:15,87.330000,10.140000,0.000000,101.420000,261.990000,115.850000,272.060000,30.980000,0.000000,11.920000,0.000000,3.880000,10.790000,0.000000,30.980000,0,0,0,0,0,0,0,27.55,0,0,0,58.51,0,58.51,0,17.41,0

2,00:15-00:30,87.330000,10.140000,0.000000,101.420000,261.990000,115.850000,272.060000,30.980000,0.000000,11.920000,0.000000,3.880000,10.790000,0.000000,30.980000,0,0,0,0,0,0,0,27.35,0,0,0,58.16,0,58.16,0,17.6,0

3,00:30-00:45,87.330000,10.140000,0.000000,101.420000,261.990000,115.850000,272.310000,30.980000,0.000000,11.920000,0.000000,3.880000,10.790000,0.000000,30.980000,0,0,0,0,0,0,0,27.26,0,0,0,57.63,0,57.63,0,19.3,0

4,00:45-01:00,87.330000,10.140000,0.000000,101.420000,261.990000,115.850000,272.310000,30.980000,0.000000,11.920000,0.000000,3.880000,10.790000,0.000000,30.980000,0,0,0,0,0,0,0,26.97,0,0,0,56.88,0,56.88,0,19.21,0

5,01:00-01:15,87.330000,10.140000,0.000000,101.420000,261.990000,115.850000,272.310000,30.980000,0.000000,11.920000,0.000000,3.880000,10.790000,0.000000,30.980000,0,0,0,0,0,0,0,26.88,0,0,0,56.84,0,56.84,0,18.87,0

6,01:15-01:30,87.330000,10.140000,0.000000,101.420000,261.990000,115.850000,272.310000,30.980000,0.000000,11.920000,0.000000,3.880000,10.790000,0.000000,30.980000,0,0,0,0,0,0,0,26.62,0,0,0,56.22,0,56.22,0,18.46,0

7,01:30-01:45,87.330000,10.140000,0.000000,101.420000,261.990000,115.850000,272.310000,30.980000,0.000000,11.920000,0.000000,3.880000,10.790000,0.000000,30.980000,0,0,0,0,0,0,0,26.54,0,0,0,60.34,0,60.34,0,18.04,0

8,01:45-02:00,87.330000,10.140000,0.000000,101.420000,261.990000,115.850000,272.310000,30.980000,0.000000,11.920000,0.000000,3.880000,10.790000,0.000000,30.980000,0,0,0,0,0,0,0,26.34,0,0,0,60.14,0,60.14,0,17.8,0

