Block,Time,JHAJJAR,KGSU3AND4,KUDGI,RAPPB,URI,ANTA_RF,AURY_LF,AURY_RF,CHAMERA3,NAPP,NNTPP,RAPPC,SINGRAULI,ANTA_CRF,DADRI_GF,DULHASTI,KKNP,KOLDAM,NLCIIST1,NTPL,RAMPUR,RIHAND2,RSTPSU7,SIMHST1,SIMHST2,SINGRAULI_HYDRO,UNCHAHAR4,CHAMERA1,KGSU1AND2,KKNPPU2,TANDA2,TelanganaSTPP,VALLURNTECL,DADRI_CRF,DADRI_RF,FSTPP I & II,RSTPSU1TO6,TALA,TANAKPUR,UNCHAHAR2,BRBCL,TALST2,URI2,ANTA_GF,ANTA_LF,AURY_CRF,DHAULIGNGA,KHSTPP-I,KISHANGANGA,NJPC,NLCEXP,NLCTS2EXP,RIHAND1,SALAL,SASAN,TEHRI,UNCHAHAR3,BSIUL,CHAMERA2,DADRT2,KHSTPP-II,KOTESHWR,MAPS,NLCIIST2,PARBATI3,RIHAND3,SEWA2,UNCHAHAR1,AURY_GF,DADRI_LF
1,00:00-00:15,654.31,0,0,0,5.19,42.74,0,69.5,9.68,41.65,0,51.78,102,0,0,32.96,0,0,0,0,0,118.76,0,0,0,0,0,0,0,0,0,0,0,0,66.85,14.3,0,6.02,13.06,42.4,15,0,26.9,0,0,0,9.11,44.92,0,46.78,0,0,45,2.33,405,46.69,0,0,13.17,341.57,148.3,8.87,0,0,0,124.32,0,20.56,0,21.92

2,00:15-00:30,654.31,0,0,0,5.19,42.74,0,69.5,9.68,41.65,0,51.78,102,0,0,32.96,0,0,0,0,0,118.76,0,0,0,0,0,0,0,0,0,0,0,0,66.85,14.3,0,6.02,13.06,42.4,15,0,26.9,0,0,0,9.11,44.92,0,46.78,0,0,45,2.33,405,29.87,0,0,13.06,341.57,148.3,8.87,0,0,0,124.32,0,20.56,0,21.92

3,00:30-00:45,654.31,0,0,0,5.19,42.74,0,69.5,9.68,41.65,0,51.78,102,0,0,32.96,0,0,0,0,0,118.76,0,0,0,0,0,0,0,0,0,0,0,0,66.85,14.3,0,6.17,13.06,42.4,15,0,26.9,0,0,0,9.11,44.92,0,46.78,0,0,45,26.73,405,14.93,0,0,13.06,341.57,148.3,8.87,0,0,0,124.32,0,20.56,0,21.92

4,00:45-01:00,654.31,0,0,0,5.19,42.74,0,69.5,9.68,41.65,0,51.78,102,0,0,32.96,0,0,0,0,0,118.76,0,0,0,0,0,0,0,0,0,0,0,0,66.85,14.3,0,6.17,13.06,42.4,15,0,26.9,0,0,0,9.11,44.92,0,46.78,0,0,45,79.38,405,14.93,0,0,13.06,341.57,148.3,8.87,0,0,0,124.32,0,20.56,0,21.92

5,01:00-01:15,654.31,0,0,0,5.19,42.74,0,69.5,9.68,41.65,0,51.78,102,0,0,32.96,0,0,0,0,0,118.76,0,0,0,0,0,0,0,0,0,0,0,0,66.85,14.3,0,6.17,11.53,42.4,15,0,5.38,0,0,0,9.11,44.92,0,46.78,0,0,45,79.38,405,14.93,0,0,13.06,341.57,148.3,8.87,0,0,0,124.32,0,20.56,0,21.92

