Block,Time,BRBCL,CHAMERA2,KKNP,NAPP,NTPL,TANAKPUR,ANTA_GF,DADRI_RF,DHAULIGNGA,KISHANGANGA,NJPC,PARBATI3,RAPPC,RIHAND1,RSTPSU1TO6,RSTPSU7,TANDA2,UNCHAHAR2,UNCHAHAR4,ANTA_LF,BSIUL,FSTPP I & II,JHAJJAR,KHSTPP-I,NLCIIST2,NNTPP,RAPPB,TALST2,AURY_RF,DADRI_LF,KUDGI,SALAL,SASAN,SEWA2,SINGRAULI_HYDRO,URI2,VALLURNTECL,DADRI_CRF,CHAMERA3,DADRT2,KGSU1AND2,NLCEXP,NLCTS2EXP,SINGRAULI,TelanganaSTPP,UNCHAHAR1,URI,DADRI_GF,CHAMERA1,DULHASTI,KOLDAM,KOTESHWR,NLCIIST1,SIMHST2,TALA,TEHRI,UNCHAHAR3,ANTA_CRF,AURY_CRF,KGSU3AND4,KHSTPP-II,KKNPPU2,MAPS,RAMPUR,RIHAND2,RIHAND3,SIMHST1,ANTA_RF,AURY_GF,AURY_LF
1,00:00-00:15,20,0,0,44.38,0,1.28,0,69.05,0,0,0,0,53.17,92,0,0,0,42.39,0,0,0,20.8,434.65,33.69,0,0,0,0,53.75,23.56,0,1.4,270,0,0,4.31,0,0,0,683.14,0,0,0,104.15,0,10.28,1.11,0,0,0,0,8.87,0,0,0,0,26.4,0,0,0,148.3,0,0,0,118.76,124.33,0,44.62,0,0

2,00:15-00:30,20,0,0,44.38,0,1.28,0,69.05,0,0,0,0,53.17,92,0,0,0,42.39,0,0,0,20.8,434.65,33.69,0,0,0,0,53.75,23.56,0,1.4,270,0,0,4.31,0,0,0,683.14,0,0,0,104.15,0,10.28,1.11,0,0,0,0,8.87,0,0,0,0,26.4,0,0,0,148.3,0,0,0,118.76,124.33,0,44.62,0,0

3,00:30-00:45,20,0,0,44.38,0,1.28,0,69.05,0,0,0,0,53.17,92,0,0,0,42.39,0,0,0,20.8,434.65,33.69,0,0,0,0,53.75,23.56,0,1.4,270,0,0,4.31,0,0,0,683.14,0,0,0,104.15,0,10.28,1.11,0,0,0,0,8.87,0,0,0,0,26.4,0,0,0,148.3,0,0,0,118.76,124.33,0,44.62,0,0

4,00:45-01:00,20,0,0,44.38,0,2.05,0,69.05,0,0,0,0,53.17,92,0,0,0,42.39,0,0,0,20.8,434.65,33.69,0,0,0,0,53.75,23.56,0,1.4,270,0,0,4.31,0,0,0,683.14,0,0,0,104.15,0,10.28,1.11,0,0,0,0,8.87,0,0,0,0,26.4,0,0,0,148.3,0,0,0,118.76,124.33,0,44.62,0,0

5,01:00-01:15,20,0,0,44.38,0,7.81,0,69.05,0,0,0,0,53.17,92,0,0,0,42.39,0,0,0,20.8,434.65,33.69,0,0,0,0,53.75,23.56,0,1.4,270,0,0,4.31,0,0,0,683.14,0,0,0,104.15,0,10.28,1.11,0,0,0,0,8.87,0,0,0,0,26.4,0,0,0,148.3,0,0,0,118.76,124.33,0,44.62,0,0

6,01:15-01:30,20,0,0,44.38,0,7.81,0,69.05,0,0,0,0,53.17,92,0,0,0,42.39,0,0,0,20.8,434.65,33.69,0,0,0,0,53.75,23.56,0,1.4,270,0,0,4.31,0,0,0,683.14,0,0,0,104.15,0,10.28,1.11,0,0,0,0,8.87,0,0,0,0,26.4,0,0,0,148.3,0,0,0,118.76,124.33,0,44.62,0,0

7,01:30-01:45,20,0,0,44.38,0,7.81,0,69.05,0,0,0,0,53.17,92,0,0,0,42.39,0,0,0,20.8,434.65,33.69,0,0,0,0,53.75,23.56,0,1.4,270,0,0,4.31,0,0,0,683.14,0,0,0,104.15,0,10.28,1.11,0,0,0,0,8.87,0,0,0,0,26.4,0,0,0,148.3,0,0,0,118.76,124.33,0,44.62,0,0

8,01:45-02:00,20,0,0,44.38,0,7.81,0,69.05,0,0,0,0,53.17,92,0,0,0,42.39,0,0,0,20.8,434.65,33.69,0,0,0,0,53.75,23.56,0,1.4,270,0,0,4.31,0,0,0,683.14,0,0,0,104.15,0,10.28,1.11,0,0,0,0,8.87,0,0,0,0,26.4,0,0,0,148.3,0,0,0,118.76,124.33,0,44.62,0,0

9,02:00-02:15,20,0,0,44.38,0,7.81,0,69.05,0,0,0,0,53.17,92,0,0,0,42.39,0,0,0,20.8,434.65,33.69,0,0,0,0,53.75,23.56,0,1.4,270,0,0,4.31,0,0,0,683.14,0,0,0,104.15,0,10.28,1.11,0,0,0,0,8.87,0,0,0,0,26.4,0,0,0,148.3,0,0,0,118.76,124.33,0,44.62,0,0

10,02:15-02:30,20,0,0,44.38,0,7.81,0,69.05,0,0,0,0,53.17,92,0,0,0,42.39,0,0,0,20.8,434.65,33.69,0,0,0,0,53.75,23.56,0,1.4,270,0,0,4.31,0,0,0,683.14,0,0,0,104.15,0,10.28,1.11,0,0,0,0,8.87,0,0,0,0,26.4,0,0,0,148.3,0,0,0,118.76,124.33,0,44.62,0,0

