Column1,Time,NR/22102023/11042047/L_NR_2021_17,GNA/WR/2024/11/01/4200,NR/30092023/26122029/SH-06,GNA/WR/2024/10/15/7089,GNA/NR/2024/12/01/2197,NR/22102023/11042047/L_NR_2021_16,GNA/SR/2024/12/01/6968,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/12/01/1599,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/1899,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36,NR/01102023/22052037/LT-59,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/12/01/1475,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2024/12/01/3428,NR/01102023/19072037/LT-05,NR/01082024/19092033/Chanju/TPDDL/01082024,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,WR/01102023/24112044/L_NR_2020_07,SR/01102023/07102043/L_NR_2018_61,NR/01102023/13082046/L_NR_2021_12,WR/01102023/31032046/L_NR_2020_05,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/08032047/L_NR_2021_14,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),L_NR_2019_19
1,00:00-00:15,0,0,0,0,25.97,0,150,0,0,0,24.23,1.62,65.99,74.78,95.13,1.22,31.71,25.97,8.66,0,0,0.77,0,0,25.97,98.4,8.66,35.06,1.92,53.33,53.34,12.67,3.06,0,38,0,0,0,8.33,0,12.66,0,0,0

2,00:15-00:30,0,0,0,0,25.97,0,150,0,0,0,24.23,1.62,65.99,74.78,95.13,1.22,31.71,25.97,8.66,0,0,0.77,0,0,25.97,98.4,8.66,35.06,1.92,52.67,52.66,12,3.2,0,36,0,0,0,8.33,0,12,0,0,0

3,00:30-00:45,0,0,0,0,25.97,0,150,0,0,0,24.23,1.62,65.99,74.78,95.13,1.22,31.71,25.97,8.66,0,0,0.77,0,0,25.97,98.4,8.66,35.06,1.92,62,62,15,3.26,0,45,0,0,0,8.33,0,15,0,0,0

4,00:45-01:00,0,0,0,0,25.97,0,150,0,0,0,24.73,1.62,65.99,74.78,95.13,1.22,31.71,25.97,8.66,0,0,0.77,0,0,25.97,98.4,8.66,35.06,1.92,61,61,15.17,3.32,0,45.49,0,0,0,8.33,0,15.17,0,0,0

5,01:00-01:15,0,0,0,0,25.97,0,150,0,0,0,24.73,1.62,65.99,74.78,95.13,1.22,31.71,25.97,8.66,0,0,0.69,0,0,25.97,98.4,8.66,35.06,1.92,59.67,59.67,15,3.35,0,45,0,0,0,13.34,0,15,0,0,0

6,01:15-01:30,0,0,0,0,25.97,0,150,0,0,0,24.73,1.62,65.99,74.78,95.13,1.22,31.71,25.97,8.66,0,0,0.69,0,0,25.97,98.4,8.66,35.06,1.92,58.33,58.33,14.83,3.38,0,44.51,0,0,0,14,0,14.83,0,0,0

7,01:30-01:45,0,0,0,0,25.97,0,150,0,0,0,24.73,1.62,65.99,74.78,95.13,1.22,31.71,25.97,8.66,0,0,0.69,0,0,25.97,98.4,8.66,35.06,1.92,56.67,56.67,21.67,3.33,0,64.99,0,0,0,14.66,0,21.67,0,0,0

8,01:45-02:00,0,0,0,0,25.97,0,150,0,0,0,24.73,1.62,65.99,74.78,95.13,1.22,31.71,25.97,8.66,0,0,0.69,0,0,25.97,98.4,8.66,35.06,1.92,56,56,21.67,3.29,0,64.99,0,0,0,15.34,0,21.67,0,0,0

9,02:00-02:15,0,0,0,0,25.97,0,150,0,0,0,24.73,1.62,65.99,74.78,95.13,1.14,31.71,25.97,8.66,0,0,0.69,0,0,25.97,98.4,8.66,35.06,1.92,63.33,63.34,21.33,2.97,0,64.01,0,0,0,16.33,0,21.33,0,0,0

10,02:15-02:30,0,0,0,0,25.97,0,150,0,0,0,24.73,1.62,65.99,74.78,95.13,1.14,31.71,25.97,8.66,0,0,0.69,0,0,25.97,98.4,8.66,35.06,1.92,61.66,61.67,21.17,2.9,0,63.49,0,0,0,15.67,0,21.17,0,0,0

11,02:30-02:45,0,0,0,0,25.97,0,150,0,0,0,24.73,1.62,57.41,74.78,95.13,1.14,31.71,25.97,8.66,0,0,0.69,0,0,25.97,68.28,8.66,35.06,1.92,53,53,16.67,2.96,0,49.99,0,0,0,12.67,0,16.67,0,0,0

12,02:45-03:00,0,0,0,0,25.97,0,150,0,0,0,24.73,1.62,57.41,74.78,95.13,1.14,31.71,25.97,8.66,0,0,0.69,0,0,25.97,68.28,8.66,35.06,1.92,52,52,16.5,3.07,0,49.5,0,0,0,12,0,16.5,0,0,0

13,03:00-03:15,0,0,0,0,25.97,0,150,0,0,0,24.73,1.62,57.41,74.78,95.13,1.14,31.71,25.97,8.66,0,0,0.69,0,0,25.97,68.28,8.66,35.06,1.92,56,56,18.17,3.18,0,54.49,0,0,0,11.67,0,18.17,0,0,0

14,03:15-03:30,0,0,0,0,25.97,0,150,0,0,0,24.73,1.62,57.41,74.78,95.13,1.14,31.71,25.97,8.66,0,0,0.69,0,0,25.97,68.28,8.66,35.06,1.92,55.33,55.34,17.67,3.24,0,52.99,0,0,0,11.67,0,17.67,0,0,0

15,03:30-03:45,0,0,0,0,25.97,0,150,0,0,0,24.73,1.62,57.41,74.78,95.13,1.14,31.71,25.97,8.66,0,0,0.69,0,0,25.97,68.28,8.66,35.06,1.92,41,41,12,3.27,0,36,0,0,0,8.33,0,12,0,0,0

16,03:45-04:00,0,0,0,0,25.97,0,150,0,0,0,24.73,1.62,57.41,74.78,95.13,1.14,31.71,25.97,8.66,0,0,0.69,0,0,25.97,68.28,8.66,35.06,1.92,39.67,39.66,11.67,3.3,0,34.99,0,0,0,8.33,0,11.67,0,0,0

17,04:00-04:15,0,0,0,0,25.97,0,150,0,0,0,24.73,1.62,57.41,74.78,95.13,1.14,31.71,25.97,8.66,0,0,0.69,0,0,25.97,68.28,8.66,35.06,1.92,26.67,26.66,8.33,3.57,0,25.01,0,0,0,8.33,0,8.33,0,0,0

18,04:15-04:30,0,0,0,0,25.97,0,150,0,0,0,24.73,1.62,57.41,74.78,95.13,1.14,31.71,25.97,8.66,0,0,0.69,0,0,25.97,68.28,8.66,35.06,1.92,26,26,8.33,3.65,0,25.01,0,0,0,8.33,0,8.33,0,0,0

19,04:30-04:45,0,0,0,0,25.97,0,150,0,0,0,24.73,1.62,57.41,74.78,95.13,1.14,31.71,25.97,8.66,0,0,0.69,0,0,25.97,68.28,8.66,35.06,1.92,26,26,8.33,3.65,0,25.01,0,0,0,8.33,0,8.33,0,0,0

20,04:45-05:00,0,0,0,0,25.97,0,150,0,0,0,24.73,1.62,57.41,74.78,95.13,1.14,31.71,25.97,8.66,0,0,0.69,0,0,25.97,97.13,8.66,35.06,1.92,26,26,8.33,3.62,0,25.01,0,0,0,8.33,0,8.33,0,0,0

21,05:00-05:15,0,0,0,0,25.97,0,150,0,0,0,24.73,1.62,57.41,94.98,95.13,1.07,31.71,25.97,8.66,0,0,0.69,0,0,25.97,97.13,8.66,35.06,1.92,26,26,8.33,3.63,0,25.01,0,0,0,8.33,0,8.33,0,0,0

22,05:15-05:30,0,0,0,0,25.97,0,150,0,0,0,24.73,1.62,57.41,115.17,95.13,1.07,31.71,25.97,8.66,0,0,0.69,0,0,25.97,68.28,8.66,35.06,1.92,25.67,25.66,8.33,3.67,0,25.01,0,0,0,7.33,0,8.33,0,0,0

23,05:30-05:45,0,0,0,0,25.97,0,150,0,0,0,24.73,1.62,57.41,135.24,95.13,1.07,31.71,25.97,8.66,0,0,0.69,0,0,25.97,83.64,8.66,35.06,1.92,25.33,25.34,11.17,3.75,0,33.49,0,0,0,7.33,0,11.17,0,0,0

24,05:45-06:00,0,0,0,0,25.97,0,150,0,0,0,24.73,1.62,57.41,135.24,95.13,1.07,31.71,25.97,8.66,0,0,0.69,0,0,25.97,95.18,8.66,35.06,1.92,24.67,24.66,11.5,3.86,0,34.5,0,0,0,7.33,0,11.5,0,0,0

25,06:00-06:15,0,0,0,0,28.85,0,150,0,0,0,24.73,1.62,86.75,135.24,0,1.07,0,28.85,8.66,0,0,0.69,0,0,28.85,129.28,8.66,35.06,1.92,24.33,24.34,13.5,3.4,0,40.5,0,0,0,10,0.93,13.5,0,0.01,0

26,06:15-06:30,0,0,0,0,28.85,0,150,0,0,0,24.73,1.62,86.75,135.24,0,1.07,0,28.85,8.66,0,0,0.69,0,0,28.85,129.28,8.66,35.06,1.92,24.33,24.34,13.83,3.33,0,41.51,0,0,0,9.33,1.5,13.83,0,4.31,0

27,06:30-06:45,0,0,0,0,31.74,0,150,0,0,0,24.73,1.62,86.75,135.24,0,1.07,0,31.74,8.66,0.14,0.15,0.69,0,0.14,31.74,130.55,8.66,35.06,1.92,56,56,22.33,3.39,0,67.01,0,0,0,15,3.09,22.33,1,11.27,0

