Block,Time,AURY_RF,RAMPUR,RIHAND1,CHAMERA2,NAPP,DADRI_LF,KOTESHWR,RAPPB,TANDA2,DADRI_GF,UNCHAHAR4,TANAKPUR,RIHAND2,DADRT2,PARBATI3,DADRI_RF,URI,KISHANGANGA,DHAULIGNGA,BSIUL,CHAMERA1,SEWA2,CHAMERA3,TEHRI,UNCHAHAR1,DADRI_CRF,AURY_CRF,AURY_GF,JHAJJAR,ANTA_RF,NJPC,ANTA_GF,SINGRAULI,DULHASTI,URI2,ANTA_LF,UNCHAHAR2,RIHAND3,UNCHAHAR3,SALAL,SINGRAULI_HYDRO,ANTA_CRF,RAPPC,AURY_LF,KOLDAM,FSTPP I & II,TALA,KHSTPP-II,KHSTPP-I,BRBCL,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,88.559200,0.000000,42.253134,0.000000,8.542112,0.000000,0.000000,0.000000,0.000000,1.726327,113.707125,360.118286,0.000000,0.000000,37.194864,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.326445,0.000000,0.000000,0.000000,231.986600,0.000000,0.000000,0.000000,120.890528,1.852524,23.825967,0.000000,22.447832,59.520265,13.976952,2.796353,0.644509,0.000000,52.526194,0.000000,0.000000,11.166160,0.000000,78.105364,24.565552,19.252017,403.108002,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,88.559200,0.000000,42.253134,0.000000,8.542112,0.000000,0.000000,0.000000,0.000000,1.726327,113.707125,360.118286,0.000000,0.000000,37.194864,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.326445,0.000000,0.000000,0.000000,231.986600,0.000000,0.000000,0.000000,120.890528,1.852524,23.825967,0.000000,22.447832,59.520265,13.976952,2.796353,0.644509,0.000000,52.526194,0.000000,0.000000,11.166160,0.000000,78.105364,24.565552,18.918415,403.108002,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,59.898363,0.000000,42.253134,0.000000,8.542112,0.000000,0.000000,0.000000,0.000000,1.726327,90.722451,360.118286,0.000000,0.000000,1.062710,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.326445,0.000000,0.000000,0.000000,231.986600,0.000000,0.000000,0.000000,109.999575,1.852524,23.825967,0.000000,22.447832,43.499413,13.976952,2.796353,0.644509,0.000000,52.526194,0.000000,0.000000,11.166160,0.000000,78.105364,24.565552,17.274406,403.108002,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,59.898363,0.000000,42.253134,0.000000,8.542112,0.000000,0.000000,0.000000,0.000000,1.726327,90.722451,360.118286,0.000000,0.000000,1.062710,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.326445,0.000000,0.000000,0.000000,231.986600,0.000000,0.000000,0.000000,109.999575,1.852524,23.825967,0.000000,22.447832,43.499413,13.976952,2.796353,0.644509,0.000000,52.526194,0.000000,0.000000,11.166160,0.000000,78.105364,24.565552,13.522287,403.108002,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,59.898363,0.000000,42.253134,0.000000,8.542112,0.000000,0.000000,0.000000,0.000000,1.726327,90.722451,360.118286,0.000000,0.000000,2.125421,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.326445,0.000000,0.000000,0.000000,231.986600,0.000000,0.000000,0.000000,109.999575,1.852524,23.825967,0.000000,22.447832,43.499413,13.976952,2.796353,0.644509,0.000000,52.526194,0.000000,0.000000,11.166160,0.000000,78.105364,24.565552,13.871218,403.108002,0,0,0,0,0

6,01:15-01:30,0.000000,0.000000,59.898363,0.000000,42.253134,0.000000,8.542112,0.000000,0.000000,0.000000,0.000000,1.726327,90.722451,360.118286,0.000000,0.000000,2.125421,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.326445,0.000000,0.000000,0.000000,231.986600,0.000000,0.000000,0.000000,109.999575,1.852524,23.825967,0.000000,22.447832,43.499413,13.976952,2.796353,0.644509,0.000000,52.526194,0.000000,0.000000,11.166160,0.000000,78.105364,24.565552,13.900263,403.108002,0,0,0,0,0

7,01:30-01:45,0.000000,0.000000,59.898363,0.000000,42.253134,0.000000,8.542112,0.000000,0.000000,0.000000,0.000000,2.342872,90.722451,360.118286,0.000000,0.000000,2.125421,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.326445,0.000000,0.000000,0.000000,231.986600,0.000000,0.000000,0.000000,109.999575,1.852524,4.532113,0.000000,22.447832,43.499413,13.976952,2.796353,0.644509,0.000000,52.526194,0.000000,0.000000,11.166160,0.000000,78.105364,24.565552,12.860024,403.108002,0,0,0,0,0

8,01:45-02:00,0.000000,0.000000,59.898363,0.000000,42.253134,0.000000,8.542112,0.000000,0.000000,0.000000,0.000000,2.342872,90.722451,360.118286,0.000000,0.000000,2.125421,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.326445,0.000000,0.000000,0.000000,231.986600,0.000000,0.000000,0.000000,109.999575,1.852524,4.532113,0.000000,22.447832,43.499413,13.976952,2.796353,0.644509,0.000000,52.526194,0.000000,0.000000,11.166160,0.000000,78.105364,24.565552,12.735377,403.108002,0,0,0,0,0

