Column1,Block,WR/2025/26047/A/52200,ER/2025/15683/A/52194,NER/2025/2918/A/52198,NR/2025/24882/A/51917,NR/2025/25166/C,NR/2025/25070/A/52214,NR/2025/25167/C,NR/2025/24992/A/51916,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,GNA/NR/2025/02/01/2143,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/02/01/5886,GNA/WR/2025/01/01/8625,NR/2024/24418/A/51939,GNA/SR/2025/02/01/6460,GNA/NR/2025/02/01/4863,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/2594,NR/30092023/31122025/SH-07,GNA/NR/2025/02/01/9969,NR/30092023/26122029/SH-06,Total
,,APPCPL,APPCPL,APPCPL,IEXL,SJVNL,NVVNL,SJVNL,IEXL,MANIKARAN,APPCPL,NDMC,DELHI,NDMC,TPTCL,ITCLH,APPCPL,NDMC,APPCPL,NDMC,BAWANA_GAS,NDMC,PUNJAB,
,,DELHI_UT,DELHI_UT,DELHI_UT,TELANGANA_State,NA,NA,NA,KARNATAKA_STATE,DELHI_UT,DELHI_UT,NA,HIMACHAL_STATE,NA,DELHI_UT,ANDHRA_PRADESH_STATE,DELHI_UT,NA,DELHI_UT,NA,DELHI_UT,NA,DELHI_UT,
,,BRPL,BYPL,BYPL,NSLKSLWPRTY,TPSL_BKN2,JIPL,RSRPL_BKN,NSLSUGARALAND,BRPL,BYPL,RKM_POWER,CHANJUII,TRN_ENERGY,BYPL,ITCWIND,BYPL,SKS_Raigarh,BYPL,RKM_POWER,BAWANA_GAS,JPL2,BAWANA_GAS,
,,GOA_State,SIKKIM_STATE,Manipur_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,KERALA_State,DELHI_UT,KERALA_State,DELHI_UT,HARYANA_STATE,DELHI_UT,PUNJAB_STATE,
,,GOA_Beneficiary,SIKKIM,Manipur_Ben,MES_Delhi,NDMC,NDMC,NDMC,MES_Delhi,AEML,AEML,NDMC,TPDDL,NDMC,TPC_MSEB,ITCLH,KSEB,NDMC,KSEB,NDMC,HARYANA,NDMC,PUNJAB,
,,North-West,North-East,North-East-North East,South-West-North,North-North,East-North,North-North,South-West-North,North-West,North-West,West-North,North-North,West-North,North-West,South-West-North,North-West-South,West-North,North-West-South,West-North,North-North,West-North,North-North,
1,00:00-00:15,0,7.34,9.18,2.89,0,7.65,0,6.73,0,0,23.08,1.2,8.66,0,0.38,75,8.66,0,23.08,26.99,23.08,26.99,250.91000000000003

2,00:15-00:30,0,7.34,9.18,2.89,0,7.65,0,6.73,0,0,23.08,1.2,8.66,0,0.38,75,8.66,0,23.08,26.99,23.08,26.99,250.91000000000003

3,00:30-00:45,0,7.34,9.18,2.89,0,7.65,0,6.73,0,0,23.08,1.2,8.66,0,0.38,75,8.66,0,23.08,26.99,23.08,26.99,250.91000000000003

4,00:45-01:00,0,7.34,9.18,2.89,0,7.65,0,6.73,0,0,23.08,1.2,8.66,0,0.38,75,8.66,0,23.08,26.99,23.08,26.99,250.91000000000003

5,01:00-01:15,0,7.34,9.18,2.89,0,7.65,0,6.73,0,0,23.08,1.2,8.66,0,0.38,75,8.66,0,23.08,26.99,23.08,26.99,250.91000000000003

6,01:15-01:30,0,7.34,9.18,2.89,0,7.65,0,6.73,0,0,23.08,1.2,8.66,0,0.38,75,8.66,0,23.08,26.99,23.08,26.99,250.91000000000003

7,01:30-01:45,0,7.34,9.18,2.89,0,7.65,0,6.73,0,0,23.08,1.2,8.66,0,0.38,75,8.66,0,23.08,26.99,23.08,26.99,250.91000000000003

8,01:45-02:00,0,7.34,9.18,2.89,0,7.65,0,6.73,0,0,23.08,1.2,8.66,0,0.38,75,8.66,0,23.08,26.99,23.08,26.99,250.91000000000003

9,02:00-02:15,0,7.34,9.18,2.89,0,7.65,0,6.73,0,0,23.08,1.2,8.66,0,0.38,75,8.66,0,23.08,26.99,23.08,26.99,250.91000000000003

10,02:15-02:30,0,7.34,9.18,2.89,0,7.65,0,6.73,0,0,23.08,1.2,8.66,0,0.38,75,8.66,0,23.08,26.99,23.08,26.99,250.91000000000003

11,02:30-02:45,0,7.34,9.18,2.89,0,7.65,0,6.73,0,0,23.08,1.2,8.66,0,0.38,75,8.66,0,23.08,26.99,23.08,26.99,250.91000000000003

12,02:45-03:00,0,7.34,9.18,2.89,0,7.65,0,6.73,0,0,23.08,1.2,8.66,0,0.38,75,8.66,0,23.08,26.99,23.08,26.99,250.91000000000003

13,03:00-03:15,0,7.34,9.18,2.89,0,7.65,0,6.73,0,0,23.08,1.3,8.66,0,0.38,75,8.66,0,23.08,26.99,23.08,26.99,251.01

14,03:15-03:30,0,7.34,9.18,2.89,0,7.65,0,6.73,0,0,23.08,1.3,8.66,0,0.38,75,8.66,0,23.08,26.99,23.08,26.99,251.01

15,03:30-03:45,0,7.34,9.18,2.89,0,7.65,0,6.73,0,0,23.08,1.3,8.66,0,0.38,75,8.66,0,23.08,26.99,23.08,26.99,251.01

16,03:45-04:00,0,7.34,9.18,2.89,0,7.65,0,6.73,0,0,23.08,1.3,8.66,0,0.38,75,8.66,0,23.08,26.99,23.08,26.99,251.01

17,04:00-04:15,0,7.34,9.18,2.89,0,7.65,0,6.73,0,0,23.08,1.2,8.66,0,0.38,75,8.66,0,23.08,26.99,23.08,26.99,250.91000000000003

18,04:15-04:30,0,7.34,9.18,2.89,0,7.65,0,6.73,0,0,23.08,1.2,8.66,0,0.38,75,8.66,0,23.08,26.99,23.08,26.99,250.91000000000003

19,04:30-04:45,0,7.34,9.18,2.89,0,7.65,0,6.73,0,0,23.08,1.2,8.66,0,0.38,75,8.66,0,23.08,26.99,23.08,26.99,250.91000000000003

20,04:45-05:00,0,7.34,9.18,2.89,0,7.65,0,6.73,0,0,23.08,1.2,8.66,0,0.38,75,8.66,0,23.08,26.99,23.08,26.99,250.91000000000003

21,05:00-05:15,0,7.34,9.18,2.89,0,7.65,0,6.73,0,0,23.08,1.2,8.66,0,0.38,75,8.66,0,23.08,26.99,23.08,26.99,250.91000000000003

22,05:15-05:30,0,7.34,9.18,2.89,0,7.65,0,6.73,0,0,23.08,1.2,8.66,0,0.38,75,8.66,0,23.08,26.99,23.08,26.99,250.91000000000003

23,05:30-05:45,0,7.34,9.18,2.89,0,7.65,0,6.73,0,0,23.08,1.2,8.66,0,0.38,75,8.66,0,23.08,32,23.08,26.12,255.05

24,05:45-06:00,0,7.34,9.18,2.89,0,7.65,0,6.73,0,0,23.08,1.2,8.66,0,0.38,75,8.66,0,23.08,32,23.08,26.12,255.05

25,06:00-06:15,0,7.34,9.18,4.81,0,7.65,0,9.62,0,0,23.08,1.2,8.66,0,0.43,75,8.66,0,23.08,32,23.08,26.12,259.90999999999997

26,06:15-06:30,0,7.34,9.18,4.81,0,7.65,0,9.62,0,0,23.08,1.2,8.66,0,0.43,75,8.66,0,23.08,32,23.08,19.89,253.67999999999995

27,06:30-06:45,0,7.34,9.18,4.81,0,7.65,0,9.62,0,0,36.55,1.2,8.66,0,0.43,75,8.66,0,36.55,32,36.55,32,306.2

28,06:45-07:00,0,7.34,9.18,4.81,0,7.65,0,9.62,0,0,36.55,1.2,8.66,0,0.43,75,8.66,0,36.55,32,36.55,32,306.2

29,07:00-07:15,0,7.34,9.18,4.81,0,12.96,0,9.62,0,0,36.55,1.3,8.66,0,0.48,75,8.66,0,36.55,31,43.28,31,316.39

30,07:15-07:30,0,7.34,9.18,4.81,0,12.96,0,9.62,0,0,36.55,1.3,8.66,0,0.48,75,8.66,0,36.55,31,43.28,31,316.39

31,07:30-07:45,0,7.34,9.18,4.81,0,12.96,0,9.62,0,0,36.55,1.3,13.47,0,0.48,75,13.47,0,36.55,31,43.28,31,326.01

32,07:45-08:00,0,7.34,9.18,4.81,0,12.96,0,9.62,0,0,36.55,1.3,13.47,0,0.48,75,13.47,0,36.55,31,43.28,31,326.01

33,08:00-08:15,0,7.34,9.18,4.81,0,12.96,0,9.62,0,0,36.55,1.3,13.47,0,0.87,75,13.47,0,36.55,31,43.28,31,326.4

34,08:15-08:30,0,7.34,9.18,4.81,0,12.96,0,9.62,0,0,36.55,1.3,13.47,0,0.87,75,13.47,0,36.55,31,43.28,31,326.4

35,08:30-08:45,0,7.34,9.18,4.81,0,12.96,0,9.62,0,0,36.55,1.3,13.47,0,0.87,75,13.47,0,36.55,31,43.28,31,326.4

36,08:45-09:00,0,7.34,9.18,4.81,0,12.96,0,9.62,0,0,36.55,1.3,13.47,0,0.87,75,13.47,0,36.55,31,43.28,31,326.4

37,09:00-09:15,0,7.34,9.18,4.81,0,12.96,0,9.62,0,0,36.55,1.2,13.47,0,0.87,75,13.47,0,36.55,31,43.28,31,326.29999999999995

38,09:15-09:30,0,7.34,9.18,4.81,0,12.96,0,9.62,0,0,36.55,1.2,13.47,0,0.87,75,13.47,0,36.55,31,43.28,31,326.29999999999995

39,09:30-09:45,0,7.34,9.18,4.81,14.43,12.96,38.47,9.62,0,0,36.55,1.2,8.66,0,0.87,75,8.66,0,36.55,32,36.55,32,364.85

40,09:45-10:00,0,7.34,9.18,4.81,14.43,12.96,38.47,9.62,0,0,36.55,1.2,8.66,0,0.87,75,8.66,0,36.55,32,36.55,32,364.85

41,10:00-10:15,0,7.34,9.18,3.85,14.43,12.96,38.47,5.77,0,0,31.74,1.2,8.66,0,0.87,75,8.66,0,31.74,32,31.74,26.12,339.73

42,10:15-10:30,0,7.34,9.18,3.85,14.43,12.96,38.47,5.77,0,0,31.74,1.2,8.66,0,0.87,75,8.66,0,31.74,32,31.74,26.12,339.73

43,10:30-10:45,0,7.34,9.18,3.85,14.43,12.96,38.47,5.77,0,0,31.74,1.2,8.66,0,0.87,75,8.66,0,31.74,32,31.74,26.12,339.73

44,10:45-11:00,0,7.34,9.18,3.85,14.43,12.96,38.47,5.77,0,0,31.74,1.2,8.66,0,0.87,75,8.66,0,31.74,32,31.74,26.12,339.73

45,11:00-11:15,0,7.34,9.18,3.85,14.43,12.96,38.47,5.77,0,0,30.78,1.3,8.66,0,0.87,75,8.66,0,30.78,32,30.78,26.12,336.94999999999993

46,11:15-11:30,0,7.34,9.18,3.85,14.43,12.96,38.47,5.77,0,0,30.78,1.3,8.66,0,0.87,75,8.66,0,30.78,32,30.78,26.12,336.94999999999993

47,11:30-11:45,0,7.34,9.18,3.85,14.43,12.96,38.47,5.77,0,0,30.78,1.3,8.66,0,0.87,75,8.66,0,30.78,32,30.78,26.12,336.94999999999993

48,11:45-12:00,0,7.34,9.18,3.85,14.43,12.96,38.47,5.77,0,0,30.78,1.3,8.66,0,0.87,75,8.66,0,30.78,32,30.78,26.12,336.94999999999993

49,12:00-12:15,0,7.34,9.18,3.85,14.43,12.96,38.47,5.77,0,0,30.78,1.3,8.66,0,0.87,75,8.66,0,30.78,32,30.78,26.12,336.94999999999993

50,12:15-12:30,0,7.34,9.18,3.85,14.43,12.96,38.47,5.77,0,0,30.78,1.3,8.66,0,0.87,75,8.66,0,30.78,32,30.78,26.12,336.94999999999993

51,12:30-12:45,0,7.34,9.18,3.85,14.43,12.96,38.47,5.77,0,0,30.78,1.3,8.66,0,0.87,75,8.66,0,30.78,32,30.78,26.12,336.94999999999993

52,12:45-13:00,0,7.34,9.18,3.85,14.43,12.96,38.47,5.77,0,0,30.78,1.3,8.66,0,0.87,75,8.66,0,30.78,32,30.78,26.12,336.94999999999993

53,13:00-13:15,0,7.34,9.18,3.85,14.43,12.96,38.47,5.77,0,0,23.08,1.2,8.66,0,0.87,75,8.66,0,23.08,32,23.08,26.12,313.75

54,13:15-13:30,0,7.34,9.18,3.85,14.43,12.96,38.47,5.77,0,0,23.08,1.2,8.66,0,0.87,75,8.66,0,23.08,32,23.08,26.12,313.75

55,13:30-13:45,0,7.34,9.18,3.85,14.43,12.96,38.47,5.77,0,0,23.08,1.2,8.66,0,0.87,75,8.66,0,23.08,32,23.08,26.12,313.75

56,13:45-14:00,0,7.34,9.18,3.85,14.43,12.96,38.47,5.77,0,0,23.08,1.2,8.66,0,0.87,75,8.66,0,23.08,32,23.08,26.12,313.75

57,14:00-14:15,0,7.34,9.18,3.85,14.43,12.96,38.47,5.77,0,0,23.08,1.2,8.66,0,0.87,75,8.66,0,23.08,32,23.08,26.12,313.75

58,14:15-14:30,0,7.34,9.18,3.85,14.43,12.96,38.47,5.77,0,0,23.08,1.2,8.66,0,0.87,75,8.66,0,23.08,32,23.08,26.12,313.75

59,14:30-14:45,0,7.34,9.18,3.85,14.43,12.96,38.47,5.77,0,0,23.08,1.2,8.66,0,0.87,75,8.66,0,23.08,32,23.08,26.12,313.75

60,14:45-15:00,0,7.34,9.18,3.85,14.43,12.96,38.47,5.77,0,0,23.08,1.2,8.66,0,0.87,75,8.66,0,23.08,32,23.08,26.12,313.75

61,15:00-15:15,0,7.34,9.18,3.85,14.43,12.96,38.47,5.77,0,0,23.08,1.2,8.66,0,0.67,75,8.66,0,23.08,32,23.08,26.12,313.54999999999995

62,15:15-15:30,0,7.34,9.18,3.85,14.43,12.96,38.47,5.77,0,0,23.08,1.2,8.66,0,0.67,75,8.66,0,23.08,32,23.08,26.12,313.54999999999995

63,15:30-15:45,0,7.34,9.18,3.85,14.43,12.96,38.47,5.77,0,0,23.08,1.2,8.66,0,0.67,75,8.66,0,23.08,32,23.08,26.12,313.54999999999995

64,15:45-16:00,0,7.34,9.18,3.85,14.43,12.96,38.47,5.77,0,0,23.08,1.2,8.66,0,0.67,75,8.66,0,23.08,32,23.08,26.12,313.54999999999995

65,16:00-16:15,0,7.34,9.18,3.85,14.43,12.96,38.47,5.77,0,0,23.08,1.2,8.66,0,0.53,75,8.66,0,23.08,32,23.08,26.12,313.40999999999997

66,16:15-16:30,0,7.34,9.18,3.85,14.43,12.96,38.47,5.77,0,0,23.08,1.2,8.66,0,0.53,75,8.66,0,23.08,32,23.08,26.12,313.40999999999997

67,16:30-16:45,0,7.34,9.18,3.85,21.64,12.96,31.26,5.77,0,0,23.08,1.2,8.66,0,0.53,75,8.66,0,23.08,32,23.08,26.12,313.40999999999997

68,16:45-17:00,0,7.34,9.18,3.85,20.2,12.96,22.89,5.77,0,0,23.08,1.2,8.66,0,0.53,75,8.66,0,23.08,32,23.08,26.12,303.59999999999997

69,17:00-17:15,0,7.34,9.18,4.81,0,12.96,0,9.62,0,0,36.55,1.3,8.66,0,0.53,75,8.66,0,36.55,32,36.55,32,311.71

