Column1,Block,NR/30092023/31122025/SH-07,GNA/NR/2025/09/01/2039,NR/30092023/26122029/SH-06,GNA/NR/2025/09/01/2909,GNA/NR/2025/09/01/7452,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/09/01/5590,GNA/NR/2025/09/01/7215,GNA/NR/2025/09/01/6485,GNA/NR/2025/09/01/9418,NR/2025/34528/A/102225,GNA/NR/2025/09/01/8071,GNA/NR/2025/09/01/9239,NR/2025/29910/A/102129,NR/2025/29992/A/101850,GNA/NR/2025/09/01/7691,GNA/NR/2025/09/01/6755,GNA/NR/2025/09/01/5084,GNA/NR/2025/09/01/7205,GNA/NR/2025/09/01/4314,GNA/NR/2025/09/01/4602,NR/2025/34975/C,NR/2025/34914/C,NR/2025/34822/A/101889,NR/2025/29440/A/101724,NR/2025/34325/A/102124,NR/2025/34949/C,NR/2025/34950/C,NR/2025/34527/A/102230,NR/2025/34323/A/102126,NR/2025/34951/C/Alternate/1,NR/2025/33476/A/102185,NR/2025/34936/C,NR/2025/34945/C,NR/2025/34951/C,NR/2025/33479/A/102186,NR/2025/34944/C,NR/2025/34853/A/102130,NR/2025/34676/A/102284,NR/2025/34324/A/102125,NR/2025/34946/C,NR/2025/34916/C,NR/2025/34545/A/102283,NR/2025/34529/A/102238,NR/2025/34499/A/101828,NR/2025/33226/A/102285,NR/2025/34960/C,NR/2025/34712/A/101873,NR/2025/34683/A/102167,NR/2025/34615/A/102117,NR/2025/34683/A/102168,NR/2025/34713/A/101872,NR/2025/34681/A/102171,NR/2025/34681/A/102172,NR/2025/34682/A/102169,NR/2025/34710/A/101876,NR/2025/34682/A/102170,GNARE/NR/2024/12/20/3668,Total
,,BAWANA_GAS,MANIKARAN,PUNJAB,APPCPL,APPCPL,DELHI,PTC,PowerPulse,MANIKARAN,APPCPL,PTC,PTC,NDMC,APPCPL,BYPL,NDMC,NVVNL,PTC,NDMC,PTC,PTC,MHIL,MANIKARAN,DIAPL,ITCLH,APPCPL,NVVNL,NVVNL,PTC,APPCPL,NVVNL,PowerPulse,INSTINCT,APPCPL,NVVNL,PowerPulse,APPCPL,IEXL,NVVNL,APPCPL,APPCPL,PowerPulse,MANIKARAN,PTC,INSTINCT,NVVNL,MES_Delhi,GMRETL,ABLWM1_AEROCITY,BRPL,ABLWM1_AEROCITY,GMRETL,OIDLWM3_AEROCITY,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,GMRETL,OIDLWM2_AEROCITY,SECI_Trader,
,,DELHI_UT,NA,DELHI_UT,NA,GOA_State,HIMACHAL_STATE,TELANGANA_State,NA,MP_State,GOA_State,GoHP_Koldam_STATE,GoHP_Rampur_STATE,NA,KERALA_State,KERALA_State,NA,NA,NA,NA,GoHP_NJPC_STATE,GoHP_Koldam_STATE,HIMACHAL_STATE,NA,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,NA,MP_State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ODISHA_STATE,MP_State,NA,NA,NA,NA,GoHP_NJPC_STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,BAWANA_GAS,MCCPL,BAWANA_GAS,ACBIL,GOA_Beneficiary,CHANJUII,NAVABHARATVL,APL_Raipur_TPP,BLAPOWER_MP,GOA_Beneficiary,GoHP_Koldam,GoHP_Rampur,JIPL,KSEB,KSEB,TRN_ENERGY,JHABUA_IPP,KWHEP,SKS_Raigarh,GoHP_NJPC,GoHP_Koldam,BSHP,DBPL,GBHHPL,ITCWIND,RKM_POWER,JP_BINA,JPNIGRIE_JNSTPP,KWHEP,JPL2,Kameng,APL_Raipur_TPP,JPL2,JPL2,Kameng,APL_Raipur_TPP,RKM_POWER,ORSISL,JP_BINA,RKM_POWER,RKM_POWER,APL_Raipur_TPP,DBPL,GoHP_NJPC,JPL2,JPNIGRIE_JNSTPP,NTPCREL_PSS2_KPS2_S,JNEPL_BKN2,TESPL_BKN2,TS1PL_BKN,TCSPL_BKN2,JGCPL_BKN2,TESPL_BKN2,TCSPL_BKN2,TESPL_BKN2,JNEPL_BKN2,TCSPL_BKN2,APSEPL_FTG,
,,HARYANA_STATE,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,HARYANA,BRPL,PUNJAB,BRPL,BRPL,TPDDL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,BYPL,BYPL,NDMC,BRPL,BRPL,NDMC,BRPL,BRPL,MHIL,BRPL,DIAPL,ITCLH,NDMC,TPDDL,TPDDL,BRPL,NDMC,TPDDL,TPDDL,BRPL,NDMC,TPDDL,TPDDL,NDMC,MES_Delhi,TPDDL,NDMC,NDMC,TPDDL,BRPL,BRPL,BRPL,TPDDL,MES_Delhi,DTCP,ABLWM1_AEROCITY,BRPL,ABLWM1_AEROCITY,MAX_HPTL,OIDLWM3_AEROCITY,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,BLKMH,OIDLWM2_AEROCITY,TPDDL,
,,North-North,West-North,North-North,West-North,West-North,North-North,South-East-West-North,West-North,West-North,West-North,North-North,North-North,East-North,South-West-North,South-West-North,West-North,West-North,North-North,West-North,North-North,North-North,North-North,West-North,North-North,South-West-North,West-North,West-North,West-North,North-North,West-North,North East-East-West-North,West-North,West-North,West-North,North East-East-North,West-North,West-North,East-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,
1,00:00-00:15,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,40.96,28.67,17.35,192.74,44.33,8.67,20.48,0,8.67,20.48,0,0.93,0,12.53,0.87,18.04,0,0,61.44,24.09,192.74,96.37,0,0,0,0,0,4.82,48.18,18.04,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1303.16

2,00:15-00:30,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,40.96,28.67,17.35,192.74,44.33,8.67,20.48,0,8.67,20.48,0,0.93,0,12.53,0.87,18.04,0,0,61.44,24.09,192.74,96.37,0,0,0,0,0,4.82,48.18,18.04,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1303.16

