Block,Time,JHAJJAR,KGSU3AND4,KUDGI,NLCIIST2,RIHAND3,TelanganaSTPP,AURY_CRF,BRBCL,DHAULIGNGA,KGSU1AND2,KISHANGANGA,NJPC,NLCEXP,RAMPUR,RIHAND2,URI,AURY_GF,CHAMERA1,DADRT2,KKNP,NTPL,RIHAND1,SIMHST2,TANDA2,BSIUL,NLCIIST1,RAPPC,RSTPSU7,SASAN,TALST2,UNCHAHAR4,ANTA_GF,AURY_RF,DULHASTI,FSTPP I & II,MAPS,RAPPB,SINGRAULI,URI2,ANTA_CRF,ANTA_RF,CHAMERA2,KHSTPP-I,KOLDAM,SALAL,TALA,TANAKPUR,CHAMERA3,KKNPPU2,PARBATI3,SEWA2,SINGRAULI_HYDRO,TEHRI,UNCHAHAR1,UNCHAHAR2,UNCHAHAR3,VALLURNTECL,ANTA_LF,AURY_LF,DADRI_LF,KHSTPP-II,KOTESHWR,NAPP,NLCTS2EXP,NNTPP,RSTPSU1TO6,SIMHST1,DADRI_CRF,DADRI_GF,DADRI_RF
1,00:00-00:15,434.65,0,0,0,62.16,0,0,15,0,0,0,0,0,0,118.76,0,0,0,683.14,0,0,92,0,0,0,0,26.14,0,348.98,0,0,0,70.81,16.48,20.8,0,0,139.69,4.31,0,43.99,0,33.38,0,1.4,0,5.76,0,0,0,0,0.65,26.59,19.98,42.39,26.4,0,0,0,0,148.3,17.75,43.68,0,0,0,0,0,0,90.42

2,00:15-00:30,434.65,0,0,0,62.16,0,0,15,0,0,0,0,0,0,118.76,0,0,0,683.14,0,0,92,0,0,0,0,26.14,0,348.98,0,0,0,70.81,16.48,20.8,0,0,139.69,4.31,0,43.99,0,33.38,0,1.4,0,5.76,0,0,0,0,0.65,13.29,19.98,42.39,26.4,0,0,0,0,148.3,17.75,43.68,0,0,0,0,0,0,90.42

3,00:30-00:45,434.65,0,0,0,62.16,0,0,15,0,0,0,0,0,0,118.76,0,0,0,683.14,0,0,92,0,0,0,0,26.14,0,348.98,0,0,0,70.81,16.48,20.8,0,0,139.69,4.31,0,44.21,0,33.38,0,1.4,0,5.76,0,0,0,0,0.65,13.29,19.98,42.39,26.4,0,0,0,0,148.3,17.75,43.68,0,0,0,0,0,0,90.42

4,00:45-01:00,434.65,0,0,0,62.16,0,0,15,0,0,0,0,0,0,118.76,0,0,0,683.14,0,0,92,0,0,0,0,26.14,0,348.98,0,0,0,70.81,16.48,20.8,0,0,139.69,4.31,0,44.21,0,33.38,0,1.4,0,5.76,0,0,0,0,0.65,13.29,19.98,42.39,26.4,0,0,0,0,148.3,17.75,43.68,0,0,0,0,0,0,90.42

5,01:00-01:15,434.65,0,0,0,62.16,0,0,15,0,0,0,0,0,0,118.76,0,0,0,683.14,0,0,92,0,0,0,0,26.14,0,348.98,0,0,0,70.81,0,20.8,0,0,139.69,4.31,0,44.21,0,33.38,0,1.4,0,5.76,0,0,0,0,0.65,13.29,19.98,42.39,26.4,0,0,0,0,148.3,17.75,43.68,0,0,0,0,0,0,90.42

6,01:15-01:30,434.65,0,0,0,62.16,0,0,15,0,0,0,0,0,0,118.76,0,0,0,683.14,0,0,92,0,0,0,0,26.14,0,348.98,0,0,0,70.81,0,20.8,0,0,139.69,4.31,0,44.21,0,33.38,0,1.4,0,5.76,0,0,0,0,0.65,13.29,19.98,42.39,26.4,0,0,0,0,148.3,17.75,43.68,0,0,0,0,0,0,90.42

7,01:30-01:45,434.65,0,0,0,62.16,0,0,15,0,0,0,0,0,0,118.76,0,0,0,683.14,0,0,92,0,0,0,0,26.14,0,348.98,0,0,0,70.81,0,20.8,0,0,139.69,4.31,0,44.21,0,33.38,0,1.4,0,0,0,0,0,0,0.65,13.29,19.98,42.39,26.4,0,0,0,0,148.3,17.75,43.68,0,0,0,0,0,0,90.42

8,01:45-02:00,434.65,0,0,0,62.16,0,0,15,0,0,0,0,0,0,118.76,0,0,0,683.14,0,0,92,0,0,0,0,26.14,0,348.98,0,0,0,70.81,0,20.8,0,0,139.69,4.31,0,44.21,0,33.38,0,1.4,0,0,0,0,0,0,0.65,13.29,19.98,42.39,26.4,0,0,0,0,148.3,17.75,43.68,0,0,0,0,0,0,90.42

9,02:00-02:15,434.65,0,0,0,62.16,0,0,15,0,0,0,0,0,0,118.76,0,0,0,683.14,0,0,92,0,0,0,0,26.14,0,348.98,0,0,0,70.81,0,20.8,0,0,139.69,4.31,0,44.21,0,33.38,0,9.29,0,0,0,0,0,0,0.65,13.29,19.98,42.39,26.4,0,0,0,0,148.3,17.75,43.68,0,0,0,0,0,0,90.42

10,02:15-02:30,434.65,0,0,0,62.16,0,0,15,0,0,0,0,0,0,118.76,0,0,0,683.14,0,0,92,0,0,0,0,26.14,0,348.98,0,0,0,70.81,0,20.8,0,0,139.69,4.31,0,44.42,0,33.38,0,55.77,0,0,0,0,0,0,0.65,13.29,19.98,42.39,26.4,0,0,0,0,148.3,17.75,43.68,0,0,0,0,0,0,90.42

11,02:30-02:45,434.65,0,0,0,62.16,0,0,15,0,0,0,0,0,0,118.76,0,0,0,683.14,0,0,92,0,0,0,0,26.14,0,348.98,0,0,0,70.81,0,20.8,0,0,139.69,4.31,0,44.21,0,33.38,0,55.77,0,0,0,0,0,0,0.65,13.29,19.98,42.39,26.4,0,0,0,0,148.3,17.75,43.68,0,0,0,0,0,0,90.42

12,02:45-03:00,434.65,0,0,0,62.16,0,0,15,0,0,0,0,0,0,118.76,0,0,0,683.14,0,0,92,0,0,0,0,26.14,0,348.98,0,0,0,70.81,0,20.8,0,0,139.69,4.31,0,44.21,0,33.38,0,55.77,0,0,0,0,0,0,0.65,13.29,19.98,42.39,26.4,0,0,0,0,148.3,17.75,43.68,0,0,0,0,0,0,90.42

13,03:00-03:15,434.65,0,0,0,62.16,0,0,15,0,0,0,0,0,0,118.76,0,0,0,683.14,0,0,92,0,0,0,0,26.14,0,348.98,0,0,0,70.81,0,20.8,0,0,139.69,4.31,0,44.42,0,33.38,0,55.77,0,0,0,0,0,0,0.65,12.79,19.98,42.39,26.4,0,0,0,0,148.3,17.75,43.68,0,0,0,0,0,0,90.42

14,03:15-03:30,434.65,0,0,0,62.16,0,0,15,0,0,0,0,0,0,118.76,0,0,0,683.14,0,0,92,0,0,0,0,26.14,0,348.98,0,0,0,70.81,0,20.8,0,0,139.69,4.31,0,44.42,0,33.38,0,9.29,0,0,0,0,0,0,0.65,13.29,19.98,42.39,26.4,0,0,0,0,148.3,17.75,43.68,0,0,0,0,0,0,90.42

15,03:30-03:45,434.65,0,0,0,62.16,0,0,15,0,0,0,0,0,0,118.76,0,0,0,683.14,0,0,92,0,0,0,0,26.14,0,348.98,0,0,0,70.81,0,20.8,0,0,139.69,4.31,0,44.42,0,33.38,0,1.4,0,0,0,0,0,0,0.65,13.29,19.98,42.39,26.4,0,0,0,0,148.3,17.75,43.68,0,0,0,0,0,0,90.42

16,03:45-04:00,434.65,0,0,0,62.16,0,0,15,0,0,0,0,0,0,118.76,0,0,0,683.14,0,0,92,0,0,0,0,26.14,0,348.98,0,0,0,70.81,0,20.8,0,0,139.69,4.31,0,44.52,0,33.38,0,1.4,0,0,0,0,0,0,0.65,13.29,19.98,42.39,26.4,0,0,0,0,148.3,17.75,43.68,0,0,0,0,0,0,90.42

17,04:00-04:15,434.65,0,0,0,62.16,0,0,15,0,0,0,0,0,0,118.76,0,0,0,683.14,0,0,92,0,0,0,0,26.14,0,348.98,0,0,0,70.81,0,20.8,0,0,139.69,4.31,0,44.52,0,33.38,0,1.4,0,0,0,0,0,0,0.65,13.29,19.98,42.39,26.4,0,0,0,0,148.3,17.75,43.68,0,0,0,0,0,0,90.42

18,04:15-04:30,434.65,0,0,0,62.16,0,0,15,0,0,0,0,0,0,118.76,0,0,0,683.14,0,0,92,0,0,0,0,26.14,0,348.98,0,0,0,70.81,0,20.8,0,0,139.69,4.31,0,44.52,0,33.38,0,1.4,0,0,0,0,0,0,0.65,13.29,19.98,42.39,26.4,0,0,0,0,148.3,17.75,43.68,0,0,0,0,0,0,90.42

19,04:30-04:45,434.65,0,0,0,62.16,0,0,15,0,0,0,0,0,0,118.76,0,0,0,683.14,0,0,92,0,0,0,0,26.14,0,348.98,0,0,0,70.81,0,20.8,0,0,139.69,4.31,0,44.52,0,33.38,0,1.4,0,0,0,0,0,0,0.65,13.29,19.98,42.39,26.4,0,0,0,0,148.3,17.75,43.68,0,0,0,0,0,0,90.42

20,04:45-05:00,434.65,0,0,0,62.16,0,0,15,0,0,0,0,0,0,118.76,0,0,0,683.14,0,0,92,0,0,6.52,0,26.14,0,348.98,0,0,0,70.81,0,20.8,0,0,139.69,4.31,0,44.52,0,33.38,0,1.4,0,0,0,0,0,0,0.65,13.29,19.98,42.39,26.4,0,0,0,0,148.3,17.75,43.68,0,0,0,0,0,0,90.42

21,05:00-05:15,434.65,0,0,0,62.16,0,0,15,0,0,0,0,0,0,118.76,0,0,0,683.14,0,0,92,0,0,6.52,0,26.14,0,348.98,0,0,0,70.81,0,20.8,0,0,139.69,4.31,0,44.52,0,37.63,0,1.4,0,0,0,0,0,0,0.65,13.29,19.98,42.39,26.4,0,0,0,0,148.3,17.75,43.68,0,0,0,0,0,0,90.42

22,05:15-05:30,434.65,0,0,0,62.16,0,0,15,0,0,0,0,0,0,118.76,0,0,0,683.14,0,0,92,0,0,6.52,0,26.14,0,348.98,0,0,0,70.81,0,20.8,0,0,139.69,4.31,0,44.52,0,37.63,0,1.4,0,0,0,0,0,0,0.65,13.29,19.98,42.39,26.4,0,0,0,0,148.3,17.75,43.68,0,0,0,0,0,0,90.42

23,05:30-05:45,434.65,0,0,0,62.16,0,0,15,0,0,0,0,0,0,118.76,0,0,0,683.14,0,0,92,0,0,6.52,0,26.14,0,348.98,0,0,0,70.81,0,20.8,0,0,139.69,4.31,0,44.73,0,38.84,0,1.4,0,0,0,0,0,0,0.65,26.59,19.98,42.39,26.4,0,0,0,0,148.3,17.75,43.68,0,0,0,0,0,0,90.42

24,05:45-06:00,434.65,0,0,0,62.16,0,0,15,0,0,0,20.84,0,0,118.76,0,0,0,683.14,0,0,92,0,0,6.52,0,26.14,0,348.98,0,0,0,70.81,0,20.8,0,0,139.69,4.31,0,44.73,0,38.84,0,1.4,0,0,0,0,0,0,0.65,39.87,19.98,42.39,26.4,0,0,0,0,148.3,17.75,43.68,0,0,0,0,0,0,90.42

25,06:00-06:15,434.65,0,0,0,62.16,0,0,15,0,0,0,41.67,0,0,118.76,0,0,0,682.78,0,0,92,0,0,6.52,0,26.14,0,348.98,0,0,0,70.81,16.48,20.8,0,0,139.69,4.31,0,44.73,0,40.06,0,1.4,0,0,0,0,0,0,0.65,39.87,19.98,42.39,26.4,0,0,0,0,148.3,17.75,43.68,0,0,0,0,0,0,90.42

26,06:15-06:30,434.65,0,0,0,62.16,0,0,15,0,0,0,58.05,0,0,118.76,0,0,0,682.78,0,0,92,0,0,6.52,0,26.14,0,348.98,0,0,0,70.81,16.48,20.8,0,0,139.69,4.31,0,44.73,0,40.06,0,1.4,0,0,1.91,0,0,5.27,0.65,39.87,19.98,42.39,26.4,0,0,0,0,148.3,17.75,43.68,0,0,0,0,0,0,90.42

27,06:30-06:45,434.65,0,0,0,62.16,0,0,15,0,0,0,83.33,0,0,118.76,0,0,13.2,682.79,0,0,92,0,0,6.52,0,26.14,0,348.98,0,0,0,70.81,32.96,20.8,0,0,139.69,4.31,0,44.73,5.33,41.27,0,13.95,0,0,9.68,0,0,10.53,0.65,39.87,19.98,42.39,26.4,0,0,0,0,148.3,26.62,43.68,0,0,0,0,0,0,90.42

28,06:45-07:00,434.65,0,0,0,62.16,0,0,15,8.62,0,0,113.64,0,0,118.76,0,0,24.09,682.79,0,0,92,0,0,13.04,0,26.14,0,348.98,0,0,0,70.81,32.96,20.8,0,0,139.69,4.31,0,44.73,39.51,41.27,0,55.77,0,0,19.38,0,0,10.53,0.65,53.17,19.98,42.39,26.4,0,0,0,0,148.3,39.05,43.68,0,0,0,0,0,0,90.42

29,07:00-07:15,434.65,0,0,0,62.16,0,0,15,18.27,0,0,113.64,0,0,118.76,1.11,0,24.09,682.79,0,0,92,0,0,13.04,0,26.14,0,348.98,0,0,0,70.81,32.96,20.8,0,0,139.69,4.31,0,44.73,39.51,42.49,0,55.77,0,0,19.38,0,0,10.53,0.65,53.17,19.98,42.39,26.4,0,0,0,0,148.3,39.05,43.68,0,0,0,0,0,0,90.42

30,07:15-07:30,434.65,0,0,0,62.16,0,0,15,27.41,0,0,113.64,0,0,118.76,26.49,0,26.63,682.79,0,0,92,0,0,13.04,0,26.14,0,348.98,0,0,0,70.81,32.96,20.8,0,0,139.69,4.31,0,44.73,39.51,42.49,0,55.77,0,0,19.38,0,0,10.53,0.65,53.17,19.98,42.39,26.4,0,0,0,0,148.3,39.05,43.68,0,0,0,0,0,0,90.42

