Block,Time,RIHAND1,AURY_LF,RAPPC,DADRI_GF,KOLDAM,CHAMERA3,SINGRAULI,RAMPUR,DADRI_RF,ANTA_RF,NJPC,FSTPP I & II,TALA,BSIUL,ANTA_GF,TANAKPUR,TANDA2,KHSTPP-I,SASAN,JHAJJAR,UNCHAHAR4,PARBATI3,BRBCL,KHSTPP-II,CHAMERA2,RAPPB,ANTA_LF,URI,RIHAND3,SALAL,KISHANGANGA,DULHASTI,TEHRI,UNCHAHAR3,AURY_GF,AURY_CRF,ANTA_CRF,RIHAND2,UNCHAHAR2,UNCHAHAR1,URI2,DADRT2,DADRI_CRF,SEWA2,NAPP,SINGRAULI_HYDRO,AURY_RF,DHAULIGNGA,CHAMERA1,KOTESHWR,DADRI_LF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,84.268800,0.000000,52.010320,0.000000,0.000000,0.000000,118.143900,0.000000,0.000000,0.000000,0.000000,7.629295,0.000000,0.000000,0.000000,7.973456,0.000000,24.993360,401.014152,112.996800,0.000000,0.000000,14.363958,141.017038,0.000000,0.000000,0.000000,4.757357,118.422202,1.335277,0.000000,0.000000,0.000000,6.703200,0.000000,0.000000,0.000000,113.116500,28.361910,4.788000,23.702209,335.160000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

2,00:15-00:30,84.268800,0.000000,52.010320,0.000000,0.000000,0.000000,118.143900,0.000000,0.000000,0.000000,0.000000,7.629295,0.000000,0.000000,0.000000,7.973456,0.000000,24.993360,401.014152,112.996800,0.000000,0.000000,14.363958,141.017038,0.000000,0.000000,0.000000,4.757357,118.422202,1.335277,0.000000,0.000000,0.000000,6.703200,0.000000,0.000000,0.000000,113.116500,28.361910,4.788000,23.702209,335.160000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

3,00:30-00:45,84.268800,0.000000,52.010320,0.000000,0.000000,0.000000,118.143900,0.000000,0.000000,0.000000,0.000000,7.629295,0.000000,0.000000,0.000000,7.973456,0.000000,26.156844,401.014152,112.996800,0.000000,0.000000,14.363958,141.017038,0.000000,0.000000,0.000000,4.757357,118.422202,1.335277,0.000000,0.000000,0.000000,6.703200,0.000000,0.000000,0.000000,113.116500,17.236800,4.788000,23.702209,335.160000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

4,00:45-01:00,84.268800,0.000000,52.010320,0.000000,0.000000,0.000000,118.143900,0.000000,0.000000,0.000000,0.000000,7.629295,0.000000,0.000000,0.000000,7.973456,0.000000,24.304558,401.014152,112.996800,0.000000,0.000000,14.363958,141.017038,0.000000,0.000000,0.000000,4.757357,118.422202,1.335277,0.000000,0.000000,0.000000,6.703200,0.000000,0.000000,0.000000,113.116500,17.236800,4.788000,23.702209,335.160000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

5,01:00-01:15,84.268800,0.000000,52.010320,0.000000,0.000000,0.000000,118.143900,0.000000,0.000000,0.000000,0.000000,4.788517,0.000000,0.000000,0.000000,7.973456,0.000000,16.185556,401.014152,112.996800,0.000000,0.000000,13.931626,108.383841,0.000000,0.000000,0.000000,4.757357,118.422202,1.335277,0.000000,0.000000,0.000000,6.703200,0.000000,0.000000,0.000000,113.116500,17.236800,4.788000,15.973228,335.160000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

