Block,Time,KHSTPP-II,SASAN,TALA,BRBCL,FSTPP I & II,KUDGI,KHSTPP-I,KISHANGANGA,CHAMERA2,CHAMERA3,NJPC,UNCHAHAR4,UNCHAHAR2,URI,URI2,RAPPC,AURY_LF,KOTESHWR,SINGRAULI_HYDRO,DADRI_RF,DULHASTI,AURY_CRF,AURY_GF,SALAL,RIHAND1,BSIUL,TANAKPUR,DADRT2,ANTA_GF,ANTA_LF,SINGRAULI,RAPPB,UNCHAHAR1,TEHRI,UNCHAHAR3,SEWA2,NAPP,PARBATI3,RIHAND3,DHAULIGNGA,CHAMERA1,DADRI_LF,ANTA_CRF,JHAJJAR,AURY_RF,RAMPUR,KOLDAM,RIHAND2,DADRI_CRF,ANTA_RF,DADRI_GF,TANDA2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,142.411584,404.280558,27.531277,11.140233,19.665198,48.27,36.892384,0.000000,38.143070,28.397762,147.648759,0.000000,40.918286,45.829469,31.167746,49.371232,0.000000,7.615075,0.978809,0.000000,47.726051,0.000000,0.000000,82.003200,88.816800,12.654077,11.377432,337.886390,0.000000,0.000000,134.489874,0.000000,17.498454,35.518997,21.522241,15.257228,38.251851,18.434313,119.386794,35.325627,41.183964,0.000000,0.000000,584.873206,0.000000,0.000000,0.000000,114.037875,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

2,00:15-00:30,142.411584,404.280558,27.531277,11.140233,19.665198,48.27,36.917861,0.000000,38.143070,28.397762,147.648759,0.000000,40.918286,45.829469,31.167746,49.371232,0.000000,7.615075,0.978809,0.000000,47.726051,0.000000,0.000000,82.003200,88.816800,12.654077,11.377432,337.886390,0.000000,0.000000,134.489874,0.000000,17.498454,35.518997,21.522241,15.257228,38.251851,18.434313,119.386794,35.325627,41.183964,0.000000,0.000000,584.873206,0.000000,0.000000,0.000000,114.037875,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

3,00:30-00:45,142.411584,404.280558,27.531277,11.140233,19.665198,48.27,36.917861,0.000000,38.143070,28.397762,147.648759,0.000000,40.918286,45.829469,31.167746,49.371232,0.000000,7.615075,0.978809,0.000000,47.726051,0.000000,0.000000,82.003200,88.816800,12.654077,11.377432,337.886390,0.000000,0.000000,134.489874,0.000000,17.498454,26.639248,21.522241,15.257228,38.251851,18.434313,119.386794,35.325627,41.183964,0.000000,0.000000,584.873206,0.000000,0.000000,0.000000,114.037875,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

4,00:45-01:00,142.411584,404.280558,27.531277,11.140233,19.665198,48.27,36.917861,0.000000,38.143070,28.397762,147.648759,0.000000,40.918286,45.829469,31.167746,49.371232,0.000000,7.615075,0.978809,0.000000,47.726051,0.000000,0.000000,82.003200,88.816800,12.654077,11.377432,337.886390,0.000000,0.000000,134.489874,0.000000,17.498454,26.639248,21.522241,15.257228,38.251851,18.434313,119.386794,35.325627,41.183964,0.000000,0.000000,584.873206,0.000000,0.000000,0.000000,114.037875,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

5,01:00-01:15,142.411584,404.280558,27.531277,11.140233,19.665198,38.62,36.916896,0.000000,38.143070,28.397762,147.648759,0.000000,40.918286,45.829469,31.167746,49.371232,0.000000,5.711306,0.978809,0.000000,47.726051,0.000000,0.000000,82.003200,88.816800,12.654077,11.377432,339.006254,0.000000,0.000000,134.489874,0.000000,15.885657,26.639248,20.036587,15.257228,38.251851,18.434313,119.386794,35.325627,41.183964,0.000000,0.000000,511.329034,0.000000,0.000000,0.000000,114.037875,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

