Block,Time,URI,DHAULIGNGA,AURY_CRF,AURY_RF,RAPPB,UNCHAHAR3,UNCHAHAR2,ANTA_LF,KISHANGANGA,CHAMERA3,JHAJJAR,DADRI_GF,DADRI_RF,RIHAND2,SALAL,SEWA2,DADRI_LF,RAMPUR,URI2,NJPC,CHAMERA1,KOLDAM,ANTA_RF,SINGRAULI_HYDRO,TANDA2,BSIUL,TANAKPUR,UNCHAHAR4,NAPP,DADRI_CRF,KOTESHWR,RIHAND3,AURY_LF,ANTA_CRF,ANTA_GF,AURY_GF,UNCHAHAR1,RAPPC,FSTPP I & II,KHSTPP-I,CHAMERA2,DADRT2,KUDGI,BRBCL,RIHAND1,TALA,SASAN,TEHRI,PARBATI3,DULHASTI,SINGRAULI,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,48.030624,0.000000,0.000000,0.000000,0.000000,15.818833,40.982749,0.000000,0.000000,0.000000,532.150890,0.000000,0.000000,54.817560,2.246843,0.000000,0.000000,0.000000,30.838389,20.142311,0.000000,0.000000,0.000000,0.573341,0.000000,0.000000,4.953883,0.000000,19.411797,0.000000,8.579383,119.559926,0.000000,0.000000,0.000000,0.000000,5.208732,25.396192,20.041764,43.718696,0.000000,330.220305,1.79,18.466405,88.019808,2.558153,401.342850,0.000000,0.000000,15.931754,100.063800,95.075112,0,0,0,0,0

2,00:15-00:30,48.030624,0.000000,0.000000,0.000000,0.000000,13.139295,40.982749,0.000000,0.000000,0.000000,464.474890,0.000000,0.000000,54.817560,2.246843,0.000000,0.000000,0.000000,30.838389,20.142311,0.000000,0.000000,0.000000,0.573341,0.000000,0.000000,4.953883,0.000000,19.411797,0.000000,8.579383,119.559926,0.000000,0.000000,0.000000,0.000000,5.208732,25.396192,20.041764,43.718696,0.000000,330.220305,0.00,18.391849,88.945600,2.558153,401.342850,0.000000,0.000000,15.931754,100.063800,95.075112,0,0,0,0,0

3,00:30-00:45,9.819594,0.000000,0.000000,0.000000,0.000000,13.139295,33.473516,0.000000,0.000000,0.000000,396.798890,0.000000,0.000000,54.817560,23.591854,0.000000,0.000000,0.000000,30.838389,20.142311,0.000000,0.000000,0.000000,0.573341,0.000000,0.000000,4.953883,0.000000,19.411797,0.000000,8.579383,119.559926,0.000000,0.000000,0.000000,0.000000,5.208732,25.396192,20.041764,43.718696,0.000000,330.220305,0.00,17.840295,88.945600,2.558153,401.342850,0.000000,0.000000,15.931754,100.063800,95.075112,0,0,0,0,0

4,00:45-01:00,9.819594,0.000000,0.000000,0.000000,0.000000,13.139295,33.473516,0.000000,0.000000,0.000000,346.525290,0.000000,0.000000,54.817560,68.528718,0.000000,0.000000,0.000000,30.838389,20.142311,0.000000,0.000000,0.000000,0.573341,0.000000,0.000000,4.953883,0.000000,19.411797,0.000000,8.579383,119.559926,0.000000,0.000000,0.000000,0.000000,5.208732,25.396192,20.041764,43.718696,0.000000,296.382305,0.00,17.259888,88.945600,2.558153,401.342850,0.000000,0.000000,15.931754,100.063800,95.075112,0,0,0,0,0

5,01:00-01:15,9.819594,0.000000,0.000000,0.000000,0.000000,13.139295,33.473516,0.000000,0.000000,0.000000,346.525290,0.000000,0.000000,54.817560,68.528718,0.000000,0.000000,0.000000,30.838389,20.142311,0.000000,0.000000,0.000000,0.573341,0.000000,0.000000,11.765473,0.000000,19.411797,0.000000,8.579383,119.559926,0.000000,0.000000,0.000000,0.000000,5.208732,25.396192,20.041764,43.718696,0.000000,289.540358,0.00,17.605731,88.945600,2.558153,401.342850,0.000000,0.000000,15.931754,100.063800,95.075112,0,0,0,0,0

