Column1,Time,L_NR_2019_19,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,NR/01102023/02122045/L_NR_2021_13,GNARE/NR/2024/12/20/3668,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,WR/01102023/31032046/L_NR_2020_05,GNARE/SR/2025/01/13/4532,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2022_09,NR/01102023/06022042/L_NR_2012_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/3469,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/03/01/6891,GNA/NR/2025/03/01/4651,NR/30092023/31122025/SH-07,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/9482,GNA/SR/2025/03/01/7500,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,GNA/NR/2025/03/01/5143,NR/01102023/05012040/L_NR_2020_02,GNA/WR/2025/01/01/8625,GNA/WR/2025/01/01/9606,GNA/WR/2025/03/01/6406,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/03/01/2563
1,00:00-00:15,0,48.66,0,10.66,0,20.5,0,0,0,0,0,0,0,0,0,61.5,2.58,20.5,0,48.67,260.78,272.49,115.26,0,30.78,86.93,23.41,6.75,6.55,0,79.27,6.75,32,23.41,17.35,200,2.79,32,237.82,1.87,0,0,42,0,0,3,23.41

2,00:15-00:30,0,48.66,0,10.66,0,20.5,0,0,0,0,0,0,0,0,0,61.5,2.58,20.5,0,48.67,260.78,272.49,115.26,0,30.78,86.93,23.41,6.75,6.55,0,79.27,6.75,32,23.41,17.35,200,2.79,32,237.82,1.87,0,0,42,0,0,3,23.41

3,00:30-00:45,0,48.66,0,10.34,0,20.17,0,0,0,0,0,0,0,0,0,60.49,2.58,20.17,0,48.67,260.78,272.49,115.26,51.75,31.29,86.93,23.41,6.75,6.74,0,79.27,6.75,2.79,23.41,17.35,200,2.79,32,237.82,1.87,0,0,42,0,0,3,23.41

4,00:45-01:00,0,48.66,0,10.34,0,20.17,0,0,0,0,0,0,0,0,0,60.49,2.58,20.17,0,48.67,260.78,272.49,115.26,49.68,31.29,86.93,23.41,6.75,6.74,0,79.27,6.75,2.79,23.41,17.35,200,2.79,32,237.82,1.87,0,0,42,0,0,3,23.41

5,01:00-01:15,0,48.66,0,10,0,20,0,0,0,0,0,0,0,0,0,60,2.74,20,0,48.67,260.78,272.49,115.26,74.97,31.29,86.93,23.41,6.75,6.74,0,79.27,6.75,17.4,23.41,17.35,200,2.79,17.4,237.82,1.87,0,0,42,0,0,2.92,23.41

6,01:15-01:30,0,48.66,0,10,0,19.5,0,0,0,0,0,0,0,0,0,58.5,2.76,19.5,0,48.67,260.78,272.49,115.26,80.31,31.29,86.93,23.41,6.75,6.74,0,79.27,6.75,17.4,23.41,17.35,200,2.79,17.4,237.82,1.87,0,0,42,0,0,2.92,23.41

7,01:30-01:45,0,48.66,0,13.34,0,19.33,0,0,0,0,0,0,0,0,0,58.01,2.8,19.33,0,48.67,260.78,272.49,115.26,85.67,31.29,86.93,23.41,6.75,6.74,0,79.27,6.75,17.4,23.41,17.35,200,2.79,17.4,237.82,1.87,0,0,42,0,0,2.92,23.41

8,01:45-02:00,0,48.66,0,13.34,0,19.17,0,0,0,0,0,0,0,0,0,57.49,2.82,19.17,0,48.67,260.78,272.49,115.26,91.03,31.29,86.93,23.41,6.75,6.74,0,79.27,6.75,17.4,23.41,17.35,200,2.79,17.4,237.82,1.87,0,0,42,0,0,2.92,23.41

9,02:00-02:15,0,48.34,0,13,0,18.33,0,0,0,0,0,0,0,0,0,55.01,2.8,18.33,0,48.33,260.78,272.49,115.26,96.38,31.29,86.93,23.41,6.75,6.74,0,79.27,6.75,17.4,23.41,17.35,0,2.79,17.4,237.82,1.87,0,0,42,0,0,2.92,23.41

10,02:15-02:30,0,48.34,0,12.66,0,17.33,0,0,0,0,0,0,0,0,0,52.01,2.8,17.33,0,48.33,260.78,272.49,115.26,100.4,31.29,86.93,23.41,6.75,6.74,0,79.27,6.75,26.99,23.41,17.35,0,2.79,26.99,237.82,1.87,0,0,42,0,0,2.92,23.41

11,02:30-02:45,0,48.34,0,12.34,0,16.83,0,0,0,0,0,0,0,0,0,50.51,2.76,16.83,0,48.33,260.78,272.49,115.26,100.4,31.29,86.93,23.41,6.75,6.74,0,79.27,6.75,26.99,23.41,17.35,0,2.79,26.99,237.82,1.87,0,0,42,0,0,2.77,23.41

12,02:45-03:00,0,48.34,0,12,0,16.67,0,0,0,0,0,0,0,0,0,49.99,2.74,16.67,0,48.33,260.78,272.49,115.26,100.4,31.29,86.93,23.41,6.75,6.74,0,79.27,6.75,26.99,23.41,17.35,0,2.79,26.99,237.82,1.87,0,0,42,0,0,2.77,23.41

13,03:00-03:15,0,48,0,11.66,0,16.5,0,0,0,0,0,0,0,0,0,49.5,2.74,16.5,0,48,260.78,272.49,70.28,100.4,31.29,86.93,23.41,6.75,6.59,0,79.27,6.75,26.99,23.41,17.35,0,2.56,26.99,237.82,1.77,0,0,42,0,0,2.77,23.41

14,03:15-03:30,0,47.34,0,11.34,0,15.83,0,0,0,0,0,0,0,0,0,47.51,2.58,15.83,0,47.33,260.78,272.49,70.28,100.4,31.29,86.93,23.41,6.75,6.59,0,79.27,6.75,26.99,23.41,17.35,0,2.56,26.99,237.82,1.77,0,0,42,0,0,2.77,23.41

15,03:30-03:45,0,36.66,0,10.66,0,16,0,0,0,0,0,0,0,0,0,48,2.58,16,0,36.67,260.78,272.49,70.28,100.4,31.29,86.93,23.41,6.75,6.59,0,79.27,6.75,26.99,23.41,17.35,0,2.56,26.99,237.82,1.77,0,0,42,0,0,2.77,23.41

16,03:45-04:00,0,35.34,0,10.34,0,16.17,0,0,0,0,0,0,0,0,0,48.49,2.58,16.17,0,35.33,260.78,272.49,70.28,100.4,31.29,86.93,23.41,6.75,6.59,0,79.27,6.75,26.99,23.41,17.35,0,2.56,26.99,237.82,1.77,0,0,42,0,0,2.77,23.41

17,04:00-04:15,0,33.34,0,10.34,0,12.83,0,0,0,0,0,0,0,0,0,38.51,2.58,12.83,0,33.33,260.78,272.49,70.28,100.4,31.29,86.93,23.41,6.75,6.59,0,79.27,6.75,26.99,23.41,17.35,0,2.56,26.99,237.82,1.77,0,0,42,0,0,2.69,23.41

18,04:15-04:30,0,31.34,0,9.34,0,12.83,0,0,0,0,0,0,0,0,0,38.51,2.74,12.83,0,31.33,260.78,272.49,70.28,100.4,31.29,86.93,23.41,6.75,6.59,0,79.27,6.75,26.99,23.41,17.35,0,2.56,26.99,237.82,1.77,0,0,42,0,0,2.69,23.41

19,04:30-04:45,0,29.66,0,9,0,12.67,0,0,0,0,0,0,0,0,0,37.99,2.58,12.67,0,29.67,260.78,272.49,70.28,100.4,31.29,86.93,23.41,6.75,6.59,0,79.27,6.75,25,23.41,17.35,0,2.56,25,237.82,1.77,0,0,42,0,0,2.69,23.41

20,04:45-05:00,0,28,0,9,0,12.5,0,0,0,0,0,0,0,0,0,37.5,2.58,12.5,0,28,260.78,272.49,70.28,100.4,31.29,86.93,23.41,6.75,6.59,0,79.27,6.75,25,23.41,17.35,0,2.56,25,237.82,1.77,0,0,42,0,0,2.69,23.41

21,05:00-05:15,0,27,0,9,0,15.33,0,0,0,0,0,0,0,0,0,46.01,2.58,15.33,0,27,260.78,272.49,70.28,100.4,30.78,86.93,23.41,6.75,6.59,0,79.27,6.75,26.99,23.41,17.35,0,2.41,26.99,237.82,1.77,0,0,42,0,0,2.61,23.41

22,05:15-05:30,0,27.66,0,9,0,15.17,0,0,0,0,0,0,0,0,0,45.49,2.58,15.17,0,27.67,260.78,272.49,70.28,100.4,30.78,86.93,23.41,6.75,6.59,0,79.27,6.75,26.99,23.41,17.35,0,2.41,26.99,237.82,1.77,0,0,42,0,0,2.61,23.41

23,05:30-05:45,0,32.66,0,9,0,15.17,0,0,0,0,0,0,0,0,0,45.49,2.58,15.17,0,32.67,260.78,272.49,70.28,100.4,30.28,86.93,23.41,6.75,6.59,0,79.27,6.75,26.99,23.41,17.35,0,2.41,26.99,237.82,1.77,0,0,42,0,0,2.61,23.41

24,05:45-06:00,0,32.66,0,9.34,0,15,0,0,0,0,0,0,0,0,0,45,2.74,15,0,32.67,260.78,272.49,70.28,100.4,30.28,86.93,23.41,6.75,6.59,0,79.27,6.75,26.99,23.41,17.35,0,2.41,26.99,237.82,1.77,0,0,42,0,0,2.61,23.41

25,06:00-06:15,0,32.66,2.2,9,0.01,13.67,0,0,0,0,0,0,0,0,0,40.99,2.74,13.67,0,32.67,260.78,272.49,70.28,100.4,29.78,86.93,23.41,6.75,6.59,0,0,6.75,25,23.41,17.35,0,2.41,25,0,1.77,0,0,42,0,0,2.53,23.41

26,06:15-06:30,0.11,32.66,10.2,9.34,4.14,13,0,0,0,0,0,0,0,0,0,39,2.58,13,0,32.67,260.78,272.49,70.28,100.4,29.27,86.93,23.41,6.75,6.59,0,0,6.75,25,23.41,17.35,0,2.41,25,0,1.77,0,0,42,0,0,2.53,23.41

27,06:30-06:45,3.87,41.34,15.6,9,13.48,15.83,0,0,0,0,0,0,0,0,0,47.51,2.58,15.83,1,41.33,260.78,272.49,70.28,100.4,29.27,86.93,23.41,6.75,6.59,0.25,0,6.75,26.99,23.41,17.35,0,2.41,26.99,0,1.77,0,0,42,0.25,0.25,2.53,23.41

28,06:45-07:00,9.6,40.66,22.1,8.66,24.3,15.67,0,0,2,1,0,1,0,1,1,46.99,2.58,15.67,4,40.67,260.78,272.49,70.28,100.4,28.77,86.93,23.41,6.75,6.59,0.57,0,6.75,26.99,23.41,17.35,0,2.41,26.99,0,1.77,0,0,42,0.57,0.57,2.53,23.41

29,07:00-07:15,17.04,40.34,32.67,8.34,32.68,15.5,0,4.49,3,3,0,3,1,7,4,46.5,2.74,15.5,9,40.33,260.78,272.49,70.28,100.4,27.75,86.93,23.41,6.75,6.59,1.11,0,6.75,26.99,23.41,17.35,0,2.41,26.99,0,1.69,0,0,0,1.11,1.11,2.53,23.41

30,07:15-07:30,26.26,40,32.36,8.34,32.36,15.5,4.55,7.69,7,5,22.76,5,3,10,7,46.5,2.76,15.5,14,40,260.78,272.49,70.28,100.4,27.75,86.93,23.41,6.75,6.59,1.79,0,6.75,26.99,23.41,17.35,0,2.41,26.99,0,1.69,0,0,0,1.79,1.79,2.53,23.41

31,07:30-07:45,36.56,39.34,30.75,8.34,30.75,12.28,5.99,11.87,11,7,29.96,5,6,10,14,36.86,2.76,12.28,22,39.33,260.78,272.49,70.28,100.4,27.75,86.93,23.41,6.75,6.59,2.54,0,6.75,26.99,23.41,17.35,0,2.41,26.99,0,1.69,0,0,0,2.54,2.54,2.53,23.41

32,07:45-08:00,47.64,39.34,30.85,8.34,30.85,12.19,8.78,16.93,18,12,43.91,8,10,17,25,36.55,2.8,12.19,28,39.33,260.78,272.49,70.28,100.4,27.25,86.93,23.41,6.75,6.59,3.38,0,6.75,26.99,23.41,17.35,0,2.41,26.99,0,1.69,0,0,0,3.38,3.38,2.53,23.41

33,08:00-08:15,58.71,33,30.56,7,30.57,11.33,11.78,22.7,21,16,58.88,13,18,25,42,34.01,2.58,11.33,30.57,33,192.96,272.49,70.28,100.4,27.25,63.24,23.41,6.75,6.59,4.32,0,6.75,26.99,23.41,17.35,0,2.33,26.99,0,1.69,0,0,0,4.32,4.32,2.53,23.41

34,08:15-08:30,69.64,27,31.24,7,31.23,10.17,14.91,28.94,27,23,74.54,18,25,37,60,30.49,2.58,10.17,31.23,27,192.96,272.49,70.28,100.4,28.26,63.24,23.41,6.75,6.59,5.33,0,6.75,26.99,23.41,17.35,0,2.33,26.99,0,1.69,0,0,0,5.33,5.33,2.53,23.41

35,08:30-08:45,80.02,20.34,32.24,7,32.23,8,18.18,35.45,31,23,90.88,21,37,42,88,24,2.58,8,32.23,20.33,192.96,272.49,70.28,100.4,28.77,63.24,23.41,6.75,6.59,6.24,0,6.75,26.99,23.41,17.35,0,2.33,26.99,0,1.69,0,0,0,6.24,6.24,2.53,23.41

36,08:45-09:00,88.2,15,32.24,7,32.23,7.5,21.31,41.94,38,27,106.54,25,45,50,105,22.5,2.58,7.5,32.23,15,192.96,272.49,70.28,100.4,28.77,63.24,23.41,6.75,6.59,7.06,0,6.75,26.99,23.41,17.35,0,2.33,26.99,0,1.69,0,0,0,7.06,7.06,2.53,23.41

37,09:00-09:15,99.1,21.66,32.84,7,32.83,8.17,24.51,48.25,42,25,122.54,28,49,57,116,24.49,2.58,8.17,32.83,21.67,192.96,272.49,70.28,100.4,28.77,63.24,23.41,6.75,6.55,7.92,0,6.75,26.99,23.41,17.35,0,2.33,26.99,0,1.69,0,0,0,7.92,7.92,2.53,23.41

38,09:15-09:30,109.03,20,32.84,7,32.83,8.17,27.78,54.26,47,27,138.87,32,55,63,130,24.49,2.58,8.17,32.83,20,192.96,272.49,70.28,100.4,28.77,63.24,23.41,6.75,6.55,8.63,0,6.75,26.99,23.41,17.35,0,2.33,26.99,0,1.69,0,0,0,8.63,8.63,2.53,23.41

39,09:30-09:45,117.89,26.66,32.84,7,32.83,8.17,34,62.88,52,28,169.98,38,66,77,154,24.49,2.58,8.17,32.83,26.67,192.96,231.29,70.28,100.4,27.75,63.24,23.41,6.75,6.55,9.37,0,6.75,26.99,23.41,17.35,0,2.33,26.99,0,1.69,0,0,0,9.37,9.37,2.53,23.41

40,09:45-10:00,126.56,26,32.84,7,32.83,8.17,37.44,68.22,56,30,187.21,42,72,83,168,24.49,2.58,8.17,32.83,26,192.96,192.74,70.28,53,27.75,63.24,23.41,6.75,6.55,10.03,0,6.75,26.99,23.41,17.35,0,2.33,26.99,0,1.69,0,0,0,10.03,10.03,2.53,23.41

41,10:00-10:15,134.25,25,32.84,6.66,32.83,8.17,40.74,72.71,62,34,203.68,45,76,90,179,24.49,2.58,8.17,32.83,25,192.96,149.86,70.28,53,27.75,63.24,31.8,6.75,6.55,10.7,0,6.75,26.99,31.8,17.35,0,2.33,26.99,0,1.69,0,0,0,10.7,10.7,2.3,31.8

42,10:15-10:30,140.28,24,32.84,6.66,32.83,8.83,42.59,76.34,65,36,212.97,45,81,90,189,26.51,2.58,8.83,32.83,24,192.96,149.86,70.28,53,27.75,63.24,31.8,6.75,6.55,11.24,0,6.75,26.99,31.8,17.35,0,2.33,26.99,0,1.69,0,0,0,11.24,11.24,2.3,31.8

43,10:30-10:45,144.76,23.66,32.84,6.66,32.83,9.83,46,79.09,73,39,230,45,81,90,189,29.51,2.58,9.83,32.83,23.67,192.96,149.86,70.28,53,27.25,63.24,31.8,6.75,6.55,11.74,0,6.75,26.99,31.8,17.35,0,2.33,26.99,0,1.69,0,0,0,11.74,11.74,2.3,31.8

44,10:45-11:00,147.39,24.34,32.84,6.66,32.83,10,46,81.06,78,40,230,45,81,90,189,30,2.58,10,32.83,24.33,192.96,149.86,70.28,53,26.74,63.24,31.8,6.75,6.55,12.15,0,6.75,26.99,31.8,17.35,0,2.33,26.99,0,1.69,0,0,0,12.15,12.15,2.3,31.8

45,11:00-11:15,149.92,25,32.84,6.66,32.83,7.5,46,86.85,73,43,230,47,82,93,193,22.5,2.58,7.5,32.83,25,132.99,149.86,70.28,53,23.22,44.33,31.8,6.75,6.55,12.55,0,6.75,26.99,31.8,17.35,0,2.33,26.99,0,1.69,0,0,0,12.55,12.55,2.3,31.8

46,11:15-11:30,150.7,26,32.84,6.66,32.83,7.5,46,88.52,73,43,230,47,82,93,193,22.5,2.58,7.5,32.83,26,132.99,149.86,70.28,53,23.22,44.33,31.8,6.75,6.55,12.93,0,6.75,26.99,31.8,17.35,0,2.33,26.99,0,1.69,0,0,0,12.93,12.93,2.3,31.8

47,11:30-11:45,151.18,26,32.84,6.66,32.83,7.5,46,96.67,86,43,230,45,82,91,193,22.5,2.58,7.5,32.83,26,132.99,149.86,70.28,53,23.22,44.33,31.8,6.75,6.55,17.31,0,6.75,26.99,31.8,17.35,0,2.33,26.99,0,1.69,0,0,0,17.31,17.31,2.3,31.8

48,11:45-12:00,151.57,26.34,32.84,6.66,32.83,7.5,46,96.67,86,43,230,45,82,91,193,22.5,2.58,7.5,32.83,26.33,132.99,149.86,70.28,53,23.22,44.33,31.8,6.75,6.55,17.31,0,6.75,26.99,31.8,17.35,0,2.33,26.99,0,1.69,0,0,0,17.31,17.31,2.3,31.8

49,12:00-12:15,151.87,25,32.84,6.66,32.83,7.67,46,96.67,86,43,230,46,81,92,189,22.99,1.66,7.67,32.83,25,132.99,149.86,70.28,53,23.22,44.33,26.02,6.75,6.46,15.3,0,6.75,26.99,26.02,17.35,0,2.33,26.99,0,1.77,0,0,0,15.3,15.3,2.46,26.02

50,12:15-12:30,152.16,23.34,32.84,6.66,32.83,7,46,96.67,86,43,230,46,81,92,189,21,2.4,7,32.83,23.33,132.99,149.86,70.28,53,23.22,44.33,26.02,6.75,6.46,15.3,0,6.75,26.99,26.02,17.35,0,2.33,26.99,0,1.77,0,0,0,15.3,15.3,2.46,26.02

51,12:30-12:45,152.16,22,32.84,6.66,32.83,7,46,96.67,86,43,230,46,78,92,182,21,3.01,7,32.83,22,132.99,149.86,70.28,53,23.22,44.33,26.02,6.75,6.46,15.3,0,6.75,26.99,26.02,17.35,0,2.33,26.99,0,1.77,0,0,0,15.3,15.3,2.46,26.02

52,12:45-13:00,151.96,20.34,32.84,6.66,32.83,7,46,96.67,86,43,230,46,78,92,182,21,3.58,7,32.83,20.33,132.99,149.86,70.28,53,23.22,44.33,26.02,6.75,6.46,15.3,0,6.75,26.99,26.02,17.35,0,2.33,26.99,0,1.77,0,0,0,15.3,15.3,2.46,26.02

