Block,Time,DADRT2,DULHASTI,KUDGI,NJPC,RAPPB,RIHAND1,SIMHST2,TALA,AURY_CRF,AURY_LF,DADRI_GF,CHAMERA3,KHSTPP-I,KISHANGANGA,TANAKPUR,AURY_RF,BSIUL,CHAMERA2,KGSU3AND4,KOTESHWR,MAPS,NLCTS2EXP,PARBATI3,RSTPSU1TO6,SEWA2,SINGRAULI,UNCHAHAR1,ANTA_RF,KGSU1AND2,KKNPPU2,RAMPUR,SASAN,SINGRAULI_HYDRO,UNCHAHAR4,FSTPP I & II,NLCEXP,NLCIIST1,RSTPSU7,TALST2,UNCHAHAR2,UNCHAHAR3,URI2,ANTA_GF,DADRI_LF,BRBCL,DHAULIGNGA,KHSTPP-II,NTPL,RIHAND2,RIHAND3,SALAL,ANTA_LF,AURY_GF,DADRI_CRF,CHAMERA1,JHAJJAR,KKNP,NAPP,TEHRI,TelanganaSTPP,URI,ANTA_CRF,DADRI_RF,KOLDAM,NLCIIST2,NNTPP,RAPPC,SIMHST1,TANDA2,VALLURNTECL
1,00:00-00:15,341.57,32.96,0,42.62,0,92,0,0,0,0,0,0,44.31,0,12.68,69.5,0,2,0,8.87,0,0,0,0,0,139.68,20.56,42.74,0,0,0,418.77,0,0,20.8,0,0,0,0,42.4,26.39,4.57,0,21.92,15,9.11,148.3,0,118.76,60.02,12.78,0,0,0,0,654.31,0,41.76,14.93,0,2.21,0,66.85,0,0,0,51.9,0,0,0

2,00:15-00:30,341.57,32.96,0,42.62,0,92,0,0,0,0,0,0,44.31,0,12.68,69.5,0,2,0,8.87,0,0,0,0,0,139.68,20.56,42.74,0,0,0,418.77,0,0,20.8,0,0,0,0,42.4,26.39,4.57,0,21.92,15,9.11,148.3,0,118.76,60.02,12.78,0,0,0,0,654.31,0,41.76,14.93,0,2.21,0,66.85,0,0,0,51.9,0,0,0

3,00:30-00:45,341.57,32.96,0,23.39,0,92,0,0,0,0,0,0,44.31,0,7.68,69.5,0,2,0,8.87,0,0,0,0,0,139.68,20.56,42.74,0,0,0,418.77,0,0,20.8,0,0,0,0,42.4,26.39,4.57,0,21.92,15,9.11,148.3,0,118.76,60.02,12.78,0,0,0,0,654.31,0,41.76,14.93,0,2.21,0,66.85,0,0,0,51.9,0,0,0

4,00:45-01:00,341.57,32.96,0,23.39,0,92,0,0,0,0,0,0,44.31,0,7.68,69.5,0,2,0,8.87,0,0,0,0,0,139.68,20.56,42.74,0,0,0,418.77,0,0,20.8,0,0,0,0,42.4,26.39,4.57,0,21.92,15,9.11,148.3,0,118.76,60.02,12.78,0,0,0,0,654.31,0,41.76,14.93,0,2.21,0,66.85,0,0,0,51.9,0,0,0

5,01:00-01:15,341.57,32.96,0,23.39,0,92,0,0,0,0,0,0,44.31,0,7.68,69.5,0,2,0,8.87,0,0,0,0,0,139.68,20.56,42.74,0,0,0,418.77,0,0,20.8,0,0,0,0,42.4,26.39,4.57,0,21.92,15,1.32,148.3,0,118.76,60.02,2.33,0,0,0,0,654.31,0,41.76,14.93,0,2.21,0,66.85,0,0,0,51.9,0,0,0

6,01:15-01:30,341.57,32.96,0,23.39,0,92,0,0,0,0,0,0,44.31,0,7.68,69.5,0,2,0,8.87,0,0,0,0,0,139.68,20.56,42.74,0,0,0,418.77,0,0,20.8,0,0,0,0,42.4,26.39,4.57,0,21.92,15,1.32,148.3,0,118.76,60.02,2.33,0,0,0,0,654.31,0,41.76,14.93,0,2.21,0,66.85,0,0,0,51.9,0,0,0

7,01:30-01:45,341.57,32.96,0,23.39,0,92,0,0,0,0,0,0,44.31,0,7.68,69.5,0,2,0,8.87,0,0,0,0,0,139.68,20.56,42.74,0,0,0,418.77,0,0,20.8,0,0,0,0,42.4,26.39,4.57,0,21.92,15,1.32,148.3,0,118.76,85.74,17.44,0,0,0,0,654.31,0,41.76,14.93,0,2.21,0,66.85,0,0,0,51.9,0,0,0

8,01:45-02:00,341.57,32.96,0,23.39,0,92,0,0,0,0,0,0,44.31,0,7.68,69.5,0,2,0,8.87,0,0,0,0,0,139.68,20.56,42.74,0,0,0,418.77,0,0,20.8,0,0,0,0,42.4,26.39,4.57,0,21.92,15,1.32,148.3,0,118.76,92.34,79.38,0,0,0,0,654.31,0,41.76,14.93,0,2.21,0,66.85,0,0,0,51.9,0,0,0

9,02:00-02:15,341.57,32.96,0,23.39,0,92,0,0,0,0,0,0,44.31,0,12.68,69.5,0,2,0,8.87,0,0,0,0,0,139.68,20.56,42.74,0,0,0,418.77,0,0,20.8,0,0,0,0,42.4,26.39,4.57,0,21.92,15,1.32,148.3,0,118.76,92.34,79.38,0,0,0,0,654.31,0,41.76,14.93,0,2.21,0,66.85,0,0,0,51.9,0,0,0

