Block,Time,ANTA_GF,DULHASTI,DHAULIGNGA,CHAMERA3,NAPP,AURY_RF,SEWA2,AURY_GF,RIHAND3,RAPPB,SINGRAULI,TANAKPUR,UNCHAHAR1,PARBATI3,DADRI_RF,UNCHAHAR4,BSIUL,DADRI_LF,DADRI_GF,URI,AURY_CRF,DADRT2,RIHAND2,ANTA_RF,ANTA_LF,CHAMERA2,AURY_LF,NJPC,TANDA2,KOTESHWR,RAMPUR,ANTA_CRF,UNCHAHAR2,RAPPC,CHAMERA1,RIHAND1,TEHRI,UNCHAHAR3,SINGRAULI_HYDRO,KOLDAM,SALAL,KISHANGANGA,DADRI_CRF,JHAJJAR,URI2,KHSTPP-II,FSTPP I & II,KHSTPP-I,TALA,BRBCL,KUDGI,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,47.726051,35.325627,28.397762,38.045642,0.140949,15.257228,0.000000,119.386794,0.000000,134.489874,11.377432,19.295795,29.494901,7.140967,0.000000,18.945010,0.000000,0.000000,45.829469,0.000000,642.795393,114.037875,0.000000,0.000000,38.143070,0.000000,147.648759,0.000000,5.711306,0.000000,0.000000,40.923403,49.371232,41.183964,88.816800,35.518997,25.477003,0.960341,0.000000,82.003200,0.000000,0.000000,630.551107,31.687208,142.411584,20.012742,30.445725,27.531277,11.140233,62.75,404.129183,0,0,0,0,0

2,00:15-00:30,0.000000,47.726051,35.325627,28.397762,38.045642,0.000000,15.257228,0.000000,119.386794,0.000000,134.489874,11.377432,19.298346,29.494901,7.140967,0.000000,18.945010,0.000000,0.000000,45.829469,0.000000,675.026553,114.037875,0.000000,0.000000,38.143070,0.000000,147.648759,0.000000,5.711306,0.000000,0.000000,40.923403,49.371232,41.183964,88.816800,35.518997,25.477003,0.960341,0.000000,82.003200,0.000000,0.000000,630.551107,31.687208,142.411584,20.012742,30.471886,27.531277,11.140233,57.92,404.280558,0,0,0,0,0

3,00:30-00:45,0.000000,47.726051,35.325627,28.397762,38.045642,0.000000,15.257228,0.000000,119.386794,0.000000,134.489874,11.377432,19.298346,29.494901,7.140967,0.000000,18.945010,0.000000,0.000000,45.829469,0.000000,663.017371,114.037875,0.000000,0.000000,38.143070,0.000000,147.648759,0.000000,5.711306,0.000000,0.000000,40.923403,49.371232,41.183964,88.816800,26.639248,25.477003,0.960341,0.000000,82.003200,0.000000,0.000000,630.551107,31.687208,142.411584,20.012742,30.471886,27.531277,11.140233,57.92,404.280558,0,0,0,0,0

4,00:45-01:00,0.000000,47.726051,35.325627,28.397762,38.045642,0.000000,15.257228,0.000000,119.386794,0.000000,134.489874,11.377432,19.298346,29.494901,7.140967,0.000000,18.945010,0.000000,0.000000,45.829469,0.000000,663.017371,114.037875,0.000000,0.000000,38.143070,0.000000,147.648759,0.000000,5.711306,0.000000,0.000000,40.923403,49.371232,41.183964,88.816800,26.639248,25.477003,0.960341,0.000000,82.003200,0.000000,0.000000,630.551107,31.687208,142.411584,20.012742,30.471886,27.531277,11.140233,57.92,404.280558,0,0,0,0,0

5,01:00-01:15,0.000000,47.726051,35.325627,28.397762,38.045642,0.000000,15.257228,0.000000,119.386794,0.000000,134.489874,11.377432,19.298346,29.494901,7.140967,0.000000,18.945010,0.000000,0.000000,45.829469,0.000000,663.017371,114.037875,0.000000,0.000000,38.143070,0.000000,147.648759,0.000000,5.711306,0.000000,0.000000,40.923403,49.371232,41.183964,88.816800,26.639248,25.477003,0.960341,0.000000,82.003200,0.000000,0.000000,630.551107,31.687208,142.411584,20.012742,30.471886,27.531277,11.140233,48.27,401.847750,0,0,0,0,0

6,01:15-01:30,0.000000,47.726051,35.325627,28.397762,38.045642,0.000000,10.192075,0.000000,119.386794,0.000000,134.489874,11.377432,19.298346,29.494901,7.140967,0.000000,18.945010,0.000000,0.000000,45.829469,0.000000,663.017371,114.037875,0.000000,0.000000,38.143070,0.000000,147.648759,0.000000,5.711306,0.000000,0.000000,40.923403,49.371232,41.183964,88.816800,17.272937,25.477003,0.960341,0.000000,82.003200,0.000000,0.000000,630.551107,31.687208,142.411584,20.012742,30.471886,27.531277,11.140233,48.27,401.847750,0,0,0,0,0

