Block,Time Block,KOLDAM,KOTESHWR,KKNPPU2,KISHANGANGA,KHSTPP-II,KKNP,KHSTPP-I,KGSU3AND4,KGSU1AND2,DHAULIGNGA,FSTPP I & II,DULHASTI,JHAJJAR,DADRT2,CHAMERA3,CHAMERA2,DADRI_GF,DADRI_RF,DADRI_CRF,AURY_RF,DADRI_LF,BSIUL,CHAMERA1,BRBCL,PARBATI2,PARBATI3,NNTPP,NTPL,ANTA_LF,AURY_LF,UNCHAHAR3,URI2,ANTA_GF,AURY_CRF,UNCHAHAR2,AURY_GF,URI,ANTA_CRF,ANTA_RF,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,NLCEXP,NLCIIST1,NJPC,NLCIIST2,KUDGI,NLCTS2EXP,MAPS,NAPP,SASAN,TALST2,SIMHST1,SINGRAULI_HYDRO,TANAKPUR,TelanganaSTPP,SIMHST2,RSTPSU7,TALA,SALAL,SEWA2,SINGRAULI,TEHRI,TANDA2,RIHAND2,RIHAND1,RAMPUR,RSTPSU1TO6,RAPPC,RIHAND3,RAPPB,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,4.58,10.02,0,8.24,142.74,0,43.49,0,0,10.52,11.26,19.07,275.24,469.51,0,15.64,0,0,0,0,0,12.55,40.57,19.25,0,16.23,0,0,0,0,25.63,38.14,0,0,42.13,0,50.4,0,0,20.21,1.81,0,0,0,79.78,0,0,0,0,49.92,335.89,0,0,0.94,0,0,0,0,0,25.73,18.17,144.62,12.19,1.84,119.86,92.87,3.15,0,65.05,125.85,0,0,0,0,0,0

2,00:15-00:30,4.58,10.02,0,8.24,142.74,0,43.82,0,0,10.52,11.26,19.07,254.79,547.82,0,15.64,0,0,0,0,0,12.55,40.57,18.44,0,16.23,0,0,0,0,25.63,38.14,0,0,42.13,0,50.4,0,0,20.21,1.81,0,0,0,79.78,0,0,0,0,49.92,335.89,0,0,0.94,0,0,0,0,0,25.73,18.17,144.62,12.19,1.84,119.86,93.54,3.15,0,65.05,125.85,0,0,0,0,0,0

3,00:30-00:45,4.58,10.02,0,8.24,142.74,0,43.82,0,0,10.52,11.26,19.07,232.65,547.82,0,15.64,0,0,0,0,0,6.28,40.57,15.53,0,16.23,0,0,0,0,25.63,38.14,0,0,42.13,0,50.4,0,0,20.21,1.81,0,0,0,79.78,0,0,0,0,49.92,335.89,0,0,0.94,0.74,0,0,0,0,25.73,18.17,144.62,0,1.84,119.86,82.85,3.15,0,65.05,125.85,0,0,0,0,0,0

4,00:45-01:00,4.58,10.02,0,8.24,142.74,0,43.82,0,0,10.52,11.26,19.07,235.82,509.32,0,15.64,0,0,0,0,0,6.28,40.57,13.36,0,16.23,0,0,0,0,25.63,38.14,0,0,42.13,0,50.4,0,0,20.21,1.81,0,0,0,79.78,0,0,0,0,49.92,335.89,0,0,0.94,6.03,0,0,0,0,25.73,18.17,144.62,0,1.84,119.86,82.85,3.15,0,65.05,125.85,0,0,0,0,0,0

5,01:00-01:15,4.58,10.02,0,8.24,142.74,0,43.82,0,0,10.52,11.26,19.07,232.65,547.82,0,15.64,0,0,0,0,0,12.55,27.05,10.88,0,16.23,0,0,0,0,25.63,36.3,0,0,42.13,0,50.4,0,0,20.21,1.81,0,0,0,79.78,0,0,0,0,49.92,335.89,0,0,0.94,6.03,0,0,0,0,25.73,18.17,144.62,0,1.84,119.86,82.85,3.15,0,65.05,125.85,0,0,0,0,0,0

6,01:15-01:30,4.58,10.02,0,8.24,142.74,0,43.82,0,0,10.52,11.26,19.07,232.65,547.82,0,15.64,0,0,0,0,0,12.55,27.05,11.37,0,16.23,0,0,0,0,25.63,36.3,0,0,42.13,0,50.4,0,0,20.21,1.81,0,0,0,79.78,0,0,0,0,49.92,335.89,0,0,0.94,6.03,0,0,0,0,25.73,18.17,144.62,0,1.84,119.86,82.85,3.15,0,65.05,125.85,0,0,0,0,0,0

7,01:30-01:45,4.58,10.02,0,8.24,142.74,0,43.82,0,0,10.52,11.26,19.07,235.82,547.82,0,15.64,0,0,0,0,0,12.55,27.05,12.28,0,16.23,0,0,0,0,25.63,36.3,0,0,42.13,0,50.4,0,0,20.21,1.81,0,0,0,79.78,0,0,0,0,49.92,335.89,0,0,0.94,6.03,0,0,0,0,25.73,18.17,144.62,0,1.84,119.86,72.35,3.15,0,65.05,125.85,0,0,0,0,0,0

8,01:45-02:00,4.58,10.02,0,8.24,142.74,0,43.82,0,0,10.52,11.26,19.07,235.82,509.34,0,0,0,0,0,0,0,12.55,13.52,11.69,0,16.23,0,0,0,0,25.63,36.3,0,0,42.13,0,50.4,0,0,20.21,1.81,0,0,0,79.78,0,0,0,0,49.92,335.89,0,0,0.94,6.03,0,0,0,0,25.73,18.17,144.62,0,1.84,119.86,72.35,3.15,0,65.05,125.85,0,0,0,0,0,0

9,02:00-02:15,0,10.02,0,8.24,142.74,0,43.82,0,0,10.52,11.26,19.07,430.25,451.71,0,0,0,0,0,0,0,6.28,13.52,11.32,0,16.23,0,0,0,0,25.63,36.3,0,0,42.13,0,50.4,0,0,20.21,1.81,0,0,0,79.78,0,0,0,0,49.92,335.89,0,0,0.94,6.03,0,0,0,0,25.73,18.17,144.62,0,1.84,119.86,78.03,3.15,0,65.05,125.85,0,0,0,0,0,0

10,02:15-02:30,0,10.02,0,8.24,142.74,0,43.82,0,0,10.52,11.26,19.07,430.25,432.46,0,0,0,0,0,0,0,6.28,13.52,12.08,0,16.23,0,0,0,0,25.63,36.3,0,0,42.13,0,50.4,0,0,20.21,1.81,0,0,0,79.78,0,0,0,0,49.92,335.89,0,0,0.94,6.03,0,0,0,0,25.73,18.17,144.62,0,1.84,119.86,78.25,3.15,0,65.05,125.85,0,0,0,0,0,0

11,02:30-02:45,0,10.02,0,8.24,142.74,0,43.82,0,0,10.52,11.26,19.07,381.28,432.46,0,0,0,0,0,0,0,6.28,0,12.2,0,16.23,0,0,0,0,25.59,36.3,0,0,18.94,0,50.4,0,0,20.2,1.78,0,0,0,79.78,0,0,0,0,49.92,335.89,0,0,0.94,6.03,0,0,0,0,25.73,18.17,144.62,0,1.84,119.86,78.25,3.15,0,65.05,125.85,0,0,0,0,0,0

12,02:45-03:00,0,10.02,0,8.24,142.74,0,43.82,0,0,10.52,11.26,19.07,381.28,432.46,0,0,0,0,0,0,0,6.28,0,13.15,0,16.23,0,0,0,0,25.59,36.3,0,0,18.94,0,50.4,0,0,20.2,1.78,0,0,0,79.78,0,0,0,0,49.92,335.89,0,0,0.94,0.74,0,0,0,0,25.73,18.17,144.62,0,1.84,119.86,78.25,3.15,0,65.05,125.85,0,0,0,0,0,0

13,03:00-03:15,0,10.02,0,8.24,142.74,0,43.82,0,0,10.52,9.41,19.07,351.34,362.04,0,0,0,0,0,0,0,6.28,0,12.78,0,16.23,0,0,0,0,20.49,36.3,0,0,18.94,0,46.75,0,0,16.17,1.78,0,0,0,79.78,0,0,0,0,49.92,335.89,0,0,0.94,0,0,0,0,0,25.73,18.17,144.62,0,1.84,119.86,78.25,3.15,0,65.05,125.85,0,0,0,0,0,0

14,03:15-03:30,0,10.02,0,8.24,114.53,0,35.16,0,0,10.52,9.41,19.07,351.34,362.04,0,0,0,0,0,0,0,6.28,0,16.75,0,16.23,0,0,0,0,20.49,36.3,0,0,18.94,0,46.75,0,0,16.17,0.96,0,0,0,53.19,0,0,0,0,49.92,335.89,0,0,0.94,0,0,0,0,0,76.4,18.17,144.62,0,1.66,119.86,78.25,2.1,0,65.05,125.85,0,0,0,0,0,0

15,03:30-03:45,0,10.02,0,8.24,114.53,0,35.16,0,0,10.52,9.41,19.07,351.34,362.04,0,0,0,0,0,0,0,6.28,0,16.09,0,16.23,0,0,0,0,20.49,36.3,0,0,18.94,0,46.75,0,0,16.17,0.96,0,0,0,53.19,0,0,0,0,49.92,335.89,0,0,0.94,0,0,0,0,0,76.4,18.17,144.62,0,1.66,119.86,78.25,2.1,0,65.05,125.85,0,0,0,0,0,0

16,03:45-04:00,0,10.02,0,8.24,114.53,0,35.16,0,0,10.52,9.41,19.07,351.34,362.04,0,0,0,0,0,0,0,6.28,0,18.69,0,16.23,0,0,0,0,20.49,36.3,0,0,18.94,0,46.75,0,0,16.17,0.96,0,0,0,53.19,0,0,0,0,49.92,335.89,0,0,0.94,0,0,0,0,0,76.4,18.17,144.62,12.19,1.66,119.86,78.25,2.1,0,65.05,125.85,0,0,0,0,0,0

17,04:00-04:15,0,10.02,0,8.24,114.53,0,35.16,0,0,10.52,9.41,19.07,351.34,362.04,0,0,0,0,0,0,0,6.28,0,19.25,0,16.23,0,0,0,0,16.02,36.3,0,0,18.15,0,46.75,0,0,12.07,0.96,0,0,0,53.19,0,0,0,0,49.92,335.89,0,0,0.94,0,0,0,0,0,76.4,18.17,144.62,12.19,1.66,119.86,78.25,2.1,0,65.05,125.85,0,0,0,0,0,0

18,04:15-04:30,0,10.02,0,8.24,114.53,0,35.16,0,0,10.52,9.41,19.07,351.34,362.04,0,0,0,0,0,0,0,6.28,0,19.25,0,16.23,0,0,0,0,16.02,36.3,0,0,18.15,0,46.75,0,0,12.07,0.96,0,0,0,53.19,0,0,0,0,49.92,335.89,0,0,0.94,0,0,0,0,0,25.73,18.17,144.62,24.37,1.66,119.86,78.25,2.1,0,65.05,125.85,0,0,0,0,0,0

19,04:30-04:45,0,10.02,0,8.24,114.53,0,35.16,0,0,10.52,9.41,19.07,351.34,362.04,0,15.64,0,0,0,0,17.09,6.28,0,19.25,0,16.23,0,0,0,0,17.13,36.3,0,0,17.6,0,46.75,0,0,13.48,0.96,0,0,0,53.19,0,0,0,0,49.92,335.89,0,0,0.94,0,0,0,0,0,25.73,18.17,144.62,24.37,1.66,119.86,78.25,2.1,0,65.05,125.85,0,0,0,0,0,0

20,04:45-05:00,0,10.02,0,8.24,114.53,0,35.16,0,0,10.52,9.41,19.07,351.34,362.04,0,31.27,0,0,0,0,17.09,6.28,0,19.25,0,16.23,0,0,0,0,17.13,36.3,0,0,17.6,0,46.75,0,0,13.48,0.96,0,0,0,53.19,0,0,0,0,49.92,335.89,0,0,0.94,0,0,0,0,0,25.73,18.17,144.62,24.37,1.66,119.86,78.25,2.1,0,65.05,125.85,0,0,0,0,0,0

