Column1,Block,NR/2024/23268/C,NR/2024/23214/A/38542,GNARE/SR/2024/09/24/6792,NR/2024/23213/A/38544,NR/2024/23283/C,NR/2024/23038/A/38470,NR/2024/22803/A/38735,NR/2024/23217/A/38669,NR/2024/23122/A/38730,NR/2024/22820/A/38476,NR/2024/21658/A/38471,NR/2024/23269/C,NR/2024/22848/A/38746,NR/2024/23119/A/38731,NR/2024/23121/A/38732,NR/2024/22835/A/38804,NR/2024/23276/C,NR/2024/22874/A/38734,NR/2024/23277/C,NR/2024/23278/C,NR/2024/23118/A/38729,NR/2024/22754/A/38683,NR/2024/23270/C,NR/2024/23266/C,GNA/NR/2024/09/24/5398,GNA/NR/2024/09/01/7119,NR/30092023/26122029/SH-06,GNA/NR/2024/09/24/2277,GNA/NR/2024/09/24/4602,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/6566,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/16/2535,GNA/NR/2024/09/01/8090,NR/2024/23286/C,NR/2024/23286/C/Alternate/1,NR/2024/23286/C/Alternate/3,Total
,,NVVNL,SJVNL,IEXL,SJVNL,IEXL,IEXL,NVVNL,DIAPL,NVVNL,IEXL,ITCLH,NVVNL,APPCPL,NVVNL,NVVNL,MANIKARAN,DIAPL,NVVNL,HPXL,HPXL,NVVNL,PTC,NVVNL,TPDDL,HPXL,JITPL,PUNJAB,IEXL,PXIL,BAWANA_GAS,APPCPL,TPTCL,DELHI,INSTINCT,MANIKARAN,MANIKARAN,PTC,DELHI,IEXL,IEXL,IEXL,
,,NA,NA,NA,NA,TAMILNADU_State,MSEB_State,NA,HIMACHAL_STATE,NA,KARNATAKA_STATE,ANDHRA_PRADESH_STATE,NA,UTTARAKHAND_STATE,NA,NA,MSEB_State,HIMACHAL_STATE,MP_State,NA,NA,NA,HIMACHAL_STATE,NA,NA,NA,NA,DELHI_UT,TAMILNADU_State,KARNATAKA_STATE,DELHI_UT,Arunachal_State,NA,HIMACHAL_STATE,NA,MP_State,ODISHA_STATE,HIMACHAL_STATE,NA,NA,NA,NA,
,,SOLAPUR_SOLAR,RSRPL_BKN,HIRIYUR_OSTROKANNADA,TPSL_BKN2,OPGPGUNIT1TN,A_A_Energy_MH_Bio,JPNIGRIE_JNSTPP,GBHHPL,JPL2,NSLSUGAR,ITCWIND,SORANG_HEP,UTTARAKHAND,RKM_POWER,RKM_POWER,AEML,GBHHPL,JP_BINA,JHABUA_IPP,SINGOLI,TRN_ENERGY,HP,Kameng,JHAJJAR,JHABUA_IPP,JITPL,BAWANA_GAS,OPGPGUNIT1TN,JSWEL,BAWANA_GAS,Arunachal_Ben,JITPL,CHANJUII,JPL2,BLAPOWER_MP,MAADURGA_THERMAL,HP,SKS_Raigarh,HIRIYUR_OSTROKANNADA,HIRIYUR_OSTROKANNADA,HIRIYUR_OSTROKANNADA,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,MES_Delhi,NDMC,BRPL,NDMC,BRPL,MES_Delhi,TPDDL,DIAPL,NDMC,MES_Delhi,ITCLH,TPDDL,BYPL,NDMC,NDMC,BYPL,DIAPL,TPDDL,BRPL,BRPL,NDMC,BYPL,TPDDL,TPDDL,BRPL,NDMC,PUNJAB,BRPL,BRPL,HARYANA,BRPL,BRPL,TPDDL,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,BRPL,
,,West-North,North-North,South-East-North,North-North,South-West-North,West-North,West-North,North-North,West-North,South-West-North,South-West-North,North-North,North-North,West-North,West-North,West-North,North-North,West-North,West-North,North-North,West-North,North-North,North East-East-North,North-North,West-North,East-North,North-North,South-East-North,South-East-North,North-North,North East-East-North,East-North,North-North,West-North,West-North,East-North,North-North,West-North,South-West-North,South-East-North,South-East-West-North,
1,00:00-00:15,0,0,0,0,0,3.87,96.77,6.77,26.39,4.84,0.87,30,84.36,26.39,26.39,90.96,0.97,48.38,0,0,8.8,54.43,163.11,241.92,0,17.5,32,0,193.54,0,32.9,24.19,10.34,96.77,21.77,2.42,163.3,8.8,0,0,0,1518.75

2,00:15-00:30,0,0,0,0,0,3.87,96.77,6.77,26.39,4.84,0.87,30,84.36,26.39,26.39,90.96,0.97,48.38,0,0,8.8,54.43,163.11,241.92,0,17.5,32,0,193.54,0,32.9,24.19,10.34,96.77,21.77,2.42,163.3,8.8,0,0,0,1518.75

