Block,Time Block,BRBCL,BSIUL,CHAMERA3,CHAMERA2,DADRT2,KISHANGANGA,KHSTPP-I,JHAJJAR,KGSU1AND2,KHSTPP-II,KKNP,KGSU3AND4,DHAULIGNGA,FSTPP I & II,DULHASTI,NAPP,NLCIIST1,NLCEXP,NJPC,UNCHAHAR1,URI2,UNCHAHAR4,UNCHAHAR3,UNCHAHAR2,URI,VALLURNTECL,KUDGI,MAPS,KOTESHWR,KOLDAM,NTPL,PARBATI3,PARBATI2,NLCIIST2,NLCTS2EXP,NNTPP,KKNPPU2,CHAMERA1,TEHRI,TelanganaSTPP,TEHRIPSP,DADRI_GF,ANTA_LF,AURY_GF,ANTA_GF,DADRI_CRF,DADRI_RF,AURY_CRF,ANTA_CRF,AURY_RF,DADRI_LF,ANTA_RF,AURY_LF,TALST2,TANAKPUR,TANDA2,SIMHST1,SIMHST2,SINGRAULI_HYDRO,SINGRAULI,TALA,RAPPB,RSTPSU1TO6,RAPPD,RSTPSU7,SALAL,SEWA2,RIHAND3,RAMPUR,RAPPC,RIHAND2,SASAN,RIHAND1,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,14.45,12.55,33.77,47.07,199.83,8.38,38.47,127.99,0,142.74,0,0,42.21,18.12,37.23,24.09,0,0,174.37,17.8,38.72,2.3,22.13,37.71,50.4,0,0,0,10.05,10.25,0,0,0,0,0,0,0,40.57,45.82,0,64.85,0,0,0,0,0,0,0,0,0,0,0,0,0,11.46,6.14,0,0,1.12,132.66,19.18,0,0,25.16,0,82.21,0,127.41,6.78,66.15,121.42,335.89,95.35,0,0,0,0,0

2,00:15-00:30,13.42,12.55,33.77,47.07,199.83,8.38,38.47,127.99,0,142.74,0,0,42.21,16.86,37.23,24.09,0,0,174.37,17.8,38.72,2.3,22.87,37.71,50.4,0,0,0,10.05,10.25,0,0,0,0,0,0,0,40.57,45.82,0,64.85,0,0,0,0,0,0,0,0,0,0,0,0,0,11.46,6.14,0,0,1.12,132.66,19.18,0,0,25.16,0,82.21,0,127.41,6.78,66.15,121.42,335.89,95.35,0,0,0,0,0

3,00:30-00:45,13.42,12.55,33.77,47.07,170.96,8.38,38.47,127.99,0,142.74,0,0,42.21,16.86,37.23,24.09,0,0,174.37,17.8,38.72,2.3,23.3,37.71,50.4,0,0,0,10.05,10.25,0,0,0,0,0,0,0,40.57,45.82,0,64.85,0,0,0,0,0,0,0,0,0,0,0,0,0,12.33,6.14,0,0,1.12,132.66,19.18,0,0,25.16,0,82.21,0,127.41,6.78,66.15,121.42,335.89,95.35,0,0,0,0,0

4,00:45-01:00,13.53,12.55,33.77,47.07,142.08,8.38,38.47,127.99,0,142.74,0,0,42.21,16.86,37.23,24.09,0,0,174.37,14.98,38.72,2.3,19.71,31.91,50.4,0,0,0,10.05,10.25,0,0,0,0,0,0,0,40.57,45.82,0,64.85,0,0,0,0,0,0,0,0,0,0,0,0,0,12.33,6.14,0,0,1.12,132.66,19.18,0,0,25.16,0,82.21,0,127.41,6.78,66.15,121.42,335.89,95.35,0,0,0,0,0

5,01:00-01:15,13.35,12.55,33.77,47.07,103.58,8.38,38.47,127.99,0,142.74,0,0,42.21,16.86,55.69,24.09,0,0,174.37,14.98,38.72,2.3,19.71,31.91,36.12,0,0,0,10.05,10.25,0,0,0,0,0,0,0,40.57,45.82,0,64.85,0,0,0,0,0,0,0,0,0,0,0,0,0,12.33,6.14,0,0,1.12,132.66,28.41,0,0,25.16,0,82.21,0,127.41,6.78,66.15,121.42,335.89,95.35,0,0,0,0,0

