Block,Time,NR/01102023/05012040/L_NR_2020_02,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/06022042/L_NR_2012_07,NR/21072024/21072024/IEX_240721_01659,NR/01102023/22052037/LT-59,NR/01102023/15082037/GNA_NR_2012_01,WR/01102023/16072048/L_NR_2022_08,NR/01102023/30042040/GNA_LT_35,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/21072024/21072024/IEX_240720_01656,NR/30092023/26122029/SH-06,WR/01102023/29112042/L_NR_2019_05,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/01102023/19072037/LT-05,NR/16072024/31072024/NR/16072024/31072024/717758,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_36,WR/01102023/31032046/L_NR_2020_05,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/01102023/31052040/LT-31,NR/30092023/31122025/SH-07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/01102023/23072042/L_NR_2012_04,WR/01102023/30052048/L_NR_2022_10,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,WR/01102023/01102023/L_NR_2020_06,WR/01102023/24112044/L_NR_2020_07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/01102023/25122043/GNA_MEJA_DELHI,NR/21072024/21072024/IEX_240720_01622_1,WR/01102023/01102023/L_NR_2022_09,NR/01042024/31072024/LT_MEJA_DELHI,NR/01072024/31072024/R2,NR/01102023/31102037/L_NR_2019_11,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/01102023/14082046/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_17,SR/01102023/07102043/L_NR_2018_61,NR/01102023/02012046/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_16
1,00:00-00:15,6.740000,0,0,86.630000,0.000000,10.120000,100.050000,7.34,0.000000,72.030000,0.000000,96.040000,30.730000,0,96.040000,107.650000,48.020000,0,260.750000,0.000000,22.5,10.640000,0.000000,30.730000,271.550000,38.420000,96.040000,0.000000,14.67,8.730000,7.5,7.5,30.280000,13.110000,0.000000,144.060000,14.67,7.550000,24.010000,10.310000,0,0,0,0,0,0,40.01,0,0,0,0

2,00:15-00:30,6.740000,0,0,86.630000,0.000000,10.120000,100.050000,7.34,0.000000,72.030000,0.000000,96.040000,30.730000,0,96.040000,107.650000,48.020000,0,260.750000,0.000000,22.5,10.640000,0.000000,30.730000,271.550000,38.420000,96.040000,0.000000,14.67,8.730000,7.5,7.5,30.280000,13.110000,0.000000,144.060000,14.67,7.550000,24.010000,10.310000,0,0,0,0,0,0,40.01,0,0,0,0

3,00:30-00:45,6.740000,0,0,86.630000,0.000000,10.120000,100.050000,7.34,0.000000,72.030000,0.000000,96.040000,30.730000,0,96.040000,107.650000,48.020000,0,260.750000,0.000000,22.5,10.640000,0.000000,30.730000,271.550000,38.420000,96.040000,0.000000,14.67,8.730000,7.5,7.5,30.280000,13.110000,0.000000,144.060000,14.67,7.550000,24.010000,10.310000,0,0,0,0,0,0,40.01,0,0,0,0

4,00:45-01:00,6.740000,0,0,86.630000,0.000000,10.120000,100.050000,7.34,0.000000,72.030000,0.000000,96.040000,30.730000,0,96.040000,107.650000,48.020000,0,260.750000,0.000000,22.5,10.640000,0.000000,30.730000,271.550000,38.420000,96.040000,0.000000,14.67,8.730000,7.5,7.5,30.280000,13.110000,0.000000,144.060000,14.67,7.550000,24.010000,10.310000,0,0,0,0,0,0,40.01,0,0,0,0

5,01:00-01:15,6.560000,0,0,86.630000,0.000000,9.650000,100.050000,7.34,0.000000,72.030000,0.000000,96.040000,30.730000,0,96.040000,107.650000,48.020000,0,260.750000,0.000000,22.5,10.640000,0.000000,30.730000,271.550000,38.420000,96.040000,0.000000,14.67,8.730000,7.5,7.5,30.280000,13.110000,0.000000,0.000000,14.67,7.550000,24.010000,10.080000,0,0,0,0,0,0,40.01,0,0,0,0

6,01:15-01:30,6.560000,0,0,86.630000,0.000000,9.650000,100.050000,7.34,0.000000,72.030000,0.000000,96.040000,30.730000,0,96.040000,107.650000,48.020000,0,260.750000,0.000000,22.5,10.640000,0.000000,30.730000,271.550000,38.420000,96.040000,0.000000,14.67,8.730000,7.5,7.5,30.280000,13.110000,0.000000,0.000000,14.67,7.550000,24.010000,10.080000,0,0,0,0,0,0,40.01,0,0,0,0

7,01:30-01:45,6.560000,0,0,86.630000,0.000000,9.650000,100.050000,7.34,0.000000,72.030000,0.000000,96.040000,30.730000,0,96.040000,107.650000,48.020000,0,260.750000,0.000000,22.5,10.640000,0.000000,30.730000,271.550000,38.420000,96.040000,0.000000,14.67,8.730000,7.5,7.5,30.280000,13.110000,0.000000,0.000000,14.67,7.550000,24.010000,10.080000,0,0,0,0,0,0,40.01,0,0,0,0

8,01:45-02:00,6.560000,0,0,86.630000,0.000000,9.650000,100.050000,7.34,0.000000,72.030000,0.000000,96.040000,30.730000,0,96.040000,107.650000,48.020000,0,260.750000,0.000000,22.86,10.640000,0.000000,30.730000,271.550000,38.420000,96.040000,0.000000,14.67,8.730000,7.62,7.62,29.260000,13.110000,0.000000,0.000000,14.67,7.550000,24.010000,10.080000,0,0,0,0,0,0,40.01,0,0,0,0

9,02:00-02:15,6.380000,0,0,86.630000,0.000000,9.110000,100.050000,7.34,0.000000,72.030000,0.000000,96.040000,30.730000,0,96.040000,107.650000,48.020000,0,260.750000,0.000000,23.19,10.640000,0.000000,30.730000,271.550000,38.420000,96.040000,0.000000,15.57,8.730000,7.73,7.73,30.280000,13.110000,0.000000,0.000000,15.57,7.550000,24.010000,9.930000,0,0,0,0,0,0,40.01,0,0,0,0

10,02:15-02:30,6.380000,0,0,86.630000,0.000000,9.110000,100.050000,7.34,0.000000,72.030000,0.000000,96.040000,30.730000,0,96.040000,107.650000,48.020000,0,260.750000,0.000000,23.88,10.640000,0.000000,30.730000,271.550000,38.420000,96.040000,0.000000,16.39,8.730000,7.95,7.96,30.280000,13.110000,0.000000,0.000000,16.39,7.550000,24.010000,9.930000,0,0,0,0,0,0,40.01,0,0,0,0

11,02:30-02:45,6.380000,0,0,86.630000,0.000000,10.200000,100.050000,6.66,0.000000,72.030000,0.000000,96.040000,30.730000,0,96.040000,107.650000,48.020000,0,260.750000,0.000000,22,10.640000,0.000000,30.730000,271.550000,38.420000,96.040000,0.000000,14.67,8.730000,7.34,7.33,30.280000,13.110000,0.000000,0.000000,14.67,10.550000,24.010000,9.930000,0,0,0,0,0,0,43.01,0,0,0,0

12,02:45-03:00,6.380000,0,0,86.630000,0.000000,10.200000,100.050000,6.66,0.000000,72.030000,0.000000,96.040000,30.730000,0,96.040000,107.650000,48.020000,0,260.750000,0.000000,22,10.640000,0.000000,30.730000,271.550000,38.420000,96.040000,0.000000,14.67,8.730000,7.34,7.33,30.280000,13.110000,0.000000,0.000000,14.67,11.170000,24.010000,9.930000,0,0,0,0,0,0,43.01,0,0,0,0

13,03:00-03:15,6.180000,0,0,86.630000,0.000000,10.200000,100.050000,6.66,0.000000,72.030000,0.000000,0.000000,30.730000,0,96.040000,107.650000,48.020000,0,260.750000,0.000000,22,10.640000,0.000000,30.730000,271.550000,0.000000,96.040000,0.000000,14.67,8.730000,7.34,7.33,30.280000,12.650000,0.000000,0.000000,14.67,11.550000,24.010000,9.550000,0,0,0,0,0,0,43.01,0,0,0,0

14,03:15-03:30,6.180000,0,0,86.630000,0.000000,10.200000,100.050000,6.66,0.000000,72.030000,0.000000,0.000000,30.730000,0,96.040000,107.650000,48.020000,0,260.750000,0.000000,22,10.640000,0.000000,30.730000,271.550000,0.000000,96.040000,0.000000,14.67,8.730000,7.34,7.33,30.280000,12.650000,0.000000,0.000000,14.67,11.550000,24.010000,9.550000,0,0,0,0,0,0,43.01,0,0,0,0

15,03:30-03:45,6.180000,0,0,86.630000,0.000000,10.200000,100.050000,6.66,0.000000,72.030000,0.000000,0.000000,30.730000,0,96.040000,107.650000,48.020000,0,260.750000,0.000000,22,10.640000,0.000000,30.730000,271.550000,0.000000,96.040000,0.000000,14.67,8.730000,7.34,7.33,30.280000,12.650000,0.000000,0.000000,14.67,11.550000,24.010000,9.550000,0,0,0,0,0,0,43.01,0,0,0,0

16,03:45-04:00,6.180000,0,0,86.630000,0.000000,10.200000,100.050000,6.66,0.000000,72.030000,0.000000,0.000000,30.730000,0,96.040000,107.650000,48.020000,0,260.750000,0.000000,22,10.640000,0.000000,30.730000,271.550000,0.000000,96.040000,0.000000,14.67,8.730000,7.34,7.33,30.280000,12.650000,0.000000,0.000000,14.67,11.550000,24.010000,9.550000,0,0,0,0,0,0,43.01,0,0,0,0

17,04:00-04:15,6.000000,0,0,86.630000,0.000000,9.890000,100.050000,6.66,0.000000,72.030000,0.000000,0.000000,30.730000,0,96.040000,107.650000,48.020000,0,260.750000,0.000000,22,10.640000,0.000000,30.730000,271.550000,0.000000,96.040000,0.000000,14.67,8.730000,7.34,7.33,29.260000,12.650000,0.000000,0.000000,14.67,12.160000,24.010000,9.160000,0,0,0,0,0,0,39.01,0,0,0,0

18,04:15-04:30,6.000000,0,0,86.630000,0.000000,9.890000,100.050000,6.66,0.000000,72.030000,0.000000,0.000000,30.730000,0,96.040000,107.650000,48.020000,0,260.750000,0.000000,22,10.640000,0.000000,30.730000,271.550000,0.000000,96.040000,0.000000,14.67,8.730000,7.34,7.33,29.260000,12.650000,0.000000,0.000000,14.67,12.770000,24.010000,9.160000,0,0,0,0,0,0,39.01,0,0,0,0

19,04:30-04:45,6.000000,0,0,86.630000,0.000000,9.890000,100.050000,6.66,0.000000,72.030000,0.000000,0.000000,30.730000,0,96.040000,107.650000,48.020000,0,260.750000,0.000000,22,10.640000,0.000000,30.730000,271.550000,0.000000,96.040000,0.000000,14.67,8.730000,7.34,7.33,29.260000,12.650000,0.000000,0.000000,14.67,13.380000,24.010000,9.160000,0,0,0,0,0,0,39.01,0,0,0,0

20,04:45-05:00,6.000000,0,0,86.630000,0.000000,9.890000,100.050000,6.66,0.000000,72.030000,0.000000,0.000000,30.730000,0,96.040000,107.650000,48.020000,0,260.750000,0.000000,22,10.640000,0.000000,30.730000,271.550000,0.000000,96.040000,0.000000,14.67,8.730000,7.34,7.33,29.260000,12.650000,0.000000,0.000000,14.67,13.980000,24.010000,9.160000,0,0,0,0,0,0,39.21,0,0,0,0

21,05:00-05:15,5.820000,0,0,86.630000,0.000000,9.650000,100.050000,6.66,0.000000,72.030000,0.000000,0.000000,30.730000,0,96.040000,84.690000,48.020000,0,227.210000,0.000000,22,10.640000,0.000000,30.730000,271.550000,0.000000,96.040000,0.000000,14.67,8.730000,7.34,7.33,29.260000,12.200000,0.000000,0.000000,14.67,14.590000,24.010000,8.940000,0,0,0,0,0,0,39.81,0,0,0,0

22,05:15-05:30,5.820000,0,0,86.630000,0.000000,9.650000,100.050000,6.66,0.000000,72.030000,0.000000,0.000000,30.730000,0,96.040000,65.870000,48.020000,0,227.210000,0.000000,22,10.640000,0.000000,30.730000,271.550000,0.000000,96.040000,0.000000,14.67,8.730000,7.34,7.33,29.260000,12.200000,0.000000,0.000000,14.67,15.100000,24.010000,8.940000,0,0,0,0,0,0,39.81,0,0,0,0

