Block,Time,CHAMERA3,UNCHAHAR3,SALAL,BSIUL,URI2,RIHAND1,RAPPB,AURY_LF,DULHASTI,SEWA2,TEHRI,KOLDAM,UNCHAHAR2,RIHAND2,KOTESHWR,UNCHAHAR4,JHAJJAR,RIHAND3,AURY_RF,KISHANGANGA,ANTA_GF,SINGRAULI_HYDRO,ANTA_LF,DADRT2,DHAULIGNGA,SINGRAULI,URI,NAPP,DADRI_LF,AURY_GF,NJPC,TANDA2,ANTA_CRF,DADRI_CRF,UNCHAHAR1,RAPPC,TANAKPUR,AURY_CRF,PARBATI3,CHAMERA1,RAMPUR,DADRI_GF,CHAMERA2,DADRI_RF,ANTA_RF,KUDGI,SASAN,FSTPP I & II,KHSTPP-II,TALA,BRBCL,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,4.820500,68.337336,0.000000,23.863095,73.271600,0.000000,0.000000,15.887261,0.000000,0.000000,0.000000,13.497400,113.884312,0.000000,0.000000,231.384000,119.226029,0.000000,0.000000,0.000000,0.571740,0.000000,174.502100,0.000000,118.945838,38.317190,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.748700,52.118668,2.470024,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,63.63,403.736157,4.820500,53.025500,0.000000,19.279544,20.721883,0,0,0,0,0

2,00:15-00:30,0.000000,4.820500,68.337336,0.000000,23.863095,73.271600,0.000000,0.000000,15.887261,0.000000,0.000000,0.000000,13.497400,113.884312,0.000000,0.000000,231.384000,119.226029,0.000000,0.000000,0.000000,0.571740,0.000000,174.502100,0.000000,118.945838,38.317190,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.748700,52.118668,2.470024,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,63.63,403.736157,4.820500,45.312700,0.000000,18.359319,20.721883,0,0,0,0,0

3,00:30-00:45,0.000000,4.820500,68.337336,0.000000,23.863095,73.271600,0.000000,0.000000,15.887261,0.000000,0.000000,0.000000,13.497400,113.884312,0.000000,0.000000,231.384000,119.226029,0.000000,0.000000,0.000000,0.571740,0.000000,174.502100,0.000000,118.945838,8.514931,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.748700,52.118668,2.470024,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,63.63,403.736157,4.820500,65.047923,0.000000,19.281969,20.721883,0,0,0,0,0

4,00:45-01:00,0.000000,4.820500,68.337336,0.000000,23.863095,73.271600,0.000000,0.000000,15.887261,0.000000,0.000000,0.000000,13.497400,113.884312,0.000000,0.000000,231.384000,119.226029,0.000000,0.000000,0.000000,0.571740,0.000000,174.502100,0.000000,118.945838,8.514931,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.748700,52.118668,2.470024,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,63.63,403.736157,4.820500,65.047923,0.000000,17.659440,20.721883,0,0,0,0,0

5,01:00-01:15,0.000000,4.820500,13.443410,0.000000,23.863095,73.271600,0.000000,0.000000,15.887261,0.000000,0.000000,0.000000,13.497400,113.884312,0.000000,0.000000,231.384000,119.226029,0.000000,0.000000,0.000000,0.571740,0.000000,174.502100,0.000000,118.945838,8.514931,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.748700,52.118668,11.494258,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,63.63,403.736157,4.820500,65.047923,0.000000,14.587032,20.721883,0,0,0,0,0

