Block,Time,NR/01102023/02012046/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,WR/01102023/30052048/L_NR_2022_10,NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/22102023/11042047/L_NR_2021_17,WR/01102023/16072048/L_NR_2022_08,NR/26072023/25122043/L_NR_2023_10,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2020_06,NR/01102023/25072045/L_NR_2021_15,NR/01102023/14082046/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,L_NR_2019_19,SR/01102023/07102043/L_NR_2018_61,WR/01102023/31032046/L_NR_2020_05,NR/01102023/05012040/L_NR_2020_02,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/31122025/SH-07,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_36,NR/30092023/26122029/SH-06,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/30042040/GNA_LT_35,NR/01072024/15072024/NR/01072024/15072024/717759,NR/01042024/31072024/LT_MEJA_DELHI,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/01102023/06022042/L_NR_2012_02,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01102023/23072042/L_NR_2012_04,NR/01102023/19072037/LT-05,NR/14072024/14072024/HPX-TAMCTG-130724-01664,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/14072024/14072024/IEX_240714_01538_gna,NR/01072024/31072024/R2,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/01102023/06022042/L_NR_2012_07
1,00:00-00:15,0,0,51.67,0,0,0,0,20.34,0,0,23.84,0,0,0,0,0,51.67,23.83,0,38.01,71.5,3.610000,13.150000,29.780000,29.890000,0.000000,5.650000,5.750000,0.000000,29.890000,0.000000,132.580000,100.360000,0.000000,0.000000,163.760000,15.590000,61.410000,8.760000,10.950000,261.540000,32.750000,0.000000,115.150000,0.000000,81.880000,0.000000,20.470000,81.880000,86.890000

2,00:15-00:30,0,0,52,0,0,0,0,20,0,0,23.66,0,0,0,0,0,52,23.67,0,37.02,71,3.610000,13.150000,29.780000,29.890000,0.000000,5.650000,5.750000,0.000000,29.890000,0.000000,132.580000,100.360000,0.000000,0.000000,163.760000,15.590000,61.410000,8.760000,10.950000,261.540000,32.750000,0.000000,115.150000,0.000000,81.880000,0.000000,20.470000,81.880000,86.890000

3,00:30-00:45,0,0,52.33,0,0,0,0,19.66,0,0,23.66,0,0,0,0,0,52.33,23.67,0,36.02,71,3.610000,13.150000,29.780000,29.890000,0.000000,5.650000,5.750000,0.000000,29.890000,0.000000,132.580000,100.360000,0.000000,0.000000,163.760000,15.590000,61.410000,8.760000,10.950000,261.540000,32.750000,0.000000,115.150000,0.000000,81.880000,0.000000,20.470000,81.880000,86.890000

4,00:45-01:00,0,0,47.33,0,0,0,0,19.66,0,0,20.16,0,0,0,0,0,47.33,20.17,0,40.01,60.5,3.610000,13.150000,29.780000,29.890000,0.000000,5.650000,5.750000,0.000000,29.890000,0.000000,132.580000,100.360000,0.000000,0.000000,163.760000,15.590000,61.410000,8.760000,10.950000,261.540000,32.750000,0.000000,115.150000,0.000000,81.880000,0.000000,20.470000,81.880000,86.890000

5,01:00-01:15,0,0,47.67,0,0,0,0,20,0,0,20.16,0,0,0,0,0,47.67,20.17,0,39.41,60.5,3.520000,13.150000,29.780000,30.830000,0.000000,5.650000,5.750000,0.000000,30.830000,0.000000,132.580000,100.360000,0.000000,0.000000,163.760000,15.590000,61.410000,8.760000,10.950000,261.540000,32.750000,0.000000,106.660000,0.000000,81.880000,0.000000,20.470000,81.880000,86.890000

6,01:15-01:30,0,0,47.67,0,0,0,0,20,0,0,20.16,0,0,0,0,0,47.67,20.17,0,38.81,60.5,3.520000,13.150000,29.780000,30.830000,0.000000,5.650000,5.750000,0.000000,30.830000,0.000000,132.580000,100.360000,0.000000,0.000000,163.760000,15.590000,61.410000,8.760000,10.950000,261.540000,32.750000,0.000000,98.160000,0.000000,81.880000,0.000000,20.470000,81.880000,86.890000

