Column1,Block,GNA/NR/2025/06/01/2868,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/09/3517,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/2569,NR/2025/28327/C,NR/2025/28312/C,GNA/NR/2025/06/01/4444,NR/2025/28303/C,NR/2025/28348/C,NR/2025/28307/C,NR/2025/28308/C,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/7762,NR/2025/28325/C,NR/2025/28310/C,NR/2025/28313/C,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/9257,NR/2025/27356/A/78678,NR/2025/27622/A/78553,GNARE/NR/2024/12/20/3668,NR/2025/27157/A/78534,NR/2025/27281/A/79117,NR/2025/26085/A/78619,NR/2025/28333/C,NR/2025/28314/C,NR/2025/28315/C,NR/2025/26861/A/78994,NR/2025/27727/A/79008,NR/2025/26889/A/78969,NR/2025/26564/A/78997,NR/2025/27725/A/79011,NR/2025/27088/A/79076,NR/2025/26561/A/79000,NR/2025/27242/A/78977,NR/2025/26975/A/79013,NR/2025/26785/A/78745,NR/2025/28139/A/78675,NR/2025/26777/A/78643,NR/2025/28277/C,NR/2025/26445/A/79081,NR/2025/26860/A/78928,NR/2025/28278/C,NR/2025/28138/A/78674,NR/2025/27724/A/78655,NR/2025/28233/C,NR/2025/27462/A/78554,NR/2025/28279/C,NR/2025/27782/A/79006,NR/2025/28239/C,NR/2025/27167/A/78949,NR/2025/27162/A/79012,NR/2025/26563/A/78998,NR/2025/28274/C,NR/2025/28140/A/78676,NR/2025/27728/A/79009,NR/2025/26569/A/78996,NR/2025/27726/A/79010,NR/2025/28253/C,NR/2025/26570/A/78995,NR/2025/27168/A/78951,NR/2025/27499/A/78968,NR/2025/28141/A/78677,NR/2025/26952/A/78568,Total
,,NDMC,PUNJAB,DELHI,PXIL,BAWANA_GAS,SIMHAPURI,PTC,NVVNL,APPCPL,PowerPulse,INSTINCT,PXIL,APPCPL,APPCPL,INSTINCT,PTC,NVVNL,APPCPL,APPCPL,NVVNL,KEIPL,APPCPL,APPCPL,MANIKARAN,BRPL,IEXL,SECI_Trader,KEIPL,MANIKARAN,ITCLH,IEXL,APPCPL,APPCPL,PowerPulse,APPCPL,HPXL,PowerPulse,APPCPL,NVVNL,PowerPulse,GMRETL,APPCPL,IEXL,BRPL,INSTINCT,PowerPulse,NVVNL,BRPL,PowerPulse,BRPL,DIAPL,MANIKARAN,IEXL,PowerPulse,APPCPL,IEXL,PTC,APPCPL,PowerPulse,BRPL,BRPL,APPCPL,PowerPulse,APPCPL,PXIL,PowerPulse,PTC,HPXL,BRPL,PXIL,
,,NA,DELHI_UT,HIMACHAL_STATE,DVC_STATE,DELHI_UT,NA,TELANGANA_State,NA,NA,NA,NA,NA,Manipur_State,CSEB_State,NA,ODISHA_STATE,NA,NA,NA,NA,CSEB_State,NA,CSEB_State,MP_State,NA,NA,NA,CSEB_State,CSEB_State,ANDHRA_PRADESH_STATE,UTTARAKHAND_STATE,NA,NA,NA,NA,MSEB_State,NA,NA,NA,NA,HIMACHAL_STATE,Manipur_State,NA,NA,NA,NA,NA,NA,NA,NA,HIMACHAL_STATE,CSEB_State,MSEB_State,NA,NA,NA,GoHP_Chamera1_STATE,CSEB_State,NA,NA,NA,NA,NA,NA,NA,NA,GoHP_Rampur_STATE,JK_and_LADAKH_UT,NA,NA,
,,JIPL,BAWANA_GAS,CHANJUII,DVC,BAWANA_GAS,SIMHAPURI,NAVABHARAT,ILFS,RKM_POWER,COASTGEN,JPL2,KWHEP,Manipur_Ben,CSEB_Beneficiary,SIMHAPURI,NBVL_OTCL,Kameng,SKS_Raigarh,JPL2,JHABUA_IPP,CSPDCL,DBPL,CSPDCL,BLAPOWER_MP,TS1PL_BKN,TPSL_BKN2,APSEPL_FTG,CSEB_Beneficiary,CSEB_Beneficiary,ITCWIND,SEPLPHASE2,TRN_ENERGY,RKM_POWER,COASTGEN,JPL2,GRETAENERGY,MAHAN_ENERGEN,SKS_Raigarh,ILFS,APL_Raipur_TPP,GBHHPL,Manipur_Ben,MBMP,RIHAND2,JPL2,MAHAN_ENERGEN,JPNIGRIE_JNSTPP,JPL2,APL_Raipur_TPP,RIHAND3,GBHHPL,CSEB_Beneficiary,JSWEL_MSEB,APL_Raigarh_TPP,TRN_ENERGY,MBMP,GoHP_Chamera1,CSEB_Beneficiary,MAHAN_ENERGEN,JPL2,RIHAND1,RKM_POWER,APL_Raigarh_TPP,RKM_POWER,MBMP,APL_Raigarh_TPP,GoHP_Rampur,O2Z,DADRT2,MBMP,
,,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,PUNJAB,TPDDL,BRPL,HARYANA,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,BRPL,BYPL,BYPL,BRPL,BRPL,TPDDL,NDMC,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,MES_Delhi,TPDDL,BYPL,BYPL,ITCLH,BRPL,NDMC,NDMC,BRPL,NDMC,BYPL,TPDDL,NDMC,BRPL,TPDDL,BRPL,BYPL,NDMC,BRPL,BRPL,TPDDL,TPDDL,BRPL,TPDDL,BRPL,DIAPL,BYPL,MES_Delhi,TPDDL,NDMC,NDMC,BRPL,BYPL,TPDDL,BRPL,BRPL,NDMC,TPDDL,NDMC,BRPL,TPDDL,BRPL,BYPL,BRPL,BRPL,
,,East-North,North-North,North-North,East-North,North-North,South-East-North,South-West-North,South-West-North,West-North,South-West-North,West-North,North-North,North East-East-North,West-North,South-West-North,East-West-North,North East-East-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,North-North,North-North,West-North,West-North,South-West-North,North-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,North-North,North East-East-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,North-North,North-North,North-North,West-North,
1,00:00-00:15,28.99,30,14.43,48.32,30,48.32,62.81,0,0,0,0,85.9,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,217.32,24.88,0.68,0,0,0,193.26,26.35,5.8,0,8.78,192.64,144.94,48.32,27.06,0,28.99,193.26,0,96.63,106.29,0,38.65,10.63,0,9.66,0,8.78,0,24.16,55.99,144.94,0,33.82,26.35,144.94,26.35,0,0,24.16,8.7,135.28,0,2651.669999999999

2,00:15-00:30,28.99,30,14.43,48.32,30,48.32,62.81,0,0,0,0,85.9,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,217.32,24.88,0.68,0,0,0,193.26,26.35,5.8,0,8.78,192.64,144.94,48.32,27.06,0,28.99,193.26,0,96.63,106.29,0,38.65,10.63,0,9.66,0,8.78,0,24.16,55.99,144.94,0,33.82,26.35,144.94,26.35,0,0,24.16,8.7,135.28,0,2651.669999999999

