Block,Time Block,BRBCL,CHAMERA1,BSIUL,CHAMERA2,CHAMERA3,DHAULIGNGA,DADRT2,FSTPP I & II,DULHASTI,JHAJJAR,KGSU1AND2,KGSU3AND4,KHSTPP-I,KHSTPP-II,KKNPPU2,KISHANGANGA,KKNP,KOLDAM,KOTESHWR,KUDGI,MAPS,NJPC,NAPP,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI3,PARBATI2,RAMPUR,RIHAND3,RAPPB,RIHAND2,RIHAND1,RSTPSU1TO6,RAPPC,RSTPSU7,SEWA2,SALAL,SASAN,SIMHST1,SIMHST2,SINGRAULI,SINGRAULI_HYDRO,TANAKPUR,TALA,TALST2,TelanganaSTPP,TEHRI,TANDA2,UNCHAHAR3,UNCHAHAR2,UNCHAHAR1,UNCHAHAR4,URI2,URI,VALLURNTECL,ANTA_CRF,AURY_LF,ANTA_LF,AURY_GF,ANTA_GF,AURY_CRF,ANTA_RF,AURY_RF,DADRI_GF,DADRI_CRF,DADRI_RF,DADRI_LF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,17.94,0,12.54,15.63,0,0,474.04,17.51,19.06,595.34,0,0,44.08,142.65,0,5.24,0,0,10.01,0,0,0,51.4,0,0,0,0,0,0,0,0,0,121.52,0,116.06,90.21,0,67.77,0,0,2.24,402.81,0,0,102.38,0.79,0,0,0,0,0,3.25,26.09,42.09,20.48,0.48,38.12,31.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,16.02,0,12.54,15.63,0,0,437.49,17.51,19.06,626.66,0,0,44.08,142.65,0,5.24,0,0,10.01,0,0,0,51.4,0,0,0,0,0,0,0,0,0,121.52,0,116.06,90.21,0,67.77,0,0,2.24,402.81,0,0,102.38,0.79,0,0,0,0,0,3.25,20.01,32.43,15.08,1.14,38.12,31.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,15.52,0,12.54,0,0,0,437.49,17.51,19.06,626.66,0,0,44.08,142.65,0,5.24,0,0,10.01,0,0,0,51.4,0,0,0,0,0,0,0,0,0,121.52,0,116.06,90.21,0,67.77,0,0,2.24,402.81,0,0,102.38,0.79,0,0,0,0,0,3.25,20.01,32.43,15.08,1.39,33.95,31.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,16.13,0,12.54,0,0,0,437.49,17.51,19.06,626.66,0,0,44.08,142.65,0,5.24,0,0,10.01,0,0,0,51.4,0,0,0,0,0,0,0,0,0,121.52,0,116.06,90.21,0,67.77,0,0,2.24,402.81,0,0,102.38,0.79,0,0,0,0,0,3.25,20.01,32.43,15.08,1.39,33.95,31.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,16.7,0,12.54,0,0,0,437.49,17.51,19.06,626.66,0,0,44.08,142.65,0,5.24,0,0,10.01,0,0,0,51.4,0,0,0,0,0,0,0,0,0,121.52,0,116.06,90.21,0,67.77,0,0,14.53,402.81,0,0,102.38,0.79,0,0,0,0,0,3.25,20.01,32.43,15.08,1.39,33.95,31.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

