Column1,Block,NR/2025/24969/C,NR/2025/24968/C,GNA/NR/2025/01/20/5216,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/20/4698,GNA/WR/2024/11/01/4200,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/20/4168,GNA/NR/2025/01/20/9046,GNA/NR/2025/01/01/3945,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/3514,NR/30092023/26122029/SH-06,GNA/NR/2025/01/01/3733,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/20/2470,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/20/9333,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/3925,NR/2024/24418/A/50186,NR/2025/24839/A/50258,WR/2024/25501/A/50521,SR/2024/15456/A/50135,NR/2024/24507/A/50464,NR/2024/24566/A/50139,NR/2025/24961/C,NR/2024/24434/A/50153,GNA/NR/2025/01/01/6528,NR/2024/24508/A/50466,GNA/NR/2025/01/01/7459,NR/2024/24614/A/50465,GNA/NR/2025/01/01/6775,NR/2025/24960/C,NR/2024/24435/A/50152,NR/2025/24837/A/50247,NR/2025/24962/C,NER/2024/2820/A/50520,NR/2025/24838/A/50255,Total
,,SJVNL,SJVNL,HPXL,APPCPL,HPXL,MANIKARAN,IEXL,HPXL,HPXL,NDMC,BAWANA_GAS,HPXL,PUNJAB,IEXL,TPTCL,PXIL,IEXL,HPXL,DELHI,PXIL,IEXL,HPXL,ITCLH,OIDLWM3_AEROCITY,APPCPL,IEXL,NVVNL,IEXL,NVVNL,IEXL,NDMC,NVVNL,NDMC,NVVNL,NDMC,TPDDL,IEXL,ABLWM1_AEROCITY,NVVNL,APPCPL,OIDLWM2_AEROCITY,
,,NA,NA,TELANGANA_State,DELHI_UT,TAMILNADU_State,DELHI_UT,MP_State,MSEB_State,NA,NA,DELHI_UT,NA,DELHI_UT,ODISHA_STATE,DELHI_UT,NA,NA,Meghalaya_State,HIMACHAL_STATE,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,DELHI_UT,DELHI_UT,NA,TELANGANA_State,NA,NA,NA,NA,NA,NA,NA,NA,KARNATAKA_STATE,NA,NA,DELHI_UT,NA,
,,RSRPL_BKN,TPSL_BKN2,ZUARICEMCPP,BYPL,GAYATRIGREENTN,BRPL,JP_BINA,GRETAENERGY,SIMHAPURI,JPL2,BAWANA_GAS,SKS_Raigarh,BAWANA_GAS,NBVLIPP,BYPL,JPNIGRIE_JNSTPP,SKS_Raigarh,Meghalaya_Ben,CHANJUII,SINGOLI,JPNIGRIE_JNSTPP,JPNIGRIE_JNSTPP,ITCWIND,TCSPL_BKN2,BRPL,BYPL,JIPL,NSLKSLWPRTY,JIPL,TESPL_BKN2,SKS_Raigarh,TRN_ENERGY,RKM_POWER,TRN_ENERGY,RKM_POWER,JHAJJAR,NSLSUGARALAND,TCSPL_BKN2,TRN_ENERGY,BYPL,TCSPL_BKN2,
,,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,PUNJAB_STATE,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,TAMILNADU_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,Manipur_State,DELHI_UT,
,,NDMC,NDMC,BRPL,AEML,BRPL,AEML,BRPL,BRPL,BRPL,NDMC,HARYANA,BRPL,PUNJAB,BRPL,TPC_MSEB,BRPL,BRPL,BRPL,TPDDL,BRPL,BRPL,BRPL,ITCLH,OIDLWM3_AEROCITY,GOA_Beneficiary,TANGEDCO,NDMC,MES_Delhi,NDMC,MES_Delhi,NDMC,NDMC,NDMC,NDMC,NDMC,TPDDL,MES_Delhi,ABLWM1_AEROCITY,NDMC,Manipur_Ben,OIDLWM2_AEROCITY,
,,North-North,North-North,South-East-North,North-West,South-East-North,North-West,West-North,West-North,South-East-North,West-North,North-North,West-North,North-North,East-North,North-West,West-North,West-North,North East-East-North,North-North,North-North,West-North,West-North,South-West-North,North-North,North-West,North-West-South,East-North,South-West-North,East-North,North-North,West-North,West-North,West-North,West-North,West-North,North-North,South-West-North,North-North,West-North,North-East-North East,North-North,
1,00:00-00:15,0,0,0,0,0,0,31.7,0,0,23.06,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.38,0,0,0,6.18,5.76,0,0,8.65,8.73,23.06,0,23.06,0,9.61,0,0,0,0,332.74

2,00:15-00:30,0,0,0,0,0,0,31.7,0,0,23.06,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.38,0,0,0,6.18,5.76,0,0,8.65,8.73,23.06,0,23.06,0,9.61,0,0,0,0,332.74

