Block,Time,FSTPP I & II,KUDGI,KHSTPP-II,KHSTPP-I,SASAN,TALA,ANTA_RF,CHAMERA2,DADRI_RF,URI,AURY_CRF,SALAL,UNCHAHAR2,RIHAND2,DADRT2,KOLDAM,ANTA_GF,NAPP,DADRI_LF,ANTA_LF,UNCHAHAR3,TANDA2,SINGRAULI_HYDRO,ANTA_CRF,RIHAND1,DHAULIGNGA,RAMPUR,CHAMERA1,RAPPC,AURY_RF,UNCHAHAR1,PARBATI3,SEWA2,NJPC,JHAJJAR,RIHAND3,KOTESHWR,CHAMERA3,BSIUL,URI2,TEHRI,SINGRAULI,DADRI_GF,TANAKPUR,RAPPB,AURY_GF,AURY_LF,DADRI_CRF,UNCHAHAR4,KISHANGANGA,DULHASTI,BRBCL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,13.756950,33.79,142.411584,30.471886,404.280558,26.963622,0.000000,0.000000,0.000000,45.296568,0.000000,82.451918,40.923403,114.037875,663.017370,0.000000,0.000000,37.220804,0.000000,0.000000,25.477003,0.000000,0.997278,0.000000,88.816800,35.325627,0.000000,41.183964,49.003704,0.000000,9.951150,0.000000,15.257228,147.648759,574.689271,119.386794,7.615075,27.537224,0.000000,31.297612,60.090358,134.489874,0.000000,11.377432,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.854185,14.481033,0,0,0,0,0

2,00:15-00:30,13.756950,33.79,142.411584,30.471886,404.280558,26.963622,0.000000,0.000000,0.000000,45.296568,0.000000,82.451918,40.923403,114.037875,663.017370,0.000000,0.000000,37.220804,0.000000,0.000000,25.477003,0.000000,0.997278,0.000000,88.816800,35.325627,0.000000,41.183964,49.003704,0.000000,9.951150,0.000000,15.257228,147.648759,579.717873,119.386794,7.615075,27.537224,0.000000,31.297612,60.090358,134.489874,0.000000,11.377432,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.854185,14.481033,0,0,0,0,0

3,00:30-00:45,13.756950,33.79,142.411584,30.471886,404.280558,26.963622,0.000000,0.000000,0.000000,45.296568,0.000000,82.451918,40.923403,114.037875,629.196361,0.000000,0.000000,37.220804,0.000000,0.000000,25.477003,0.000000,0.997278,0.000000,88.816800,35.325627,0.000000,41.183964,49.003704,0.000000,9.951150,0.000000,15.257228,147.648759,579.717873,119.386794,7.615075,27.537224,0.000000,31.297612,60.090358,134.489874,0.000000,7.420064,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.854185,14.481033,0,0,0,0,0

4,00:45-01:00,13.756950,33.79,142.411584,30.471886,404.280558,26.963622,0.000000,0.000000,0.000000,45.296568,0.000000,82.451918,40.923403,114.037875,629.196361,0.000000,0.000000,37.220804,0.000000,0.000000,25.477003,0.000000,0.997278,0.000000,88.816800,35.325627,0.000000,41.183964,49.003704,0.000000,9.951150,0.000000,15.257228,147.648759,579.717873,119.386794,7.615075,27.537224,0.000000,31.297612,60.090358,134.489874,0.000000,6.183387,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.854185,12.679151,0,0,0,0,0

5,01:00-01:15,13.756950,24.14,142.411584,30.471886,404.280558,26.963622,0.000000,0.000000,0.000000,45.296568,0.000000,82.451918,40.923403,114.037875,580.926361,0.000000,0.000000,37.220804,0.000000,0.000000,20.936630,0.000000,0.997278,0.000000,88.816800,35.325627,0.000000,41.183964,49.003704,0.000000,9.951150,0.000000,15.257228,147.648759,579.717873,119.386794,7.615075,27.537224,0.000000,30.793734,60.090358,134.489874,0.000000,9.275080,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.854185,12.665444,0,0,0,0,0

