Block,Time,CHAMERA1,CHAMERA2,DULHASTI,KKNPPU2,NNTPP,RIHAND3,AURY_LF,DADRI_RF,BRBCL,KGSU1AND2,KHSTPP-II,MAPS,PARBATI2,SASAN,TALA,UNCHAHAR4,URI,CHAMERA3,KKNP,KOLDAM,KUDGI,NAPP,RAPPC,RAPPD,SIMHST1,SIMHST2,TelanganaSTPP,UNCHAHAR2,ANTA_CRF,BSIUL,KGSU3AND4,KOTESHWR,NLCTS2EXP,PARBATI3,RAMPUR,RIHAND2,RSTPSU1TO6,SINGRAULI,URI2,ANTA_RF,AURY_RF,RSTPSU7,TANDA2,TEHRI,VALLURNTECL,DADRT2,NJPC,NLCEXP,NLCIIST2,NTPL,RAPPB,TALST2,TANAKPUR,UNCHAHAR1,ANTA_GF,DADRI_CRF,DADRI_LF,DHAULIGNGA,FSTPP I & II,JHAJJAR,KISHANGANGA,SALAL,SINGRAULI_HYDRO,AURY_CRF,DADRI_GF,KHSTPP-I,NLCIIST1,RIHAND1,SEWA2,UNCHAHAR3,ANTA_LF,AURY_GF
1,00:00-00:15,42.15,48.81,58.69,0,0,95.79,0,98.41,20,0,148.3,0,32.31,405,5.74,2.3,51.01,35.03,0,9.59,0,25.38,67.71,0,0,0,0,44.5,0,6.52,0,0,0,16.88,6.98,124.58,0,150.34,38.1,49.86,80.77,0,5.7,0,0,0,180.89,0,0,0,0,0,6.27,21.94,0,0,0,43.78,18.2,252.81,8.63,84.24,1.11,0,0,45.53,0,97.23,18.9,27.68,0,0

2,00:15-00:30,42.15,48.81,58.69,0,0,95.79,0,98.41,20,0,148.3,0,32.31,405,5.74,2.3,51.01,35.03,0,9.59,0,25.38,67.71,0,0,0,0,44.5,0,6.52,0,0,0,16.88,6.98,124.58,0,150.34,38.1,49.86,80.77,0,5.7,0,0,0,180.89,0,0,0,0,0,6.27,21.94,0,0,0,43.78,18.2,239.61,8.63,84.24,1.11,0,0,45.53,0,97.23,18.9,27.68,0,0

3,00:30-00:45,42.15,48.81,58.69,0,0,95.79,0,98.41,20,0,148.3,0,32.31,405,5.74,2.3,51.01,35.03,0,9.59,0,25.38,67.71,0,0,0,0,44.5,0,6.52,0,0,0,38.36,6.98,124.58,0,150.34,38.1,49.86,80.77,0,5.7,0,0,0,180.89,0,0,0,0,0,6.27,21.94,0,0,0,43.78,18.2,239.61,8.63,84.24,1.11,0,0,45.53,0,97.23,12.61,27.68,0,0

4,00:45-01:00,42.15,48.81,58.69,0,0,95.79,0,98.41,20,0,148.3,0,32.31,405,5.74,2.3,51.01,35.03,0,9.59,0,25.38,67.71,0,0,0,0,44.5,0,6.52,0,0,0,38.36,6.98,124.58,0,150.34,38.1,49.86,80.77,0,5.7,0,0,0,180.89,0,0,0,0,0,6.27,21.94,0,0,0,43.78,18.2,239.61,8.63,84.24,1.11,0,0,45.53,0,97.23,12.61,27.68,0,0

5,01:00-01:15,42.15,48.81,58.69,0,0,95.79,0,98.41,20,0,148.3,0,27.05,405,5.74,2.3,51.01,35.03,0,9.59,0,25.38,67.71,0,0,0,0,44.5,0,13.04,0,0,0,38.36,6.98,124.58,0,150.34,38.1,51.17,80.77,0,5.7,0,0,0,180.89,0,0,0,0,0,6.27,21.94,0,0,0,43.78,18.2,239.61,8.63,84.24,1.11,0,0,45.53,0,97.23,12.61,27.68,0,0

6,01:15-01:30,42.15,48.81,58.69,0,0,95.79,0,98.41,20,0,148.3,0,27.05,405,5.74,2.3,51.01,35.03,0,9.59,0,25.38,67.71,0,0,0,0,44.5,0,13.04,0,0,0,38.36,6.98,124.58,0,150.34,38.1,51.17,80.77,0,5.7,0,0,0,180.89,0,0,0,0,0,6.27,21.94,0,0,0,43.78,18.2,240.11,8.63,84.24,1.11,0,0,45.53,0,97.23,12.61,27.68,0,0

7,01:30-01:45,42.15,48.81,58.69,0,0,95.79,0,98.41,20,0,148.3,0,27.05,405,5.74,2.3,51.01,35.03,0,9.59,0,25.38,67.71,0,0,0,0,44.5,0,13.04,0,0,0,38.36,6.98,124.58,0,150.34,38.1,51.17,80.77,0,5.7,0,0,0,180.89,0,0,0,0,0,6.27,21.94,0,0,0,43.78,18.2,240.11,8.63,84.24,1.11,0,0,45.53,0,97.23,12.61,27.68,0,0

8,01:45-02:00,42.15,48.81,58.69,0,0,95.79,0,98.41,20,0,148.3,0,27.05,405,5.74,2.3,51.01,35.03,0,9.59,0,25.38,67.71,0,0,0,0,44.5,0,13.04,0,0,0,38.36,6.98,124.58,0,150.34,38.1,51.17,80.77,0,5.7,0,0,0,180.89,0,0,0,0,0,6.27,21.94,0,0,0,43.78,18.2,240.11,8.63,84.24,1.11,0,0,45.53,0,97.23,6.3,27.68,0,0

