Column1,Time,GNA/WR/2024/10/15/7089,GNA/NR/2024/10/16/2350,NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/26122029/SH-06,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_07),GNA/NR/2024/10/01/8106,NR/30092023/31122025/SH-07,GNA/NR/2024/10/01/6101,GNA/NR/2024/10/16/4393,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/10/01/9072,NR/01102023/30042040/GNA_LT_35,NR/01102023/22052037/LT-59,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/01/9582,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/10/01/3642,NR/01102023/31102037/L_NR_2019_11,SR/01102023/07102043/L_NR_2018_61,NR/01102023/25072045/L_NR_2021_15,WR/01102023/30052048/L_NR_2022_10,NR/01102023/02122045/L_NR_2021_13,L_NR_2019_19,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2020_06,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10
1,00:00-00:15,192.8,30.57,2.97,70.29,261.73,29.27,2.78,272.57,6.67,0,0,20,0,8.76,2.78,26.29,91.71,0,26.29,0,2.95,0,86.95,5.16,8.76,0,26.29,2.99,8.2,0,13.33,0,0,6,13.33,0,0,0,0,6.66,0,0

2,00:15-00:30,192.8,30.57,2.97,70.29,261.73,29.27,2.78,272.57,6.67,0,0,20,0,8.76,2.78,26.29,91.71,0,26.29,0,2.95,0,86.95,5.16,8.76,0,26.29,2.99,8,0,13.33,0,0,6,13.33,0,0,0,0,6.66,0,0

3,00:30-00:45,192.8,30.57,2.97,70.29,261.73,29.27,2.78,272.57,6.67,0,0,20,0,8.76,2.78,26.29,91.71,0,26.29,0,2.95,0,86.95,5.16,8.76,0,26.29,2.99,7.8,0,13.33,0,0,6,13.33,0,0,0,0,6.66,0,0

4,00:45-01:00,192.8,30.57,2.97,70.29,261.73,29.27,2.78,272.57,6.67,0,0,20,0,8.76,2.78,26.29,91.71,0,26.29,0,2.95,0,86.95,5.16,8.76,0,26.29,2.99,7.6,0,13.33,0,0,6,13.33,0,0,0,0,6.66,0,0

5,01:00-01:15,192.8,30.57,2.97,70.29,261.73,29.27,2.78,272.57,6.67,0,0,20,0,8.76,2.78,26.29,91.71,0,26.29,0,2.95,0,86.95,5.16,8.76,0,26.29,2.83,7.4,0,13.33,0,0,6,13.33,0,0,0,0,6.66,0,0

6,01:15-01:30,192.8,30.57,2.97,70.29,261.73,28.77,2.78,272.57,6.67,0,0,20,0,8.76,2.78,26.29,91.71,0,26.29,0,2.95,0,86.95,5.16,8.76,0,26.29,2.83,7.4,0,13.33,0,0,6,13.33,0,0,0,0,6.66,0,0

7,01:30-01:45,192.8,30.57,2.97,70.29,261.73,28.77,2.78,272.57,6.67,0,0,20,0,8.76,2.78,26.29,91.71,0,26.29,0,2.95,0,86.95,5.16,8.76,0,26.29,2.83,7.2,0,13.33,0,0,6,13.33,0,0,0,0,6.66,0,0

8,01:45-02:00,192.8,30.57,2.97,70.29,261.73,28.77,2.78,272.57,6.67,0,0,20,0,8.76,2.78,26.29,91.71,0,26.29,0,2.95,0,86.95,5.16,8.76,0,26.29,2.83,7.2,0,13.33,0,0,6,13.33,0,0,0,0,6.66,0,0

9,02:00-02:15,0,30.57,2.97,70.29,261.73,28.77,2.78,272.57,6.67,0,0,20,0,8.76,2.78,26.29,91.71,0,26.29,0,2.95,0,86.95,5.16,8.76,0,26.29,2.83,7.2,0,13.33,0,0,6,13.33,0,0,0,0,6.66,0,0

10,02:15-02:30,0,30.57,2.97,70.29,234.78,28.77,2.78,272.57,6.67,0,0,20,0,8.76,2.78,26.29,91.71,0,26.29,0,2.95,0,86.95,5.16,8.76,0,26.29,2.83,7,0,13.33,0,0,6,13.33,0,0,0,0,6.66,0,0

11,02:30-02:45,0,30.57,2.97,70.29,225.14,28.77,2.78,272.57,6.67,0,0,20,0,8.76,2.78,26.29,91.71,0,26.29,0,1.17,0,86.95,5.16,8.76,0,26.29,2.83,7,0,13.33,0,0,6,13.33,0,0,0,0,6.66,0,0

12,02:45-03:00,0,30.57,2.97,70.29,205.86,28.77,2.78,272.57,6.67,0,0,20,0,8.76,2.78,26.29,91.71,0,26.29,0,2.55,0,86.95,5.16,8.76,0,26.29,2.83,7,0,13.33,0,0,6,13.33,0,0,0,0,6.66,0,0

