Column1,Block,NR/2024/24499/C,NR/2024/24071/A/46853,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/1766,NR/30092023/26122029/SH-06,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/01/2197,GNA/NR/2024/12/01/1599,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,GNA/NR/2024/12/01/3428,NR/30092023/31122025/SH-07,NR/2024/24060/A/47037,NR/2024/24052/A/46854,WR/2024/25054/A/47053,NR/2024/24051/A/46855,NER/2024/2770/A/47048,NR/2024/24500/C,NR/2024/23952/A/46867,NR/2024/24146/A/46844,NR/2024/24097/A/46848,NR/2024/24501/C,NR/2024/24088/A/46850,NR/2024/24227/A/47071,NR/2024/24225/A/47070,NR/2024/24224/A/47066,NR/2024/24509/C,GNA/NR/2024/12/01/1475,NR/01082024/19092033/Chanju/TPDDL/01082024,Total
,,SJVNL,IEXL,KSEB,NDMC,PUNJAB,NDMC,PTC,NDMC,PTC,MANIKARAN,APPCPL,NDMC,BAWANA_GAS,NVVNL,IEXL,APPCPL,IEXL,APPCPL,SJVNL,ITCLH,IEXL,IEXL,SJVNL,IEXL,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,SJVNL,NDMC,DELHI,
,,NA,NA,DELHI_UT,NA,DELHI_UT,NA,DELHI_UT,NA,DELHI_UT,DELHI_UT,DELHI_UT,NA,DELHI_UT,NA,TELANGANA_State,DELHI_UT,TELANGANA_State,DELHI_UT,KARNATAKA_STATE,ANDHRA_PRADESH_STATE,MP_State,KARNATAKA_STATE,KARNATAKA_STATE,KARNATAKA_STATE,NA,NA,NA,NA,NA,HIMACHAL_STATE,
,,TPSL_BKN2,TESPL_BKN2,BYPL,RKM_POWER,BAWANA_GAS,TRN_ENERGY,BYPL,RKM_POWER,BRPL,BRPL,BYPL,SKS_Raigarh,BAWANA_GAS,JITPL,NSLKSLWPRTY,BRPL,NSLKSLWPRTY,BYPL,RENUKASUGARSHAVALGA,ITCWIND,NSPLN_MP,NSLSUGARALAND,RENUKASUGARSATHANI,NSLSTUNGBHDRA,TESPL_BKN2,TESPL_BKN2,TESPL_BKN2,RSRPL_BKN,JPL2,CHANJUII,
,,DELHI_UT,DELHI_UT,KERALA_State,DELHI_UT,PUNJAB_STATE,DELHI_UT,HIMACHAL_STATE,DELHI_UT,HIMACHAL_STATE,MSEB_State,MSEB_State,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,Manipur_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,MES_Delhi,KSEB,NDMC,PUNJAB,NDMC,HP,NDMC,HP,AEML,AEML,NDMC,HARYANA,NDMC,MES_Delhi,GOA_Beneficiary,MES_Delhi,Manipur_Ben,NDMC,ITCLH,MES_Delhi,MES_Delhi,NDMC,MES_Delhi,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,NDMC,NDMC,TPDDL,
,,North-North,North-North,North-West-South,West-North,North-North,West-North,North-North,West-North,North-North,North-West,North-West,West-North,North-North,East-North,South-West-North,North-West,South-West-North,North-East-North East,South-West-North,South-West-North,West-North,South-West-North,South-West-North,South-West-North,North-North,North-North,North-North,North-North,West-North,North-North,
1,00:00-00:15,0,0,150,22.3,0,8.74,47.56,22.3,142.69,0,0,8.74,0,17.32,2.89,0,0,0,0,0.43,5.77,7.7,0,0.96,0,0,0,0,26.23,1.65,465.28

2,00:15-00:30,0,0,150,22.3,0,8.74,47.56,22.3,142.69,0,0,8.74,0,17.32,2.89,0,0,0,0,0.43,5.77,7.7,0,0.96,0,0,0,0,26.23,1.65,465.28

