Column1,Block,GNA/NR/2024/11/01/5474,GNA/NR/2024/11/01/9042,GNA/WR/2024/10/15/7089,GNA/WR/2024/11/01/4200,NR/2024/23826/C,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/9061,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/1868,WR/2024/24788/A/42293,GNA/NR/2024/11/01/4503,GNA/NR/2024/11/01/3646,NR/2024/23807/A/42218,NR/2024/23789/A/42200,GNA/NR/2024/11/01/5428,NR/2024/23420/A/42177,NR/2024/23769/A/42183,NR/2024/23829/C,NR/2024/23831/C,Total
,,PTC,NDMC,APPCPL,MANIKARAN,NVVNL,PUNJAB,DELHI,NDMC,BAWANA_GAS,NDMC,NDMC,APPCPL,NDMC,PTC,IEXL,DIAPL,NDMC,ITCLH,IEXL,SJVNL,SJVNL,
,,DELHI_UT,NA,DELHI_UT,DELHI_UT,NA,DELHI_UT,HIMACHAL_STATE,NA,DELHI_UT,NA,NA,DELHI_UT,NA,DELHI_UT,HIMACHAL_STATE,HIMACHAL_STATE,NA,ANDHRA_PRADESH_STATE,KARNATAKA_STATE,NA,NA,
,,BRPL,JITPL,BYPL,BRPL,SOLAPUR_SOLAR,BAWANA_GAS,CHANJUII,JPL2,BAWANA_GAS,RKM_POWER,SKS_Raigarh,BRPL,TRN_ENERGY,BYPL,KGEPL_HP,GBHHPL,RKM_POWER,ITCWIND,NSLSUGAR,RSRPL_BKN,TPSL_BKN2,
,,HIMACHAL_STATE,DELHI_UT,MSEB_State,MSEB_State,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,HP,NDMC,AEML,AEML,MES_Delhi,PUNJAB,TPDDL,NDMC,HARYANA,NDMC,NDMC,GOA_Beneficiary,NDMC,HP,MES_Delhi,DIAPL,NDMC,ITCLH,MES_Delhi,NDMC,NDMC,
,,North-North,East-North,North-West,North-West,West-North,North-North,North-North,West-North,North-North,West-North,West-North,North-West,West-North,North-North,North-North,North-North,West-North,South-West-North,South-West-North,North-North,North-North,
1,00:00-00:15,285.39,17.55,0,0,0,26.87,3.78,26.33,26.87,26.33,8.78,0,8.78,95.12,4.83,2.9,26.33,0.48,5.79,0,0,566.13

2,00:15-00:30,285.39,17.55,0,0,0,26.87,3.78,26.33,26.87,26.33,8.78,0,8.78,95.12,4.83,2.9,26.33,0.48,5.79,0,0,566.13

3,00:30-00:45,285.39,17.55,0,0,0,26.87,3.78,26.33,26.87,26.33,8.78,0,8.78,95.12,4.83,2.9,26.33,0.48,5.79,0,0,566.13

4,00:45-01:00,285.39,17.55,0,0,0,26.87,3.78,26.33,26.87,26.33,8.78,0,8.78,95.12,4.83,2.9,26.33,0.48,5.79,0,0,566.13

5,01:00-01:15,285.39,17.55,0,0,0,26.87,3.78,26.33,26.87,26.33,8.78,0,8.78,95.12,4.83,2.9,26.33,0.48,5.79,0,0,566.13

6,01:15-01:30,285.39,17.55,0,0,0,26.87,3.78,26.33,26.87,26.33,8.78,0,8.78,95.12,4.83,2.9,26.33,0.48,5.79,0,0,566.13

7,01:30-01:45,285.39,17.55,0,0,0,26.87,3.78,26.33,26.87,26.33,8.78,0,8.78,95.12,4.83,2.9,26.33,0.48,5.79,0,0,566.13

8,01:45-02:00,285.39,17.55,0,0,0,26.87,3.78,26.33,26.87,26.33,8.78,0,8.78,95.12,4.83,2.9,26.33,0.48,5.79,0,0,566.13

9,02:00-02:15,285.39,17.55,0,0,0,26.87,3.78,26.33,26.87,26.33,8.78,0,8.78,95.12,4.83,2.9,26.33,0.48,5.79,0,0,566.13

10,02:15-02:30,285.39,17.55,0,0,0,26.87,3.78,26.33,26.87,26.33,8.78,0,8.78,95.12,4.83,2.9,26.33,0.48,5.79,0,0,566.13

11,02:30-02:45,285.39,17.55,0,0,0,26.87,3.78,26.33,26.87,26.33,8.78,0,8.78,95.12,4.83,2.9,26.33,0.48,5.79,0,0,566.13

12,02:45-03:00,285.39,17.55,0,0,0,26.87,3.78,26.33,26.87,26.33,8.78,0,8.78,95.12,4.83,2.9,26.33,0.48,5.79,0,0,566.13

13,03:00-03:15,285.39,17.55,0,0,0,26.87,3.78,26.33,26.87,26.33,8.78,0,8.78,95.12,4.83,2.9,26.33,0.43,5.79,0,0,566.0799999999999

14,03:15-03:30,285.39,17.55,0,0,0,26.87,3.78,26.33,26.87,26.33,8.78,0,8.78,95.12,4.83,2.9,26.33,0.43,5.79,0,0,566.0799999999999

15,03:30-03:45,285.39,17.55,0,0,0,26.87,3.78,26.33,26.87,26.33,8.78,0,8.78,95.12,4.83,2.9,26.33,0.43,5.79,0,0,566.0799999999999

16,03:45-04:00,285.39,17.55,0,0,0,26.87,3.78,26.33,26.87,26.33,8.78,0,8.78,95.12,4.83,2.9,26.33,0.43,5.79,0,0,566.0799999999999

17,04:00-04:15,285.39,17.55,0,0,0,26.87,3.78,26.33,26.87,26.33,8.78,0,8.78,95.12,4.83,2.9,26.33,0.43,5.79,0,0,566.0799999999999

18,04:15-04:30,285.39,17.55,0,0,0,26.87,3.78,26.33,26.87,26.33,8.78,0,8.78,95.12,4.83,2.9,26.33,0.43,5.79,0,0,566.0799999999999

19,04:30-04:45,285.39,17.55,0,0,0,26.87,3.78,26.33,26.87,26.33,8.78,0,8.78,95.12,4.83,2.9,26.33,0.43,5.79,0,0,566.0799999999999

20,04:45-05:00,285.39,17.55,0,0,0,26.87,3.78,26.33,26.87,26.33,8.78,0,8.78,95.12,4.83,2.9,26.33,0.43,5.79,0,0,566.0799999999999

21,05:00-05:15,285.39,17.55,0,0,0,26.87,3.78,26.33,26.87,26.33,8.78,0,8.78,95.12,4.83,2.9,26.33,0.43,5.79,0,0,566.0799999999999

22,05:15-05:30,285.39,17.55,0,0,0,26.87,3.78,26.33,26.87,26.33,8.78,0,8.78,95.12,4.83,2.9,26.33,0.43,5.79,0,0,566.0799999999999

23,05:30-05:45,285.39,17.55,0,0,0,26.87,3.78,26.33,26.87,26.33,8.78,0,8.78,95.12,4.83,2.9,26.33,0.43,5.79,0,0,566.0799999999999

24,05:45-06:00,285.39,17.55,0,0,0,26.87,3.78,26.33,26.87,26.33,8.78,0,8.78,95.12,4.83,2.9,26.33,0.43,5.79,0,0,566.0799999999999

25,06:00-06:15,0,17.55,0,0,0,26.87,3.78,26.33,26.87,26.33,8.78,0,8.78,0,4.83,2.9,26.33,0.43,5.79,0,0,185.57000000000002

26,06:15-06:30,0,17.55,0,0,0,26.87,3.78,26.33,26.87,26.33,8.78,0,8.78,0,4.83,2.9,26.33,0.43,5.79,0,0,185.57000000000002

