Time,Block,NR/2024/20034/A/21556,NR/2024/20031/A/21557,NR/2024/20144/A/21316,NR/2024/19919/A/21571,NR/2024/20033/A/21559,NR/2024/20607/C,NR/2024/20553/A/21514,NR/2024/20603/C,NR/2024/20601/C,NR/2024/19432/A/21563,NR/2024/20041/A/21541,NR/2024/19988/A/21277,NR/2024/19779/A/21186,NR/2024/20610/C,NR/2024/20600/C,NR/2024/20109/A/21695,NR/2024/20141/A/21317,NR/2024/20605/C,NR/2024/20212/A/21314,NR/2024/19699/A/21561,NR/2024/19355/A/21696,NR/2024/20090/A/21216,NR/2024/20611/C,NR/2024/20612/C,NR/2024/20048/A/21540,NR/2024/19760/A/21274,NR/2024/20142/A/21315,NR/2024/19588/A/21312,NR/2024/19475/A/21581,NR/2024/20130/A/21486,NR/2024/20513/A/21335,NR/2024/20540/A/21525,NR/2024/20537/A/21694,NR/2024/20037/A/21273,NR/2024/19683/A/21243,NR/2024/20606/C,NR/2024/20524/A/21642,NR/2024/19637/A/21297,NR/2024/20516/A/21319,NR/2024/19918/A/21572,NR/2024/20050/A/21539,NR/2024/20211/A/21313,NR/2024/20552/A/21512,NR/2024/20554/A/21502,NR/2024/20515/A/21320,NR/2024/19757/A/21558,NR/2024/19791/A/21574,NR/2024/19966/A/21283,Total
,,NVVNL,NVVNL,BAL234,APPCPL,NVVNL,NVVNL,IEXL,PTC,TPTCL,NVVNL,PTC,TPTCL,ITCLH,PXIL,TPTCL,TPDDL,BAL184,NVVNL,UHL,NVVNL,TPDDL,IEXL,IEXL,PXIL,PTC,TPTCL,BAL224,GMRETL,AEL,DTCP,MSSH,DIAPL,TPDDL,TPTCL,IEXL,NVVNL,HPXL,INSTINCT,BMDRC,APPCPL,PTC,JHPL-DL,IEXL,PXIL,MHIL,NVVNL,APPCPL,BRPL,Total

,,NA,NA,HIMACHAL PRADESH,KERALA,NA,NA,MAHARASHTRA,NA,UTTAR PRADESH,NA,MAHARASHTRA,HIMACHAL PRADESH,ANDHRA PRADESH,KARNATAKA,NA,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,MP,NA,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,RAJASTHAN,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,MAHARASHTRA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NAGALAND,HIMACHAL PRADESH,HIMACHAL PRADESH,KARNATAKA,NA,HIMACHAL PRADESH,TAMIL NADU,TAMIL NADU,MAHARASHTRA,
,,RKM_POWER,RKM_POWER,SHPPBPL,KSEB,SKS Raigarh,SORANG_HEP,JSWEL MSEB,SEILP2,PPGCL,SEIL,JPL_DHULE,HP-GOVT,ITCWIND,PCKL,ACBIL,JHAJJAR,SHPPBPL,SOLAPUR_SOLAR,SHPPBPL,JP BINA,JPL-2,A_A_Energy_MH_Bio,HP-GOVT,HP-GOVT,HP,SIMHAPURI,SHPPBPL,RUVNL,APL_Raipur TPP,SHPPBPL,SHPPBPL,GBHHPL,JHAJJAR,JPL_DHULE,NHCPL_HP,KAMENG,GBHHPL,JPL-2,SHPPBPL,Nagaland_Ben,HP,SHPPBPL,JSWEL,IND_BHARAT,SHPPBPL,TANGEDCO,TANGEDCO,IEPLBELA2022,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,NDMC,NDMC,BAL234,BYPL,NDMC,TPDDL,BRPL,BRPL,BRPL,TPDDL,BRPL,BRPL,ITCLH,BRPL,BRPL,TPDDL,BAL184,MES (Delhi),UHL,TPDDL,TPDDL,MES (Delhi),BRPL,BRPL,BYPL,BRPL,BAL224,BYPL,BRPL,DTCP,MSSH,DIAPL,TPDDL,TPDDL,MES (Delhi),TPDDL,BRPL,BRPL,BMDRC,BYPL,BRPL,JHPL-DL,BRPL,BRPL,MHIL,BRPL,BYPL,BRPL,
,,West-North,West-North,North-North,South-West-North,West-North,North-North,West-North,South-West-North,North-North,South-West-North,West-North,North-North,South-West-North,South-West-North,West-North,North-North,North-North,West-North,North-North,West-North,West-North,West-North,North-North,North-North,North-North,South-West-North,North-North,North-North,West-North,North-North,North-North,North-North,North-North,West-North,North-North,North East-East-North,North-North,West-North,North-North,North East-East-North,North-North,North-North,South-East-West-North,East-West-North,North-North,South-West-North,South-West-North,West-North,
1,00:00-00:15,37.270000,37.270000,0.880000,308.770000,12.430000,26.050000,48.240000,0.000000,0.000000,0.000000,0.000000,96.490000,0.630000,96.490000,0.000000,241.220000,0.350000,0,0.610000,48.240000,96.490000,1.930000,96.490000,96.490000,48.240000,0.000000,0.520000,66.760000,192.980000,0.480000,0.680000,6.750000,0.000000,36.180000,1.930000,166.930000,19.300000,0.000000,0.970000,13.510000,144.740000,1.590000,28.950000,0.000000,0.880000,48.610000,64.730000,0.000000,2091.07

2,00:15-00:30,37.270000,37.270000,0.880000,308.770000,12.430000,26.050000,48.240000,0.000000,0.000000,0.000000,0.000000,96.490000,0.630000,96.490000,0.000000,241.220000,0.350000,0,0.610000,48.240000,96.490000,1.930000,96.490000,96.490000,48.240000,0.000000,0.520000,66.760000,192.980000,0.480000,0.680000,6.750000,0.000000,36.180000,1.930000,166.930000,19.300000,0.000000,0.970000,13.510000,144.740000,1.590000,28.950000,0.000000,0.880000,48.610000,64.730000,0.000000,2091.07

3,00:30-00:45,37.270000,37.270000,0.880000,308.770000,12.430000,26.050000,48.240000,0.000000,0.000000,0.000000,0.000000,96.490000,0.630000,96.490000,0.000000,241.220000,0.350000,0,0.610000,48.240000,96.490000,1.930000,96.490000,96.490000,48.240000,0.000000,0.520000,66.760000,192.980000,0.480000,0.680000,6.750000,0.000000,36.180000,1.930000,166.930000,19.300000,0.000000,0.970000,13.510000,144.740000,1.590000,28.950000,0.000000,0.880000,48.610000,64.730000,0.000000,2091.07

4,00:45-01:00,37.270000,37.270000,0.880000,308.770000,12.430000,26.050000,48.240000,0.000000,0.000000,0.000000,0.000000,96.490000,0.630000,96.490000,0.000000,241.220000,0.350000,0,0.610000,48.240000,96.490000,1.930000,96.490000,96.490000,48.240000,0.000000,0.520000,66.760000,192.980000,0.480000,0.680000,6.750000,0.000000,36.180000,1.930000,166.930000,19.300000,0.000000,0.970000,13.510000,144.740000,1.590000,28.950000,0.000000,0.880000,48.610000,64.730000,0.000000,2091.07

5,01:00-01:15,37.270000,37.270000,0.880000,308.770000,12.430000,26.050000,48.240000,0.000000,0.000000,0.000000,0.000000,96.490000,0.580000,48.240000,0.000000,241.220000,0.350000,0,0.610000,48.240000,96.490000,1.930000,48.240000,0.000000,48.240000,0.000000,0.520000,66.760000,192.980000,0.480000,0.680000,6.750000,0.000000,36.180000,1.930000,166.930000,19.300000,0.000000,0.970000,13.510000,144.740000,1.590000,28.950000,0.000000,0.880000,48.610000,64.730000,0.000000,1898.03

6,01:15-01:30,37.270000,37.270000,0.880000,308.770000,12.430000,26.050000,48.240000,0.000000,0.000000,0.000000,0.000000,96.490000,0.580000,48.240000,0.000000,241.220000,0.350000,0,0.610000,48.240000,96.490000,1.930000,48.240000,0.000000,48.240000,0.000000,0.520000,66.760000,192.980000,0.480000,0.680000,6.750000,0.000000,36.180000,1.930000,166.930000,19.300000,0.000000,0.970000,13.510000,144.740000,1.590000,28.950000,0.000000,0.880000,48.610000,64.730000,0.000000,1898.03

7,01:30-01:45,37.270000,37.270000,0.880000,308.770000,12.430000,26.050000,48.240000,0.000000,0.000000,0.000000,0.000000,96.490000,0.580000,48.240000,0.000000,241.220000,0.350000,0,0.610000,48.240000,96.490000,1.930000,0.000000,0.000000,48.240000,0.000000,0.520000,66.760000,192.980000,0.480000,0.680000,6.750000,0.000000,36.180000,1.930000,166.930000,19.300000,0.000000,0.970000,13.510000,144.740000,1.590000,28.950000,0.000000,0.880000,48.610000,64.730000,0.000000,1849.79

8,01:45-02:00,37.270000,37.270000,0.880000,308.770000,12.430000,26.050000,48.240000,0.000000,0.000000,0.000000,0.000000,96.490000,0.580000,48.240000,0.000000,241.220000,0.350000,0,0.610000,48.240000,96.490000,1.930000,0.000000,0.000000,48.240000,0.000000,0.520000,66.760000,192.980000,0.480000,0.680000,6.750000,0.000000,36.180000,1.930000,166.930000,19.300000,0.000000,0.970000,13.510000,144.740000,1.590000,28.950000,0.000000,0.880000,48.610000,64.730000,0.000000,1849.79

9,02:00-02:15,37.270000,37.270000,0.880000,308.770000,12.430000,26.050000,0.000000,0.000000,0.000000,0.000000,0.000000,96.490000,0.530000,0.000000,0.000000,241.220000,0.350000,0,0.610000,48.240000,96.490000,1.930000,0.000000,0.000000,48.240000,0.000000,0.520000,66.760000,192.980000,0.480000,0.680000,6.750000,0.000000,36.180000,1.930000,166.930000,0.000000,0.000000,0.970000,13.510000,144.740000,1.590000,0.000000,0.000000,0.880000,48.610000,64.730000,0.000000,1705.01

10,02:15-02:30,37.270000,37.270000,0.880000,308.770000,12.430000,26.050000,0.000000,0.000000,0.000000,0.000000,0.000000,96.490000,0.530000,0.000000,0.000000,241.220000,0.350000,0,0.610000,48.240000,96.490000,1.930000,0.000000,0.000000,48.240000,0.000000,0.520000,66.760000,192.980000,0.480000,0.680000,6.750000,0.000000,36.180000,1.930000,166.930000,0.000000,0.000000,0.970000,13.510000,144.740000,1.590000,0.000000,0.000000,0.880000,48.610000,64.730000,0.000000,1705.01

11,02:30-02:45,37.270000,37.270000,0.880000,308.770000,12.430000,26.050000,0.000000,0.000000,0.000000,0.000000,0.000000,96.490000,0.530000,0.000000,0.000000,241.220000,0.350000,0,0.610000,48.240000,96.490000,1.930000,0.000000,0.000000,48.240000,0.000000,0.520000,66.760000,192.980000,0.480000,0.680000,6.750000,0.000000,36.180000,1.930000,166.930000,0.000000,0.000000,0.970000,13.510000,144.740000,1.590000,0.000000,0.000000,0.880000,48.610000,64.730000,0.000000,1705.01

12,02:45-03:00,37.270000,37.270000,0.880000,308.770000,12.430000,26.050000,0.000000,0.000000,0.000000,0.000000,0.000000,96.490000,0.530000,0.000000,0.000000,241.220000,0.350000,0,0.610000,48.240000,96.490000,1.930000,0.000000,0.000000,48.240000,0.000000,0.520000,66.760000,192.980000,0.480000,0.680000,6.750000,0.000000,36.180000,1.930000,166.930000,0.000000,0.000000,0.970000,13.510000,144.740000,1.590000,0.000000,0.000000,0.880000,48.610000,64.730000,0.000000,1705.01

13,03:00-03:15,37.270000,37.270000,0.880000,308.770000,12.430000,26.050000,0.000000,0.000000,0.000000,0.000000,0.000000,96.490000,0.480000,0.000000,0.000000,183.330000,0.350000,0,0.610000,48.240000,96.490000,1.930000,0.000000,0.000000,48.240000,0.000000,0.520000,66.760000,192.980000,0.480000,0.680000,5.790000,57.890000,36.180000,1.930000,166.930000,0.000000,0.000000,0.970000,13.510000,144.740000,1.590000,0.000000,0.000000,0.880000,48.610000,64.730000,0.000000,1704

14,03:15-03:30,37.270000,37.270000,0.880000,308.770000,12.430000,26.050000,0.000000,0.000000,0.000000,0.000000,0.000000,96.490000,0.480000,0.000000,0.000000,183.330000,0.350000,0,0.610000,48.240000,96.490000,1.930000,0.000000,0.000000,48.240000,0.000000,0.520000,66.760000,192.980000,0.480000,0.680000,5.790000,57.890000,36.180000,1.930000,166.930000,0.000000,0.000000,0.970000,13.510000,144.740000,1.590000,0.000000,0.000000,0.880000,48.610000,64.730000,0.000000,1704

15,03:30-03:45,37.270000,37.270000,0.880000,308.770000,12.430000,26.050000,0.000000,0.000000,0.000000,0.000000,0.000000,96.490000,0.480000,0.000000,0.000000,183.330000,0.350000,0,0.610000,48.240000,96.490000,1.930000,0.000000,0.000000,48.240000,0.000000,0.520000,66.760000,192.980000,0.480000,0.680000,5.790000,57.890000,36.180000,1.930000,166.930000,0.000000,0.000000,0.970000,13.510000,144.740000,1.590000,0.000000,0.000000,0.880000,48.610000,64.730000,0.000000,1704

16,03:45-04:00,37.270000,37.270000,0.880000,308.770000,12.430000,26.050000,0.000000,0.000000,0.000000,0.000000,0.000000,96.490000,0.480000,0.000000,0.000000,183.330000,0.350000,0,0.610000,48.240000,96.490000,1.930000,0.000000,0.000000,48.240000,0.000000,0.520000,66.760000,192.980000,0.480000,0.680000,5.790000,57.890000,36.180000,1.930000,166.930000,0.000000,0.000000,0.970000,13.510000,144.740000,1.590000,0.000000,0.000000,0.880000,48.610000,64.730000,0.000000,1704

