Time,Block,NR/2023/12225/D,NR/2023/10236/A,NR/2023/12245/C,NR/2023/11342/A,NR/2023/11956/F,NR/2023/11961/F,NR/2023/11947/F,NR/2023/11952/F,NR/2023/11941/F,NR/2023/10613/A,NR/2023/12240/C,NR/2023/11955/F,NR/2023/11960/F,NR/2023/12234/C,NR/2023/11963/F,NR/2023/11959/F,NR/2023/11958/F,NR/2023/11962/F,NR/2023/11862/F,NR/2023/10229/A,NR/2023/11957/F,NR/2023/11476/A,NR/2023/12241/C,NR/2023/10487/A,NR/2023/12227/D,NR/2023/10344/A,NR/2023/12235/C,NR/2023/12229/D,NR/2023/12228/D,Total
,,NVVNL,NVVNL,IEXL,IEXL,SHPPBPL,SHPPBPL,HPXL,KEIPL,NVVNL,APPCPL,GBHHPL,SHPPBPL,SHPPBPL,PXIL,SHPPBPL,SHPPBPL,SHPPBPL,SHPPBPL,APPCPL,NVVNL,SHPPBPL,IEXL,TPDDL,TPTCL,NVVNL,BYPL,PXIL,TS1PL_BKN,TS1PL_BKN,Total

,,NA,NA,DELHI,TELANGANA,HIMACHAL PRADESH,HIMACHAL PRADESH,MAHARASHTRA,MEGHALAYA,NA,NAGALAND,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MANIPUR,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,NA,MEGHALAYA,DELHI,NA,NA,
,,SOLAPUR_SOLAR,ILFS,BYPL,NAVABHARAT,SHPPBPL,SHPPBPL,B_S_ISPAT_MH,Meghalaya_Ben,SKS Raigarh,Nagaland_Ben,GBHHPL,SHPPBPL,SHPPBPL,BYPL,SHPPBPL,SHPPBPL,SHPPBPL,SHPPBPL,Manipur_Ben,JPNIGRIE_JNSTPP,SHPPBPL,JSPL_DCPP,CHANJUII,APNRL,KAMENG,Meghalaya_Ben,BYPL,TS1PL_BKN,TS1PL_BKN,
,,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,
,,MES (Delhi),BRPL,AMBASTL,BRPL,BAL224,JHPL-DL,NDMC,BYPL,NDMC,BYPL,DIAPL,BAL184,MAX-HPTL,ASIL_UP,UHL,BMDRC,AISHER,MHIL,STT,BRPL,BAL234,BRPL,TPDDL,TPDDL,TPDDL,BYPL,TISCL_UP,BYPL,BRPL,
,,West-North,South-West-North,North-North,South-West-North,North-North,North-North,West-North,North East-East-North,West-North,North East-East-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North East-East-North,West-North,North-North,West-North,North-North,East-North,North East-East-North,North East-East-North,North-North,North-North,North-North,
1,00:00-00:15,0,214.830000,0.000000,115.980000,0.370000,0.700000,6.770000,36.470000,62.820000,12.660000,26.490000,0.360000,0.640000,0.000000,0.420000,0.640000,0.560000,0.420000,2.900000,42.970000,0.720000,48.320000,13.470000,41.560000,67.080000,12.250000,0.000000,0,0,709.4

2,00:15-00:30,0,214.830000,0.000000,115.980000,0.370000,0.700000,6.770000,36.470000,62.820000,12.660000,26.490000,0.360000,0.640000,0.000000,0.420000,0.640000,0.560000,0.420000,2.900000,42.970000,0.720000,48.320000,13.470000,41.560000,67.080000,12.250000,0.000000,0,0,709.4

3,00:30-00:45,0,214.830000,0.000000,115.980000,0.370000,0.700000,6.770000,36.470000,62.820000,12.660000,26.490000,0.360000,0.640000,0.000000,0.420000,0.640000,0.560000,0.420000,2.900000,42.970000,0.720000,48.320000,13.470000,41.560000,67.080000,12.250000,0.000000,0,0,709.4

4,00:45-01:00,0,214.830000,0.000000,115.980000,0.370000,0.700000,6.770000,36.470000,62.820000,12.660000,26.490000,0.360000,0.640000,0.000000,0.420000,0.640000,0.560000,0.420000,2.900000,42.970000,0.720000,48.320000,13.470000,41.560000,67.080000,12.250000,0.000000,0,0,709.4

5,01:00-01:15,0,214.830000,0.000000,115.980000,0.370000,0.700000,6.770000,36.470000,62.820000,12.660000,26.490000,0.360000,0.640000,0.000000,0.420000,0.640000,0.560000,0.420000,2.900000,42.970000,0.720000,48.320000,13.380000,41.560000,67.080000,12.250000,0.000000,0,0,709.31

6,01:15-01:30,0,214.830000,0.000000,115.980000,0.370000,0.700000,6.770000,36.470000,62.820000,12.660000,26.490000,0.360000,0.640000,0.000000,0.420000,0.640000,0.560000,0.420000,2.900000,42.970000,0.720000,48.320000,13.380000,41.560000,67.080000,12.250000,0.000000,0,0,709.31

7,01:30-01:45,0,214.830000,0.000000,115.980000,0.370000,0.700000,6.770000,36.470000,62.820000,12.660000,26.490000,0.360000,0.640000,0.000000,0.420000,0.640000,0.560000,0.420000,2.900000,42.970000,0.720000,48.320000,13.380000,41.560000,67.080000,12.250000,0.000000,0,0,709.31

8,01:45-02:00,0,214.830000,0.000000,115.980000,0.370000,0.700000,6.770000,36.470000,62.820000,12.660000,26.490000,0.360000,0.640000,0.000000,0.420000,0.640000,0.560000,0.420000,2.900000,42.970000,0.720000,48.320000,13.380000,41.560000,67.080000,12.250000,0.000000,0,0,709.31

9,02:00-02:15,0,214.830000,10.000000,115.980000,0.370000,0.700000,6.770000,36.470000,62.820000,12.660000,26.490000,0.360000,0.640000,30.000000,0.420000,0.640000,0.560000,0.420000,2.900000,42.970000,0.720000,48.320000,13.290000,41.560000,67.080000,12.250000,8.500000,0,0,757.72

10,02:15-02:30,0,214.830000,10.000000,115.980000,0.370000,0.700000,6.770000,36.470000,62.820000,12.660000,26.490000,0.360000,0.640000,30.000000,0.420000,0.640000,0.560000,0.420000,2.900000,42.970000,0.720000,48.320000,13.290000,41.560000,67.080000,12.250000,8.500000,0,0,757.72

11,02:30-02:45,0,214.830000,10.000000,115.980000,0.370000,0.700000,6.770000,36.470000,62.820000,12.660000,26.490000,0.360000,0.640000,30.000000,0.420000,0.640000,0.560000,0.420000,2.900000,42.970000,0.720000,48.320000,13.290000,41.560000,67.080000,12.250000,8.500000,0,0,757.72

12,02:45-03:00,0,214.830000,10.000000,115.980000,0.370000,0.700000,6.770000,36.470000,62.820000,12.660000,26.490000,0.360000,0.640000,30.000000,0.420000,0.640000,0.560000,0.420000,2.900000,42.970000,0.720000,48.320000,13.290000,41.560000,67.080000,12.250000,8.500000,0,0,757.72

13,03:00-03:15,0,214.830000,10.000000,115.980000,0.370000,0.700000,6.770000,0.000000,62.820000,12.660000,26.490000,0.360000,0.640000,30.000000,0.420000,0.640000,0.560000,0.420000,2.900000,42.970000,0.720000,48.320000,13.190000,41.560000,67.080000,12.250000,8.500000,0,0,721.15

14,03:15-03:30,0,214.830000,10.000000,115.980000,0.370000,0.700000,6.770000,0.000000,62.820000,12.660000,26.490000,0.360000,0.640000,30.000000,0.420000,0.640000,0.560000,0.420000,2.900000,42.970000,0.720000,48.320000,13.190000,41.560000,67.080000,12.250000,8.500000,0,0,721.15

15,03:30-03:45,0,214.830000,10.000000,115.980000,0.370000,0.700000,6.770000,0.000000,62.820000,12.660000,26.490000,0.360000,0.640000,30.000000,0.420000,0.640000,0.560000,0.420000,2.900000,42.970000,0.720000,48.320000,13.190000,41.560000,67.080000,12.250000,8.500000,0,0,721.15

16,03:45-04:00,0,214.830000,10.000000,115.980000,0.370000,0.700000,6.770000,0.000000,62.820000,12.660000,26.490000,0.360000,0.640000,30.000000,0.420000,0.640000,0.560000,0.420000,2.900000,42.970000,0.720000,48.320000,13.190000,41.560000,67.080000,12.250000,8.500000,0,0,721.15

17,04:00-04:15,0,214.830000,10.000000,115.980000,0.370000,0.700000,6.770000,0.000000,62.820000,12.660000,26.490000,0.360000,0.640000,30.000000,0.420000,0.640000,0.560000,0.420000,2.900000,42.970000,0.720000,48.320000,13.110000,41.560000,67.080000,12.250000,8.500000,0,0,721.07

18,04:15-04:30,0,214.830000,10.000000,115.980000,0.370000,0.700000,6.770000,0.000000,62.820000,12.660000,26.490000,0.360000,0.640000,30.000000,0.420000,0.640000,0.560000,0.420000,2.900000,42.970000,0.720000,48.320000,13.110000,41.560000,67.080000,12.250000,8.500000,0,0,721.07

19,04:30-04:45,0,214.830000,10.000000,115.980000,0.370000,0.700000,6.770000,0.000000,62.820000,12.660000,26.490000,0.360000,0.640000,30.000000,0.420000,0.640000,0.560000,0.420000,2.900000,42.970000,0.720000,48.320000,13.110000,41.560000,67.080000,12.250000,8.500000,0,0,721.07

20,04:45-05:00,0,214.830000,10.000000,115.980000,0.370000,0.700000,6.770000,0.000000,62.820000,12.660000,26.490000,0.360000,0.640000,30.000000,0.420000,0.640000,0.560000,0.420000,2.900000,42.970000,0.720000,48.320000,13.110000,41.560000,67.080000,12.250000,8.500000,0,0,721.07

