Block,Time,DADRT2,DHAULIGNGA,KHSTPP-I,KISHANGANGA,NJPC,NLCEXP,NLCIIST1,TelanganaSTPP,URI,BRBCL,MAPS,PARBATI3,RIHAND3,RSTPSU1TO6,RSTPSU7,SALAL,TEHRI,CHAMERA1,JHAJJAR,KGSU3AND4,KHSTPP-II,KKNP,SIMHST2,ANTA_LF,ANTA_RF,AURY_GF,AURY_LF,AURY_RF,DADRI_CRF,DADRI_RF,NTPL,SEWA2,TANAKPUR,TANDA2,URI2,DULHASTI,KUDGI,NLCIIST2,SINGRAULI,KKNPPU2,NLCTS2EXP,RAMPUR,RAPPB,RIHAND1,RIHAND2,SINGRAULI_HYDRO,UNCHAHAR1,UNCHAHAR2,UNCHAHAR3,VALLURNTECL,ANTA_GF,DADRI_GF,DADRI_LF,CHAMERA3,KOLDAM,RAPPC,SIMHST1,TALA,UNCHAHAR4,ANTA_CRF,BSIUL,CHAMERA2,FSTPP I & II,KGSU1AND2,KOTESHWR,NAPP,NNTPP,SASAN,TALST2,AURY_CRF
1,00:00-00:15,683.14,0,33.69,0,0,0,0,0,1.11,20,0,0,124.32,0,0,1.4,0,0,654.3,0,148.3,0,0,0,44.83,0,0,71.46,0,69.38,0,0,5.76,0,4.31,16.48,0,0,125.96,0,0,0,0,92,118.75,0,16.28,42.39,26.39,0,0,0,23.57,0,0,26.39,0,0,0,0,0,0,17.52,0,8.88,44.21,0,348.98,0,0

2,00:15-00:30,683.14,0,33.69,0,0,0,0,0,1.11,20,0,0,124.32,0,0,1.4,0,0,654.3,0,148.3,0,0,0,44.83,0,0,71.46,0,69.38,0,0,5.76,0,4.31,16.48,0,0,125.96,0,0,0,0,92,118.75,0,16.28,42.39,26.39,0,0,0,23.57,0,0,26.39,0,0,0,0,0,0,17.52,0,8.88,44.21,0,348.98,0,0

3,00:30-00:45,683.14,0,33.69,0,0,0,0,0,1.11,20,0,0,124.32,0,0,1.4,0,0,654.3,0,148.3,0,0,0,44.83,0,0,71.46,0,69.38,0,0,5.76,0,4.31,16.48,0,0,125.96,0,0,0,0,92,118.75,0,16.28,42.39,26.39,0,0,0,23.57,0,0,26.39,0,0,0,0,0,0,17.52,0,8.88,44.21,0,348.98,0,0

4,00:45-01:00,683.14,0,33.69,0,0,0,0,0,1.11,20,0,0,124.32,0,0,1.4,0,0,654.3,0,148.3,0,0,0,44.83,0,0,71.46,0,69.38,0,0,5.76,0,4.31,16.48,0,0,125.96,0,0,0,0,92,118.75,0,16.28,42.39,26.39,0,0,0,23.57,0,0,26.39,0,0,0,0,0,0,17.52,0,8.88,44.21,0,348.98,0,0

5,01:00-01:15,683.14,0,33.69,0,0,0,0,0,1.11,20,0,0,124.32,0,0,1.4,0,0,654.3,0,148.3,0,0,0,44.83,0,0,71.46,0,69.38,0,0,5.76,0,4.31,16.48,0,0,125.96,0,0,0,0,92,118.75,0,16.28,42.39,26.39,0,0,0,23.57,0,0,26.39,0,0,0,0,0,0,17.52,0,8.88,44.21,0,348.98,0,0

6,01:15-01:30,683.14,0,33.69,0,0,0,0,0,1.11,20,0,0,124.32,0,0,1.4,0,0,654.3,0,148.3,0,0,0,44.83,0,0,71.46,0,69.38,0,0,0,0,4.31,16.48,0,0,125.96,0,0,0,0,92,118.75,0,10.27,42.39,26.39,0,0,0,23.57,0,0,26.39,0,0,0,0,0,0,17.52,0,8.88,44.21,0,348.98,0,0

7,01:30-01:45,683.14,0,33.69,0,0,0,0,0,1.11,20,0,0,124.32,0,0,1.4,0,0,654.3,0,148.3,0,0,0,44.83,0,0,71.46,0,69.38,0,0,0,0,4.31,16.48,0,0,125.96,0,0,0,0,92,118.75,0,10.27,42.39,26.39,0,0,0,23.57,0,0,26.39,0,0,0,0,0,0,17.52,0,8.88,44.21,0,348.98,0,0

8,01:45-02:00,683.14,0,33.69,0,0,0,0,0,1.11,20,0,0,124.32,0,0,1.4,0,0,654.3,0,148.3,0,0,0,44.83,0,0,71.46,0,69.38,0,0,0,0,4.31,16.48,0,0,125.96,0,0,0,0,92,118.75,0,10.27,42.39,26.39,0,0,0,23.57,0,0,26.39,0,0,0,0,0,0,17.52,0,8.88,44.21,0,348.98,0,0

9,02:00-02:15,683.14,0,33.69,0,0,0,0,0,1.11,20,0,0,124.32,0,0,1.4,0,0,654.3,0,148.3,0,0,0,44.83,0,0,71.46,0,69.38,0,0,0,0,4.31,16.48,0,0,125.96,0,0,0,0,92,118.75,0,10.27,42.39,26.39,0,0,0,23.57,0,0,26.39,0,0,0,0,0,0,17.52,0,8.88,44.21,0,348.98,0,0

