Block,Time,NR/30092023/26122029/SH-06,NR/27012024/27012024/HPX-TAMCTG-260124-05930,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05424,NR/01102023/06022042/L_NR_2012_02,NR/01102023/23072042/L_NR_2012_04,NR/01102023/31052040/LT-31,NR/01102023/19072037/LT-05,NR/01102023/05012040/L_NR_2020_02,NR/01102023/15082037/GNA_NR_2012_01,NR/01012024/31012024/HPX-TAMLDCRA-141223-05419,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_35,NR/01012024/31012024/HP-26,NR/20122023/29022024/IEX_LDC_231218_00502,NR/01102023/31102037/L_NR_2019_11,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05423,NR/01012024/31032024/ ChanjuII,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/22052037/LT-59,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01012024/31012024/HP-28,NR/01012024/31012024/HP-27,NR/06012024/31012024/NVVN/OA/16855,NR/20122023/29022024/IEX_LDC_231218_00501,NR/01012024/31012024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/30092023/31122025/SH-07,NR/27012024/27012024/IEX_240126-06199,NR/01012024/31012024/52,NR/01102023/30042040/GNA_LT_36,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,NR/01102023/25072045/L_NR_2021_15,NR/26072023/25122043/L_NR_2023_10,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2022_09,SR/01102023/07102043/L_NR_2018_61,NR/05012024/31012024/SJVN050124NR1342,NR/05012024/31012024/SJVN050124NR1341,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2020_06,NR/01102023/02012046/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,L_NR_2019_19,NR/26072023/31072042/L_NR_2023_07
1,00:00-00:15,23.150000,0.000000,18.260000,173.240000,192.240000,0.000000,70.070000,1.340000,53.830000,6.730000,57.310000,0.000000,152.330000,11.530000,0.950000,5.770000,1.290000,23.070000,0.690000,0.000000,24.500000,57.240000,48.060000,8.170000,48.060000,23.150000,0.000000,0.000000,0.000000,0,0,29.63,0,0,0,9.45,0,0,17.59,29.63,29.09,0,0,0,17.59,0,0,52.78,0,0,0,0

2,00:15-00:30,23.150000,0.000000,18.260000,173.240000,148.680000,0.000000,70.070000,1.340000,53.830000,6.730000,57.310000,0.000000,152.330000,11.530000,0.950000,5.770000,1.290000,23.070000,0.690000,0.000000,24.500000,57.240000,48.060000,8.170000,48.060000,23.150000,0.000000,0.000000,0.000000,0,0,30.22,0,0,0,9.98,0,0,17.92,30.22,28.02,0,0,0,17.93,0,0,53.78,0,0,0,0

3,00:30-00:45,23.150000,0.000000,18.260000,173.240000,148.680000,0.000000,70.070000,1.340000,53.830000,6.730000,57.310000,0.000000,152.330000,11.530000,0.950000,5.770000,1.290000,23.070000,0.690000,0.000000,24.500000,57.240000,48.060000,8.170000,48.060000,23.150000,0.000000,0.000000,0.000000,0,0,31.22,0,0,0,10.75,0,0,18.43,31.22,26.14,0,0,0,18.41,0,0,55.28,0,0,0,0

4,00:45-01:00,23.150000,0.000000,18.260000,142.260000,148.680000,0.000000,70.070000,1.340000,53.830000,6.730000,33.640000,0.000000,152.330000,11.530000,0.950000,5.770000,1.290000,23.070000,0.690000,0.000000,24.500000,57.240000,48.060000,8.170000,48.060000,23.150000,0.000000,0.000000,0.000000,0,0,32.51,0,0,0,11.65,0,0,18.94,32.51,24.14,0,0,0,18.94,0,0,56.81,0,0,0,0

5,01:00-01:15,23.150000,0.000000,18.260000,113.420000,148.680000,0.000000,70.070000,1.340000,53.830000,6.730000,33.640000,0.000000,152.330000,11.530000,0.950000,5.770000,1.290000,23.070000,0.690000,0.000000,24.500000,57.240000,48.060000,8.170000,48.060000,23.150000,0.000000,0.000000,0.000000,0,0,34.13,0,0,0,12.21,0,0,19.44,34.13,22.14,0,0,0,19.45,0,0,58.33,0,0,0,0

6,01:15-01:30,23.150000,0.000000,18.260000,113.420000,148.680000,0.000000,70.070000,1.340000,53.830000,6.730000,33.640000,0.000000,152.330000,11.530000,0.950000,5.770000,1.290000,23.070000,0.690000,0.000000,24.500000,57.240000,48.060000,8.170000,48.060000,23.150000,0.000000,0.000000,0.000000,0,0,34.96,0,0,0,12.5,0,0,19.9,34.96,20.06,0,0,0,19.9,0,0,59.71,0,0,0,0

7,01:30-01:45,23.150000,0.000000,18.260000,113.420000,148.680000,0.000000,70.070000,1.340000,53.830000,6.730000,33.640000,0.000000,152.330000,11.530000,0.950000,5.770000,1.290000,23.070000,0.690000,0.000000,24.500000,57.240000,48.060000,8.170000,48.060000,23.150000,0.000000,0.000000,0.000000,0,0,37.99,0,0,0,7.12,0,0,9.43,37.99,18.74,0,0,0,9.44,0,0,28.3,0,0,0,0

8,01:45-02:00,23.150000,0.000000,18.260000,113.420000,148.680000,0.000000,70.070000,1.340000,53.830000,6.730000,33.640000,0.000000,152.330000,11.530000,0.950000,5.770000,1.290000,23.070000,0.690000,0.000000,24.500000,57.240000,48.060000,8.170000,48.060000,23.150000,0.000000,0.000000,0.000000,0,0,40.98,0,0,0,7.88,0,0,10,40.98,17.16,0,0,0,10,0,0,30,0,0,0,0

9,02:00-02:15,23.150000,0.000000,18.260000,113.420000,148.680000,0.000000,70.070000,1.340000,53.830000,6.730000,33.640000,0.000000,152.330000,11.530000,0.950000,5.770000,1.290000,23.070000,0.690000,0.000000,24.500000,57.240000,48.060000,8.170000,48.060000,23.150000,0.000000,0.000000,0.000000,0,0,43.81,0,0,0,11.88,0,0,17.59,43.81,16.74,0,0,0,17.58,0,0,52.76,0,0,0,0

10,02:15-02:30,23.150000,0.000000,18.260000,113.420000,148.680000,0.000000,70.070000,1.340000,53.830000,6.730000,33.640000,0.000000,152.330000,11.530000,0.950000,5.770000,1.290000,23.070000,0.690000,0.000000,24.500000,57.240000,48.060000,8.170000,48.060000,23.150000,0.000000,0.000000,0.000000,0,0,47.08,0,0,0,12.88,0,0,18.1,47.08,16.08,0,0,0,18.11,0,0,54.32,0,0,0,0

11,02:30-02:45,23.150000,0.000000,18.260000,113.420000,148.680000,0.000000,70.070000,1.340000,53.830000,6.730000,33.640000,0.000000,152.330000,11.530000,0.950000,5.770000,1.290000,23.070000,0.690000,0.000000,24.500000,57.240000,48.060000,8.170000,48.060000,23.150000,0.000000,0.000000,0.000000,0,0,64.36,0,0,0,14.19,0,0,27.62,64.36,20.12,0,0,0,27.63,0,0,82.86,0,0,0,0

