Block,Time Block,KHSTPP-II,KHSTPP-I,TEHRI,TANDA2,TANAKPUR,TEHRIPSP,TALA,TALST2,KGSU3AND4,RSTPSU1TO6,DULHASTI,FSTPP I & II,KGSU1AND2,JHAJJAR,SINGRAULI_HYDRO,SIMHST1,SIMHST2,SINGRAULI,DADRI_LF,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_RF,RIHAND2,RAPPC,RIHAND1,RAPPD,RIHAND3,RAMPUR,RAPPB,SALAL,SEWA2,SASAN,VALLURNTECL,ANTA_RF,ANTA_GF,URI2,ANTA_LF,ANTA_CRF,URI,AURY_CRF,RSTPSU7,UNCHAHAR3,TelanganaSTPP,UNCHAHAR2,UNCHAHAR1,UNCHAHAR4,MAPS,NTPL,PARBATI2,PARBATI3,NLCTS2EXP,NNTPP,CHAMERA3,DHAULIGNGA,DADRT2,KOTESHWR,KUDGI,BRBCL,BSIUL,CHAMERA2,CHAMERA1,KKNP,KISHANGANGA,KOLDAM,KKNPPU2,NAPP,NLCEXP,NLCIIST1,NJPC,NLCIIST2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,142.74,32.36,48.68,5.34,12.33,68.06,24.25,0,0,0,53.3,19.75,0,222.4,1.04,0,0,145.06,0,0,0,0,0,2.07,2.13,120.57,62.97,94.63,23.69,125.93,5.49,0,82.21,0,264.02,0,1.12,0,37.51,0,0,34.01,0,0,26.65,0,43.31,20.84,3.1,0,0,0,31.48,0,0,32.67,40.87,528.78,29.29,0,17.73,12.55,45.35,40.57,0,6.79,8.3,0,23.7,0,0,169.2,0,0,0,0,0,0

2,00:15-00:30,142.74,32.43,48.68,5.34,12.33,68.06,24.25,0,0,0,53.3,20.02,0,222.4,1.04,0,0,145.06,0,0,0,0,0,0,0,120.57,62.97,94.63,23.69,125.93,5.49,0,82.21,0,264.21,0,0,0,37.51,0,0,34.01,0,0,26.65,0,43.31,20.84,3.1,0,0,0,31.48,0,0,32.67,40.87,528.78,29.29,0,14.45,12.55,45.35,40.57,0,6.79,8.3,0,23.7,0,0,169.2,0,0,0,0,0,0

3,00:30-00:45,142.74,32.43,48.68,5.34,12.33,68.06,24.25,0,0,0,53.3,20.02,0,222.4,1.04,0,0,143.49,0,0,0,0,0,0,0,120.57,62.97,94.63,23.69,125.93,5.49,0,82.21,0,264.21,0,0,0,24,0,0,34.01,0,0,26.65,0,43.31,20.84,3.1,0,0,0,31.48,0,0,32.67,40.87,528.78,29.29,0,13.79,12.55,45.35,40.57,0,6.79,8.3,0,23.7,0,0,169.2,0,0,0,0,0,0

4,00:45-01:00,142.74,32.43,48.68,5.34,12.33,68.06,24.25,0,0,0,53.3,20.02,0,222.4,1.04,0,0,143.49,0,0,0,0,0,0,0,120.57,62.97,94.63,23.69,125.93,5.49,0,82.21,0,264.21,0,0,0,24,0,0,34.01,0,0,26.65,0,43.31,20.84,3.1,0,0,0,31.48,0,0,32.67,40.87,528.78,29.29,0,13.23,12.55,45.35,40.57,0,6.79,8.3,0,23.7,0,0,169.2,0,0,0,0,0,0

5,01:00-01:15,142.74,32.43,48.68,5.34,12.33,68.06,24.25,0,0,0,53.3,20.02,0,193.53,1.04,0,0,143.49,0,0,0,0,0,0,0,120.57,62.97,94.63,23.69,125.93,5.49,0,82.21,0,264.21,0,0,0,24,0,0,34.01,0,0,26.65,0,43.31,20.84,3.1,0,0,0,31.48,0,0,32.67,40.87,524.78,29.29,0,13.24,12.55,45.35,40.57,0,6.79,8.3,0,23.7,0,0,169.2,0,0,0,0,0,0

6,01:15-01:30,142.74,32.43,48.68,5.34,12.33,0,24.25,0,0,0,53.3,20.02,0,166.58,1.04,0,0,143.49,0,0,0,0,0,0,0,120.57,62.97,94.63,23.69,125.93,5.49,0,82.21,0,264.21,0,0,0,24,0,0,34.01,0,0,26.65,0,43.31,20.84,3.1,0,0,0,31.48,0,0,32.67,40.87,472.91,29.29,0,13.27,12.55,45.35,40.57,0,6.79,8.3,0,23.7,0,0,169.2,0,0,0,0,0,0

7,01:30-01:45,142.74,32.43,48.68,5.34,12.33,0,24.25,0,0,0,53.3,20.02,0,136.74,1.04,0,0,143.49,0,0,0,0,0,0,0,120.57,62.97,94.63,23.69,125.93,5.49,0,82.21,0,264.21,0,0,0,24,0,0,34.01,0,0,23.15,0,37.69,18.07,3.1,0,0,0,31.48,0,0,32.67,40.87,378.68,29.29,0,13.26,12.55,45.35,40.57,0,6.79,8.3,0,23.7,0,0,169.2,0,0,0,0,0,0

