Column1,Time,NR/01102023/06022042/L_NR_2012_07,NR/01102023/19072037/LT-05,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/05/01/9252,GNA/NR/2025/04/01/8510,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/8964,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,GNARE/SR/2025/01/13/4532,WR/01102023/01102023/L_NR_2022_09,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),GNA/NR/2025/05/01/4138,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/6363,NR/01102023/22052037/LT-59,GNA/NR/2025/05/01/7791,GNA/NR/2025/04/01/8456,NR/01102023/31052040/LT-31,GNA/NR/2025/05/16/9317,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/05/16/1698,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/05/01/6957,NR/01102023/31102037/L_NR_2019_11,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/9395,NR/30092023/26122029/SH-06,GNA/NR/2025/05/01/6160,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/8068,NR/01102023/06022042/L_NR_2012_02,L_NR_2019_19,NR/01102023/25072045/L_NR_2021_15,NR/26072023/25122043/L_NR_2023_10,GNARE/NR/2024/12/20/3668,NR/22102023/11042047/L_NR_2021_17,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12
1,00:00-00:15,87.14,91.34,4.69,13.53,8.63,13.23,3.96,40,83.33,42.02,83.33,120,38.33,40,0,0,0,0,100.65,0,28.98,67.63,5.8,28.98,14.49,5.45,0,5.81,0,0,273.16,0,0,0,164.24,6.16,28.26,17.56,0,30,14.49,26.26,10.63,261.43,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,87.14,112.17,4.69,13.53,8.63,13.23,3.96,40,83.33,42.02,83.33,120,38.33,40,0,0,0,0,100.65,0,28.98,67.63,5.8,28.98,14.49,5.45,0,5.81,0,0,273.16,0,0,0,164.24,6.16,28.26,17.56,0,30,14.49,26.26,10.63,261.43,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,87.14,91.62,4.69,13.53,8.63,13.23,3.96,40,83.33,42.02,83.33,120,38.33,40,0,0,0,0,100.65,0,28.98,67.63,5.8,28.98,14.49,5.45,0,5.81,0,0,273.16,0,0,0,164.24,6.16,28.77,17.56,0,30,14.49,26.26,10.63,261.43,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,87.14,66.88,4.69,13.53,8.63,13.23,3.96,40,83.33,42.02,83.33,120,38.33,40,0,0,0,0,100.65,0,28.98,67.63,5.8,28.98,14.49,5.45,0,5.81,0,0,273.16,0,0,0,164.24,6.16,28.77,17.56,0,30,14.49,26.26,10.63,261.43,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,70.07,86.61,4.69,13.53,8.63,13.23,3.96,40,83.33,42.02,83.33,120,38.33,40,0,0,0,0,100.65,0,28.98,67.63,5.8,28.98,14.49,5.29,0,5.81,0,0,273.16,0,0,0,164.24,6.16,28.77,17.56,0,30,14.49,26.26,10.63,261.43,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,56.63,78.09,4.69,13.53,8.63,13.23,3.96,40,83.33,42.02,83.33,120,38.33,40,0,0,0,0,100.65,0,28.98,67.63,5.8,28.98,14.49,5.29,0,5.81,0,0,273.16,0,0,0,164.24,6.16,28.77,17.56,0,30,14.49,26.26,10.63,256.9,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,56.63,55.02,4.69,13.53,8.63,13.23,3.96,40,88.33,42.02,88.33,120,38.33,40,0,0,0,0,100.65,0,28.98,67.63,5.8,28.98,14.49,5.29,0,5.81,0,0,273.16,0,0,0,164.24,6.16,28.77,17.56,0,30,14.49,26.26,10.63,236.61,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,56.63,70.46,4.69,13.53,8.63,13.23,3.96,40,88.33,42.02,88.33,120,38.33,40,0,0,0,0,100.65,0,28.98,67.63,5.8,28.98,14.49,5.29,0,5.81,0,0,273.16,0,0,0,164.24,6.16,28.77,17.56,0,30,14.49,26.26,10.63,219.22,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,38.64,70.46,4.69,13.53,4.35,13.03,2.17,40,88.33,44.02,88.33,120,38.33,40,0,0,0,0,100.65,96.61,28.98,0,0,0,0,5.14,0,3.24,0,0,273.16,0,0,0,164.24,5.78,28.26,17.56,0,30,14.49,26.26,10.63,170.91,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,38.64,70.46,4.69,13.53,4.35,13.03,2.17,40,88.33,44.02,88.33,120,38.33,40,0,0,0,0,100.65,96.61,28.98,0,0,0,0,5.14,0,3.24,0,0,273.16,0,0,0,164.24,5.78,28.26,17.56,0,30,14.49,26.26,10.63,145.57,0,0,0,0,0,0,0,0,0,0

