Block,Time,NJPC,ANTA_CRF,BRBCL,KHSTPP-II,ANTA_RF,ANTA_LF,KISHANGANGA,UNCHAHAR3,FSTPP I & II,SASAN,URI2,AURY_LF,RAPPC,DHAULIGNGA,DADRI_LF,RIHAND2,KHSTPP-I,DADRI_GF,TALA,SALAL,URI,UNCHAHAR2,TANAKPUR,AURY_CRF,ANTA_GF,KOTESHWR,SEWA2,PARBATI3,DULHASTI,CHAMERA1,BSIUL,UNCHAHAR1,RAPPB,SINGRAULI_HYDRO,CHAMERA3,TEHRI,SINGRAULI,DADRT2,RIHAND1,UNCHAHAR4,RAMPUR,RIHAND3,TANDA2,DADRI_RF,AURY_GF,NAPP,AURY_RF,KOLDAM,CHAMERA2,JHAJJAR,DADRI_CRF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,173.915716,0.000000,19.327956,95.546277,0.000000,0.000000,5.373603,26.687426,15.447904,399.546000,36.617398,0.000000,66.517578,42.073323,0.000000,120.002333,31.089185,0.000000,0.000000,43.795315,32.007168,43.356666,9.779871,0.000000,0.000000,26.737886,12.259727,51.606867,57.187109,40.731905,18.905103,18.310765,0.000000,1.172068,33.660923,40.042089,144.673946,665.479547,93.579411,2.929642,6.518867,125.965408,5.178057,0.000000,0.000000,46.827664,0.000000,9.891175,46.870234,431.604870,0.000000,0,0,0,0,0

2,00:15-00:30,173.915716,0.000000,19.327956,95.546277,0.000000,0.000000,5.373603,26.687426,15.447904,399.546000,36.617398,0.000000,66.517578,42.073323,0.000000,120.002333,31.089185,0.000000,0.000000,43.795315,32.007168,43.356666,9.779871,0.000000,0.000000,26.737886,12.259727,51.606867,57.187109,40.731905,18.905103,18.310765,0.000000,1.172068,33.660923,40.042089,144.673946,665.479759,93.579411,2.929642,6.518867,125.965408,5.178057,0.000000,0.000000,46.827664,0.000000,9.891175,46.870234,431.604870,0.000000,0,0,0,0,0

3,00:30-00:45,173.915716,0.000000,19.327956,95.546277,0.000000,0.000000,5.373603,26.687426,15.447904,399.546000,36.617398,0.000000,66.517578,42.073323,0.000000,120.002333,31.089185,0.000000,0.000000,43.795315,32.007168,43.356666,9.779871,0.000000,0.000000,26.737886,12.259727,51.606867,57.187109,40.731905,18.905103,18.310765,0.000000,1.172068,33.660923,40.042089,144.673946,665.479759,93.579411,2.929642,6.518867,125.965408,5.178057,0.000000,0.000000,46.827664,0.000000,9.891175,46.870234,431.604870,0.000000,0,0,0,0,0

4,00:45-01:00,173.915716,0.000000,17.026119,95.546277,0.000000,0.000000,5.373603,26.687426,15.447904,399.546000,36.617398,0.000000,66.517578,42.073323,0.000000,120.002333,31.089185,0.000000,0.000000,43.795315,32.007168,43.356666,5.447017,0.000000,0.000000,26.737886,12.259727,51.606867,57.187109,40.731905,18.905103,18.310765,0.000000,1.172068,33.660923,40.042089,144.673946,665.479759,93.579411,2.929642,6.518867,125.965408,5.178057,0.000000,0.000000,46.827664,0.000000,9.891175,46.870234,431.604870,0.000000,0,0,0,0,0

5,01:00-01:15,173.915716,0.000000,14.477915,95.546277,0.000000,0.000000,5.373603,26.687426,15.447904,399.546000,36.617398,0.000000,66.517578,42.073323,0.000000,120.002333,31.089185,0.000000,0.000000,43.795315,32.007168,43.356666,5.447017,0.000000,0.000000,26.737886,12.259727,51.606867,57.187109,40.731905,18.905103,18.310765,0.000000,1.172068,33.660923,40.042089,142.323364,665.479759,93.579411,2.929642,6.518867,125.965408,5.178057,0.000000,0.000000,46.827664,0.000000,9.891175,46.870234,435.430655,0.000000,0,0,0,0,0

6,01:15-01:30,173.915716,0.000000,14.206435,95.546277,0.000000,0.000000,5.373603,26.687426,15.447904,399.546000,36.617398,0.000000,66.517578,42.073323,0.000000,120.002333,31.089185,0.000000,0.000000,43.795315,32.007168,43.356666,5.447017,0.000000,0.000000,26.737886,12.259727,51.606867,57.187109,40.731905,18.905103,18.310765,0.000000,1.172068,33.660923,40.042089,139.988610,665.479759,93.579411,2.929642,6.518867,125.965408,5.178057,0.000000,0.000000,46.827664,0.000000,9.891175,46.870234,397.016255,0.000000,0,0,0,0,0

7,01:30-01:45,173.915716,0.000000,15.352562,95.546277,0.000000,0.000000,5.373603,26.668098,15.447904,399.546000,36.617398,0.000000,66.517578,42.073323,0.000000,119.905693,31.089185,0.000000,0.000000,43.795315,32.007168,43.318010,9.779871,0.000000,0.000000,26.737886,12.259727,36.862048,57.187109,40.731905,18.905103,18.310765,0.000000,1.172068,33.660923,40.042089,138.432107,665.392783,93.502099,2.881322,6.518867,125.859104,5.178057,0.000000,0.000000,46.827664,0.000000,9.891175,46.870234,367.782655,0.000000,0,0,0,0,0

8,01:45-02:00,173.915716,0.000000,17.247580,95.546277,0.000000,0.000000,5.373603,26.668098,15.447904,399.546000,36.617398,0.000000,66.517578,42.073323,0.000000,119.905693,31.089185,0.000000,0.000000,43.795315,32.007168,43.318010,9.779871,0.000000,0.000000,26.737886,12.259727,36.862048,57.187109,40.731905,18.905103,18.310765,0.000000,1.172068,33.660923,40.042089,138.432107,661.462820,93.502099,2.881322,6.518867,125.859104,5.178057,0.000000,0.000000,46.827664,0.000000,9.891175,46.870234,345.361015,0.000000,0,0,0,0,0

9,02:00-02:15,173.915716,0.000000,14.926281,95.546277,0.000000,0.000000,5.373603,26.668098,15.447904,399.546000,36.617398,0.000000,66.517578,42.073323,0.000000,119.905693,31.089185,0.000000,0.000000,43.795315,32.007168,43.318010,9.779871,0.000000,0.000000,26.737886,12.259727,36.862048,57.187109,40.731905,18.905103,20.608308,0.000000,1.172068,33.660923,40.042089,138.432107,665.392783,93.502099,2.881322,6.518867,125.859104,5.178057,0.000000,0.000000,46.827664,0.000000,9.891175,46.870234,398.242423,0.000000,0,0,0,0,0

