Block,Time Block,NLCIIST1,NLCIIST2,NLCTS2EXP,NLCEXP,KHSTPP-I,KGSU1AND2,KGSU3AND4,MAPS,NJPC,KUDGI,NAPP,JHAJJAR,FSTPP I & II,DULHASTI,DHAULIGNGA,DADRT2,KOTESHWR,KKNPPU2,KOLDAM,KKNP,KISHANGANGA,KHSTPP-II,CHAMERA3,DADRI_GF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_RF,DADRI_LF,AURY_LF,BRBCL,CHAMERA1,BSIUL,CHAMERA2,URI2,UNCHAHAR3,ANTA_LF,TelanganaSTPP,UNCHAHAR2,ANTA_GF,URI,AURY_CRF,UNCHAHAR1,VALLURNTECL,ANTA_CRF,UNCHAHAR4,ANTA_RF,RSTPSU1TO6,RSTPSU7,RIHAND3,TALA,SASAN,RIHAND2,SIMHST1,SINGRAULI_HYDRO,TALST2,SIMHST2,SALAL,SEWA2,SINGRAULI,TANAKPUR,TEHRI,TANDA2,NNTPP,RIHAND1,RAMPUR,RAPPC,RAPPB,NTPL,PARBATI3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,21.14,0,0,0,0,0,42.32,229.34,18.01,0,0,357.48,17.07,0,0,0,0,113.66,0,0,0,0,0,0,0,0,19.24,0,0,0,4.15,19.65,0,0,22.49,0,0.63,0,5.95,0,0,0,0,0,0,58.36,0,194.76,114.22,0,0,0,0,1.35,0,134.35,0,0,0,0,88.49,0,51.38,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,0,0,21.14,0,0,0,0,0,42.32,229.34,14.47,0,0,361.64,17.07,0,0,0,0,113.66,0,0,0,0,0,0,0,0,19.24,0,0,0,4.15,13.97,0,0,22.49,0,0.63,0,5.77,0,0,0,0,0,0,58.36,0,194.76,114.22,0,0,0,0,1.35,0,134.35,0,0,0,0,88.49,0,51.38,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,0,0,21.14,0,0,0,0,0,42.32,229.34,13.25,0,0,361.64,17.07,0,0,0,0,113.66,0,0,0,0,0,0,0,0,19.24,0,0,0,4.15,13.97,0,0,27.07,0,0.63,0,6.53,0,0,0,0,0,0,58.36,0,194.76,114.22,0,0,0,0,1.35,0,134.35,0,0,0,0,88.49,0,51.38,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,0,0,21.14,0,0,0,0,0,42.32,229.34,13.25,0,0,361.64,17.07,0,0,0,0,113.66,0,0,0,0,0,0,0,0,15.99,0,0,0,4.15,16.26,0,0,27.07,0,0.63,0,6.53,0,0,0,0,0,0,58.36,0,194.76,114.22,0,0,0,0,1.35,0,134.35,0,0,0,0,88.49,0,51.38,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,0,0,21.14,0,0,0,0,0,42.32,229.34,13.25,0,0,361.64,17.07,0,0,0,0,113.66,0,0,0,0,0,0,0,0,13.39,0,0,0,4.15,16.26,0,0,27.07,0,0.63,0,6.53,0,0,0,0,0,0,58.36,0,194.76,114.22,0,0,0,0,1.35,0,134.35,0,0,0,0,88.49,0,51.38,0,0,0,0,0,0,0,0

6,01:15-01:30,0,0,0,0,21.14,0,0,0,0,0,42.32,229.34,13.25,0,0,361.64,17.07,0,0,0,0,113.66,0,0,0,0,0,0,0,0,12.46,0,0,0,4.15,16.26,0,0,27.07,0,0.63,0,6.53,0,0,0,0,0,0,58.36,0,194.76,114.22,0,0,0,0,1.35,0,134.35,0,0,0,0,88.49,0,51.38,0,0,0,0,0,0,0,0

