Block,Time Block,RAMPUR,NNTPP,RAPPB,NTPL,PARBATI3,KOTESHWR,NLCIIST2,NLCTS2EXP,NAPP,KOLDAM,KUDGI,NLCEXP,NLCIIST1,MAPS,NJPC,KHSTPP-I,KISHANGANGA,KKNPPU2,KGSU1AND2,KGSU3AND4,KHSTPP-II,KKNP,DHAULIGNGA,FSTPP I & II,DULHASTI,CHAMERA3,CHAMERA2,DADRT2,JHAJJAR,BSIUL,BRBCL,CHAMERA1,DADRI_RF,DADRI_LF,UNCHAHAR4,UNCHAHAR3,VALLURNTECL,UNCHAHAR2,URI2,ANTA_CRF,URI,ANTA_LF,ANTA_GF,ANTA_RF,DADRI_CRF,AURY_RF,AURY_LF,AURY_GF,DADRI_GF,AURY_CRF,SIMHST1,RSTPSU7,RAPPC,RIHAND3,SALAL,SEWA2,SASAN,RIHAND2,RIHAND1,RSTPSU1TO6,TALST2,SIMHST2,TANAKPUR,UNCHAHAR1,SINGRAULI,TALA,TEHRI,TANDA2,TelanganaSTPP,SINGRAULI_HYDRO,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,0,8.6,0,0,39.26,0,0,0,0,0,68.07,43.58,0,0,0,0,136.36,0,17.68,20.18,47.95,9.39,1.94,217.94,460.13,0,14.55,13.63,0,0,0,0,0,41.13,26.1,0,6.43,0,0,0,0,0,0,0,0,0,0,0,49.98,120.6,50.72,0,403.8,115.21,44.62,0,0,0,12.67,19.95,134.6,10.44,45.29,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,0,0,0,8.6,0,0,39.26,0,0,0,0,0,68.07,43.58,0,0,0,0,136.36,0,17.68,20.18,47.95,9.39,1.94,217.94,460.13,0,14.55,0,0,0,0,0,0,41.13,26.1,0,6.43,0,0,0,0,0,0,0,0,0,0,0,49.98,120.6,50.72,0,403.8,115.21,44.62,0,0,0,12.67,19.95,134.6,10.44,45.29,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,0,0,0,8.6,0,0,39.26,0,0,0,0,0,68.07,43.58,0,0,0,0,136.36,0,10.13,20.18,47.95,9.39,1.94,217.94,460.13,0,14.55,0,0,0,0,0,0,41.13,26.1,0,6.43,0,0,0,0,0,0,0,0,0,0,0,49.98,120.6,50.72,0,403.8,115.21,44.62,0,0,0,12.67,19.95,134.6,10.87,45.29,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,0,0,0,8.6,0,0,39.26,0,0,0,0,0,68.07,43.58,0,0,0,0,136.36,0,10.13,20.18,47.95,9.39,1.94,217.94,460.13,0,14.55,0,0,0,0,0,0,41.13,26.1,0,6.43,0,0,0,0,0,0,0,0,0,0,0,49.98,120.6,50.72,0,403.8,115.21,44.62,0,0,0,12.67,19.95,134.6,10.87,30.2,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,0,0,0,8.6,0,0,39.26,0,0,0,0,0,68.07,43.58,0,0,0,0,136.36,0,10.13,20.18,47.95,9.39,1.94,217.94,392.09,0,14.55,0,0,0,0,0,0,41.13,8.49,0,6.43,0,0,0,0,0,0,0,0,0,0,0,49.98,120.6,50.72,0,403.8,115.21,44.62,0,0,0,12.67,17.19,134.6,10.87,30.2,0,0,0,0,0,0,0,0

6,01:15-01:30,0,0,0,0,0,8.6,0,0,39.26,0,0,0,0,0,68.07,43.58,0,0,0,0,136.36,0,10.13,20.18,47.95,9.39,1.94,217.94,372.68,0,14.55,0,0,0,0,0,0,41.13,8.49,0,6.43,0,0,0,0,0,0,0,0,0,0,0,49.98,120.6,50.72,0,403.8,115.21,44.62,0,0,0,12.67,17.19,134.6,10.87,14.48,0,0,0,0,0,0,0,0

7,01:30-01:45,0,0,0,0,0,8.6,0,0,39.26,0,0,0,0,0,68.07,43.58,0,0,0,0,136.36,0,10.13,20.18,47.95,9.39,1.94,217.94,372.68,0,14.55,0,0,0,0,0,0,41.13,8.49,0,6.43,0,0,0,0,0,0,0,0,0,0,0,49.98,120.6,50.72,0,338.55,115.21,44.62,0,0,0,12.67,17.19,134.6,10.87,14.48,0,0,0,0,0,0,0,0

8,01:45-02:00,0,0,0,0,0,8.6,0,0,39.26,0,0,0,0,0,68.07,43.58,0,0,0,0,136.36,0,10.13,20.18,47.95,9.39,1.94,217.94,372.68,0,14.55,0,0,0,0,0,0,41.13,8.49,0,6.43,0,0,0,0,0,0,0,0,0,0,0,49.98,120.6,50.72,0,338.55,115.21,44.62,0,0,0,12.67,17.19,134.6,10.87,14.48,0,0,0,0,0,0,0,0

9,02:00-02:15,0,0,0,0,0,8.6,0,0,39.26,0,0,0,0,0,68.07,43.58,0,0,0,0,136.36,0,10.13,20.18,47.95,9.39,1.94,217.94,372.68,0,14.55,0,0,0,0,0,0,41.13,8.49,0,49.27,0,0,0,0,0,0,0,0,0,0,0,49.98,120.6,50.72,0,338.55,115.21,44.62,0,0,0,12.67,17.19,134.6,10.87,14.48,0,0,0,0,0,0,0,0

10,02:15-02:30,0,0,0,0,0,8.6,0,0,39.26,0,0,0,0,0,68.07,43.58,0,0,0,0,136.36,0,10.13,20.18,47.95,9.39,1.94,217.94,372.68,0,14.55,0,0,0,0,0,0,41.13,8.49,0,49.27,0,0,0,0,0,0,0,0,0,0,0,49.98,120.6,50.72,0,338.55,115.21,44.62,0,0,0,12.67,17.19,134.6,10.87,14.48,0,0,0,0,0,0,0,0

11,02:30-02:45,0,0,0,0,0,8.6,0,0,39.26,0,0,0,0,0,68.07,43.58,0,0,0,0,136.36,0,10.13,20.18,47.95,9.39,9.69,217.94,372.68,0,14.55,0,0,0,0,0,0,41.13,8.49,0,10.71,0,0,0,0,0,0,0,0,0,0,0,49.98,120.6,37.2,0,338.55,115.21,44.62,0,0,0,12.67,17.19,134.6,10.87,14.48,0,0,0,0,0,0,0,0

12,02:45-03:00,0,0,0,0,0,8.6,0,0,39.26,0,0,0,0,0,68.07,43.58,0,0,0,0,136.36,0,10.13,20.18,47.95,9.39,9.69,217.94,353.28,0,14.55,0,0,0,0,0,0,41.13,8.49,0,6.43,0,0,0,0,0,0,0,0,0,0,0,49.98,120.6,37.2,0,338.55,115.21,44.62,0,0,0,12.67,17.19,134.6,10.87,14.48,0,0,0,0,0,0,0,0

13,03:00-03:15,0,0,0,0,0,8.6,0,0,39.26,0,0,0,0,0,68.07,43.58,0,0,0,0,136.36,0,10.13,20.18,47.95,9.39,9.69,217.94,295.08,0,14.55,0,0,0,0,0,0,41.13,8.49,0,6.43,0,0,0,0,0,0,0,0,0,0,0,49.98,120.6,37.2,0,338.55,115.21,44.62,0,0,0,11.19,17.19,134.6,10.87,14.48,0,0,0,0,0,0,0,0

14,03:15-03:30,0,0,0,0,0,8.6,0,0,39.26,0,0,0,0,0,68.07,43.58,0,0,0,0,136.36,0,10.13,20.18,47.95,9.39,9.69,217.94,275.67,0,14.55,0,0,0,0,0,0,41.13,8.49,0,6.43,0,0,0,0,0,0,0,0,0,0,0,49.98,120.6,37.2,0,338.55,115.21,44.62,0,0,0,11.19,17.19,134.6,10.87,14.48,0,0,0,0,0,0,0,0

15,03:30-03:45,0,0,0,0,0,8.6,0,0,39.26,0,0,0,0,0,68.07,43.58,0,0,0,0,136.36,0,10.13,20.18,47.95,9.39,9.69,217.94,275.67,0,14.55,0,0,0,0,0,0,41.13,8.49,0,6.43,0,0,0,0,0,0,0,0,0,0,0,49.98,120.6,37.2,0,338.55,115.21,44.62,0,0,0,11.19,17.19,134.6,11.29,14.48,0,0,0,0,0,0,0,0

