Time,Block,NR/2024/21737/C,NR/2024/21727/C,NR/2024/21062/A/28177,NR/2024/21141/A/27931,NR/2024/21089/A/28213,NR/2024/21500/A/27778,NR/21072024/21072024/IEX_240721_01659,NR/2024/21156/A/27982,NR/2024/21099/A/27930,NR/2024/21148/A/27983,NR/2024/21186/A/28228,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/21199/A/27957,NR/2024/20966/A/27889,NR/2024/21732/C,NR/2024/20688/A/28001,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21075/A/28205,NR/2024/21096/A/28197,NR/2024/20573/A/28182,NR/21072024/21072024/IEX_240720_01656,NR/30092023/26122029/SH-06,NR/2024/21210/A/27927,NR/2024/21726/C,NR/2024/21072/A/28215,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/16072024/31072024/NR/16072024/31072024/717758,NR/2024/21160/A/27986,NR/2024/21144/A/28138,NR/2024/21183/A/28203,NR/2024/20711/A/28263,NR/2024/21742/C,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/30092023/31122025/SH-07,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/21153/A/27990,NR/2024/21103/A/28194,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21076/A/28202,NR/2024/21113/A/28212,NR/01102023/23072042/L_NR_2012_04,NR/2024/21682/A/28262,NR/2024/21339/A/27924,NR/2024/21158/A/27989,NR/2024/19779/A/27934,NR/2024/21108/A/28192,NR/2024/21152/A/27888,NR/2024/20931/A/28141,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21150/A/27984,NR/2024/21238/A/28206,NR/2024/21159/A/27987,NR/2024/21728/C,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/01102023/25122043/GNA_MEJA_DELHI,NR/21072024/21072024/IEX_240720_01622_1,NR/2024/21173/A/28000,NR/2024/20574/A/28181,NR/2024/21736/C,NR/2024/21023/A/27958,NR/01072024/31072024/R2,NR/2024/21087/A/28294,NR/2024/21567/A/28211,NR/2024/21227/A/28193,NR/2024/21146/A/27985,NR/2024/21142/A/27932,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,Total
,,IEXL,NVVNL,PTC,TPTCL,NVVNL,DIAPL,IEXL,UHL,TPTCL,BAL224,NVVNL,INSTINCT,INSTINCT,IEXL,IEXL,GMRETL,DELHI,MANIKARAN,APPCPL,PTC,IEXL,PUNJAB,TPTCL,NVVNL,NVVNL,TPTCL,AEL,BMDRC,DTCP,MANIKARAN,TPDDL,DIAPL,NDMC,BAWANA_GAS,APPCPL,JHPL-DL,APPCPL,INSTINCT,MANIKARAN,NVVNL,TPTCL,TPDDL,TPTCL,MSSH,ITCLH,APPCPL,IEXL,AEL,NDMC,BAL234,MANIKARAN,MHIL,NVVNL,TPDDL,MEJA,IEXL,GMRETL,PTC,HPXL,INSTINCT,PTC,GMRETL,NVVNL,APPCPL,BAL184,TPTCL,SECI_Trader,SECI_Trader,Total

,,Gujarat,NA,NA,MAHARASHTRA,NA,HIMACHAL PRADESH,KARNATAKA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,MP,MAHARASHTRA,MAHARASHTRA,MAHARASHTRA,KARNATAKA,RAJASTHAN,MAHARASHTRA,GOA,KERALA,HIMACHAL PRADESH,KARNATAKA,DELHI,NA,NA,NA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MP,NA,HIMACHAL PRADESH,NA,DELHI,ARUNACHAL PRADESH,HIMACHAL PRADESH,UTTARAKHAND,NA,MAHARASHTRA,NA,NA,NA,NA,HIMACHAL PRADESH,ANDHRA PRADESH,MANIPUR,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,UTTAR PRADESH,KARNATAKA,ODISHA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NA,NAGALAND,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,
,,SUGEN_GUVNL,SOLAPUR_SOLAR,SEILP2,TPC MSEB,RKM_POWER,GBHHPL,KPTCL,SHPPBPL,ACBIL,SHPPBPL,JP BINA,JPL_DHULE,JPL_DHULE,A_A_Energy_MH_Bio,PCKL,RUVNL,MSEB_Beneficiary,GOA_Beneficiary,KSEB,HP,KPTCL,BAWANA_GAS,SIMHAPURI,SORANG_HEP,RKM_POWER,JITPL,APL_Raigarh TPP,SHPPBPL,SHPPBPL,BLAPOWER_MP,JPL-2,GBHHPL,JITPL,BAWANA_GAS,Arunachal_Ben,SHPPBPL,UTTARAKHAND,JPL,AEML,JPL-2,MPL,JHAJJAR,JITPL,SHPPBPL,ITCWIND,Manipur_Ben,NHCPL_HP,APL_Raigarh TPP,SKS Raigarh,SHPPBPL,MMS STEEL TN,SHPPBPL,KAMENG,CHANJUII,MEJA,KPTCL,GMRKEL (STU),HP,GBHHPL,JPL,SEILP2,GBHHPL,TRN_ENERGY,Nagaland_Ben,SHPPBPL,HP-GOVT,SBSRPC11PL_BKN,SBSRPC11PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,PUNJAB,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,HARYANA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,TPDDL,MES (Delhi),BRPL,BYPL,NDMC,DIAPL,TPDDL,UHL,BRPL,BAL224,TPDDL,BRPL,BRPL,MES (Delhi),BRPL,BYPL,TPDDL,BRPL,BYPL,BRPL,TPDDL,PUNJAB,BRPL,TPDDL,NDMC,BRPL,BRPL,BMDRC,DTCP,BRPL,TPDDL,DIAPL,NDMC,HARYANA,BRPL,JHPL-DL,BYPL,BRPL,BYPL,NDMC,TPDDL,TPDDL,BRPL,MSSH,ITCLH,BRPL,MES (Delhi),BRPL,NDMC,BAL234,BRPL,MHIL,TPDDL,TPDDL,DELHI,BRPL,BRPL,BYPL,BYPL,BRPL,BRPL,BRPL,NDMC,BYPL,BAL184,BRPL,TPDDL,BYPL,
,,West-North,West-North,South-East-North,West-North,West-North,North-North,South-West-North,North-North,West-North,North-North,West-North,West-North,West-North,West-North,South-East-West-North,North-North,West-North,West-North,South-West-North,North-North,South-West-North,North-North,South-West-North,North-North,West-North,East-North,West-North,North-North,North-North,West-North,West-North,North-North,East-North,North-North,North East-East-North,North-North,North-North,West-North,West-North,West-North,East-North,North-North,East-North,North-North,South-West-North,North East-East-North,North-North,West-North,West-North,North-North,South-West-North,North-North,North East-East-North,North-North,North-North,South-West-North,East-North,North-North,North-North,West-North,South-West-North,North-North,West-North,North East-East-North,North-North,North-North,North-North,North-North,
1,00:00-00:15,0.000000,0,0.000000,47.500000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,11.670000,54.510000,18.010000,96.040000,32.000000,38.930000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,1.920000,10.640000,32.000000,38.420000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.620000,23.930000,1.920000,0.000000,8.730000,0.870000,2.330000,0.870000,163.510000,13.110000,0.000000,144.060000,24.010000,6.000000,0.000000,0.000000,24.010000,24.010000,8.730000,12.150000,0.360000,48.020000,0,0,1913.52

2,00:15-00:30,0.000000,0,0.000000,47.500000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,11.670000,54.510000,18.010000,96.040000,32.000000,38.930000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,1.920000,10.640000,32.000000,38.420000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.620000,23.930000,1.920000,0.000000,8.730000,0.870000,2.330000,0.870000,163.510000,13.110000,0.000000,144.060000,24.010000,6.000000,0.000000,0.000000,24.010000,24.010000,8.730000,12.150000,0.360000,48.020000,0,0,1913.52
