Block,Time Block,NAPP,MAPS,KOTESHWR,KOLDAM,KUDGI,AURY_RF,DADRI_LF,DADRI_GF,DADRI_CRF,DADRI_RF,KHSTPP-II,KKNP,KISHANGANGA,KKNPPU2,NLCIIST1,NLCIIST2,NLCTS2EXP,AURY_GF,AURY_LF,ANTA_GF,ANTA_RF,ANTA_LF,AURY_CRF,KHSTPP-I,KGSU3AND4,ANTA_CRF,JHAJJAR,KGSU1AND2,VALLURNTECL,UNCHAHAR4,TelanganaSTPP,URI2,UNCHAHAR3,TEHRI,UNCHAHAR1,UNCHAHAR2,URI,FSTPP I & II,DULHASTI,DHAULIGNGA,NJPC,NLCEXP,TANDA2,SINGRAULI,TANAKPUR,TALA,SINGRAULI_HYDRO,SIMHST2,TALST2,CHAMERA1,BSIUL,BRBCL,DADRT2,CHAMERA3,CHAMERA2,PARBATI3,SEWA2,RIHAND3,SALAL,NNTPP,RAPPB,RIHAND2,RIHAND1,RAMPUR,SASAN,SIMHST1,RSTPSU1TO6,NTPL,RAPPC,RSTPSU7,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,39.32,0,8.57,0,0,0,0,0,0,0,95.55,0,0,0,0,0,0,0,0,0,0,0,0,43.41,0,0,458.37,0,0,0,0,30.83,0,45.12,17.02,40.98,8.53,20.1,47.77,17.62,82.37,0,0,134.09,12.56,9.89,0,0,0,13.58,0,14.5,328.47,9.35,10.31,0,0,120.14,61.77,0,0,114.77,44.45,0,397.88,0,0,0,49.66,0,0,0,0,0,0

2,00:15-00:30,39.32,0,8.57,0,0,0,0,0,0,0,95.55,0,0,0,0,0,0,0,0,0,0,0,0,43.41,0,0,458.37,0,0,0,0,30.83,0,45.12,17.02,40.98,8.53,20.1,47.77,17.62,82.37,0,0,134.09,12.56,9.89,0,0,0,0,0,14.5,328.47,9.35,10.31,0,0,120.14,61.77,0,0,114.77,44.45,0,397.92,0,0,0,49.66,0,0,0,0,0,0

3,00:30-00:45,39.32,0,8.57,0,0,0,0,0,0,0,95.55,0,0,0,0,0,0,0,0,0,0,0,0,43.41,0,0,458.37,0,0,0,0,30.83,0,45.12,17.02,40.98,8.53,20.1,47.77,17.62,82.37,0,0,134.09,12.56,9.89,0,0,0,0,0,14.5,328.47,9.35,10.31,0,0,120.14,61.77,0,0,114.77,44.45,0,397.92,0,0,0,49.66,0,0,0,0,0,0

4,00:45-01:00,39.32,0,8.57,0,0,0,0,0,0,0,95.55,0,0,0,0,0,0,0,0,0,0,0,0,43.41,0,0,458.37,0,0,0,0,30.83,0,30.08,17.02,40.98,8.53,20.1,47.77,17.62,82.37,0,0,134.09,12.56,9.89,0,0,0,0,0,14.5,328.47,9.35,10.31,0,0,120.14,61.77,0,0,114.77,44.45,0,397.92,0,0,0,49.66,0,0,0,0,0,0

5,01:00-01:15,39.32,0,8.57,0,0,0,0,0,0,0,95.55,0,0,0,0,0,0,0,0,0,0,0,0,43.41,0,0,458.37,0,0,0,0,24.18,0,30.08,17.02,40.98,8.53,20.1,47.77,17.62,82.37,0,0,134.09,12.56,9.89,0,0,0,0,0,12.54,328.47,9.35,10.31,0,0,120.14,61.77,0,0,114.77,44.45,0,397.92,0,0,0,49.66,0,0,0,0,0,0

6,01:15-01:30,39.32,0,8.57,0,0,0,0,0,0,0,95.55,0,0,0,0,0,0,0,0,0,0,0,0,43.41,0,0,458.37,0,0,0,0,24.18,0,30.08,17.02,40.98,8.53,20.1,47.77,17.62,82.37,0,0,134.09,12.56,9.89,0,0,0,0,0,10.89,328.47,9.35,10.31,0,0,120.14,61.77,0,0,114.77,44.45,0,397.92,0,0,0,49.66,0,0,0,0,0,0

7,01:30-01:45,39.32,0,8.57,0,0,0,0,0,0,0,95.55,0,0,0,0,0,0,0,0,0,0,0,0,43.41,0,0,458.37,0,0,0,0,9.1,0,30.08,17.02,40.98,8.53,20.1,47.77,17.62,82.37,0,0,134.09,12.56,9.89,0,0,0,0,0,12.63,328.47,9.35,10.31,0,0,120.14,61.77,0,0,114.77,44.45,0,397.92,0,0,0,49.66,0,0,0,0,0,0

8,01:45-02:00,39.32,0,8.57,0,0,0,0,0,0,0,95.55,0,0,0,0,0,0,0,0,0,0,0,0,43.41,0,0,458.37,0,0,0,0,9.1,0,30.08,17.02,40.98,8.53,20.1,47.77,17.62,82.37,0,0,134.09,12.56,9.89,0,0,0,0,0,12.9,328.47,9.35,10.31,0,0,120.14,61.77,0,0,114.77,44.45,0,397.92,0,0,0,49.66,0,0,0,0,0,0

9,02:00-02:15,39.32,0,8.57,0,0,0,0,0,0,0,95.55,0,0,0,0,0,0,0,0,0,0,0,0,43.41,0,0,458.37,0,0,0,0,9.1,0,30.08,17.02,40.98,8.53,20.1,47.77,17.62,82.37,0,0,123.22,12.56,9.89,0,0,0,0,0,11.79,328.47,9.35,10.31,0,0,120.14,61.77,0,0,114.77,44.45,0,397.92,0,0,0,49.66,0,0,0,0,0,0

10,02:15-02:30,39.32,0,8.57,0,0,0,0,0,0,0,95.55,0,0,0,0,0,0,0,0,0,0,0,0,43.41,0,0,458.37,0,0,0,0,9.1,0,30.08,17.02,40.98,8.53,20.1,47.77,17.62,73.21,0,0,108.72,12.56,9.89,0,0,0,0,0,13.31,328.47,9.35,10.31,0,0,120.14,61.77,0,0,114.77,44.45,0,397.92,0,0,0,49.66,0,0,0,0,0,0

11,02:30-02:45,39.32,0,8.57,0,0,0,0,0,0,0,95.55,0,0,0,0,0,0,0,0,0,0,0,0,43.41,0,0,458.37,0,0,0,0,9.1,0,14.43,17.02,40.98,8.53,20.1,47.77,17.62,73.21,0,0,108.72,12.56,9.89,0,0,0,0,0,14.5,328.47,9.35,10.31,0,0,120.14,61.77,0,0,114.77,44.45,0,397.92,0,0,0,49.66,0,0,0,0,0,0

12,02:45-03:00,39.32,0,8.57,0,0,0,0,0,0,0,95.55,0,0,0,0,0,0,0,0,0,0,0,0,43.41,0,0,380.86,0,0,0,0,9.1,0,14.43,17.02,40.98,8.53,20.1,47.77,17.62,73.21,0,0,108.72,12.56,9.89,0,0,0,0,0,14.5,328.47,9.35,10.31,0,0,120.14,61.77,0,0,114.77,44.45,0,397.92,0,0,0,49.66,0,0,0,0,0,0

13,03:00-03:15,39.32,0,8.57,0,0,0,0,0,0,0,95.55,0,0,0,0,0,0,0,0,0,0,0,0,43.41,0,0,291.95,0,0,0,0,9.1,0,14.43,17.02,40.98,8.53,20.1,47.77,17.62,73.21,0,0,108.72,11.14,9.89,0,0,0,0,0,14.5,328.47,9.35,10.31,0,0,120.14,49.41,0,0,114.77,44.45,0,397.92,0,0,0,49.66,0,0,0,0,0,0

14,03:15-03:30,39.32,0,8.57,0,0,0,0,0,0,0,95.55,0,0,0,0,0,0,0,0,0,0,0,0,43.41,0,0,203.04,0,0,0,0,9.1,0,14.43,17.02,40.98,8.53,20.1,47.77,17.62,73.21,0,0,108.72,11.14,9.89,0,0,0,0,0,14.5,317.76,9.35,10.31,0,0,120.14,49.41,0,0,114.77,44.45,0,397.92,0,0,0,49.66,0,0,0,0,0,0

15,03:30-03:45,39.32,0,8.57,0,0,0,0,0,0,0,95.55,0,0,0,0,0,0,0,0,0,0,0,0,43.41,0,0,203.04,0,0,0,0,9.1,0,14.43,17.02,40.98,8.53,20.1,47.77,17.62,73.21,0,0,108.72,11.14,9.89,0,0,0,0,0,14.5,290.7,9.35,10.31,0,0,120.14,49.41,0,0,114.77,44.45,0,397.92,0,0,0,49.66,0,0,0,0,0,0

16,03:45-04:00,39.32,0,8.57,0,0,0,0,0,0,0,95.55,0,0,0,0,0,0,0,0,0,0,0,0,43.41,0,0,196.52,0,0,0,0,9.1,0,14.43,14.87,40.98,8.53,20.1,47.77,17.62,73.21,0,0,108.72,11.14,9.89,0,0,0,0,0,14.5,290.7,9.35,10.31,0,0,120.14,49.41,0,0,114.77,44.45,0,397.92,0,0,0,49.66,0,0,0,0,0,0

17,04:00-04:15,39.32,0,8.57,0,0,0,0,0,0,0,95.55,0,0,0,0,0,0,0,0,0,0,0,0,43.41,0,0,203.04,0,0,0,0,9.1,0,14.43,17.02,40.98,8.53,20.1,47.77,17.62,73.21,0,0,108.72,11.14,9.89,0,0,0,0,0,14.5,290.7,9.35,10.31,0,0,120.14,49.41,0,0,114.77,44.45,0,397.92,0,0,0,49.66,0,0,0,0,0,0

