Block,Time,SEWA2,UNCHAHAR4,DADRI_RF,ANTA_LF,ANTA_RF,ANTA_CRF,NJPC,KOTESHWR,BSIUL,ANTA_GF,RAMPUR,JHAJJAR,RIHAND3,RIHAND1,KISHANGANGA,DADRI_CRF,AURY_CRF,RAPPB,DADRT2,UNCHAHAR2,RAPPC,DADRI_GF,AURY_LF,KOLDAM,CHAMERA3,AURY_RF,URI2,TANAKPUR,TEHRI,CHAMERA1,SINGRAULI_HYDRO,NAPP,CHAMERA2,SINGRAULI,UNCHAHAR1,PARBATI3,DULHASTI,TANDA2,SALAL,DHAULIGNGA,UNCHAHAR3,DADRI_LF,RIHAND2,AURY_GF,URI,SASAN,FSTPP I & II,KHSTPP-II,KHSTPP-I,TALA,BRBCL,KUDGI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,7.733600,0.000000,0.000000,0.000000,147.847581,8.578496,6.335558,0.000000,0.000000,420.935014,119.547560,88.936400,0.000000,0.000000,0.000000,0.000000,663.910184,20.490268,49.437715,0.000000,0.000000,0.000000,28.095016,3.866800,31.729878,12.878764,43.849512,40.744549,1.017113,37.787143,38.194433,126.554543,19.319500,0.000000,47.790319,0.000000,82.001294,0.000000,25.511310,0.000000,114.191438,0.000000,23.479210,403.446203,13.415095,142.603355,41.188724,25.578882,19.316619,74.44,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.000005,0.000000,0.000000,0.000000,147.847581,8.578496,6.335558,0.000000,0.000000,420.935014,119.547560,88.936400,0.000000,0.000000,0.000000,0.000000,663.910184,20.490268,49.437715,0.000000,0.000000,0.000000,28.095016,0.000000,31.729878,12.878764,43.849512,40.744549,1.017113,37.787143,38.194433,126.879375,19.319500,0.000000,47.790319,0.000000,82.001294,0.000000,25.511310,0.000000,114.191438,0.000000,46.958419,403.476412,13.437130,142.603355,41.661870,25.578882,19.334041,74.44,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,147.847581,8.578496,6.335558,0.000000,0.000000,420.935014,119.547560,88.936400,0.000000,0.000000,0.000000,0.000000,663.910184,20.490268,49.437715,0.000000,0.000000,0.000000,28.095016,0.000000,31.729878,12.878764,43.849512,34.595293,1.017113,37.787143,38.194433,128.937510,19.319500,0.000000,47.790319,0.000000,82.001294,0.000000,25.511310,0.000000,114.191438,0.000000,46.958419,403.476412,13.437130,142.603355,41.948884,25.578882,17.947035,74.44,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,147.847581,8.578496,6.335558,0.000000,0.000000,420.935014,119.547560,88.936400,0.000000,0.000000,0.000000,0.000000,663.910184,20.490268,49.437715,0.000000,0.000000,0.000000,28.095016,0.000000,31.729878,12.878764,43.849512,27.111102,1.017113,37.787143,38.194433,129.054450,19.319500,0.000000,47.790319,0.000000,82.001294,0.000000,25.511310,0.000000,114.191438,0.000000,23.479210,403.476412,13.437130,142.603355,41.955263,25.578882,18.431094,74.44,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,147.847581,8.578496,6.335558,0.000000,0.000000,420.935014,119.547560,88.936400,0.000000,0.000000,0.000000,0.000000,663.910184,20.490268,49.437715,0.000000,0.000000,0.000000,28.095016,0.000000,14.954656,12.878764,43.849512,27.111102,1.017113,37.787143,38.194433,129.054450,19.319500,0.000000,47.790319,0.000000,82.001294,0.000000,25.511310,0.000000,114.191438,0.000000,23.479210,404.012629,13.437130,142.603355,41.955263,25.578882,18.063156,74.44,0,0,0,0,0

