Column1,Time,NR/22102023/11042047/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,WR/01102023/24112044/L_NR_2020_07,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,NR/01102023/13082046/L_NR_2021_12,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_07),GNA/NR/2024/11/01/3646,GNA/NR/2024/11/01/5444,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/11/01/9042,WR/01102023/29112042/L_NR_2019_05,NR/30092023/26122029/SH-06,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/30092023/31122025/SH-07,NR/01102023/22052037/LT-59,GNA/NR/2024/11/01/5428,GNA/NR/2024/11/01/1868,SR/01102023/07102043/L_NR_2018_61,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,NR/01102023/30042040/GNA_LT_36,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_35,GNA/WR/2024/10/15/7089,NR/01102023/05012040/L_NR_2020_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/11/01/5474,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/4503,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/11/01/9061,GNA/WR/2024/11/01/4200,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31052040/LT-31
1,00:00-00:15,0,0,0,0,0,6.67,0,0,0,20,0,63.42,26.03,57.56,17.35,0,0,0,0,1.4,26.03,8.68,9.4,6.66,13.33,0,13.33,6.66,0,231.38,70.29,0,0,1.9,29.27,53.03,190.26,3.04,8.68,2.07,26.03,0,171.26,0

2,00:15-00:30,0,0,0,0,0,6.67,0,0,0,20,0,63.42,26.03,57.56,17.35,0,0,0,0,1.4,26.03,8.68,9.6,6.66,13.33,0,13.33,6.66,0,231.38,70.29,0,0,1.9,29.27,53.03,190.26,3.04,8.68,2.07,26.03,0,171.26,0

3,00:30-00:45,0,0,0,0,0,6.67,0,0,0,20,0,63.42,26.03,57.56,17.35,0,0,0,0,1.4,26.03,8.68,9.6,6.66,13.33,0,13.33,6.66,0,212.1,70.29,0,0,1.9,29.27,53.03,190.26,3.04,8.68,2.07,26.03,0,171.26,0

4,00:45-01:00,0,0,0,0,0,6.67,0,0,0,20,0,63.42,26.03,57.56,17.35,0,0,0,0,1.4,26.03,8.68,9.4,6.66,13.33,0,13.33,6.66,0,212.1,70.29,0,0,1.9,29.27,53.03,190.26,3.04,8.68,2.07,26.03,0,171.26,0

5,01:00-01:15,0,0,0,0,0,6.67,0,0,0,20,0,63.42,26.03,57.56,17.35,0,0,0,0,1.4,26.03,8.68,9.4,6.66,13.33,0,13.33,6.66,0,173.54,70.29,0,0,1.9,29.27,53.03,190.26,3.04,8.68,2,26.03,0,171.26,0

6,01:15-01:30,0,0,0,0,0,6.67,0,0,0,20,0,63.42,26.03,57.56,17.35,0,0,0,0,1.4,26.03,8.68,9.6,6.66,13.33,0,13.33,6.66,0,165.28,70.29,0,0,1.9,29.27,53.03,190.26,3.04,8.68,2,26.03,0,171.26,0

7,01:30-01:45,0,0,0,0,0,6.67,0,0,0,20,0,63.42,26.03,57.56,17.35,0,0,0,0,1.4,26.03,8.68,13.01,6.66,13.33,0,13.33,6.66,0,165.28,70.29,0,0,1.9,29.27,53.03,190.26,3.04,8.68,2,26.03,0,171.26,0

8,01:45-02:00,0,0,0,0,0,6.67,0,0,0,20,0,63.42,26.03,57.56,17.35,0,0,0,0,1.4,26.03,8.68,12.81,6.66,13.33,0,13.33,6.66,0,165.28,70.29,0,0,1.9,29.27,53.03,190.26,3.04,8.68,2,26.03,0,171.26,0

9,02:00-02:15,0,0,0,0,0,6.67,0,0,0,20,0,63.42,26.03,57.56,17.35,0,0,0,0,1.4,26.03,8.68,12.61,6.66,13.33,0,13.33,6.66,0,165.28,70.29,0,0,1.9,29.27,53.03,190.26,3.04,8.68,2,26.03,0,171.26,0

10,02:15-02:30,0,0,0,0,0,6.67,0,0,0,20,0,63.42,26.03,57.56,17.35,0,0,0,0,1.4,26.03,8.68,12.41,6.66,13.33,0,13.33,6.66,0,165.28,70.29,0,0,1.9,29.27,53.03,190.26,3.04,8.68,2,26.03,0,171.26,0

11,02:30-02:45,0,0,0,0,0,6.67,0,0,0,20,0,63.42,26.03,57.56,17.35,0,0,0,0,1.4,26.03,8.68,12.01,6.66,13.33,0,13.33,6.66,0,165.28,70.29,0,0,1.9,28.26,53.03,190.26,3.04,8.68,2,26.03,0,171.26,0

12,02:45-03:00,0,0,0,0,0,6.67,0,0,0,20,0,63.42,26.03,57.56,17.35,0,0,0,0,1.4,26.03,8.68,12.21,6.66,13.33,0,13.33,6.66,0,165.28,70.29,0,0,1.9,28.26,53.03,190.26,3.04,8.68,2,26.03,0,171.26,0

13,03:00-03:15,0,0,0,0,0,6.67,0,0,0,20,0,63.42,26.03,57.56,17.35,0,0,0,0,1.32,26.03,8.68,12.01,6.66,13.33,0,13.33,6.66,0,165.28,70.29,0,0,1.9,28.26,53.03,190.26,2.94,8.68,2,26.03,0,171.26,0

14,03:15-03:30,0,0,0,0,0,6.67,0,0,0,20,0,63.42,26.03,57.56,17.35,0,0,0,0,1.32,26.03,8.68,11.61,6.66,13.33,0,13.33,6.66,0,165.28,70.29,0,0,1.9,28.26,53.03,190.26,2.94,8.68,2,26.03,0,171.26,0

15,03:30-03:45,0,0,0,0,0,6.67,0,0,0,20,0,63.42,26.03,57.56,17.35,0,0,0,0,1.32,26.03,8.68,15.61,6.66,13.33,0,13.33,6.66,0,165.28,70.29,0,0,1.9,28.26,53.03,190.26,2.94,8.68,2,26.03,0,171.26,0

16,03:45-04:00,0,0,0,0,0,6.67,0,0,0,20,0,63.42,26.03,57.56,17.35,0,0,0,0,1.32,26.03,8.68,15.41,6.66,13.33,0,13.33,6.66,0,165.28,70.29,0,0,1.9,28.77,53.03,190.26,2.94,8.68,2,26.03,0,171.26,0

17,04:00-04:15,0,0,0,0,0,6.67,0,0,0,20,0,63.42,26.03,57.56,17.35,0,0,0,0,1.32,26.03,8.68,15.41,6.66,13.33,0,13.33,6.66,0,165.28,70.29,0,0,1.9,28.77,53.03,190.26,2.94,8.68,1.92,26.03,0,171.26,0

18,04:15-04:30,0,0,0,0,0,6.67,0,0,0,20,0,63.42,26.03,57.56,17.35,0,0,0,0,1.32,26.03,8.68,15.21,6.66,13.33,0,13.33,6.66,0,165.28,70.29,0,0,1.9,28.77,53.03,190.26,2.94,8.68,1.92,26.03,0,171.26,0

19,04:30-04:45,0,0,0,0,0,6.67,0,0,0,20,0,63.42,26.03,57.56,17.35,0,0,0,0,1.32,26.03,8.68,15.01,6.66,13.33,0,13.33,6.66,0,165.28,70.29,0,0,1.9,28.77,53.03,190.26,2.94,8.68,1.92,26.03,0,171.26,0

20,04:45-05:00,0,0,0,0,0,6.67,0,0,0,20,0,63.42,26.03,57.56,17.35,0,0,0,0,1.32,26.03,8.68,14.81,6.66,13.33,0,13.33,6.66,0,165.28,70.29,0,0,1.9,28.77,53.03,190.26,2.94,8.68,1.92,26.03,0,171.26,0

21,05:00-05:15,0,0,0,0,0,6.67,0,0,0,20,0,63.42,26.03,57.56,17.35,0,0,0,0,1.32,26.03,8.68,14.61,6.66,13.33,0,13.33,6.66,0,192.82,70.29,0,0,1.9,28.77,53.03,190.26,2.94,8.68,1.84,26.03,0,171.26,0

22,05:15-05:30,0,0,0,0,0,6.67,0,0,0,20,0,63.42,26.03,57.56,17.35,0,0,0,0,1.32,26.03,8.68,14.41,6.66,13.33,0,13.33,6.66,0,231.38,70.29,0,0,1.9,28.77,53.03,190.26,2.94,8.68,1.84,26.03,0,171.26,0

23,05:30-05:45,0,0,0,0,0,6.67,0,0,0,20,0,63.42,26.03,57.56,17.35,0,0,0,0,1.32,26.03,8.68,14.01,6.66,13.33,0,13.33,6.66,0,272.6,70.29,0,0,1.9,28.77,53.03,190.26,2.94,8.68,1.84,26.03,0,171.26,0

24,05:45-06:00,0,0,0,0,0,6.67,0,0,0,20,0,63.42,26.03,57.56,17.35,0,0,0,0,1.32,26.03,8.68,13.81,6.66,13.33,0,13.33,6.66,0,272.6,70.29,0,0,1.9,28.77,53.03,190.26,2.94,8.68,1.84,26.03,0,171.26,0

25,06:00-06:15,0,0,0,0,0,6.67,0,0,0,20,2,0,26.03,57.56,17.35,0.8,0,0.82,0,1.4,26.03,8.68,13.61,6.66,13.33,0,13.33,6.66,0,272.6,70.29,0,0,1.85,28.77,53.03,0,2.94,8.68,1.84,26.03,0,171.26,0

26,06:15-06:30,0,0,0,0,0,6.67,0,0,0,20,4,0,26.03,57.56,17.35,1.98,0,5.28,0,1.4,26.03,8.68,13.41,6.66,13.33,0,13.33,6.66,0,272.6,70.29,0,0,1.85,28.77,53.03,0,2.94,8.68,1.84,26.03,0,171.26,0

27,06:30-06:45,0,0,0,0,0,6.67,0,0,0.01,20,8,0,26.03,57.56,17.35,6.44,0,10.98,0,1.4,26.03,8.68,13.21,6.66,13.33,0.4,13.33,6.66,0.2,272.6,70.29,0.19,0,1.85,28.26,53.03,0,2.94,8.68,1.84,26.03,0,227.12,0.19

28,06:45-07:00,0,0,0,0.04,1,6.67,0,0,0.19,20,11,0,26.03,57.56,17.35,14.47,0,19.49,0,1.4,26.03,8.68,13.01,6.66,13.33,4.86,13.33,6.66,0.42,272.6,70.29,0.41,0,1.85,27.76,53.03,0,2.94,8.68,1.84,26.03,0,227.12,0.41

29,07:00-07:15,1,0,0,0.26,2,6.67,1,1,1.31,20,19,0,34.71,57.56,17.35,23.7,0,23.7,0,1.4,34.71,8.68,12.81,6.66,13.33,13.05,13.33,6.66,1,272.6,70.29,0.98,0,1.85,28.26,53.03,0,2.94,8.68,1.76,34.71,0,227.12,0.98

30,07:15-07:30,2,1,1,1.38,5,6.67,2,4,6.92,20,24.47,0,34.71,57.56,17.35,24.46,0,24.47,0,1.4,34.71,8.68,12.61,6.66,13.33,21.02,13.33,6.66,1.73,272.6,70.29,1.68,0,1.85,28.77,53.03,0,2.94,8.68,1.76,34.71,0,227.12,1.68

31,07:30-07:45,5,3,3,3.4,8,6.67,5,7,17.03,20,25.8,0,34.71,57.56,17.35,25.8,0,25.8,0,1.4,34.71,8.68,10.4,6.66,13.33,29.5,13.33,6.66,2.44,272.6,70.29,2.37,0,1.85,29.27,53.03,0,2.94,8.68,1.76,34.71,0,227.12,2.37

32,07:45-08:00,8,6,4,6.56,13,6.67,7,14,32.82,20,27.2,0,34.71,57.56,17.35,27.2,0,27.2,0,1.4,34.71,8.68,10.6,6.66,13.33,39.8,13.33,6.66,3.17,272.6,70.29,3.09,0,1.85,29.27,53.03,0,2.94,8.68,1.76,34.71,0,227.12,3.09

33,08:00-08:15,10,16,5,10.08,19,6.67,9,39,50.43,20,28.03,0,34.71,57.56,17.35,28.04,0,28.03,0,1.48,34.71,8.68,9.6,6.66,13.33,51.31,13.33,6.66,4.18,272.6,70.29,4.08,0,1.85,29.77,53.03,0,2.94,8.68,1.76,34.71,0,227.12,4.08

34,08:15-08:30,15,22,7,13.92,27,6.67,14,53,69.58,20,29.2,0,34.71,57.56,17.35,29.2,0,29.2,0,1.48,34.71,8.68,9.6,6.66,13.33,62.94,13.33,6.66,5.2,272.6,70.29,5.07,0,1.85,30.28,53.03,0,2.94,8.68,1.76,34.71,0,227.12,5.07

35,08:30-08:45,25,28,12,17.77,33,6.67,18,67,88.86,20,30.23,0,34.71,57.56,17.35,30.24,0,30.23,0,1.48,34.71,8.68,9.4,6.66,13.33,73.82,13.33,6.66,6.31,272.6,70.29,6.15,0,1.85,30.28,53.03,0,2.94,8.68,1.76,34.71,0,171.26,6.15

36,08:45-09:00,31,33,16,21.5,42,6.67,22,77,107.52,20,30.23,0,34.71,57.56,17.35,30.24,0,30.23,0,1.48,34.71,8.68,9.4,6.66,13.33,83.46,13.33,6.66,7.31,272.6,70.29,7.13,0,1.85,30.28,53.03,0,2.94,8.68,1.76,34.71,0,171.26,7.13

37,09:00-09:15,37,39,19,24.87,48,6.67,25,91,124.34,20,32.07,0,26.03,57.56,17.35,32.06,0,32.07,0,1.48,26.03,8.68,7,6.66,12.86,69.45,12.86,6.66,8.31,272.6,70.29,8.11,0,1.85,30.28,53.03,0,0,8.68,1.76,26.03,0,171.26,8.11

38,09:15-09:30,43,45,22,28.22,55,6.67,28,105,141.11,20,32.07,0,26.03,57.56,17.35,32.06,0,32.07,0,1.48,26.03,8.68,7,6.66,12.86,76.77,12.86,6.66,9.31,272.6,70.29,9.08,0,1.85,30.28,53.03,0,0,8.68,1.76,26.03,0,171.26,9.08

39,09:30-09:45,50,51,25,31.38,62,6.67,31,119,156.93,20,32.23,0,26.03,57.56,17.35,32.24,0,32.23,0,1.48,26.03,8.68,10.6,6.66,11.31,83.7,11.31,6.66,10.24,272.6,70.29,9.99,0,1.85,29.77,53.03,0,0,8.68,1.76,26.03,0,171.26,9.99

40,09:45-10:00,57,57,28,34.28,67,6.67,33,133,171.43,20,32.23,0,26.03,57.56,17.35,32.24,0,32.23,0,1.48,26.03,8.68,10.4,6.66,11.31,90.4,11.31,6.66,11.43,272.6,70.29,11.15,0,1.85,29.27,53.03,0,0,8.68,1.76,26.03,0,171.26,11.15

