Block,Time Block,MAPS,KOTESHWR,KUDGI,DADRI_LF,DADRI_GF,DADRI_RF,UNCHAHAR2,ANTA_GF,URI,AURY_CRF,AURY_RF,UNCHAHAR1,VALLURNTECL,ANTA_CRF,UNCHAHAR4,ANTA_RF,AURY_LF,URI2,UNCHAHAR3,ANTA_LF,AURY_GF,DADRI_CRF,TEHRI,TANDA2,SASAN,TALST2,SIMHST1,SINGRAULI_HYDRO,TANAKPUR,SIMHST2,TelanganaSTPP,TALA,SALAL,SEWA2,SINGRAULI,RIHAND2,RIHAND1,RSTPSU1TO6,RAPPC,RSTPSU7,RIHAND3,JHAJJAR,KOLDAM,RAMPUR,PARBATI3,RAPPB,FSTPP I & II,DHAULIGNGA,DULHASTI,KKNP,KHSTPP-I,KKNPPU2,KISHANGANGA,KGSU1AND2,KGSU3AND4,KHSTPP-II,CHAMERA1,BSIUL,CHAMERA3,CHAMERA2,DADRT2,NTPL,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NLCTS2EXP,NAPP,NNTPP,BRBCL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,17.04,0,0,0,0,22.38,0,0.95,0,0,5.76,0,0,0,0,0,4.14,13.94,0,0,0,0,0,402.06,0,0,0.62,0,0,0,0,1.34,0,134.12,114.02,88.33,0,51.05,0,59.68,229.52,0,0,0,0,11.05,0,15.82,0,29.82,0,0,0,0,98.41,0,0,0,0,265.13,0,0,0,0,0,0,42.35,0,17.48,0,0,0,0,0

2,00:15-00:30,0,17.04,0,0,0,0,22.38,0,0.95,0,0,5.76,0,0,0,0,0,4.14,13.94,0,0,0,0,0,402.06,0,0,0.62,0,0,0,0,1.34,0,134.12,114.02,88.33,0,51.05,0,59.68,229.52,0,0,0,0,11.05,0,15.82,0,29.82,0,0,0,0,98.41,0,0,0,0,265.13,0,0,0,0,0,0,42.35,0,16.71,0,0,0,0,0

3,00:30-00:45,0,17.04,0,0,0,0,22.38,0,0.95,0,0,5.76,0,0,0,0,0,4.14,13.94,0,0,0,0,0,402.06,0,0,0.62,0,0,0,0,1.34,0,134.12,114.02,88.33,0,51.05,0,59.68,229.52,0,0,0,0,11.05,0,15.82,0,24.5,0,0,0,0,78.75,0,0,0,0,265.13,0,0,0,0,0,0,42.35,0,18.78,0,0,0,0,0

4,00:45-01:00,0,17.04,0,0,0,0,22.38,0,0.95,0,0,5.76,0,0,0,0,0,4.14,13.94,0,0,0,0,0,402.06,0,0,0.62,0,0,0,0,1.34,0,134.12,114.02,88.33,0,51.05,0,59.68,229.52,0,0,0,0,11.05,0,15.82,0,24.5,0,0,0,0,78.75,0,0,0,0,265.13,0,0,0,0,0,0,42.35,0,19.2,0,0,0,0,0

5,01:00-01:15,0,17.04,0,0,0,0,22.38,0,0.95,0,0,5.76,0,0,0,0,0,4.14,13.94,0,0,0,0,0,402.06,0,0,0.62,0,0,0,0,1.34,0,134.12,114.02,88.33,0,51.05,0,59.68,229.52,0,0,0,0,11.05,0,15.82,0,24.5,0,0,0,0,78.75,0,0,0,0,265.13,0,0,0,0,0,0,42.35,0,14.9,0,0,0,0,0

