Block,Time,BSIUL,DADRT2,JHAJJAR,NNTPP,RAPPC,TALA,VALLURNTECL,ANTA_CRF,AURY_LF,MAPS,NAPP,NLCTS2EXP,RIHAND1,RIHAND3,TANAKPUR,ANTA_LF,AURY_GF,AURY_RF,KKNPPU2,KOTESHWR,PARBATI3,RAMPUR,SIMHST1,TelanganaSTPP,DHAULIGNGA,KHSTPP-II,KKNP,KUDGI,NLCIIST1,NTPL,CHAMERA2,DULHASTI,KGSU3AND4,KOLDAM,NJPC,RSTPSU7,TALST2,TANDA2,UNCHAHAR1,UNCHAHAR3,UNCHAHAR4,URI,ANTA_GF,AURY_CRF,BRBCL,CHAMERA3,FSTPP I & II,NLCEXP,NLCIIST2,RAPPB,RSTPSU1TO6,SASAN,SINGRAULI,URI2,ANTA_RF,DADRI_GF,KHSTPP-I,KISHANGANGA,RIHAND2,SALAL,SIMHST2,TEHRI,DADRI_LF,CHAMERA1,KGSU1AND2,SEWA2,SINGRAULI_HYDRO,UNCHAHAR2,DADRI_CRF,DADRI_RF
1,00:00-00:15,13.04,686.07,413.81,0,60.23,10.56,0,0,0,0,45.1,0,45.27,127.6,12.94,0,0,78.06,0,38.64,30.92,3.54,0,0,40.4,98.87,0,0,0,0,44.22,53.79,0,5.35,167.1,0,0,2.89,20.96,20.52,1.62,48.02,0,0,20,32.08,18.21,0,0,0,0,416.25,140.21,36.05,48.13,0,33.69,2.88,121.71,83.67,0,76.9,0,42.15,0,11.58,0,43.71,0,97.42

2,00:15-00:30,13.04,686.07,413.81,0,60.23,10.56,0,0,0,0,45.1,0,45.27,127.6,12.94,0,0,78.06,0,38.64,30.92,3.54,0,0,40.4,98.87,0,0,0,0,44.22,53.79,0,5.35,167.1,0,0,2.89,20.96,24.06,1.62,48.02,0,0,20,32.08,18.21,0,0,0,0,416.25,140.21,36.05,48.13,0,33.69,2.88,121.71,83.67,0,76.9,0,42.15,0,11.58,0,43.71,0,97.42

3,00:30-00:45,13.04,686.07,413.81,0,60.23,10.58,0,0,0,0,45.1,0,45.27,127.6,12.94,0,0,78.06,0,38.64,17.56,3.54,0,0,40.4,98.87,0,0,0,0,44.22,53.79,0,5.35,167.1,0,0,2.89,20.96,27.05,1.62,44.16,0,0,20,32.08,18.21,0,0,0,0,416.25,140.21,36.05,48.13,0,33.69,2.88,121.71,83.67,0,76.9,0,42.15,0,11.58,0,43.71,0,97.42

4,00:45-01:00,13.04,686.07,413.81,0,60.23,10.58,0,0,0,0,45.1,0,45.27,127.6,12.94,0,0,78.06,0,38.64,17.56,3.54,0,0,40.4,98.87,0,0,0,0,44.22,53.79,0,5.35,167.1,0,0,2.89,20.96,27.05,1.62,44.16,0,0,20,32.08,18.21,0,0,0,0,416.25,140.21,36.05,48.13,0,33.69,2.88,121.71,83.67,0,76.9,0,42.15,0,11.58,0,43.71,0,97.42

5,01:00-01:15,13.04,686.07,413.81,0,60.23,10.58,0,0,0,0,45.1,0,45.27,127.6,12.94,0,0,78.06,0,38.64,17.56,3.54,0,0,40.4,98.87,0,0,0,0,44.22,53.79,0,5.35,167.1,0,0,2.89,20.96,27.05,1.62,44.16,0,0,20.01,32.08,18.21,0,0,0,0,416.25,140.21,36.05,48.13,0,33.69,2.88,121.71,83.67,0,76.9,0,42.15,0,11.58,0,43.71,0,97.42

