Column1,Block,NR/2025/25516/A/59904,NR/2025/25517/A/59910,NR/2025/25518/A/59917,GNARE/NR/2024/12/20/3668,NR/2025/25717/C,NR/2025/25718/C,GNA/WR/2025/01/01/8625,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/SR/2025/03/01/7500,WR/2025/26499/A/59974,NR/2025/25159/A/59598,WR/2025/26426/A/59686,GNA/WR/2025/01/01/9606,GNA/WR/2025/03/01/6406,WR/2025/26427/A/59687,WR/2025/26582/A/59971,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/2563,NR/30092023/31122025/SH-07,GNA/NR/2025/03/01/6891,GNA/NR/2025/03/01/3469,Total
,,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,SECI_Trader,SJVNL,SJVNL,TPTCL,PUNJAB,DELHI,APPCPL,APPCPL,ITCLH,KEIPL,APPCPL,APPCPL,KEIPL,APPCPL,NDMC,NDMC,PTC,NDMC,NDMC,NDMC,BAWANA_GAS,PTC,NDMC,
,,NA,NA,NA,NA,NA,NA,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,ANDHRA_PRADESH_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,DELHI_UT,NA,NA,NA,DELHI_UT,DELHI_UT,NA,
,,TCSPL_BKN2,TCSPL_BKN2,TCSPL_BKN2,APSEPL_FTG,TPSL_BKN2,RSRPL_BKN,BYPL,BAWANA_GAS,CHANJUII,BYPL,BRPL,ITCWIND,BYPL,BYPL,BRPL,BRPL,BRPL,JIPL,SKS_Raigarh,BRPL,RKM_POWER,JPL2,RKM_POWER,BAWANA_GAS,BYPL,TRN_ENERGY,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,PUNJAB_STATE,DELHI_UT,KERALA_State,MSEB_State,DELHI_UT,CSEB_State,MSEB_State,MSEB_State,CSEB_State,CSEB_State,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,HIMACHAL_STATE,DELHI_UT,
,,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,TPDDL,NDMC,NDMC,TPC_MSEB,PUNJAB,TPDDL,KSEB,AEML,ITCLH,CSEB_Beneficiary,AEML,AEML,CSEB_Beneficiary,CSEB_Beneficiary,NDMC,NDMC,HP,NDMC,NDMC,NDMC,HARYANA,HP,NDMC,
,,North-North,North-North,North-North,North-North,North-North,North-North,North-West,North-North,North-North,North-West-South,North-West,South-West-North,North-West,North-West,North-West,North-West,North-West,East-North,West-North,North-North,West-North,West-North,West-North,North-North,North-North,West-North,
1,00:00-00:15,0,0,0,0,0,0,0,26.99,6.46,200,0,0.43,168.21,0,42,24.09,24.09,17.35,8.67,237.82,23.41,23.41,23.41,26.99,79.27,6.75,939.3499999999998

2,00:15-00:30,0,0,0,0,0,0,0,26.99,6.46,200,0,0.43,168.21,0,42,24.09,24.09,17.35,8.67,237.82,23.41,23.41,23.41,26.99,79.27,6.75,939.3499999999998

