Time,Block,WR/2024/21351/A/5418,NER/2024/1922/A/5415,NER/2024/1934/A/5414,NR/2024/18677/C,WR/2024/21355/A/5431,NR/2024/18678/C,NR/2024/18388/A/5258,NR/2024/18445/A/5430,NR/2024/18436/A/5271,NR/2024/18679/C,Total
,,APPCPL,APPCPL,APPCPL,NVVNL,MANIKARAN,SJVNL,ITCLH,MANIKARAN,IEXL,SJVNL,Total

,,DELHI,DELHI,DELHI,NA,DELHI,UTTAR PRADESH,ANDHRA PRADESH,DELHI,MAHARASHTRA,UTTAR PRADESH,
,,BRPL,BRPL,BYPL,SOLAPUR_SOLAR,BRPL,BCMLB001,ITCWIND,BRPL,A_A_Energy_MH_Bio,BCMLUH,
,,GOA,MANIPUR,NAGALAND,DELHI,GOA,DELHI,DELHI,HIMACHAL PRADESH,DELHI,DELHI,
,,GOA_Beneficiary,Manipur_Ben,Nagaland_Ben,MES (Delhi),GOA_Beneficiary,NDMC,ITCLH,HP,MES (Delhi),NDMC,
,,North-West,North-East-North East,North-East-North East,West-North,North-West,North-North,South-West-North,North-North,West-East-North,North-North,
1,00:00-00:15,0.000000,25.000000,20.000000,0,0.000000,0.000000,0.390000,0.000000,7.720000,0.000000,53.11

2,00:15-00:30,0.000000,25.000000,20.000000,0,0.000000,0.000000,0.390000,0.000000,7.720000,0.000000,53.11

3,00:30-00:45,0.000000,25.000000,20.000000,0,0.000000,0.000000,0.390000,0.000000,7.720000,0.000000,53.11

4,00:45-01:00,0.000000,25.000000,20.000000,0,0.000000,0.000000,0.390000,0.000000,7.720000,0.000000,53.11

5,01:00-01:15,0.000000,25.000000,20.000000,0,0.000000,0.000000,0.390000,0.000000,7.720000,0.000000,53.11

6,01:15-01:30,0.000000,25.000000,20.000000,0,0.000000,0.000000,0.390000,0.000000,7.720000,0.000000,53.11

7,01:30-01:45,0.000000,25.000000,20.000000,0,0.000000,0.000000,0.390000,0.000000,7.720000,0.000000,53.11

8,01:45-02:00,0.000000,25.000000,20.000000,0,0.000000,0.000000,0.390000,0.000000,7.720000,0.000000,53.11

9,02:00-02:15,0.000000,25.000000,20.000000,0,0.000000,0.000000,0.390000,0.000000,7.720000,0.000000,53.11

10,02:15-02:30,0.000000,25.000000,20.000000,0,0.000000,0.000000,0.390000,0.000000,7.720000,0.000000,53.11

11,02:30-02:45,0.000000,25.000000,20.000000,0,0.000000,0.000000,0.390000,0.000000,7.720000,0.000000,53.11

12,02:45-03:00,0.000000,25.000000,20.000000,0,0.000000,0.000000,0.390000,0.000000,7.720000,0.000000,53.11

