Block,Time,ANTA_RF,ANTA_LF,DULHASTI,CHAMERA2,SALAL,UNCHAHAR1,TEHRI,ANTA_CRF,KOLDAM,JHAJJAR,RAPPC,TANAKPUR,DADRI_RF,NJPC,DADRI_CRF,RAPPB,SINGRAULI,CHAMERA3,PARBATI3,DADRT2,AURY_RF,BSIUL,RIHAND3,DADRI_GF,UNCHAHAR3,NAPP,KOTESHWR,RAMPUR,URI,KISHANGANGA,AURY_GF,UNCHAHAR4,DHAULIGNGA,TANDA2,AURY_CRF,UNCHAHAR2,CHAMERA1,DADRI_LF,RIHAND2,URI2,AURY_LF,RIHAND1,SEWA2,ANTA_GF,SINGRAULI_HYDRO,KHSTPP-I,TALA,FSTPP I & II,KHSTPP-II,BRBCL,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,57.080594,46.782935,80.702294,21.132389,62.103359,0.000000,9.850160,407.485624,65.745941,8.526003,0.000000,173.591783,0.000000,0.000000,124.288293,33.598227,16.189091,664.046023,0.000000,6.289964,125.957564,0.000000,26.660560,47.753786,37.808120,6.506724,30.882634,8.045392,0.000000,2.980614,41.994958,5.168424,0.000000,42.125722,40.656038,0.000000,119.976948,18.496556,0.000000,92.601600,0.000000,0.000000,0.000000,31.031278,9.528705,13.793780,143.050180,14.469041,336.621285,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,57.080594,46.782935,80.702294,21.132389,62.103359,0.000000,9.850160,407.485624,65.745941,8.526003,0.000000,173.591783,0.000000,0.000000,124.288293,33.598227,16.189091,664.046023,0.000000,6.289964,125.957564,0.000000,26.660560,47.753786,37.808120,6.506724,30.882634,8.045392,0.000000,2.980614,41.994958,5.168424,0.000000,42.125722,40.656038,0.000000,119.976948,18.496556,0.000000,92.601600,0.000000,0.000000,0.000000,31.031278,9.528705,13.793780,143.050180,14.469041,336.621285,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,57.080594,46.782935,80.702294,21.132389,62.103359,0.000000,9.850160,407.485624,65.745941,10.503047,0.000000,173.591783,0.000000,0.000000,124.288293,33.598227,16.189091,664.046023,0.000000,6.289964,125.957564,0.000000,26.660560,47.753786,37.808120,6.506724,30.882634,8.045392,0.000000,2.980614,41.994958,5.168424,0.000000,42.125722,40.656038,0.000000,119.976948,36.993112,0.000000,92.601600,0.000000,0.000000,0.000000,31.031278,9.528705,13.793780,143.050180,14.469041,336.621285,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,57.080594,46.782935,80.702294,21.132389,62.103359,0.000000,9.850160,407.485624,65.745941,10.503047,0.000000,173.591783,0.000000,0.000000,124.288293,33.598227,16.189091,664.046023,0.000000,6.289964,125.957564,0.000000,26.660560,47.753786,37.808120,6.506724,30.882634,8.045392,0.000000,2.980614,41.994958,5.168424,0.000000,42.125722,40.656038,0.000000,119.976948,36.993112,0.000000,92.601600,0.000000,0.000000,0.000000,31.031278,9.528705,13.793780,143.050180,14.469041,336.621285,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,57.080594,46.782935,80.702294,18.852432,62.103359,0.000000,9.850160,378.199210,65.745941,10.503047,0.000000,173.591783,0.000000,0.000000,124.288293,33.598227,4.120860,592.774770,0.000000,6.289964,125.957564,0.000000,24.051915,47.753786,37.808120,6.506724,30.882634,8.045392,0.000000,2.980614,41.994958,5.168424,0.000000,38.086942,27.104025,0.000000,119.976948,36.993112,0.000000,92.601600,0.000000,0.000000,0.000000,31.031278,9.500345,13.793780,143.050180,14.469041,336.621285,0,0,0,0,0

6,01:15-01:30,0.000000,0.000000,57.080594,46.782935,80.702294,18.852432,62.103359,0.000000,9.850160,378.199210,65.745941,10.503047,0.000000,173.591783,0.000000,0.000000,124.288293,33.598227,4.120860,592.774770,0.000000,6.289964,125.957564,0.000000,24.051915,47.753786,37.808120,6.506724,30.882634,8.045392,0.000000,2.980614,41.994958,5.168424,0.000000,38.086942,27.104025,0.000000,119.976948,36.993112,0.000000,92.601600,0.000000,0.000000,0.000000,31.031278,9.500345,13.793780,143.050180,13.712889,336.621285,0,0,0,0,0

7,01:30-01:45,0.000000,0.000000,57.080594,46.782935,80.702294,18.852432,62.103359,0.000000,9.850160,378.199210,65.745941,10.503047,0.000000,173.591783,0.000000,0.000000,124.288293,33.598227,4.120860,592.774770,0.000000,6.289964,125.957564,0.000000,24.051915,47.753786,37.808120,6.506724,30.882634,8.045392,0.000000,2.980614,41.994958,5.168424,0.000000,38.086942,27.104025,0.000000,119.976948,18.496556,0.000000,92.601600,0.000000,0.000000,0.000000,31.031278,9.500345,13.793780,143.050180,13.076644,336.621285,0,0,0,0,0

