Block,Time,NR/01102023/31102037/L_NR_2019_11,NR/01102023/31052040/LT-31,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/30042040/GNA_LT_36,WR/01102023/24112044/L_NR_2020_07,NR/01102023/19072037/LT-05,SR/01122023/31122023/BYPL_KSEB_DEC23,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,NR/26072023/25122043/L_NR_2023_10,NR/01122023/31122023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,WR/01102023/30052048/L_NR_2022_10,NR/01102023/02012046/L_NR_2021_17,NR/01102023/06022042/L_NR_2012_02,NR/01102023/15082037/GNA_NR_2012_01,WR/01102023/01102023/L_NR_2020_06,WR/01102023/16072048/L_NR_2022_08,NR/30092023/31122025/SH-07,NR/01122023/15122023/HP-15,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/01102023/30042040/GNA_LT_35,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_16,NR/01102023/06022042/L_NR_2012_07,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_17,NR/01102023/23072042/L_NR_2012_04,NR/01122023/07122023/HP-18,NR/30092023/26122029/SH-06,L_NR_2019_19,NR/01102023/25072045/L_NR_2021_15,NR/01102023/22052037/LT-59,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/02122045/L_NR_2021_13,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/14082046/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,NR/01102023/05012040/L_NR_2020_02
1,00:00-00:15,1.530000,0.000000,0.000000,0.000000,35.92,71.730000,48.20,0,0,0,96.410000,85.04,0,106.050000,48.200000,35.92,28.34,26.020000,57.410000,0,0,0.000000,85.04,0,32.780000,107.76,0,149.130000,123.290000,26.020000,0,0,1.010000,12.33,0,0,24.100000,0,0,2.000000

2,00:15-00:30,1.530000,0.000000,0.000000,0.000000,35.89,71.730000,48.20,0,0,0,96.410000,85.04,0,106.050000,48.200000,35.88,28.34,26.020000,57.410000,0,0,0.000000,85.04,0,32.780000,107.67,0,149.130000,123.290000,26.020000,0,0,1.010000,12.23,0,0,24.100000,0,0,2.000000

3,00:30-00:45,1.530000,0.000000,0.000000,0.000000,35.75,71.730000,48.20,0,0,0,96.410000,84.89,0,106.050000,48.200000,35.76,28.34,26.020000,57.410000,0,0,0.000000,84.89,0,32.780000,107.26,0,149.130000,123.290000,26.020000,0,0,1.320000,12.23,0,0,24.100000,0,0,2.000000

4,00:45-01:00,1.530000,0.000000,0.000000,0.000000,35.7,71.730000,48.20,0,0,0,96.410000,84.89,0,106.050000,48.200000,35.71,28.34,26.020000,57.410000,0,0,0.000000,84.89,0,32.780000,107.11,0,149.130000,123.290000,26.020000,0,0,1.320000,12.01,0,0,24.100000,0,0,2.000000

5,01:00-01:15,1.490000,0.000000,0.000000,0.000000,35.59,71.730000,48.20,0,0,0,96.410000,84.72,0,106.050000,48.200000,35.58,21.86,26.020000,57.410000,0,0,0.000000,84.72,0,32.780000,106.76,0,149.130000,123.290000,26.020000,0,0,1.320000,11.79,0,0,24.100000,0,0,2.000000

