Column1,Time,L_NR_2019_19,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,GNARE/NR/2024/12/20/3668,NR/01102023/25072045/L_NR_2021_15,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,NR/01102023/13082046/L_NR_2021_12,NR/26072023/25122043/L_NR_2023_10,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),GNARE/SR/2025/01/13/4532,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/04/01/8964,GNA/NR/2025/04/01/8510,NR/01102023/30042040/GNA_LT_35,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/9257,NR/01102023/19072037/LT-05,GNA/NR/2025/06/01/4973,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31102037/L_NR_2019_11,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/7762,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/15/6656,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/06/01/7786,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/15/8348,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/07/5932,GNA/NR/2025/06/01/7782,GNA/NR/2025/04/01/8456,GNA/NR/2025/06/01/7663
1,00:00-00:15,0,0,23.83,0,0,0,0,19,0,0,0,0,0,0,0,23.83,71.51,0,0,36.82,0,0,0.59,15.35,0,15.54,273.22,0,100.67,29.16,24.16,57.96,48.32,31.29,10.78,32,24.16,10.12,11.91,96.63,130.74,48.32,10.6,32,62.81,24.16,96.63,0,-0,11.9,10.34,48.32

2,00:15-00:30,0,0,23.5,0,0,0,0,18.67,0,0,0,0,0,0,0,23.5,70.5,0,0,35.21,0,0,1.46,15.35,0,15.54,273.22,0,100.67,29.16,24.16,57.96,48.32,31.29,10.78,32,24.16,10.12,11.91,96.63,130.74,48.32,10.6,32,62.81,24.16,96.63,0,-0,11.9,10.34,48.32

3,00:30-00:45,0,0,23,0,0,0,0,19,0,0,0,0,0,0,0,23,69,0,0,33.01,0,0,2.34,15.35,0,15.54,273.22,0,100.67,29.16,24.16,57.96,48.32,31.29,10.78,32,24.16,10.12,11.91,96.63,130.74,48.32,10.6,32,62.81,24.16,96.63,0,-0,11.9,10.34,48.32

4,00:45-01:00,0,0,22.5,0,0,0,0,18.33,0,0,0,0,0,0,0,22.5,67.5,0,0,30.81,0,0,3.39,15.35,0,15.54,273.22,0,100.67,29.16,24.16,57.96,48.32,31.29,10.78,32,24.16,10.12,11.91,96.63,130.74,48.32,10.6,32,62.81,24.16,96.63,0,-0,11.9,10.34,48.32

5,01:00-01:15,0,0,21.33,0,0,0,0,18,0,0,0,0,0,0,0,21.33,64.01,0,0,40.82,0,0,4.1,15.35,0,15.17,273.22,0,100.67,29.16,24.16,57.96,48.32,31.29,10.78,32,24.16,9.65,11.91,96.63,130.74,48.32,10.6,32,62.81,24.16,96.63,0,-0,11.9,10.34,48.32

6,01:15-01:30,0,0,20,0,0,0,0,17.33,0,0,0,0,0,0,0,20,60,0,0,39.22,0,0,4.92,15.35,0,15.17,273.22,0,100.67,29.16,24.16,57.96,48.32,31.29,10.78,32,24.16,9.65,11.91,96.63,130.74,48.32,10.6,32,62.81,24.16,96.63,0,-0,11.9,10.34,48.32

7,01:30-01:45,0,0,18.67,0,0,0,0,16.67,0,0,0,0,0,0,0,18.67,55.99,0,0,31.01,0,0,5.97,15.35,0,15.17,273.22,0,100.67,29.16,24.16,57.96,48.32,31.29,10.78,32,24.16,8.9,11.91,96.63,130.74,48.32,10.6,32,62.81,24.16,96.63,0,-0,11.9,10.34,48.32

8,01:45-02:00,0,0,17.17,0,0,0,0,16.33,0,0,0,0,0,0,0,17.17,51.49,0,0,30.01,0,0,6.97,15.35,0,15.17,273.22,0,100.67,29.16,24.16,57.96,48.32,31.29,10.78,32,24.16,8.9,11.91,96.63,130.74,48.32,10.6,32,62.81,24.16,96.63,0,-0,11.9,10.34,48.32

9,02:00-02:15,0,0,14.67,0,0,0,0,10.67,0,0,0,0,0,0,0,14.67,43.99,0,0,29.01,0,0,7.09,15.35,0,14.89,273.22,0,100.67,29.16,24.16,57.96,48.32,31.29,10.78,32,24.16,8.44,11.91,0,130.74,48.32,10.28,32,62.81,24.16,96.63,193.26,-0,11.9,10.34,48.32

10,02:15-02:30,0,0,14.5,0,0,0,0,10.67,0,0,0,0,0,0,0,14.5,43.5,0,0,28.01,0,0,7.09,15.35,0,14.89,273.22,0,100.67,29.16,24.16,57.96,48.32,31.29,10.78,32,24.16,8.44,11.91,0,130.74,48.32,10.28,32,62.81,24.16,96.63,193.26,-0,11.9,10.34,48.32

11,02:30-02:45,0,0,14.17,0,0,0,0,10.67,0,0,0,0,0,0,0,14.17,42.49,0,0,32.61,0,0,7.09,15.35,0,14.89,273.22,0,100.67,29.16,24.16,57.96,48.32,31.29,10.78,32,24.16,8.44,11.91,0,130.74,48.32,10.28,32,62.81,24.16,96.63,193.26,-0,11.9,10.34,48.32

12,02:45-03:00,0,0,13.83,0,0,0,0,10.33,0,0,0,0,0,0,0,13.83,41.51,0,0,31.61,0,0,7.09,15.35,0,14.89,273.22,0,100.67,29.16,24.16,57.96,48.32,31.29,10.78,32,24.16,8.44,11.91,0,130.74,48.32,10.28,32,62.81,24.16,96.63,193.26,-0,11.9,10.34,48.32

13,03:00-03:15,0,0,13,0,0,0,0,10.33,0,0,0,0,0,0,0,13,39,0,0,30.61,0,0,1.47,15.35,0,14.61,273.22,0,100.67,29.16,24.16,57.96,48.32,31.29,10.78,32,24.16,7.96,11.91,0,130.74,48.32,9.97,32,62.81,24.16,0,193.26,-0,11.9,10.34,48.32

14,03:15-03:30,0,0,13.33,0,0,0,0,10.67,0,0,0,0,0,0,0,13.33,40.01,0,0,29.61,0,0,1.93,15.35,0,14.61,273.22,0,100.67,29.16,24.16,57.96,48.32,31.29,10.78,32,24.16,7.96,11.91,0,130.74,48.32,9.97,32,62.81,24.16,0,193.26,-0,11.9,10.34,48.32

15,03:30-03:45,0,0,13.67,0,0,0,0,10.33,0,0,0,0,0,0,0,13.67,40.99,0,0,21.01,0,77.3,1.93,15.35,0,14.61,273.22,0,100.67,29.16,24.16,57.96,48.32,31.29,10.78,32,24.16,7.96,11.91,0,130.74,48.32,9.97,32,62.81,24.16,0,193.26,-0,11.9,10.34,48.32

16,03:45-04:00,0,0,14,0,0,0,0,10,0,0,0,0,0,0,0,14,42,0,0,20.61,0,77.3,2.35,15.35,0,14.61,273.22,0,100.67,29.16,24.16,57.96,48.32,31.29,10.78,32,24.16,7.96,11.91,0,130.74,48.32,9.97,32,62.81,24.16,0,193.26,-0,11.9,10.34,48.32

17,04:00-04:15,0,0,8.67,0,0,0,0,4.67,0,0,0,0,0,0,0,8.67,25.99,0,0,27.01,0,77.3,2.93,8.63,0,14.24,273.22,0,100.67,29.16,24.16,57.96,48.32,31.29,10.63,32,24.16,7.5,11.91,0,130.74,48.32,9.51,32,62.81,24.16,0,193.26,-0,11.9,10.34,48.32

18,04:15-04:30,0,0,8.5,0,0,0,0,4.67,0,0,0,0,0,0,0,8.5,25.5,0,0,26.61,0,77.3,3.52,8.63,0,14.24,273.22,0,100.67,29.16,24.16,57.96,48.32,31.29,10.63,32,24.16,7.5,11.91,0,130.74,48.32,9.51,32,62.81,24.16,0,193.26,-0,11.9,10.34,48.32

19,04:30-04:45,0,0,8.33,0,0,0,0,1.33,0,0,0,0,0,0,0,8.33,25.01,0,0,35.41,0,77.3,4.02,8.63,0,14.24,273.22,0,100.67,29.16,24.16,57.96,48.32,31.29,10.63,14.66,24.16,8.11,11.91,0,130.74,48.32,9.82,14.66,62.81,24.16,0,193.26,-0,11.9,10.34,48.32

20,04:45-05:00,0,0,8.33,0,0,0,0,1.33,0,0,0,0,0,0,0,8.33,25.01,0,0,35.01,0,77.3,5.12,8.63,0,14.24,273.22,0,100.67,29.16,24.16,57.96,48.32,31.29,10.63,14.66,24.16,8.11,11.91,0,130.74,48.32,9.82,14.66,62.81,24.16,0,193.26,-0,11.9,10.34,48.32

21,05:00-05:15,0,0,8.17,0,0,0,0,1.33,0,0,0,0,0,0,0,8.17,24.49,0,0,34.61,0,63.64,6.22,8.63,0,13.88,273.22,0,100.67,29.16,24.16,62.22,48.32,31.29,10.4,14.66,24.16,7.87,11.91,0,98.74,48.32,9.82,14.66,62.81,24.16,0,193.26,-0,11.9,10.34,48.32

22,05:15-05:30,0,0,8.17,0,0,0,0,1.33,0,0,0,0,0,0,0,8.17,24.49,0,0,34.01,0,63.64,7.09,8.63,0,13.88,273.22,0,100.67,29.16,24.16,66.48,48.32,31.29,10.4,14.66,24.16,7.87,11.91,0,98.74,48.32,9.82,14.66,62.81,24.16,0,193.26,-0,11.9,10.34,48.32

23,05:30-05:45,1.26,0,8,0,0,0,0,8.33,0,0,0,0,0,0,0,8,24,0,0,41.02,0,77.3,7.09,8.63,0,13.88,231.91,0,100.67,29.16,24.16,66.48,48.32,28.26,10.4,14.66,24.16,7.87,11.91,0,102.87,48.32,9.82,14.66,62.81,24.16,0,193.26,-0,11.9,10.34,48.32

24,05:45-06:00,4.15,0,7.67,0,0,0,0,8.33,0,0,0,0,0,0,1,7.67,22.99,0,0,40.42,0,53.15,5.3,4.35,0,13.88,193.26,0,100.67,29.16,24.16,70.74,48.32,28.26,10.4,14.66,24.16,7.87,11.91,0,78.71,48.32,9.82,14.66,62.81,24.16,0,193.26,-0,11.9,7.77,48.32

25,06:00-06:15,7.1,8.48,7.5,0,0.57,1,0,8,0,1,0,0.3,1,1.5,1,7.5,22.5,7.79,0,39.82,0,46.69,5.3,4.35,0,13.5,150.27,0,100.67,29.16,24.16,66.29,48.32,28.26,10.78,19.46,24.16,7.68,11.91,0,70.87,48.32,9.51,19.46,62.81,24.16,0,193.26,-0,11.9,7.77,48.32

26,06:15-06:30,10.46,29.06,7.5,0,3.19,2,0,7.67,0,2,1,1.08,2,5.37,3,7.5,22.5,28.08,0,39.02,1.1,46.69,5.3,4.35,1.1,13.5,150.27,0.85,100.67,29.16,24.16,66.29,48.32,28.26,10.78,19.46,24.16,7.68,11.91,0,70.87,48.32,9.51,19.46,62.81,24.16,0,193.26,-0,11.9,7.77,48.32

27,06:30-06:45,14.59,32.59,7.33,0,5.54,3,0,7.67,0,3,2,1.96,3,9.8,5,7.33,22.01,32.6,3,38.42,0.24,38.65,5.3,4.35,0.24,13.5,150.27,0.19,100.67,29.16,24.16,66.29,48.32,28.26,10.78,19.46,24.16,7.68,11.91,0,70.87,48.32,9.51,19.46,62.81,24.16,0,193.26,-0,11.9,7.77,48.32

28,06:45-07:00,19.75,32.25,7.33,0,7.68,4,0,7.33,0,7,3,3.16,6,15.81,7,7.33,22.01,32.26,6,37.42,0.59,38.65,5.3,4.35,0.59,13.5,150.27,0.46,100.67,29.16,24.16,66.29,48.32,29.27,10.78,19.46,24.16,7.68,11.91,0,70.87,48.32,9.51,19.46,62.81,24.16,0,193.26,-0,11.9,7.77,48.32

29,07:00-07:15,25.78,32.11,13.67,0,11.4,5,0,6.67,0,13,7,4.27,9,21.33,9,13.67,40.99,32.11,10,40.02,1.05,38.65,5.3,4.35,1.05,13.23,150.27,0.81,71.68,29.16,24.16,66.29,48.32,29.27,10.78,19.46,24.16,8.11,11.91,0,51.66,48.32,8.96,19.46,62.81,24.16,0,193.26,-0,11.9,7.77,48.32

30,07:15-07:30,32.76,32.71,13.33,0,15.11,6,0,6.67,0,17,8,5.03,13,25.15,11,13.33,40.01,32.72,16,40.02,1.98,38.65,5.3,4.35,1.98,13.23,150.27,1.53,53.15,29.16,24.16,70.45,48.32,29.27,10.78,19.46,24.16,8.11,11.91,0,51.66,48.32,8.96,19.46,62.81,24.16,0,193.26,-0,11.9,7.77,48.32

31,07:30-07:45,42.48,32.67,12.5,0,18.83,7,0,6.67,0,15,7,5.8,22,28.97,10,12.5,37.5,32.67,24,40.02,3,38.65,5.3,4.35,3,13.23,150.27,2.32,53.15,29.16,24.16,70.45,48.32,30.28,10.78,19.46,24.16,8.11,11.91,0,51.66,48.32,10.28,19.46,62.81,24.16,0,193.26,-0,11.9,7.77,48.32

32,07:45-08:00,51.03,31.06,11.5,0,22.55,7,0,6.67,0,19,9,6.56,26,32.79,12,11.5,34.5,31.07,31.07,40.02,4.15,38.65,5.3,4.35,4.15,13.23,150.27,3.21,53.15,29.16,24.16,70.45,48.32,30.28,10.78,19.46,24.16,8.11,11.91,0,51.66,48.32,10.28,19.46,62.81,24.16,0,193.26,-0,11.9,7.77,48.32

33,08:00-08:15,59.04,31.9,11.5,0,14,9,0,6.67,0,23,11,7.22,13,36.08,18,11.5,34.5,31.9,31.9,40.02,2.1,38.65,5.3,4.35,2.1,13.23,150.27,1.62,53.15,17.39,24.16,70.45,48.32,30.28,10.78,21.39,24.16,7.91,11.91,0,51.66,48.32,10.28,21.39,62.81,24.16,0,193.26,-0,11.9,7.77,48.32

34,08:15-08:30,66.94,33,11.5,0,14.47,12,0,6.67,0,27,13,7.88,15,39.37,22,11.5,34.5,33,33,40.02,2.73,38.65,5.3,4.35,2.73,13.23,150.27,2.11,53.15,17.39,24.16,70.45,48.32,29.27,10.78,21.39,24.16,7.91,11.91,0,51.66,48.32,10.28,21.39,62.81,24.16,0,193.26,-0,11.9,7.77,48.32

35,08:30-08:45,75.33,33,7.5,0,14.94,12,0,6.67,0,23,12,8.53,17,42.67,22,7.5,22.5,33,33,31.01,3.36,49.19,5.3,4.35,3.36,13.23,150.27,2.6,82.14,17.39,24.16,70.45,48.32,29.27,10.63,21.39,24.16,7.91,11.91,0,70.87,48.32,10.28,21.39,62.81,24.16,0,193.26,-0,11.9,7.77,48.32

36,08:45-09:00,68.34,33,7.5,0,15.41,13,0,6.67,0,27,13,9.19,18,45.96,24,7.5,22.5,33,33,31.01,3.99,49.19,5.3,4.35,3.99,13.23,150.27,3.08,97.6,17.39,24.16,70.45,48.32,29.27,10.63,21.39,24.16,7.91,11.91,0,70.87,48.32,10.28,21.39,62.81,24.16,0,193.26,-0,11.9,7.77,48.32

37,09:00-09:15,75.11,33,7.5,0,17.09,16,0,0.67,0,27,13,8.67,32,43.33,24,7.5,22.5,33,33,23.81,4.83,49.19,5.3,4.35,4.83,13.23,150.27,3.73,97.6,17.39,24.16,70.45,48.32,28.25,10.4,21.34,24.16,7.73,11.91,0,70.87,48.32,10.28,21.34,62.81,24.16,0,193.26,-77.48,11.9,10.34,48.32

38,09:15-09:30,81.2,33,7.5,0,20.32,18,0,0.67,0,30,15,10.09,35,50.44,27,7.5,22.5,33,33,24.41,6.09,49.19,5.3,4.35,6.09,13.23,150.27,4.71,97.6,17.39,24.16,70.45,48.32,28.25,10.4,21.34,24.16,7.73,11.91,0,70.87,48.32,10.28,21.34,62.81,24.16,0,193.26,-77.48,11.9,10.34,48.32

39,09:30-09:45,87.05,33,7.17,0,21.63,18,0,0.67,0,30,15,12.56,38,62.79,27,7.17,21.49,33,33,22.01,7.35,49.19,5.3,4.35,7.35,13.23,150.27,5.68,97.6,17.39,24.16,70.45,48.32,25.23,10.4,21.34,24.16,7.73,11.91,0,70.87,48.32,9.97,21.34,62.81,24.16,0,193.26,-77.48,11.9,10.34,48.32

40,09:45-10:00,92.75,33,7.17,0,22.28,21,0,0.67,0,33,17,14.09,42,70.45,30,7.17,21.49,33,33,23.01,8.4,49.19,5.3,4.35,8.4,13.23,150.27,6.49,97.6,17.39,24.16,70.45,48.32,25.23,10.4,21.34,24.16,7.73,11.91,0,70.87,48.32,9.97,21.34,62.81,24.16,0,193.26,-77.48,11.9,10.34,48.32

41,10:00-10:15,97.3,33,7.17,0,23.69,21,0,0.67,0,40,20,14.37,38,71.87,39,7.17,21.49,33,33,33.41,9.45,38.27,5.3,4.35,9.45,13.04,150.27,7.31,68.61,17.39,24.16,70.45,48.32,25.23,10.24,21.34,24.16,7.73,11.91,0,52.18,48.32,9.97,21.34,62.81,24.16,0,193.26,-77.48,11.9,10.34,48.32

42,10:15-10:30,105.6,33,7.17,0,25.1,23,0,0.67,0,43,22,13.96,42,69.81,42,7.17,21.49,33,33,34.61,10.51,38.27,5.3,4.35,10.51,13.04,150.27,8.12,53.15,17.39,24.16,70.45,48.32,25.23,10.24,21.34,24.16,7.73,11.91,0,52.18,48.32,9.97,21.34,62.81,24.16,0,193.26,-77.48,11.9,10.34,48.32

43,10:30-10:45,110.06,33,8.33,0,46.09,21,0,6.67,0,53,27,13.54,43,67.7,48,8.33,25.01,33,33,40.02,11.56,38.27,5.3,4.35,11.56,13.04,150.27,8.93,53.15,17.39,24.16,70.45,48.32,25.23,10.24,21.34,24.16,7.73,11.91,0,52.18,48.32,9.51,21.34,62.81,24.16,0,193.26,-77.48,11.9,10.34,48.32

44,10:45-11:00,113.61,33,8.17,0,48.55,23,0,6.67,0,57,28,13.27,43,66.34,51,8.17,24.49,33,33,40.02,12.61,38.27,5.3,4.35,12.61,13.04,150.27,9.74,53.15,17.39,24.16,70.45,48.32,25.23,10.24,21.34,24.16,7.73,11.91,0,52.18,48.32,9.51,21.34,62.81,24.16,0,193.26,-77.48,11.9,10.34,48.32

45,11:00-11:15,116.78,33,7.5,0,51.13,21,0,3.33,0,75,37,13.01,42,65.04,63,7.5,22.5,33,33,42.02,13.66,38.27,5.3,4.35,13.66,12.95,150.27,10.55,82.14,17.39,24.16,70.45,48.32,25.23,10.18,21.34,24.16,6.56,11.91,0,52.18,48.32,9.51,21.34,62.81,24.16,0,193.26,-77.48,11.9,10.34,48.32

46,11:15-11:30,119.61,33,7.5,0,51.85,21,0,3.33,0,75,37,12.75,42,63.77,66,7.5,22.5,33,33,42.02,14.29,38.27,5.3,4.35,14.29,12.95,150.27,11.04,100.67,17.39,24.16,70.45,48.32,25.23,10.18,21.34,24.16,6.56,11.91,0,52.18,48.32,9.51,21.34,62.81,24.16,0,193.26,-77.48,11.9,10.34,48.32

47,11:30-11:45,118.85,33,7.5,0,51.23,21,0,1.67,0,75,37,25.22,33,126.07,66,7.5,22.5,33,33,42.02,14.71,38.27,5.3,8.29,14.71,12.95,150.27,11.36,100.67,17.39,24.16,70.45,48.32,25.23,10.55,21.34,24.16,6.56,11.91,0,52.18,48.32,9.51,21.34,62.81,24.16,0,193.26,-77.48,11.9,7.77,48.32

48,11:45-12:00,119.69,33,7.5,0,50.21,21,0,1.67,0,75,37,25.03,37,125.15,66,7.5,22.5,33,33,42.02,14.71,38.27,5.3,8.29,14.71,12.95,150.27,11.36,100.67,17.39,24.16,70.45,48.32,25.23,10.55,21.34,24.16,6.56,11.91,0,52.18,48.32,9.51,21.34,62.81,24.16,0,193.26,-77.48,11.9,7.77,48.32

49,12:00-12:15,118.14,33,7.5,0,56.37,18,0,1.67,0,57,28,25.44,33,127.22,54,7.5,22.5,33,33,42.02,5.96,38.27,5.3,8.29,5.96,12.76,150.27,4.6,100.67,17.39,24.16,70.45,48.32,25.23,10.63,21.28,24.16,7.5,11.91,0,52.18,48.32,9.35,21.28,62.81,24.16,0,193.26,-77.48,11.9,7.77,48.32

50,12:15-12:30,115.82,33,7.5,0,56.67,18,0,1.67,0,57,28,25.81,33,129.06,54,7.5,22.5,33,33,42.02,6.27,38.27,5.3,8.29,6.27,12.76,150.27,4.84,100.67,17.39,24.16,70.45,48.32,25.23,10.63,21.28,24.16,7.5,11.91,0,52.18,48.32,9.35,21.28,62.81,24.16,0,193.26,-77.48,11.9,7.77,48.32

51,12:30-12:45,116.66,33,7.5,0,39.08,19,0,0.33,0,60,30,26.51,33,132.57,57,7.5,22.5,33,33,42.02,6.21,38.27,5.3,8.29,6.21,12.76,150.27,4.8,100.67,17.39,24.16,70.45,48.32,25.23,10.63,21.28,24.16,7.5,11.91,0,52.18,48.32,9.35,21.28,62.81,24.16,0,193.26,-77.48,11.9,7.77,48.32

52,12:45-13:00,58.52,33,7.5,0,42.79,20,0,0.33,0,60,30,27.56,33,137.8,57,7.5,22.5,33,33,42.02,5.59,38.27,5.3,8.29,5.59,12.76,150.27,4.32,100.67,17.39,24.16,70.45,48.32,25.23,10.63,21.28,24.16,7.5,11.91,0,52.18,48.32,9.35,21.28,62.81,24.16,0,193.26,-77.48,11.9,7.77,48.32

53,13:00-13:15,58.52,33,6.67,0,46,21,0,0.33,0,70,35,26,42,129.97,66,6.67,19.99,33,33,42.02,5.41,38.27,5.3,8.29,5.41,12.76,150.27,4.17,100.67,17.39,24.16,70.45,48.32,25.23,10.78,21.28,24.16,5.62,11.91,0,52.18,48.32,9.35,21.28,62.81,24.16,0,193.26,-77.48,11.9,7.77,48.32

54,13:15-13:30,58.52,33,6.67,0,46,22,0,0.33,0,70,35,26.66,42,133.27,66,6.67,19.99,33,33,42.02,5.24,38.27,5.3,8.29,5.24,12.76,150.27,4.05,100.67,17.39,24.16,70.45,48.32,25.23,10.78,21.28,24.16,5.62,11.91,0,52.18,48.32,9.35,21.28,62.81,24.16,0,193.26,-77.48,11.9,7.77,48.32

55,13:30-13:45,58.52,33,6.67,0,46,23,0,0.33,0,77,38,27.02,33,135.12,67,6.67,19.99,33,33,42.02,4.2,38.27,5.3,8.29,4.2,12.76,150.27,3.25,100.67,17.39,24.16,70.45,48.32,26.24,10.78,21.28,24.16,5.62,11.91,0,52.18,48.32,9.51,21.28,62.81,24.16,0,193.26,-0,11.9,7.77,48.32

56,13:45-14:00,58.52,33,6.67,0,46,23,0,0.33,0,77,38,27.19,33,135.94,67,6.67,19.99,33,33,42.02,3.79,38.27,5.3,8.29,3.79,12.76,150.27,2.93,100.67,17.39,24.16,70.45,48.32,27.25,10.78,21.28,24.16,5.62,11.91,0,52.18,48.32,9.51,21.28,62.81,24.16,0,193.26,-0,11.9,7.77,48.32

57,14:00-14:15,58.52,33,6.67,0,36.67,15,0,0.33,0,73,37,21.25,28,106.23,66,6.67,19.99,33,33,42.02,4.2,38.27,5.3,4.35,4.2,12.76,150.27,3.25,100.67,17.39,24.16,70.45,48.32,27.25,10.78,21.28,24.16,5.99,11.91,0,52.18,48.32,9.35,21.28,62.81,24.16,0,193.26,-0,11.9,7.77,48.32

58,14:15-14:30,99.54,33,6.67,0,36.67,16,0,0.33,0,70,35,21.07,28,105.37,64,6.67,19.99,33,33,42.02,4.2,38.27,5.3,4.35,4.2,12.76,150.27,3.25,100.67,17.39,24.16,70.45,48.32,27.25,10.78,21.28,24.16,5.99,11.91,0,52.18,48.32,9.35,21.28,62.81,24.16,0,193.26,-0,11.9,7.77,48.32

59,14:30-14:45,93.86,33,6.67,0,36.67,14,0,0.33,0,67,33,16.67,20,83.33,63,6.67,19.99,33,33,42.02,3.96,38.27,5.3,4.35,3.96,12.76,150.27,3.06,100.67,17.39,24.16,70.45,48.32,26.24,10.78,21.28,24.16,5.99,11.91,0,52.18,48.32,9.74,21.28,62.81,24.16,0,193.26,-0,11.9,7.77,48.32

60,14:45-15:00,88.02,33,6.67,0,36.67,14,0,0.33,0,63,32,16.67,20,83.33,60,6.67,19.99,33,33,42.02,3.62,38.27,5.3,4.35,3.62,12.76,193.26,2.8,100.67,17.39,24.16,70.45,48.32,26.24,10.78,21.28,24.16,5.99,11.91,0,52.18,48.32,9.74,21.28,62.81,24.16,0,193.26,-0,11.9,7.77,48.32

61,15:00-15:15,81.85,33,6.67,0,36.67,12,0,0.67,0,60,30,18.39,20,91.93,57,6.67,19.99,33,33,42.02,3.76,49.19,5.3,4.35,3.76,13.04,193.26,2.91,100.67,17.39,24.16,70.45,48.32,27.25,10.78,21.28,24.16,6.65,11.91,0,70.87,48.32,10.13,21.28,62.81,24.16,0,193.26,-0,11.9,10.34,48.32

62,15:15-15:30,75.45,33,6.67,0,36.67,12,0,1,0,57,28,16.89,20,84.42,54,6.67,19.99,33,33,42.02,3.79,49.19,5.3,4.35,3.79,13.04,193.26,2.93,100.67,17.39,24.16,70.45,48.32,27.25,10.78,21.28,24.16,6.65,11.91,0,70.87,48.32,10.13,21.28,62.81,24.16,0,193.26,-0,11.9,10.34,48.32

63,15:30-15:45,69.45,33,6.67,0,26.67,11,0,1.33,0,40,20,14.67,17,73.32,33,6.67,19.99,33,33,42.02,3.82,49.19,5.3,4.35,3.82,13.04,193.26,2.95,100.67,17.39,24.16,70.45,48.32,27.25,10.78,21.28,24.16,6.65,11.91,0,70.87,48.32,10.28,21.28,62.81,24.16,0,193.26,-0,11.9,10.34,48.32

64,15:45-16:00,63.36,33,6.67,0,24.06,10,0,1.67,0,33,17,12.46,17,62.28,31,6.67,19.99,33,33,42.02,3.85,49.19,5.3,4.35,3.85,13.04,193.26,2.97,100.67,17.39,24.16,70.45,48.32,27.25,10.78,21.28,24.16,6.65,11.91,0,70.87,48.32,10.28,21.28,62.81,24.16,0,193.26,-0,11.9,10.34,48.32

65,16:00-16:15,57.21,33,6.67,0,33,9,0,1.67,0,27,13,11.17,13,55.82,24,6.67,19.99,33,30,42.02,3.75,49.19,0,4.35,3.75,13.41,193.26,2.89,100.67,17.39,24.16,70.45,48.32,28.26,10.78,21.28,24.16,7.5,11.91,0,70.87,48.32,10.6,21.28,62.81,24.16,0,193.26,-0,11.9,10.34,48.32

66,16:15-16:30,51.01,33,6.67,0,32.33,8,0,1.67,0,23,12,10.32,12,51.58,21,6.67,19.99,33,20,42.02,3.66,49.19,0,4.35,3.66,13.41,193.26,2.83,100.67,17.39,24.16,70.45,48.32,29.27,10.78,21.28,24.16,7.5,11.91,0,70.87,48.32,10.6,21.28,62.81,24.16,0,193.26,-0,11.9,10.34,48.32

67,16:30-16:45,43.65,33,6.67,0,12.89,8,0,1.67,0,20,10,9.46,10,47.29,18,6.67,19.99,33,10,42.02,3.56,49.19,0,4.35,3.56,13.41,193.26,2.75,100.67,17.39,24.16,70.45,48.32,26.24,10.78,21.28,24.16,7.5,11.91,0,70.87,48.32,10.6,21.28,62.81,24.16,0,193.26,-0,11.9,10.34,48.32

