Block,Time Block,BSIUL,CHAMERA2,BRBCL,CHAMERA1,CHAMERA3,DHAULIGNGA,FSTPP I & II,DADRT2,DULHASTI,JHAJJAR,KGSU1AND2,KGSU3AND4,KHSTPP-I,KISHANGANGA,KHSTPP-II,KKNP,KOTESHWR,KKNPPU2,KOLDAM,KUDGI,MAPS,NAPP,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NLCTS2EXP,NNTPP,RAMPUR,NTPL,PARBATI3,RIHAND3,RAPPB,RIHAND2,RIHAND1,RAPPC,SALAL,SEWA2,SASAN,RSTPSU1TO6,RSTPSU7,SIMHST1,SINGRAULI_HYDRO,SIMHST2,SINGRAULI,TALST2,TALA,TEHRI,TANDA2,TANAKPUR,TelanganaSTPP,UNCHAHAR1,UNCHAHAR3,UNCHAHAR2,URI,VALLURNTECL,UNCHAHAR4,URI2,AURY_GF,ANTA_GF,AURY_CRF,ANTA_CRF,ANTA_RF,ANTA_LF,AURY_RF,DADRI_CRF,AURY_LF,DADRI_LF,DADRI_GF,DADRI_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,18.52,0,0,0,11.09,219.39,0,229.88,0,0,18.41,0,78.44,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,253.55,0,0,0,0,0,100.15,0,0,0,0,1.23,0,5.77,14.28,22.45,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,19.23,0,0,0,11.09,219.39,0,229.88,0,0,18.41,0,78.44,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,259.63,0,0,0,0,0,100.15,0,0,0,0,1.23,0,5.77,14.28,22.45,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,19.18,0,0,0,11.09,219.39,0,229.88,0,0,24.5,0,99.18,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,259.63,0,0,0,0,0,100.15,0,0,0,0,1.23,0,5.77,14.28,22.45,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,16.77,0,0,0,11.09,219.39,0,229.88,0,0,24.5,0,105.92,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,259.63,0,0,0,0,0,100.15,0,0,0,0,1.97,0,5.77,14.28,22.45,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,15.86,0,0,0,11.09,219.39,0,229.88,0,0,24.5,0,105.92,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,259.63,0,0,0,0,0,100.15,0,0,0,0,7.51,0,5.77,14.28,22.45,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

