Block,Time Block,DHAULIGNGA,DADRT2,CHAMERA3,FSTPP I & II,DULHASTI,BRBCL,CHAMERA2,CHAMERA1,BSIUL,KHSTPP-II,KHSTPP-I,JHAJJAR,KGSU1AND2,KGSU3AND4,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,SINGRAULI,SINGRAULI_HYDRO,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,TANDA2,TEHRIPSP,URI2,UNCHAHAR3,TALST2,TANAKPUR,TEHRI,TelanganaSTPP,UNCHAHAR2,TALA,URI,NLCEXP,KOTESHWR,NJPC,KKNPPU2,KOLDAM,KUDGI,NAPP,MAPS,NNTPP,NLCIIST1,NLCIIST2,NLCTS2EXP,RAPPC,NTPL,PARBATI3,RIHAND2,PARBATI2,SASAN,RIHAND1,RAPPB,SIMHST1,RSTPSU1TO6,RAPPD,SIMHST2,RSTPSU7,SALAL,SEWA2,RAMPUR,RIHAND3,KISHANGANGA,KKNP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,40.75,654.44,32.58,17.61,36.49,15.1,45.23,40.46,0,93.62,41.16,554.43,0,0,0,2.16,0,0,2.05,0,0,1.09,0,0,0,0,108.27,0,19.99,0.4,0,1.24,170.06,35.92,25.36,0,12.53,71.04,0,40.65,19.61,50.26,0,38.94,168.72,0,8.27,0,23.5,0,0,0,0,0,62.95,0,49.94,120.23,15.53,401.94,94.37,0,0,0,23.3,0,0,80.31,17.6,5.44,125.58,3.07,0,0,0,0,0,0

2,00:15-00:30,40.75,619.74,32.58,17.61,36.49,12.39,45.23,40.46,0,93.62,43.63,441.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.27,0,19.99,0.69,0,1.24,85.03,35.92,25.36,0,12.53,71.04,0,40.65,19.61,50.26,0,38.94,168.72,0,8.27,0,23.5,0,0,0,0,0,62.95,0,49.94,120.23,15.53,401.94,94.37,0,0,0,23.3,0,0,80.31,17.6,5.44,125.58,3.07,0,0,0,0,0,0

3,00:30-00:45,40.75,597.67,32.58,17.61,36.49,12.78,45.23,40.46,0,93.62,37.86,281.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.27,0,20.38,0.73,0,1.36,0,31.42,25.36,0,12.53,71.04,0,40.65,19.61,38.15,0,38.94,168.72,0,8.27,0,23.5,0,0,0,0,0,62.95,0,54.22,120.23,15.53,401.94,94.37,0,0,0,23.3,0,0,80.31,17.6,5.44,125.58,3.07,0,0,0,0,0,0

4,00:45-01:00,40.75,583.27,32.58,17.61,36.49,11.59,45.23,40.46,0,93.62,37.86,281.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.27,0,20.38,0.73,0,1.36,0,31.42,25.36,0,12.53,71.04,0,40.65,19.61,38.15,0,38.94,168.72,0,8.27,0,23.5,0,0,0,0,0,62.95,0,54.22,120.23,15.53,401.94,94.37,0,0,0,23.3,0,0,80.31,17.6,5.44,125.58,3.07,0,0,0,0,0,0

5,01:00-01:15,40.75,583.27,32.58,17.61,36.49,11.94,45.23,40.46,0,93.62,37.86,249.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.27,0,17.61,1.55,0,1.36,0,35.92,25.36,0,12.53,71.04,0,39.42,19.61,38.15,0,38.94,168.72,0,8.27,0,23.5,0,0,0,0,0,62.95,0,54.22,120.23,15.53,401.94,94.37,0,0,0,23.3,0,0,80.31,17.6,5.44,125.58,3.07,0,0,0,0,0,0

6,01:15-01:30,40.75,556.4,32.58,17.61,36.49,10.79,45.23,40.46,0,93.62,37.86,249.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.27,0,20.38,1.55,0,1.36,0,35.92,25.91,0,12.53,71.04,0,41.86,19.61,38.15,0,38.94,168.72,0,8.27,0,23.5,0,0,0,0,0,62.95,0,54.22,120.23,15.53,401.94,94.37,0,0,0,23.3,0,0,80.31,17.6,5.44,125.58,3.07,0,0,0,0,0,0

7,01:30-01:45,40.75,457.97,32.58,17.61,36.49,10.17,45.23,40.46,0,93.62,37.86,249.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.27,0,20.11,2.03,0,1.36,0,31.42,25.91,0,12.53,71.04,0,41.86,19.61,29.67,0,38.94,168.72,0,8.27,0,23.5,0,0,0,0,0,62.95,0,54.22,120.23,15.53,401.94,94.37,0,0,0,23.3,0,0,80.31,17.6,5.44,125.58,3.07,0,0,0,0,0,0

8,01:45-02:00,40.75,370.63,32.58,17.61,36.49,10.65,45.23,40.46,0,93.62,37.86,249.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.27,0,18.87,1.22,0,1.36,0,31.42,25.91,0,12.53,71.04,0,41.86,19.61,29.67,0,38.94,168.72,0,8.27,0,23.5,0,0,0,0,0,62.95,0,54.22,120.23,15.53,401.94,94.37,0,0,0,23.3,0,0,80.31,17.6,5.44,125.58,3.07,0,0,0,0,0,0

9,02:00-02:15,40.75,341.83,32.58,17.61,36.49,11.86,45.23,40.46,0,93.62,41.37,249.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.27,0,17.61,2.28,0,2.85,0,35.92,22.42,0,12.53,71.04,0,36.25,19.61,23.31,0,38.94,168.72,0,8.27,0,23.5,0,0,0,0,0,62.95,0,54.22,120.23,15.53,401.94,94.37,0,0,0,23.3,0,0,80.31,17.6,5.44,125.58,3.07,0,0,0,0,0,0

10,02:15-02:30,40.75,341.83,32.58,17.21,36.49,12.6,45.23,40.46,0,93.62,41.37,249.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.27,0,17.61,1.57,0,2.51,0,35.92,22.42,0,12.53,71.04,0,36.25,19.61,23.31,0,38.94,168.72,0,8.27,0,23.5,0,0,0,0,0,62.95,0,54.22,120.23,15.53,401.94,94.37,0,0,0,23.3,0,0,80.31,17.6,5.44,125.58,3.07,0,0,0,0,0,0

11,02:30-02:45,40.75,312.08,32.58,17.21,36.49,12.91,45.23,40.46,0,93.62,39.83,239.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.27,0,17.61,1.46,0,2.51,0,25.43,22.42,0,12.53,71.04,0,36.25,19.61,23.31,0,38.94,168.72,0,8.27,0,23.5,0,0,0,0,0,62.95,0,45.66,120.23,15.53,401.94,94.37,0,0,0,23.3,0,0,80.31,17.6,5.44,125.58,3.07,0,0,0,0,0,0

12,02:45-03:00,40.75,302.48,32.58,17.21,36.49,15.5,45.23,40.46,0,93.62,39.83,239.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.27,0,17.61,1.46,0,2.51,0,25.43,22.42,0,12.53,71.04,0,36.25,19.61,23.31,0,38.94,168.72,0,8.27,0,23.5,0,0,0,0,0,62.95,0,45.66,120.23,15.53,401.94,94.37,0,0,0,23.3,0,0,80.31,17.6,5.44,125.58,3.07,0,0,0,0,0,0

13,03:00-03:15,40.75,287.12,32.58,17.61,36.49,15.77,45.23,40.46,0,93.62,41.37,239.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.27,0,17.61,1.46,0,2.51,0,25.43,25.91,0,11.43,71.04,0,40.34,19.61,50.26,0,19.47,168.72,0,8.27,0,23.5,0,0,0,0,0,62.95,0,39.95,120.23,15.53,401.94,94.37,0,0,0,23.3,0,0,76.96,17.6,5.44,125.58,3.07,0,0,0,0,0,0

