Column1,Time,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_07,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/16082024/31082024/APL-Raigarh_august,NR/01102023/06022042/L_NR_2012_02,NR/01102023/22052037/LT-59,NR/16082024/31082024/MPL/24-25/STOA/128,NR/01102023/30042040/GNA_LT_36,NR/01082024/31082024/SKS-Raigarh,NR/01102023/30042040/GNA_LT_35,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug'24,NR/01082024/31082024/jitpl,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/01102023/05012040/L_NR_2020_02,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/30092024/LT_MEJA_DELHI,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31102037/L_NR_2019_11,NR/30092023/26122029/SH-06,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31052040/LT-31,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/30092023/31122025/SH-07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/16072048/L_NR_2022_08,NR/01102023/13082046/L_NR_2021_12,WR/01102023/24112044/L_NR_2020_07,L_NR_2019_19,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07,SR/01102023/07102043/L_NR_2018_61,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16
1,00:00-00:15,0,70.6,87.39,32.94,82.36,263.06,0,17.44,0,12.48,0,82.36,24.77,20.35,5.87,14.16,0,29.26,0,24.0835,100.94,0,273.96,40.69,24.0835,19.16,9,0,19.17,0,0,0,57.5,0,40,0,40,0,0,0,0,34.41,0,0

2,00:15-00:30,0,70.6,87.39,32.94,82.36,263.06,0,17.44,0,12.48,0,82.36,24.77,20.35,5.87,14.16,0,29.26,0,24.0835,100.94,0,273.96,40.69,24.0835,19.34,9.66,0,19.33,0,0,0,58,0,40.33,0,40.33,0,0,0,0,34.01,0,0

3,00:30-00:45,0,70.6,68.34,32.94,82.36,228.25,0,17.44,0,12.48,0,82.36,24.77,20.35,5.87,14.16,0,29.76,0,24.0835,53.29,0,273.96,40.69,24.0835,19.5,10.66,0,19.5,0,0,0,58.5,0,40.67,0,40.67,0,0,0,0,34.01,0,0

4,00:45-01:00,0,70.6,68.34,32.94,82.36,228.25,0,17.44,0,12.48,0,82.36,24.77,20.35,5.87,14.16,0,29.76,0,24.0835,97.86,0,273.96,40.69,24.0835,19.66,11.34,0,19.67,0,0,0,59,0,41,0,41,0,0,0,0,33.61,0,0

5,01:00-01:15,0,70.6,57.84,32.94,82.36,206.91,0,17.44,0,12.48,0,82.36,24.77,20.35,5.69,14.16,0,29.76,0,26.8708,97.86,0,273.96,40.69,26.8708,19.84,12.34,0,19.83,0,0,0,59.5,0,41.33,0,41.33,0,0,0,0,33.21,0,0

6,01:15-01:30,0,70.6,57.84,32.94,82.36,206.91,0,17.44,0,12.48,0,82.36,24.77,20.35,5.69,14.16,0,29.76,0,26.8708,97.86,0,273.96,40.69,26.8708,20,13,0,20,0,0,0,60,0,41.67,0,41.67,0,0,0,0,32.61,0,0

7,01:30-01:45,0,70.6,57.84,32.94,82.36,206.91,0,17.44,0,12.48,0,82.36,24.77,20.35,5.69,14.16,0,29.76,0,26.8708,97.86,0,232.54,40.69,26.8708,16.66,6.66,0,16.67,0,0,0,50,0,23.33,0,23.33,0,0,0,0,32.41,0,0

8,01:45-02:00,0,70.6,57.84,32.94,82.36,206.91,0,17.44,0,12.48,0,82.36,24.77,20.35,5.69,14.16,0,29.76,0,26.8708,97.86,0,193.78,40.69,26.8708,16.66,6.66,0,16.67,0,0,0,50,0,23.33,0,23.33,0,0,0,0,32.21,0,0

