Block,Time,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_02,NR/01102023/23072042/L_NR_2012_04,NR/01102023/05012040/L_NR_2020_02,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_07,WR/01102023/24112044/L_NR_2020_07,NR/01102023/08032047/L_NR_2021_14,NR/01102023/31052040/LT-31,WR/01102023/16072048/L_NR_2022_08,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/L_NR_2019_05,NR/01102023/14082046/L_NR_2021_16,NR/01102023/22052037/LT-59,NR/01102023/02012046/L_NR_2021_17,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/19072037/LT-05,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25122043/GNA_MEJA_DELHI,WR/01102023/30052048/L_NR_2022_10,NR/30092023/31122025/SH-07,NR/01102023/25072045/L_NR_2021_15,NR/01102023/30042040/GNA_LT_35,WR/01102023/31032046/L_NR_2020_05,NR/30092023/26122029/SH-06,L_NR_2019_19,NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2022_09,NR/01102023/02122045/L_NR_2021_13,SR/01102023/07102043/L_NR_2018_61
1,00:00-00:15,29.000000,3.150000,226.160000,271.830000,3.390000,0,7.74,0.000000,74.110000,7.75,0,0.000000,7.34,0,0,0,3.420000,0,101.230000,111.150000,0,0.000000,28.4,30.930000,0,0.000000,23.25,30.930000,0,0,0,28.4,0,7.01

2,00:15-00:30,29.000000,3.150000,226.160000,271.830000,3.390000,0,8.2,0.000000,74.110000,8.21,0,0.000000,7.34,0,0,0,3.420000,0,101.230000,111.150000,0,0.000000,28.55,30.930000,0,0.000000,24.62,30.930000,0,0,0,28.55,0,7.01

3,00:30-00:45,29.000000,3.150000,208.760000,271.830000,3.390000,0,8.67,0.000000,74.110000,8.69,0,0.000000,7.34,0,0,0,3.420000,0,101.230000,111.150000,0,0.000000,28.88,30.930000,0,0.000000,26.06,30.930000,0,0,0,28.88,0,7.01

4,00:45-01:00,29.000000,3.150000,208.760000,271.830000,3.390000,0,9.05,0.000000,74.110000,9.05,0,0.000000,7.34,0,0,0,3.420000,0,101.230000,111.150000,0,0.000000,28.84,30.930000,0,0.000000,27.16,30.930000,0,0,0,28.84,0,7.01

5,01:00-01:15,28.030000,3.150000,208.760000,271.830000,3.390000,0,9.14,0.000000,74.110000,9.13,0,0.000000,7.34,0,0,0,2.330000,0,101.230000,111.150000,0,0.000000,23.78,30.930000,0,0.000000,27.4,30.930000,0,0,0,23.78,0,7.01

6,01:15-01:30,28.030000,3.150000,208.760000,271.830000,3.390000,0,9.23,0.000000,74.110000,9.22,0,0.000000,7.43,0,0,0,3.270000,0,101.230000,111.150000,0,0.000000,28.42,30.930000,0,0.000000,27.67,30.930000,0,0,0,28.42,0,7.01

7,01:30-01:45,28.030000,3.150000,208.760000,271.830000,3.390000,0,9.32,0.000000,74.110000,9.31,0,0.000000,7.49,0,0,0,3.270000,0,101.230000,111.150000,0,0.000000,28.75,30.930000,0,0.000000,27.94,2.110000,0,0,0,28.75,0,7.01

8,01:45-02:00,28.030000,3.150000,208.760000,271.830000,3.390000,0,9.43,0.000000,74.110000,9.44,0,0.000000,7.81,0,0,0,3.270000,0,101.230000,111.150000,0,0.000000,29.08,30.930000,0,0.000000,28.31,2.110000,0,0,0,29.08,0,7.01

9,02:00-02:15,28.030000,3.070000,208.760000,271.830000,3.390000,0,9.6,0.000000,74.110000,9.61,0,0.000000,7.99,0,0,0,3.270000,0,101.230000,112.600000,0,0.000000,29.42,30.930000,0,0.000000,28.83,2.110000,0,0,0,29.42,0,7.01

10,02:15-02:30,28.030000,3.070000,208.760000,271.830000,3.390000,0,9.82,0.000000,74.110000,9.82,0,0.000000,8.03,0,0,0,3.270000,0,101.230000,112.600000,0,0.000000,29.87,30.930000,0,0.000000,29.47,2.110000,0,0,0,29.87,0,7.01

11,02:30-02:45,29.000000,3.070000,208.760000,271.830000,3.390000,0,9.91,0.000000,74.110000,9.92,0,0.000000,7.86,0,0,0,3.270000,0,101.230000,112.600000,0,0.000000,31.17,30.930000,0,0.000000,29.75,2.110000,0,0,0,31.17,0,7.01

12,02:45-03:00,29.000000,3.070000,208.760000,271.830000,3.390000,0,10.03,0.000000,74.110000,10.04,0,0.000000,7.7,0,0,0,3.270000,0,101.230000,112.600000,0,0.000000,32.82,30.930000,0,0.000000,30.12,2.110000,0,0,0,32.82,0,7.01

13,03:00-03:15,29.000000,3.070000,208.760000,271.830000,3.390000,0,10.39,0.000000,74.110000,10.38,0,0.000000,7.6,0,0,0,3.190000,0,101.230000,112.600000,0,0.000000,31.75,30.930000,0,0.000000,31.15,2.110000,0,0,0,31.75,0,7.01

14,03:15-03:30,29.000000,3.070000,208.760000,271.830000,3.390000,0,10.68,0.000000,74.110000,10.7,0,0.000000,7.48,0,0,0,3.190000,0,101.230000,112.600000,0,0.000000,30.75,30.930000,0,0.000000,32.09,2.110000,0,0,0,30.75,0,7.01

15,03:30-03:45,29.000000,3.070000,208.760000,271.830000,3.390000,0,11.04,0.000000,74.110000,11.05,0,0.000000,7.38,0,0,0,3.190000,0,101.230000,112.600000,0,0.000000,29.75,30.930000,0,0.000000,33.15,2.110000,0,0,0,29.75,0,7.01

16,03:45-04:00,29.000000,3.070000,208.760000,271.830000,3.390000,0,11.42,0.000000,74.110000,11.43,0,0.000000,7.34,0,0,0,3.190000,0,101.230000,112.600000,0,0.000000,29.39,30.930000,0,0.000000,34.29,2.110000,0,0,0,29.39,0,7.01

17,04:00-04:15,29.000000,3.070000,208.760000,271.830000,3.390000,0,11.42,0.000000,74.110000,11.42,0,0.000000,7.34,0,0,0,3.190000,0,101.230000,112.600000,0,0.000000,25.08,30.930000,0,0.000000,34.27,2.110000,0,0,0,25.08,0,7.01

18,04:15-04:30,29.000000,3.070000,208.760000,271.830000,3.390000,0,11.35,0.000000,74.110000,11.34,0,0.000000,7.34,0,0,0,3.190000,0,101.230000,112.600000,0,0.000000,36.83,30.930000,0,0.000000,34.03,2.110000,0,0,0,36.83,0,7.01

19,04:30-04:45,29.000000,3.070000,208.760000,271.830000,3.390000,0,8.91,0.000000,74.110000,8.9,0,0.000000,7.34,0,0,0,3.190000,0,101.230000,112.600000,0,0.000000,36.84,30.930000,0,0.000000,26.71,2.110000,0,0,0,36.84,0,7.01

20,04:45-05:00,29.000000,3.070000,208.760000,271.830000,3.390000,0,9.2,0.000000,74.110000,9.21,0,0.000000,7.34,0,0,0,3.190000,0,101.230000,112.600000,0,0.000000,36.98,30.930000,0,0.000000,27.62,2.110000,0,0,0,36.98,0,7.01

