Block,Time,DULHASTI,KGSU1AND2,KHSTPP-I,KKNPPU2,NAPP,RAMPUR,RIHAND3,TANAKPUR,UNCHAHAR3,URI2,ANTA_RF,AURY_CRF,AURY_RF,DADRI_RF,BSIUL,CHAMERA2,MAPS,NLCEXP,SASAN,TEHRI,TelanganaSTPP,DADRI_GF,DHAULIGNGA,KHSTPP-II,KKNP,NLCIIST1,PARBATI3,RAPPD,RSTPSU1TO6,SIMHST1,TANDA2,ANTA_GF,DADRI_CRF,DADRI_LF,DADRT2,KGSU3AND4,KOLDAM,KOTESHWR,NJPC,NLCTS2EXP,NNTPP,PARBATI2,RSTPSU7,SINGRAULI_HYDRO,TEHRIPSP,AURY_LF,BRBCL,CHAMERA1,JHAJJAR,RAPPC,RIHAND2,TALST2,URI,NLCIIST2,RAPPB,SALAL,SEWA2,SINGRAULI,UNCHAHAR1,UNCHAHAR4,NTPL,RIHAND1,SIMHST2,UNCHAHAR2,ANTA_CRF,ANTA_LF,CHAMERA3,FSTPP I & II,KISHANGANGA,KUDGI,TALA,VALLURNTECL,AURY_GF
1,00:00-00:15,55.38,0,44.62,0,24.48,0,130.84,13.06,27.69,38.97,34.64,0,80.26,79.04,0,47.12,0,0,337.5,62.61,0,0,42.46,98.87,0,0,0,24.14,0,0,5.73,0,0,0,549.38,0,8.62,40.57,0,0,0,0,0,0.66,83.18,0,24.99,42.15,637.65,65.75,125.27,0,52.36,0,0,72.05,12.22,113.75,21.65,3.22,0,98.32,0,45,0,0,33.94,18.76,7.05,0,23.81,0,0

2,00:15-00:30,55.38,0,44.62,0,24.48,0,130.84,13.06,27.69,38.97,34.64,0,80.26,79.04,0,47.12,0,0,337.5,62.61,0,0,42.46,98.87,0,0,0,24.14,0,0,5.73,0,0,0,549.38,0,8.62,40.57,0,0,0,0,0,0.66,83.18,0,24.99,42.15,667.25,65.75,125.27,0,52.36,0,0,72.05,12.22,113.75,21.65,3.22,0,98.32,0,45,0,0,33.94,18.76,7.05,0,23.81,0,0

3,00:30-00:45,55.38,0,44.62,0,24.48,0,130.84,13.06,27.69,38.97,34.64,0,80.26,79.04,0,47.12,0,0,337.5,62.61,0,0,42.46,98.87,0,0,0,24.14,0,0,5.73,0,0,0,549.38,0,8.62,40.57,0,0,0,0,0,0.66,83.18,0,24.99,42.15,667.25,65.75,125.27,0,52.36,0,0,72.05,12.22,113.75,21.65,3.22,0,98.32,0,45,0,0,33.94,18.76,7.05,0,23.81,0,0

4,00:45-01:00,55.38,0,44.62,0,24.48,0,130.84,13.06,27.69,38.97,34.64,0,80.26,79.04,0,47.12,0,0,337.5,62.61,0,0,42.46,98.87,0,0,0,24.14,0,0,5.73,0,0,0,549.38,0,8.62,40.57,0,0,0,0,0,0.66,83.18,0,24.99,42.15,667.25,65.75,125.27,0,47.47,0,0,72.05,12.22,113.75,21.65,3.22,0,98.32,0,45,0,0,33.94,18.76,7.05,0,23.81,0,0

5,01:00-01:15,55.38,0,44.62,0,24.48,0,130.84,13.06,27.69,38.97,34.64,0,80.26,79.04,0,47.12,0,0,337.5,62.61,0,0,42.46,98.87,0,0,0,24.14,0,0,5.73,0,0,0,549.38,0,8.62,40.57,0,0,0,0,0,0.66,83.18,0,24.99,42.15,667.25,65.75,125.27,0,47.47,0,0,72.05,12.22,113.75,21.65,3.22,0,98.32,0,45,0,0,33.94,18.76,7.05,0,23.81,0,0

