Block,Time,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/05012040/L_NR_2020_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01042024/31072024/LT_MEJA_DELHI,NR/01102023/06022042/L_NR_2012_02,NR/27062024/27062024/HPX-TAMCTG-260624-01490,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_07,NR/01062024/30062024/JPL-BRPL(PTC)GNA,NR/30092023/31122025/SH-07,NR/01102023/22052037/LT-59,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_35,NR/01062024/30062024/NDMC/D-46/EE(Power)/2024,NR/20062024/30062024/1000011400-GOHP-BRPL(DISCOM),NR/01102023/31102037/L_NR_2019_11,NR/01062024/30062024/8588/OAN/GMRETL/GPHHPPL-BRPL,NR/01062024/30062024/IEPL01,NR/01062024/30062024/IIPL/(JPL(TM)-BRPL)/BRPLT-169/24-25/1,NR/16062024/30062024/1000011196-KWHPS-BRPL(DISCOM),NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/23072042/L_NR_2012_04,NR/01062024/30062024/R2,NR/01062024/30062024/APPCPL/180/F25/GNA/12300,NR/30092023/26122029/SH-06,NR/01062024/30062024/1000011195-SIEL-BRPL(DISCOM),NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01062024/30062024/1000011017-PPGCL-BRPL,NR/01062024/30062024/1000011034-ACBL-BRPL,WR/01102023/16072048/L_NR_2022_08,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02012046/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,NR/01102023/08032047/L_NR_2021_14,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,NR/01102023/14082046/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02122045/L_NR_2021_13,WR/01102023/31032046/L_NR_2020_05
1,00:00-00:15,100.500000,8.620000,272.770000,0.000000,31.290000,16.090000,261.920000,96.470000,110.040000,87.020000,48.240000,30.870000,10.400000,0.000000,0.000000,21.750000,67.530000,10.590000,24.120000,38.590000,24.120000,0.000000,0.000000,0.000000,24.120000,38.590000,30.870000,48.240000,17.320000,15.680000,24.120000,11.66,0,0,0,0,0,7.5,0,41.01,0,0,0,0,0,0,25,25,7.5,0,0,22.5

2,00:15-00:30,100.500000,8.620000,272.770000,0.000000,31.290000,16.090000,261.920000,96.470000,110.040000,87.020000,48.240000,30.870000,10.400000,0.000000,0.000000,21.750000,67.530000,10.590000,24.120000,38.590000,24.120000,0.000000,0.000000,0.000000,24.120000,38.590000,30.870000,48.240000,17.320000,15.680000,24.120000,11,0,0,0,0,0,7.33,0,40.81,0,0,0,0,0,0,24.67,24.67,7.34,0,0,22

3,00:30-00:45,100.500000,8.620000,272.770000,0.000000,31.290000,16.090000,261.920000,96.470000,110.040000,87.020000,48.240000,30.870000,10.400000,0.000000,0.000000,21.750000,67.530000,10.590000,24.120000,38.590000,24.120000,0.000000,0.000000,0.000000,24.120000,38.590000,30.870000,48.240000,17.320000,15.680000,24.120000,10.34,0,0,0,0,0,7.17,0,40.61,0,0,0,0,0,0,24,24,7.16,0,0,21.5

4,00:45-01:00,100.500000,8.620000,272.770000,0.000000,31.290000,16.090000,261.920000,96.470000,110.040000,87.020000,48.240000,30.870000,10.400000,0.000000,0.000000,21.750000,67.530000,10.590000,24.120000,38.590000,24.120000,0.000000,0.000000,0.000000,24.120000,38.590000,30.870000,48.240000,17.320000,15.680000,24.120000,10,0,0,0,0,0,7,0,40.41,0,0,0,0,0,0,23.33,23.33,7,0,0,21

5,01:00-01:15,100.500000,8.340000,272.770000,0.000000,31.290000,16.090000,261.920000,0.000000,110.040000,87.020000,48.240000,30.870000,10.400000,0.000000,0.000000,21.750000,67.530000,10.590000,24.120000,38.590000,24.120000,0.000000,0.000000,0.000000,24.120000,38.590000,30.870000,48.240000,17.130000,15.680000,24.120000,9.66,0,0,0,0,0,6.83,0,42.01,0,0,0,0,0,0,22.67,22.67,6.84,0,0,20.5

6,01:15-01:30,100.500000,8.340000,272.770000,0.000000,31.290000,16.090000,261.920000,0.000000,110.040000,87.020000,48.240000,30.870000,10.400000,0.000000,0.000000,21.750000,67.530000,10.590000,24.120000,38.590000,24.120000,0.000000,0.000000,0.000000,24.120000,38.590000,30.870000,48.240000,17.130000,15.680000,24.120000,9.34,0,0,0,0,0,6.83,0,42.01,0,0,0,0,0,0,16.67,16.67,6.84,0,0,20.5

7,01:30-01:45,100.500000,8.340000,272.770000,0.000000,31.290000,16.090000,261.920000,0.000000,110.040000,87.020000,48.240000,30.870000,5.240000,0.000000,0.000000,21.750000,67.530000,10.590000,24.120000,38.590000,24.120000,0.000000,0.000000,0.000000,24.120000,38.590000,30.870000,48.240000,17.130000,15.680000,24.120000,8,0,0,0,0,0,6.83,0,42.01,0,0,0,0,0,0,16.67,16.67,6.84,0,0,20.5

8,01:45-02:00,100.500000,8.340000,272.770000,0.000000,31.290000,16.090000,261.920000,0.000000,110.040000,87.020000,48.240000,30.870000,5.240000,0.000000,0.000000,21.750000,67.530000,10.590000,24.120000,38.590000,24.120000,0.000000,0.000000,0.000000,24.120000,38.590000,30.870000,48.240000,17.130000,15.680000,24.120000,8,0,0,0,0,0,6.83,0,42.01,0,0,0,0,0,0,16.67,16.67,6.84,0,0,20.5

9,02:00-02:15,100.500000,8.160000,272.770000,0.000000,31.290000,16.090000,261.920000,0.000000,110.040000,87.020000,48.240000,30.870000,10.400000,0.000000,0.000000,21.750000,67.530000,10.590000,24.120000,38.590000,24.120000,0.000000,0.000000,0.000000,24.120000,38.590000,30.870000,48.240000,16.850000,15.680000,24.120000,8,0,0,0,0,0,6.83,0,42.01,0,0,0,0,0,0,16.67,16.67,6.84,0,0,20.5

10,02:15-02:30,100.500000,8.160000,272.770000,0.000000,31.290000,16.090000,261.920000,0.000000,110.040000,87.020000,48.240000,30.870000,10.400000,0.000000,0.000000,21.750000,67.530000,10.590000,24.120000,38.590000,24.120000,0.000000,0.000000,0.000000,24.120000,38.590000,30.870000,48.240000,16.850000,15.680000,24.120000,8,0,0,0,0,0,6.83,0,42.01,0,0,0,0,0,0,16.67,16.67,6.84,0,0,20.5

11,02:30-02:45,100.500000,8.160000,272.770000,0.000000,31.290000,16.090000,261.920000,0.000000,110.040000,87.020000,48.240000,30.870000,10.400000,0.000000,0.000000,21.750000,67.530000,10.590000,24.120000,38.590000,24.120000,0.000000,0.000000,0.000000,24.120000,38.590000,30.870000,48.240000,16.850000,15.680000,24.120000,8,0,0,0,0,0,6.83,0,43.01,0,0,0,0,0,0,16.67,16.67,6.84,0,0,20.5

12,02:45-03:00,100.500000,8.160000,272.770000,0.000000,31.290000,16.090000,261.920000,0.000000,110.040000,87.020000,48.240000,30.870000,10.400000,0.000000,0.000000,21.750000,67.530000,10.590000,24.120000,38.590000,24.120000,0.000000,0.000000,0.000000,24.120000,38.590000,30.870000,48.240000,16.850000,15.680000,24.120000,7.66,0,0,0,0,0,6.83,0,43.01,0,0,0,0,0,0,16.67,16.67,6.84,0,0,20.5

13,03:00-03:15,100.500000,7.980000,272.770000,0.000000,30.780000,16.090000,261.920000,0.000000,110.040000,87.020000,48.240000,30.870000,10.400000,0.000000,0.000000,21.750000,67.530000,10.210000,24.120000,38.590000,24.120000,0.000000,0.000000,0.000000,24.120000,0.000000,30.870000,48.240000,16.490000,15.680000,24.120000,7.34,0,0,0,0,0,6.83,0,43.01,0,0,0,0,0,0,16.67,16.67,6.84,0,0,20.5

14,03:15-03:30,100.500000,7.980000,272.770000,0.000000,30.280000,16.090000,261.920000,0.000000,110.040000,87.020000,48.240000,30.870000,10.400000,0.000000,0.000000,21.750000,67.530000,10.210000,24.120000,38.590000,24.120000,0.000000,0.000000,0.000000,24.120000,0.000000,30.870000,48.240000,16.490000,15.680000,24.120000,7.34,0,0,0,0,0,6.83,0,43.01,0,0,0,0,0,0,16.67,16.67,6.84,0,0,20.5

15,03:30-03:45,100.500000,7.980000,272.770000,0.000000,30.280000,16.090000,261.920000,0.000000,110.040000,87.020000,48.240000,30.870000,10.090000,0.000000,0.000000,21.750000,67.530000,10.210000,24.120000,38.590000,24.120000,0.000000,0.000000,0.000000,24.120000,0.000000,30.870000,48.240000,16.490000,15.680000,24.120000,7.34,0,0,0,0,0,6.83,0,43.01,0,0,0,0,0,0,16.67,16.67,6.84,0,0,20.5

16,03:45-04:00,100.500000,7.980000,272.770000,0.000000,30.280000,16.090000,261.920000,0.000000,110.040000,87.020000,48.240000,30.870000,10.090000,0.000000,0.000000,21.750000,67.530000,10.210000,24.120000,38.590000,24.120000,0.000000,0.000000,0.000000,24.120000,0.000000,30.870000,48.240000,16.490000,15.680000,24.120000,7.34,0,0,0,0,0,6.83,0,43.01,0,0,0,0,0,0,16.67,16.67,6.84,0,0,20.5

17,04:00-04:15,100.500000,7.790000,272.770000,0.000000,30.280000,16.090000,261.920000,0.000000,103.990000,87.020000,48.240000,24.150000,10.090000,0.000000,0.000000,21.750000,67.530000,10.210000,24.120000,38.590000,24.120000,0.000000,0.000000,0.000000,24.120000,0.000000,30.870000,48.240000,16.120000,15.680000,24.120000,7.34,0,0,0,0,0,6.83,0,43.01,0,0,0,0,0,0,15,15,6.84,0,0,20.5

18,04:15-04:30,100.500000,7.790000,272.770000,0.000000,31.290000,16.090000,261.920000,0.000000,103.990000,87.020000,48.240000,24.150000,10.090000,0.000000,0.000000,21.750000,67.530000,10.210000,24.120000,38.590000,24.120000,0.000000,0.000000,0.000000,24.120000,0.000000,30.870000,48.240000,16.120000,15.680000,24.120000,7.34,0,0,0,0,0,6.83,0,43.01,0,0,0,0,0,0,15,15,6.84,0,0,20.5

19,04:30-04:45,100.500000,7.790000,272.770000,0.000000,31.290000,16.090000,261.920000,0.000000,103.990000,87.020000,48.240000,24.150000,10.400000,0.000000,0.000000,21.750000,67.530000,10.210000,24.120000,38.590000,24.120000,0.000000,0.000000,0.000000,24.120000,0.000000,30.870000,48.240000,16.120000,15.680000,24.120000,7.34,0,0,0,0,0,6.83,0,43.01,0,0,0,0,0,0,15,15,6.84,0,0,20.5

