Column1,Block,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/2024/22613/C,NR/2024/22614/C,NR/30092023/31122025/SH-07,NR/2024/22607/C,NR/30092023/26122029/SH-06,NR/16082024/31082024/APL-Raigarh_august,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/31082024/jitpl,NR/2024/21933/A/32394,NR/2024/21940/A/32663,NR/2024/21860/A/32738,NR/2024/21966/A/32412,NR/2024/22010/A/32710,NR/2024/22535/A/32431,NR/2024/22432/A/32404,NR/2024/22014/A/32379,NR/2024/22630/C,NR/2024/21814/A/32670,NR/2024/22534/A/32433,NR/2024/21658/A/32352,NR/2024/22498/A/32704,NR/2024/21983/A/32393,NR/2024/22042/A/32378,NR/2024/21974/A/32669,NR/2024/21968/A/32666,NR/2024/21943/A/32661,NR/2024/22612/C,NR/2024/21970/A/32667,NR/2024/22621/C,NR/2024/21911/A/32646,NR/2024/21961/A/32642,NR/2024/21938/A/32641,NR/2024/22279/A/32375,NR/2024/21918/A/32712,NR/2024/21971/A/32668,NR/2024/21956/A/32664,NR/2024/21954/A/32662,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/01082024/31082024/SKS-Raigarh,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/16082024/31082024/MPL/24-25/STOA/128,Total
,,SECI_Trader,SECI_Trader,NVVNL,NVVNL,BAWANA_GAS,TPDDL,PUNJAB,APL_Raigarh_TPP,DELHI,JITPL,TPTCL,APPCPL,TPDDL,INSTINCT,MANIKARAN,SJVNL,DIAPL,IEXL,IEXL,NVVNL,SJVNL,ITCLH,MANIKARAN,TPTCL,IEXL,NVVNL,NVVNL,APPCPL,NVVNL,NVVNL,SJVNL,AEL,PTC,PTC,IEXL,MANIKARAN,NVVNL,APPCPL,APPCPL,DELHI,APPCPL,TPTCL,INSTINCT,DELHI,TPTCL,MANIKARAN,
,,NA,NA,NA,NA,DELHI_UT,NA,DELHI_UT,NA,MSEB_State,NA,NA,UTTARAKHAND_STATE,NA,NA,GOA_State,NA,HIMACHAL_STATE,HIMACHAL_STATE,MP_State,NA,NA,ANDHRA_PRADESH_STATE,MP_State,NA,MSEB_State,NA,NA,MSEB_State,NA,NA,NA,NA,HIMACHAL_STATE,HIMACHAL_STATE,KARNATAKA_STATE,MSEB_State,NA,KERALA_State,Manipur_State,HIMACHAL_STATE,Arunachal_State,NA,NA,NA,NA,MP_State,
,,SBSRPC11PL_BKN,SBSRPC11PL_BKN,Kameng,SORANG_HEP,BAWANA_GAS,JHAJJAR,BAWANA_GAS,APL_Raigarh_TPP,MSEB_Beneficiary,JITPL,ACBIL,UTTARAKHAND,JPL2,JPL2,GOA_Beneficiary,TPSL_BKN2,GBHHPL,NHCPL_HP,Continuum_WFDPL_MP,JPNIGRIE_JNSTPP,RSRPL_BKN,ITCWIND,BLAPOWER_MP,SIMHAPURI,A_A_Energy_MH_Bio,RKM_POWER,JPL2,AEML,SOLAPUR_SOLAR,TRN_ENERGY,TPSL_BKN2,APL_Raigarh_TPP,HP,HP,NSLSUGAR,AEML,RKM_POWER,KSEB,Manipur_Ben,CHANJUII,Arunachal_Ben,ACBIL,JPL2,SKS_Raigarh,SIMHAPURI,BLAPOWER_MP,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPDDL,BYPL,TPDDL,TPDDL,HARYANA,TPDDL,PUNJAB,BRPL,TPDDL,NDMC,BRPL,BYPL,TPDDL,BRPL,BRPL,NDMC,DIAPL,MES_Delhi,BRPL,TPDDL,NDMC,ITCLH,BRPL,BRPL,MES_Delhi,NDMC,NDMC,BRPL,MES_Delhi,NDMC,NDMC,BRPL,BRPL,BYPL,MES_Delhi,BYPL,NDMC,BYPL,BRPL,TPDDL,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,
,,North-North,North-North,North East-East-North,North-North,North-North,North-North,North-North,West-North,West-North,East-North,West-North,North-North,West-North,West-North,West-North,North-North,North-North,North-North,West-North,West-North,North-North,South-West-North,West-North,South-East-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,North-North,North-North,South-East-West-North,West-North,West-North,South-West-North,North East-East-North,North-North,North East-East-North,West-North,West-North,West-North,South-West-North,West-North,
1,00:00-00:15,0,0,163.73,27.89,32,240.42,32,96.17,0,11.26,0,83.84,48.08,0,11.68,0,8.66,1.92,25.85,48.08,0,0.63,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,97.37,32.46,4.81,90.4,37.15,67.32,23.97,14.96,38.47,24.04,96.17,12.39,48.08,21.16,1569.9700000000003

2,00:15-00:30,0,0,163.73,27.89,32,240.42,32,96.17,0,11.26,0,83.84,48.08,0,11.68,0,8.66,1.92,26.48,48.08,0,0.63,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,97.37,32.46,4.81,90.4,37.15,67.32,23.97,14.96,38.47,24.04,96.17,12.39,48.08,21.16,1570.6000000000001

3,00:30-00:45,0,0,163.73,27.89,0,240.42,32,96.17,0,11.26,0,83.84,48.08,0,11.68,0,8.66,1.92,26.65,48.08,0,0.63,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,97.37,32.46,4.81,90.4,37.15,67.32,23.97,14.96,38.47,24.04,96.17,12.39,48.08,21.16,1538.7700000000002

4,00:45-01:00,0,0,163.73,27.89,0,240.42,32,96.17,0,11.26,0,83.84,48.08,0,11.68,0,8.66,1.92,26.19,48.08,0,0.63,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,97.37,32.46,4.81,90.4,37.15,67.32,23.97,14.96,38.47,24.04,96.17,12.39,48.08,21.16,1538.3100000000002

5,01:00-01:15,0,0,163.73,27.89,17.9536,240.42,32,96.17,0,11.26,0,83.84,48.08,0,11.68,0,8.66,1.92,0,48.08,0,0.58,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,97.37,32.46,4.81,90.4,37.15,67.32,23.97,14.96,38.47,24.04,96.17,12.39,48.08,21.16,1530.0236000000002

6,01:15-01:30,0,0,163.73,27.89,17.9536,240.42,32,96.17,0,11.26,0,83.84,48.08,0,11.68,0,8.66,1.92,0,48.08,0,0.58,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,97.37,32.46,4.81,90.4,37.15,67.32,23.97,14.96,38.47,24.04,96.17,12.39,48.08,21.16,1530.0236000000002

7,01:30-01:45,0,0,163.73,27.89,23.9398,240.42,23.9398,96.17,0,11.26,0,83.84,48.08,0,11.68,0,8.66,1.92,0,48.08,0,0.58,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,97.37,32.46,4.81,90.4,37.15,67.32,23.97,14.96,38.47,24.04,96.17,12.39,48.08,21.16,1527.9496000000001

8,01:45-02:00,0,0,163.73,27.89,23.9398,240.42,23.9398,96.17,0,11.26,0,83.84,48.08,0,11.68,0,8.66,1.92,0,48.08,0,0.58,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,97.37,32.46,4.81,90.4,37.15,67.32,23.97,14.96,38.47,24.04,96.17,12.39,48.08,21.16,1527.9496000000001

9,02:00-02:15,0,0,163.73,27.89,24.8979,240.42,24.8979,96.17,0,11.26,0,83.84,48.08,0,11.68,0,8.66,1.92,0,48.08,0,0.58,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,97.37,32.46,4.81,90.4,37.15,67.32,23.97,16.8,38.47,24.04,96.17,12.39,48.08,21.16,1531.7058000000002

10,02:15-02:30,0,0,163.73,27.89,26.929,240.42,26.929,96.17,0,11.26,0,83.84,48.08,0,11.68,0,8.66,1.92,0,48.08,0,0.58,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,97.37,32.46,4.81,90.4,37.15,67.32,23.97,16.8,38.47,24.04,96.17,12.39,48.08,21.16,1535.7680000000003

11,02:30-02:45,0,0,163.73,27.89,26.929,240.42,26.929,96.17,0,11.26,0,83.84,48.08,0,11.68,0,8.66,1.92,0,48.08,0,0.58,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,97.37,32.46,4.81,90.4,37.15,67.32,23.97,16.8,38.47,24.04,96.17,12.39,48.08,21.16,1535.7680000000003

12,02:45-03:00,0,0,163.73,27.89,26.929,240.42,26.929,96.17,0,11.26,0,83.84,48.08,0,11.68,0,8.66,1.92,0,48.08,0,0.58,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,97.37,32.46,4.81,90.4,37.15,67.32,23.97,16.8,38.47,24.04,96.17,12.39,48.08,21.16,1535.7680000000003

13,03:00-03:15,0,0,163.73,27.89,26.929,240.42,26.929,96.17,0,11.26,0,83.84,48.08,0,11.68,0,8.66,1.92,0,48.08,0,0.58,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,97.37,32.46,4.81,90.4,37.15,67.32,23.97,16.8,0,24.04,96.17,12.39,48.08,21.16,1497.2980000000002

14,03:15-03:30,0,0,163.73,27.89,26.929,240.42,26.929,96.17,0,11.26,0,83.84,48.08,0,11.68,0,8.66,1.92,0,48.08,0,0.58,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,97.37,32.46,4.81,90.4,37.15,67.32,23.97,16.8,0,24.04,96.17,12.39,48.08,21.16,1497.2980000000002

15,03:30-03:45,0,0,163.73,27.89,24.8979,240.42,24.8979,96.17,0,11.26,0,83.84,48.08,0,11.68,0,8.66,1.92,0,48.08,0,0.58,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,97.37,32.46,4.81,90.4,37.15,67.32,23.97,16.8,0,24.04,96.17,12.39,48.08,21.16,1493.2358000000002

16,03:45-04:00,0,0,163.73,27.89,26.929,240.42,26.929,96.17,0,11.26,0,83.84,48.08,0,11.68,0,8.66,1.92,0,48.08,0,0.58,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,97.37,32.46,4.81,90.4,37.15,67.32,23.97,16.8,0,24.04,96.17,12.39,48.08,21.16,1497.2980000000002

