,,NA,MAHARASHTRA,ANDHRA PRADESH,TAMIL NADU,NA,NA,GOA,HIMACHAL PRADESH,NA,ANDHRA PRADESH,KARNATAKA,NA,MEGHALAYA,HIMACHAL PRADESH,NA,NA,NA,HIMACHAL PRADESH,DELHI,NA,MP,MEGHALAYA,GOA,HIMACHAL PRADESH,MEGHALAYA,UTTAR PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,KERALA,WEST BENGAL,MEGHALAYA,UTTARAKHAND,DELHI,KERALA,TAMIL NADU,MAHARASHTRA,NA,NA,NA,
,,JPL-2,TPC MSEB,ITCWIND,TANGEDCO,JPL-2,KWHEP,GOA_Beneficiary,CHANJUII,SKS Raigarh,ITCWIND,NSLSUGAR,JPNIGRIE_JNSTPP,Meghalaya_Ben,HP,KAMENG,SIMHAPURI,SKS Raigarh,HP,BYPL,JPNIGRIE_JNSTPP,JP BINA,Meghalaya_Ben,GOA_Beneficiary,GBHHPL,Meghalaya_Ben,LAPL-UP,HP,HP,KAMENG,KSEB,IPCL_WB,Meghalaya_Ben,UTTARAKHAND,BYPL,KSEB,TANGEDCO,LMEL MSEB,SOLAPUR_SOLAR,TS1PL_BKN,TS1PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BYPL,ITCLH,BRPL,TPDDL,BRPL,BRPL,TPDDL,NDMC,ITCLH,MES (Delhi),TPDDL,BYPL,BYPL,BRPL,BRPL,NDMC,BRPL,ASIL_UP,BRPL,BRPL,BYPL,BRPL,DIAPL,BYPL,BYPL,BRPL,BRPL,TPDDL,BRPL,NDMC,BYPL,BYPL,VLSEZ,BYPL,BYPL,BYPL,MES (Delhi),BYPL,BRPL,
,,West-North,West-North,South-East-North,South-West-North,West-North,North-North,West-East-North,North-North,West-East-North,South-West-North,South-West-North,West-North,North East-East-North,North-North,North East-East-North,South-West-North,West-North,North-North,North-North,West-North,West-North,North East-East-North,West-North,North-North,North East-East-North,North-North,North-North,North-North,North East-East-North,South-East-North,East-North,North East-East-North,North-North,North-East,South-East-North,South-West-North,West-North,West-North,North-North,North-North,
40,09:45-10:00,196.860000,0.000000,0.000000,0.000000,147.460000,0.000000,0.000000,5.450000,0.000000,0.960000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,30.000000,84.870000,42.430000,22.190000,24.120000,0.960000,24.120000,0.000000,0.000000,77.170000,192.920000,15.750000,24.120000,62.940000,48.230000,70.000000,7.720000,0.000000,18.120000,4.24,63,147,1626.54

41,10:00-10:15,196.860000,0.000000,0.000000,0.000000,147.460000,0.000000,0.000000,0.000000,0.000000,0.960000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,30.000000,84.870000,42.430000,22.190000,24.120000,0.960000,24.120000,0.000000,0.000000,77.170000,192.920000,15.750000,24.120000,62.940000,48.230000,70.000000,7.720000,90.670000,18.120000,4.44,66,154,1721.96

42,10:15-10:30,196.860000,0.000000,0.000000,0.000000,147.460000,0.000000,0.000000,0.000000,0.000000,0.960000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,30.000000,84.870000,42.430000,22.190000,24.120000,0.960000,24.120000,0.000000,0.000000,77.170000,192.920000,15.750000,24.120000,62.940000,48.230000,70.000000,7.720000,90.670000,18.120000,4.63,73.5,171.5,1747.15

43,10:30-10:45,196.860000,0.000000,0.000000,0.000000,147.460000,0.000000,0.000000,0.000000,0.000000,0.960000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,30.000000,84.870000,42.430000,22.190000,24.120000,0.960000,24.120000,0.000000,0.000000,77.170000,192.920000,15.750000,24.120000,62.940000,48.230000,70.000000,7.720000,90.670000,18.120000,4.82,76.5,178.5,1757.34

44,10:45-11:00,196.860000,0.000000,0.000000,0.000000,147.460000,0.000000,0.000000,0.000000,0.000000,0.960000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,30.000000,84.870000,42.430000,22.190000,24.120000,0.960000,24.120000,0.000000,0.000000,77.170000,192.920000,15.750000,24.120000,62.940000,48.230000,70.000000,7.720000,90.670000,18.120000,5.31,78,182,1762.83

45,11:00-11:15,196.860000,0.000000,0.000000,0.000000,147.460000,0.000000,0.000000,0.000000,0.000000,0.960000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,30.000000,84.870000,42.430000,22.190000,24.120000,0.960000,24.120000,0.000000,0.000000,77.170000,192.920000,15.750000,24.120000,62.940000,48.230000,70.000000,7.720000,90.670000,18.120000,5.4,78,182,1762.92

46,11:15-11:30,201.050000,0.000000,0.000000,0.000000,150.600000,0.000000,0.000000,0.000000,0.000000,0.960000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,30.000000,84.870000,42.430000,22.190000,24.120000,0.960000,24.120000,0.000000,0.000000,77.170000,192.920000,15.750000,24.120000,62.940000,48.230000,70.000000,7.720000,90.670000,18.120000,5.59,78,182,1770.44

47,11:30-11:45,196.990000,0.000000,0.000000,0.000000,147.550000,0.000000,0.000000,0.000000,0.000000,0.960000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,30.000000,84.870000,42.430000,22.190000,24.120000,0.960000,24.120000,0.000000,0.000000,77.170000,192.920000,15.750000,24.120000,62.940000,48.230000,70.000000,7.720000,90.670000,18.120000,5.79,78,182,1763.53

48,11:45-12:00,197.030000,0.000000,0.000000,0.000000,147.590000,0.000000,0.000000,0.000000,0.000000,0.960000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,30.000000,84.870000,42.430000,22.190000,24.120000,0.960000,24.120000,0.000000,0.000000,77.170000,192.920000,15.750000,24.120000,62.940000,48.230000,70.000000,7.720000,90.670000,18.120000,6.56,78,182,1764.38

49,12:00-12:15,200.740000,0.000000,0.000000,0.000000,150.360000,0.000000,0.000000,0.000000,0.000000,0.960000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,30.000000,84.870000,42.430000,22.190000,24.120000,0.960000,24.120000,0.000000,0.000000,77.170000,192.920000,15.750000,24.120000,62.940000,48.230000,70.000000,7.720000,90.670000,18.120000,6.75,78,182,1771.05

50,12:15-12:30,200.740000,0.000000,0.000000,0.000000,150.360000,0.000000,0.000000,0.000000,0.000000,0.960000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,30.000000,84.870000,42.430000,22.190000,24.120000,0.960000,24.120000,0.000000,0.000000,77.170000,192.920000,15.750000,24.120000,62.940000,48.230000,70.000000,7.720000,90.670000,18.120000,7.14,78,182,1771.44

51,12:30-12:45,202.770000,0.000000,0.000000,0.000000,151.890000,21.510000,0.000000,0.000000,0.000000,0.960000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,30.000000,84.870000,42.430000,22.190000,24.120000,0.960000,24.120000,0.000000,0.000000,77.170000,192.920000,15.750000,24.120000,62.940000,48.230000,70.000000,7.720000,90.670000,18.120000,7.52,78,182,1796.89

52,12:45-13:00,204.130000,0.000000,0.000000,0.000000,152.910000,21.510000,0.000000,0.000000,0.000000,0.960000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,30.000000,84.870000,42.430000,22.190000,24.120000,0.960000,24.120000,0.000000,0.000000,77.170000,192.920000,15.750000,24.120000,62.940000,48.230000,70.000000,7.720000,90.670000,18.120000,7.72,76.5,178.5,1794.47

53,13:00-13:15,206.470000,0.000000,0.000000,0.000000,154.660000,21.510000,0.000000,0.000000,0.000000,0.960000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,30.000000,84.870000,42.430000,22.190000,24.120000,0.960000,24.120000,0.000000,0.000000,77.170000,192.920000,15.750000,24.120000,62.940000,48.230000,70.000000,7.720000,90.670000,18.120000,8.2,76.5,178.5,1799.04

54,13:15-13:30,209.730000,0.000000,0.000000,0.000000,157.100000,21.510000,0.000000,0.000000,0.000000,0.960000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,30.000000,84.870000,42.430000,22.190000,24.120000,0.960000,24.120000,0.000000,0.000000,77.170000,192.920000,15.750000,24.120000,62.940000,48.230000,70.000000,7.720000,90.670000,18.120000,8.68,76.5,178.5,1805.22

55,13:30-13:45,211.620000,0.000000,0.000000,0.000000,158.520000,21.510000,0.000000,0.000000,0.000000,0.960000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,30.000000,84.870000,42.430000,22.190000,24.120000,0.960000,24.120000,0.000000,0.000000,77.170000,192.920000,15.750000,24.120000,62.940000,48.230000,70.000000,7.720000,90.670000,18.120000,9.36,75,175,1804.21

56,13:45-14:00,214.030000,0.000000,0.000000,0.000000,160.320000,21.510000,0.000000,0.000000,0.000000,0.960000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,30.000000,84.870000,42.430000,22.190000,24.120000,0.960000,24.120000,0.000000,0.000000,77.170000,192.920000,15.750000,24.120000,62.940000,48.230000,70.000000,7.720000,90.670000,18.120000,8.68,75,175,1807.74

57,14:00-14:15,213.250000,0.000000,0.000000,23.080000,159.740000,21.510000,0.000000,0.000000,0.000000,0.960000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,30.000000,84.870000,42.430000,22.190000,24.120000,0.960000,24.120000,0.000000,0.000000,77.170000,192.920000,15.750000,24.120000,62.940000,48.230000,70.000000,7.720000,106.110000,18.120000,8.2,73.5,171.5,1839.42

58,14:15-14:30,216.200000,0.000000,0.000000,23.080000,161.940000,21.510000,0.000000,0.000000,0.000000,0.960000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,30.000000,84.870000,42.430000,22.190000,24.120000,0.960000,24.120000,0.000000,0.000000,77.170000,192.920000,15.750000,24.120000,62.940000,48.230000,70.000000,7.720000,106.110000,18.120000,7.72,73.2,170.8,1843.09

59,14:30-14:45,216.100000,0.000000,0.000000,23.080000,161.870000,21.510000,0.000000,0.000000,0.000000,0.960000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,30.000000,84.870000,42.430000,22.190000,24.120000,0.960000,24.120000,0.000000,0.000000,77.170000,192.920000,15.750000,24.120000,62.940000,48.230000,0.000000,7.720000,106.110000,18.120000,7.23,72,168,1768.43

60,14:45-15:00,215.420000,0.000000,0.000000,23.080000,161.370000,21.510000,0.000000,0.000000,0.000000,0.960000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,30.000000,84.870000,42.430000,22.190000,24.120000,0.960000,24.120000,0.000000,0.000000,77.170000,192.920000,15.750000,24.120000,62.940000,48.230000,0.000000,7.720000,106.110000,18.120000,7.04,70.5,164.5,1762.06

61,15:00-15:15,215.920000,0.000000,0.000000,23.080000,161.730000,21.510000,0.000000,5.450000,0.000000,0.960000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,30.000000,84.870000,42.430000,22.190000,24.120000,0.960000,24.120000,38.580000,0.000000,77.170000,192.920000,15.750000,24.120000,62.940000,48.230000,0.000000,7.720000,106.110000,18.120000,6.75,64.5,150.5,1786.66

62,15:15-15:30,215.420000,0.000000,0.000000,23.080000,161.370000,21.510000,0.000000,5.450000,0.000000,0.960000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,30.000000,84.870000,42.430000,22.190000,24.120000,0.960000,24.120000,38.580000,0.000000,77.170000,192.920000,15.750000,24.120000,62.940000,48.230000,0.000000,7.720000,106.110000,18.120000,6.27,58.5,136.5,1765.32

63,15:30-15:45,212.800000,0.000000,0.000000,23.080000,159.400000,21.510000,0.000000,5.450000,0.000000,0.960000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,30.000000,84.870000,42.430000,22.190000,24.120000,0.960000,24.120000,38.580000,0.000000,77.170000,192.920000,15.750000,24.120000,62.940000,48.230000,0.000000,7.720000,106.110000,18.120000,6.08,55.5,129.5,1750.54

64,15:45-16:00,212.940000,0.000000,0.000000,23.080000,159.510000,21.510000,0.000000,5.450000,0.000000,0.960000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,30.000000,84.870000,42.430000,22.190000,24.120000,0.960000,24.120000,38.580000,0.000000,77.170000,192.920000,15.750000,24.120000,62.940000,48.230000,0.000000,7.720000,106.110000,18.120000,5.21,51,119,1734.92

65,16:00-16:15,211.350000,0.000000,0.000000,23.080000,158.320000,21.510000,0.000000,5.450000,0.000000,0.820000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,0.000000,84.870000,42.430000,22.190000,24.120000,3.860000,24.120000,0.000000,0.000000,77.170000,192.920000,15.750000,24.120000,62.940000,48.230000,0.000000,7.720000,106.110000,0.000000,4.34,46.5,108.5,1632.33

66,16:15-16:30,210.810000,0.000000,0.000000,23.080000,157.910000,21.510000,0.000000,5.450000,0.000000,0.820000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,0.000000,84.870000,42.430000,22.190000,24.120000,3.860000,24.120000,0.000000,0.000000,77.170000,192.920000,15.750000,24.120000,62.940000,48.230000,0.000000,7.720000,106.110000,0.000000,3.47,41.7,97.3,1614.51

67,16:30-16:45,206.750000,0.000000,0.000000,23.080000,154.870000,21.510000,0.000000,5.450000,0.000000,0.820000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,0.000000,84.870000,42.430000,22.190000,24.120000,3.860000,24.120000,0.000000,0.000000,77.170000,192.920000,15.750000,24.120000,62.940000,48.230000,0.000000,7.720000,106.110000,0.000000,3.47,38.1,88.9,1595.41

68,16:45-17:00,199.880000,0.000000,0.000000,23.080000,149.730000,21.510000,0.000000,5.450000,0.000000,0.820000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,0.000000,84.870000,42.430000,22.190000,24.120000,3.860000,24.120000,0.000000,0.000000,77.170000,192.920000,15.750000,24.120000,62.940000,48.230000,0.000000,7.720000,106.110000,0.000000,2.6,33.6,78.4,1567.53

69,17:00-17:15,196.860000,0.000000,0.000000,0.000000,147.460000,21.510000,0.000000,5.450000,0.000000,0.820000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,0.000000,84.870000,42.430000,22.190000,24.120000,3.860000,24.120000,0.000000,0.000000,77.170000,192.920000,15.750000,0.000000,62.940000,48.230000,0.000000,7.720000,48.230000,0.000000,2.6,27,63,1435.16

70,17:15-17:30,196.860000,0.000000,0.000000,0.000000,147.460000,21.510000,0.000000,5.450000,0.000000,0.820000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,0.000000,84.870000,42.430000,22.190000,24.120000,3.860000,24.120000,0.000000,0.000000,77.170000,192.920000,15.750000,0.000000,62.940000,48.230000,0.000000,7.720000,48.230000,0.000000,1.74,21,49,1414.3

71,17:30-17:45,196.860000,0.000000,0.000000,0.000000,147.460000,0.000000,0.000000,5.450000,0.000000,0.820000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,0.000000,84.870000,42.430000,22.190000,24.120000,3.860000,24.120000,0.000000,0.000000,77.170000,192.920000,15.750000,0.000000,62.940000,48.230000,0.000000,7.720000,48.230000,0.000000,1.74,18,42,1382.79

72,17:45-18:00,196.860000,0.000000,0.000000,0.000000,147.460000,0.000000,0.000000,5.450000,0.000000,0.820000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,0.000000,84.870000,42.430000,22.190000,24.120000,3.860000,24.120000,0.000000,0.000000,77.170000,192.920000,15.750000,0.000000,62.940000,48.230000,0.000000,7.720000,48.230000,0.000000,0.77,15,35,1371.82

73,18:00-18:15,196.860000,66.460000,0.000000,0.000000,147.460000,0.000000,0.000000,5.450000,0.000000,0.870000,5.790000,48.230000,36.390000,0.000000,21.220000,0.000000,62.700000,177.970000,0.000000,84.870000,42.430000,22.190000,0.000000,3.860000,24.120000,0.000000,0.000000,77.170000,192.920000,15.770000,0.000000,62.940000,48.230000,0.000000,14.230000,48.230000,0.000000,0.48,13.5,31.5,1451.84

74,18:15-18:30,196.860000,66.460000,0.000000,0.000000,147.460000,0.000000,0.000000,5.450000,0.000000,0.870000,5.790000,48.230000,36.390000,0.000000,21.220000,0.000000,62.700000,177.970000,0.000000,84.870000,42.430000,22.190000,0.000000,3.860000,24.120000,0.000000,0.000000,77.170000,192.920000,15.770000,0.000000,62.940000,48.230000,0.000000,14.230000,48.230000,0.000000,0,10.5,24.5,1441.36

75,18:30-18:45,196.860000,66.460000,0.000000,0.000000,147.460000,0.000000,0.000000,5.450000,0.000000,0.870000,5.790000,48.230000,36.390000,0.000000,21.220000,0.000000,62.700000,177.970000,0.000000,84.870000,42.430000,22.190000,0.000000,3.860000,24.120000,0.000000,0.000000,77.170000,192.920000,15.770000,0.000000,62.940000,48.230000,0.000000,14.230000,48.230000,0.000000,0,9,21,1436.36

76,18:45-19:00,196.860000,66.460000,0.000000,0.000000,147.460000,0.000000,0.000000,5.450000,0.000000,0.870000,5.790000,48.230000,36.390000,0.000000,21.220000,0.000000,62.700000,177.970000,0.000000,84.870000,42.430000,22.190000,0.000000,3.860000,24.120000,0.000000,0.000000,77.170000,192.920000,15.770000,0.000000,62.940000,48.230000,0.000000,14.230000,48.230000,0.000000,0,6,14,1426.36

77,19:00-19:15,196.860000,66.460000,0.000000,0.000000,147.460000,0.000000,0.000000,5.450000,0.000000,0.920000,5.790000,48.230000,36.390000,0.000000,21.220000,0.000000,62.700000,177.970000,0.000000,84.870000,42.430000,22.190000,0.000000,3.860000,24.120000,0.000000,0.000000,77.170000,192.920000,15.770000,0.000000,62.940000,48.230000,0.000000,14.230000,48.230000,0.000000,0,3,7,1416.41

78,19:15-19:30,196.860000,66.460000,0.000000,0.000000,147.460000,0.000000,0.000000,5.450000,0.000000,0.920000,5.790000,48.230000,36.390000,0.000000,21.220000,0.000000,62.700000,177.970000,0.000000,84.870000,42.430000,22.190000,0.000000,3.860000,24.120000,0.000000,0.000000,77.170000,192.920000,15.770000,0.000000,62.940000,48.230000,0.000000,14.230000,48.230000,0.000000,0,1.8,4.2,1412.41

79,19:30-19:45,196.860000,66.460000,0.000000,0.000000,147.460000,0.000000,0.000000,5.450000,0.000000,0.920000,5.790000,48.230000,36.390000,0.000000,21.220000,0.000000,62.700000,177.970000,0.000000,84.870000,42.430000,22.190000,0.000000,3.860000,24.120000,0.000000,0.000000,77.170000,192.920000,15.770000,0.000000,62.940000,48.230000,0.000000,14.230000,48.230000,0.000000,0,0.6,1.4,1408.41

80,19:45-20:00,196.860000,66.460000,0.000000,0.000000,147.460000,0.000000,0.000000,5.450000,0.000000,0.920000,5.790000,48.230000,36.390000,0.000000,21.220000,0.000000,62.700000,177.970000,0.000000,84.870000,42.430000,22.190000,0.000000,3.860000,24.120000,0.000000,0.000000,77.170000,192.920000,15.770000,0.000000,62.940000,48.230000,0.000000,14.230000,48.230000,0.000000,0,0,0,1406.41

81,20:00-20:15,196.860000,66.460000,0.000000,0.000000,147.460000,0.000000,0.000000,5.450000,0.000000,0.920000,5.790000,48.230000,36.390000,0.000000,21.220000,28.940000,62.700000,177.970000,0.000000,84.870000,42.430000,22.190000,0.000000,3.860000,24.120000,0.000000,0.000000,77.170000,192.920000,15.770000,0.000000,62.940000,48.230000,0.000000,14.230000,48.230000,0.000000,0,0,0,1435.35

82,20:15-20:30,196.860000,66.460000,0.000000,0.000000,147.460000,0.000000,0.000000,5.450000,0.000000,0.920000,5.790000,48.230000,36.390000,0.000000,21.220000,28.940000,62.700000,177.970000,0.000000,84.870000,42.430000,22.190000,0.000000,3.860000,24.120000,0.000000,0.000000,77.170000,192.920000,15.770000,0.000000,62.940000,48.230000,0.000000,14.230000,48.230000,0.000000,0,0,0,1435.35

83,20:30-20:45,196.860000,66.460000,0.000000,0.000000,147.460000,0.000000,0.000000,5.450000,0.000000,0.920000,5.790000,48.230000,36.390000,0.000000,21.220000,28.940000,62.700000,177.970000,0.000000,84.870000,42.430000,22.190000,0.000000,3.860000,24.120000,0.000000,0.000000,77.170000,192.920000,15.770000,0.000000,62.940000,48.230000,0.000000,14.230000,48.230000,0.000000,0,0,0,1435.35

84,20:45-21:00,196.860000,66.460000,0.000000,0.000000,147.460000,0.000000,0.000000,5.450000,0.000000,0.920000,5.790000,48.230000,36.390000,0.000000,21.220000,28.940000,62.700000,177.970000,0.000000,84.870000,42.430000,22.190000,0.000000,3.860000,24.120000,0.000000,0.000000,77.170000,192.920000,15.770000,0.000000,62.940000,48.230000,0.000000,14.230000,48.230000,0.000000,0,0,0,1435.35

85,21:00-21:15,196.860000,66.460000,0.000000,0.000000,147.460000,0.000000,0.000000,5.450000,0.000000,0.920000,5.790000,48.230000,36.390000,0.000000,21.220000,28.940000,62.700000,177.970000,0.000000,84.870000,42.430000,22.190000,0.000000,3.860000,24.120000,0.000000,0.000000,77.170000,192.920000,15.770000,0.000000,62.940000,48.230000,0.000000,14.230000,91.640000,0.000000,0,0,0,1478.76

86,21:15-21:30,196.860000,66.460000,0.000000,0.000000,147.460000,0.000000,0.000000,5.450000,0.000000,0.920000,5.790000,48.230000,36.390000,0.000000,21.220000,28.940000,62.700000,177.970000,0.000000,84.870000,42.430000,22.190000,0.000000,3.860000,24.120000,0.000000,0.000000,77.170000,192.920000,15.770000,0.000000,62.940000,48.230000,0.000000,14.230000,91.640000,0.000000,0,0,0,1478.76

87,21:30-21:45,196.860000,66.460000,0.000000,0.000000,147.460000,0.000000,0.000000,5.450000,0.000000,0.920000,5.790000,48.230000,36.390000,0.000000,21.220000,28.940000,62.700000,177.970000,0.000000,84.870000,42.430000,22.190000,0.000000,3.860000,24.120000,0.000000,0.000000,77.170000,192.920000,15.770000,0.000000,62.940000,48.230000,0.000000,14.230000,91.640000,0.000000,0,0,0,1478.76

88,21:45-22:00,196.860000,66.460000,0.000000,0.000000,147.460000,0.000000,0.000000,5.450000,0.000000,0.920000,5.790000,48.230000,36.390000,0.000000,21.220000,28.940000,62.700000,177.970000,0.000000,84.870000,42.430000,22.190000,0.000000,3.860000,24.120000,0.000000,0.000000,77.170000,192.920000,15.810000,0.000000,62.940000,48.230000,0.000000,14.230000,91.640000,0.000000,0,0,0,1478.8

89,22:00-22:15,196.860000,66.460000,0.390000,23.080000,147.460000,0.000000,0.000000,5.450000,0.000000,0.530000,5.790000,48.230000,36.390000,27.780000,21.220000,0.000000,62.700000,177.970000,0.000000,84.870000,42.430000,22.190000,0.000000,3.860000,24.120000,0.000000,64.820000,77.170000,192.920000,231.610000,0.000000,62.940000,48.230000,0.000000,82.960000,91.640000,0.000000,0,0,0,1850.07

90,22:15-22:30,196.860000,66.460000,0.390000,23.080000,147.460000,0.000000,0.000000,5.450000,0.000000,0.530000,5.790000,48.230000,36.390000,27.780000,21.220000,0.000000,62.700000,177.970000,0.000000,84.870000,42.430000,22.190000,0.000000,3.860000,24.120000,0.000000,64.820000,77.170000,192.920000,231.610000,0.000000,62.940000,48.230000,0.000000,82.960000,91.640000,0.000000,0,0,0,1850.07

91,22:30-22:45,196.860000,66.460000,0.390000,23.080000,147.460000,0.000000,0.000000,5.450000,0.000000,0.530000,5.790000,48.230000,36.390000,27.780000,21.220000,0.000000,62.700000,177.970000,0.000000,84.870000,42.430000,22.190000,0.000000,3.860000,24.120000,0.000000,64.820000,77.170000,192.920000,231.610000,0.000000,62.940000,48.230000,0.000000,82.960000,91.640000,0.000000,0,0,0,1850.07

92,22:45-23:00,196.860000,66.460000,0.390000,23.080000,147.460000,0.000000,0.000000,5.450000,0.000000,0.530000,5.790000,48.230000,36.390000,27.780000,21.220000,0.000000,62.700000,177.970000,0.000000,84.870000,42.430000,22.190000,0.000000,3.860000,24.120000,0.000000,64.820000,77.170000,192.920000,231.610000,0.000000,62.940000,48.230000,0.000000,82.960000,91.640000,0.000000,0,0,0,1850.07

93,23:00-23:15,196.860000,66.460000,0.870000,23.080000,147.460000,0.000000,0.000000,5.450000,1.820000,0.000000,5.790000,48.230000,36.390000,27.780000,21.220000,0.000000,60.880000,177.970000,0.000000,84.870000,42.430000,22.190000,0.000000,3.860000,24.120000,0.000000,64.820000,77.170000,192.920000,231.610000,0.000000,62.940000,48.230000,0.000000,82.960000,91.640000,0.000000,0,0,0,1850.02

94,23:15-23:30,196.860000,66.460000,0.870000,23.080000,147.460000,0.000000,0.000000,5.450000,1.820000,0.000000,5.790000,48.230000,36.390000,27.780000,21.220000,0.000000,60.880000,177.970000,0.000000,84.870000,42.430000,22.190000,0.000000,3.860000,24.120000,0.000000,64.820000,77.170000,192.920000,231.610000,0.000000,62.940000,48.230000,0.000000,82.960000,91.640000,0.000000,0,0,0,1850.02

95,23:30-23:45,196.860000,66.460000,0.870000,23.080000,147.460000,0.000000,0.000000,5.450000,1.820000,0.000000,5.790000,48.230000,36.390000,27.780000,21.220000,0.000000,60.880000,177.970000,0.000000,84.870000,42.430000,22.190000,0.000000,3.860000,24.120000,0.000000,64.820000,77.170000,192.920000,231.610000,0.000000,62.940000,48.230000,0.000000,82.960000,91.640000,0.000000,0,0,0,1850.02

96,23:45-24:00,196.860000,66.460000,0.870000,23.080000,147.460000,0.000000,0.000000,5.450000,1.820000,0.000000,5.790000,48.230000,36.390000,27.780000,21.220000,0.000000,60.880000,177.970000,0.000000,84.870000,42.430000,22.190000,0.000000,3.860000,24.120000,0.000000,64.820000,77.170000,192.920000,231.610000,0.000000,62.940000,48.230000,0.000000,82.960000,91.640000,0.000000,0,0,0,1850.02

