,,NA,MAHARASHTRA,ANDHRA PRADESH,TAMIL NADU,NA,NA,GOA,HIMACHAL PRADESH,NA,ANDHRA PRADESH,KARNATAKA,NA,MEGHALAYA,HIMACHAL PRADESH,NA,NA,NA,HIMACHAL PRADESH,DELHI,NA,MP,MEGHALAYA,GOA,HIMACHAL PRADESH,MEGHALAYA,UTTAR PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,KERALA,WEST BENGAL,MEGHALAYA,UTTARAKHAND,DELHI,KERALA,TAMIL NADU,MAHARASHTRA,NA,NA,NA,
,,JPL-2,TPC MSEB,ITCWIND,TANGEDCO,JPL-2,KWHEP,GOA_Beneficiary,CHANJUII,SKS Raigarh,ITCWIND,NSLSUGAR,JPNIGRIE_JNSTPP,Meghalaya_Ben,HP,KAMENG,SIMHAPURI,SKS Raigarh,HP,BYPL,JPNIGRIE_JNSTPP,JP BINA,Meghalaya_Ben,GOA_Beneficiary,GBHHPL,Meghalaya_Ben,LAPL-UP,HP,HP,KAMENG,KSEB,IPCL_WB,Meghalaya_Ben,UTTARAKHAND,BYPL,KSEB,TANGEDCO,LMEL MSEB,SOLAPUR_SOLAR,TS1PL_BKN,TS1PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BYPL,ITCLH,BRPL,TPDDL,BRPL,BRPL,TPDDL,NDMC,ITCLH,MES (Delhi),TPDDL,BYPL,BYPL,BRPL,BRPL,NDMC,BRPL,ASIL_UP,BRPL,BRPL,BYPL,BRPL,DIAPL,BYPL,BYPL,BRPL,BRPL,TPDDL,BRPL,NDMC,BYPL,BYPL,VLSEZ,BYPL,BYPL,BYPL,MES (Delhi),BYPL,BRPL,
,,West-North,West-North,South-East-North,South-West-North,West-North,North-North,West-East-North,North-North,West-East-North,South-West-North,South-West-North,West-North,North East-East-North,North-North,North East-East-North,South-West-North,West-North,North-North,North-North,West-North,West-North,North East-East-North,West-North,North-North,North East-East-North,North-North,North-North,North-North,North East-East-North,South-East-North,East-North,North East-East-North,North-North,North-East,South-East-North,South-West-North,West-North,West-North,North-North,North-North,
25,06:00-06:15,196.860000,0.000000,0.000000,0.000000,147.460000,0.000000,0.000000,5.450000,0.000000,0.680000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,0.000000,84.870000,42.430000,22.190000,24.120000,3.860000,24.120000,38.580000,0.000000,77.170000,192.920000,15.750000,0.000000,62.940000,48.230000,0.000000,7.720000,0.000000,18.120000,0,0.6,1.4,1331.38

26,06:15-06:30,196.860000,0.000000,0.000000,0.000000,147.460000,0.000000,0.000000,5.450000,0.000000,0.680000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,0.000000,84.870000,42.430000,22.190000,24.120000,3.860000,24.120000,38.580000,0.000000,77.170000,192.920000,15.750000,0.000000,62.940000,48.230000,0.000000,7.720000,0.000000,18.120000,0,2.7,6.3,1338.38

27,06:30-06:45,196.860000,0.000000,0.000000,0.000000,147.460000,0.000000,0.000000,5.450000,0.000000,0.680000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,0.000000,84.870000,42.430000,22.190000,24.120000,3.860000,24.120000,38.580000,0.000000,77.170000,192.920000,15.750000,0.000000,62.940000,48.230000,0.000000,7.720000,0.000000,18.120000,0,4.5,10.5,1344.38

28,06:45-07:00,196.860000,0.000000,0.000000,0.000000,147.460000,0.000000,0.000000,5.450000,0.000000,0.680000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,0.000000,84.870000,42.430000,22.190000,24.120000,3.860000,24.120000,38.580000,0.000000,77.170000,192.920000,15.750000,0.000000,62.940000,48.230000,0.000000,7.720000,0.000000,18.120000,0.19,7.5,17.5,1354.57

29,07:00-07:15,196.860000,0.000000,0.000000,0.000000,147.460000,0.000000,0.000000,5.450000,0.000000,0.680000,5.790000,48.230000,0.000000,0.000000,21.220000,0.000000,62.700000,177.970000,0.000000,84.870000,42.430000,22.190000,24.120000,0.960000,24.120000,0.000000,0.000000,77.170000,192.920000,15.750000,0.000000,62.940000,48.230000,0.000000,7.720000,0.000000,18.120000,0.39,10.5,24.5,1323.29

