Block,Time,L_NR_2023_10,L_NR_2023_07,L_NR_2012_01,SH-07,LT-36,SH-06,L_NR_2020_07,L_NR_2022_08,L_NR_2019_19,L_NR_2019_11,L_NR_2021_12,L_NR_2012_07,LT-31,L_NR_2021_13,L_NR_2021_15,L_NR_2020_02,L_NR_2020_05,LT-59,L_NR_2012_02,L_NR_2022_09,LT-35,L_NR_2022_10,L_NR_2021_14,L_NR_2023_04,L_NR_2021_16,L_NR_2021_17,L_NR_2019_05,LT-05,L_NR_2019_07,L_NR_2012_04,L_NR_2020_06,L_NR_2019_06,L_NR_2018_61
1,00:00-00:15,0,0,101.260000,36.950000,0.000000,36.950000,11.22,8.87,0,8.070000,0,74.130000,0.000000,0,0,7.250000,33.63,9.170000,261.370000,38.35,0.000000,38.35,0,28.700000,0,0,0,58.000000,0,271.880000,11.21,0,40.07

2,00:15-00:30,0,0,101.260000,36.950000,0.000000,36.950000,11.45,8.94,0,8.070000,0,74.130000,0.000000,0,0,7.250000,34.4,9.170000,261.370000,38.19,0.000000,38.19,0,28.700000,0,0,0,58.000000,0,271.880000,11.47,0,38.86

3,00:30-00:45,0,0,101.260000,31.570000,0.000000,31.570000,11.66,9.09,0,8.070000,0,74.130000,0.000000,0,0,7.250000,34.97,8.400000,261.370000,37.96,0.000000,37.96,0,28.700000,0,0,0,58.000000,0,271.880000,11.65,0,38.36

4,00:45-01:00,0,0,101.260000,31.570000,0.000000,31.570000,11.87,9.26,0,8.070000,0,74.130000,0.000000,0,0,7.250000,35.58,8.400000,261.370000,37.69,0.000000,37.69,0,28.700000,0,0,0,58.000000,0,271.880000,11.86,0,37.64

5,01:00-01:15,0,0,101.260000,31.570000,0.000000,31.570000,11.97,9.32,0,8.070000,0,74.130000,0.000000,0,0,7.150000,35.92,8.400000,261.370000,37.36,0.000000,37.36,0,28.700000,0,0,0,58.000000,0,271.880000,11.98,0,37.29

6,01:15-01:30,0,0,101.260000,31.570000,0.000000,31.570000,12.12,9.38,0,8.070000,0,74.130000,0.000000,0,0,7.150000,36.35,8.400000,261.370000,37.08,0.000000,37.08,0,28.700000,0,0,0,58.000000,0,271.880000,12.12,0,37.1

7,01:30-01:45,0,0,101.260000,30.930000,0.000000,30.930000,12.16,9.46,0,8.070000,0,74.130000,0.000000,0,0,7.150000,36.53,8.400000,261.370000,36.66,0.000000,36.66,0,28.700000,0,0,0,58.000000,0,271.880000,12.18,0,37.15

8,01:45-02:00,0,0,101.260000,30.930000,0.000000,30.930000,12.22,9.49,0,8.070000,0,74.130000,0.000000,0,0,7.150000,36.66,8.400000,261.370000,36.22,0.000000,36.22,0,28.700000,0,0,0,58.000000,0,271.880000,12.22,0,36.61

9,02:00-02:15,0,0,101.260000,30.930000,0.000000,30.930000,15.22,9.61,0,8.070000,0,74.130000,0.000000,0,0,6.970000,45.69,8.400000,261.370000,44.5,0.000000,44.5,0,28.700000,0,0,0,58.000000,0,271.880000,15.23,0,36.58

10,02:15-02:30,0,0,101.260000,30.930000,0.000000,30.930000,15.62,9.73,0,8.070000,0,74.130000,0.000000,0,0,6.970000,46.88,8.400000,261.370000,44.27,0.000000,44.27,0,28.700000,0,0,0,58.000000,0,271.880000,15.63,0,35.92

11,02:30-02:45,0,0,101.260000,30.930000,0.000000,30.930000,15.99,9.86,0,8.070000,0,74.130000,0.000000,0,0,6.970000,48,8.170000,261.370000,44.12,0.000000,44.12,0,27.700000,0,0,0,58.000000,0,271.880000,16,0,34.31

12,02:45-03:00,0,0,101.260000,30.930000,0.000000,30.930000,16.34,9.82,0,8.070000,0,74.130000,0.000000,0,0,6.970000,49.03,8.170000,261.370000,43.86,0.000000,43.86,0,27.700000,0,0,0,58.000000,0,271.880000,16.34,0,33.18

13,03:00-03:15,0,0,101.260000,30.930000,0.000000,30.930000,16.53,9.74,0,7.920000,0,74.130000,0.000000,0,0,6.880000,49.58,8.170000,261.370000,43.54,0.000000,43.54,0,27.700000,0,0,0,58.000000,0,271.880000,16.52,0,32.19

14,03:15-03:30,0,0,101.260000,30.930000,0.000000,30.930000,16.43,9.71,0,7.920000,0,74.130000,0.000000,0,0,6.880000,49.31,8.170000,261.370000,43.18,0.000000,43.18,0,27.700000,0,0,0,58.000000,0,271.880000,16.44,0,30.7

