Block,Time,NR/01102023/31052040/LT-31,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/30042040/GNA_LT_35,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31102037/L_NR_2019_11,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_07,NR/30092023/26122029/SH-06,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/23072042/L_NR_2012_04,NR/01102023/22052037/LT-59,WR/01102023/31032046/L_NR_2020_05,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,NR/01102023/19072037/LT-05,SR/01102023/07102043/L_NR_2018_61,WR/01102023/30052048/L_NR_2022_10,NR/01102023/06022042/L_NR_2012_02,WR/01102023/01102023/L_NR_2020_06,NR/01102023/30042040/GNA_LT_36,NR/01102023/02012046/L_NR_2021_17,WR/01102023/16072048/L_NR_2022_08,L_NR_2019_19,NR/01102023/13082046/L_NR_2021_12,NR/01102023/15082037/GNA_NR_2012_01,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2022_09,NR/01102023/14082046/L_NR_2021_16,NR/01102023/05012040/L_NR_2020_02,WR/01102023/24112044/L_NR_2020_07,NR/01102023/25072045/L_NR_2021_15
1,00:00-00:15,0.000000,0.000000,0.000000,29.920000,4.000000,30.920000,71.510000,30.920000,0,0,0,0,271.770000,4.270000,28.1,0,0,119.820000,15.13,28.34,168.140000,9.36,0.000000,0,8.84,0,0,101.210000,0,28.34,0,4.090000,9.37,0

2,00:15-00:30,0.000000,0.000000,0.000000,29.920000,4.000000,30.920000,71.510000,30.920000,0,0,0,0,271.770000,4.270000,29.01,0,0,119.820000,14.65,29.28,168.140000,9.67,0.000000,0,9.18,0,0,101.210000,0,29.28,0,4.090000,9.67,0

3,00:30-00:45,0.000000,0.000000,0.000000,29.920000,4.000000,30.920000,71.510000,30.920000,0,0,0,0,271.770000,4.270000,31.01,0,0,119.820000,14.93,30.01,168.140000,10.33,0.000000,0,9.41,0,0,101.210000,0,30.01,0,4.090000,10.34,0

4,00:45-01:00,0.000000,0.000000,0.000000,29.920000,4.000000,30.920000,71.510000,30.920000,0,0,0,0,271.770000,4.270000,31.51,0,0,119.820000,15.33,30.34,168.140000,10.51,0.000000,0,9.95,0,0,101.210000,0,30.34,0,4.090000,10.5,0

5,01:00-01:15,0.000000,0.000000,0.000000,29.920000,4.000000,30.920000,71.510000,30.920000,0,0,0,0,271.770000,4.190000,32.01,0,0,119.820000,15.05,31.01,168.140000,10.67,0.000000,0,10.01,0,0,101.210000,0,31.01,0,4.180000,10.67,0

6,01:15-01:30,0.000000,0.000000,0.000000,28.950000,4.000000,30.920000,71.510000,30.920000,0,0,0,0,271.770000,4.190000,32.51,0,0,119.820000,14.34,28.01,168.140000,10.83,0.000000,0,8.53,0,0,101.210000,0,28.01,0,4.180000,10.84,0

7,01:30-01:45,0.000000,0.000000,0.000000,28.950000,4.000000,26.050000,71.510000,24.520000,0,0,0,0,271.770000,4.190000,33.01,0,0,119.820000,16.22,21.67,168.140000,11.01,0.000000,0,8.75,0,0,101.210000,0,21.67,0,4.180000,11,0

8,01:45-02:00,0.000000,0.000000,0.000000,28.950000,4.000000,26.050000,71.510000,26.050000,0,0,0,0,271.770000,4.190000,33.51,0,0,119.820000,16.62,23.01,168.140000,11.17,0.000000,0,8.78,0,0,101.210000,0,23.01,0,4.180000,11.17,0

9,02:00-02:15,0.000000,0.000000,0.000000,28.950000,3.850000,26.050000,63.000000,26.050000,0,0,0,0,271.770000,4.190000,28.51,0,0,119.820000,16.87,24.67,168.140000,9.51,0.000000,0,8.88,0,0,101.210000,0,24.67,0,4.270000,9.5,0

10,02:15-02:30,0.000000,0.000000,0.000000,28.950000,3.850000,26.050000,63.000000,26.050000,0,0,0,0,271.770000,4.190000,28.01,0,0,119.820000,15.25,26,168.140000,9.33,0.000000,0,8.92,0,0,101.210000,0,26,0,4.270000,9.34,0

11,02:30-02:45,0.000000,0.000000,0.000000,28.950000,3.850000,26.050000,63.000000,26.050000,0,0,0,0,271.770000,4.190000,27.5,0,0,119.820000,14.93,36.01,148.380000,9.16,0.000000,0,8.73,0,0,101.210000,0,36.01,0,4.270000,9.17,0

12,02:45-03:00,0.000000,0.000000,0.000000,28.950000,3.850000,26.050000,63.000000,26.050000,0,0,0,0,271.770000,4.190000,27.5,0,0,119.820000,14.39,35.84,148.380000,9.16,0.000000,0,8.84,0,0,101.210000,0,35.84,0,4.270000,9.17,0

13,03:00-03:15,0.000000,0.000000,0.000000,28.950000,3.850000,26.050000,63.000000,26.050000,0,0,0,0,271.770000,4.190000,33.01,0,0,119.820000,12.95,35.34,148.380000,11.01,0.000000,0,8.9,0,0,101.210000,0,35.34,0,4.270000,11,0

14,03:15-03:30,0.000000,0.000000,0.000000,27.980000,3.850000,26.050000,63.000000,26.050000,0,0,0,0,271.770000,4.190000,34.01,0,0,119.820000,11.91,35.01,148.380000,11.33,0.000000,0,8.92,0,0,101.210000,0,35.01,0,4.270000,11.34,0

15,03:30-03:45,0.000000,0.000000,0.000000,27.980000,3.850000,26.050000,63.000000,26.050000,0,0,0,0,271.770000,4.190000,41.99,0,0,119.820000,11.74,34.34,148.380000,13.99,0.000000,0,10.01,0,0,101.210000,0,34.34,0,4.270000,14,0

16,03:45-04:00,0.000000,0.000000,0.000000,27.980000,3.850000,26.050000,63.000000,26.050000,0,0,0,0,271.770000,4.190000,41.43,0,0,119.820000,11.85,38.67,148.380000,13.8,0.000000,0,10.68,0,0,101.210000,0,38.67,0,4.270000,13.81,0

17,04:00-04:15,0.000000,0.000000,0.000000,27.980000,3.770000,26.050000,63.000000,26.050000,0,0,0,0,271.770000,4.120000,40.51,0,0,119.820000,12.22,38.34,148.380000,13.51,0.000000,0,10.01,0,0,101.210000,0,38.34,0,4.180000,13.5,0

18,04:15-04:30,0.000000,0.000000,0.000000,27.980000,3.770000,26.050000,63.000000,26.050000,0,0,0,0,271.770000,4.120000,40.01,0,0,111.120000,8.32,38.01,148.380000,13.33,0.000000,0,9.95,0,0,101.210000,0,38.01,0,4.180000,13.34,0

19,04:30-04:45,0.000000,0.000000,0.000000,27.980000,3.770000,26.050000,63.000000,26.050000,0,0,0,0,271.770000,4.120000,39.51,0,0,111.120000,8.33,37.99,148.380000,13.17,0.000000,0,9.68,0,0,101.210000,0,37.99,0,4.180000,13.17,0

20,04:45-05:00,0.000000,0.000000,0.000000,27.980000,3.770000,26.050000,63.000000,26.050000,0,0,0,0,271.770000,4.120000,38.51,0,0,96.630000,7.41,37.75,148.380000,12.83,0.000000,0,9.51,0,0,101.210000,0,37.75,0,4.180000,12.84,0

21,05:00-05:15,0.000000,0.000000,0.000000,27.980000,3.770000,26.050000,63.000000,26.050000,0,0,0,0,271.770000,4.120000,30.5,0,0,96.630000,7.41,37.34,148.380000,10.16,0.000000,0,9.34,0,0,101.210000,0,37.34,0,4.180000,10.17,0

22,05:15-05:30,0.000000,0.000000,0.000000,27.980000,3.770000,24.520000,63.000000,26.050000,0,0,0,0,271.770000,4.120000,29.01,0,0,96.630000,7.41,36.67,148.380000,9.67,0.000000,0,9.29,0,0,101.210000,0,36.67,0,4.180000,9.67,0

23,05:30-05:45,0.000000,0.000000,0.000000,27.980000,3.770000,26.050000,63.000000,26.050000,0,0,0,0,271.770000,4.120000,28.51,0,0,96.630000,7.41,36.01,168.140000,9.51,0.000000,0,9.21,0,0,101.210000,0,36.01,0,4.180000,9.5,0

24,05:45-06:00,0.000000,0.000000,0.000000,27.980000,3.770000,26.050000,63.000000,26.050000,0,0,0,0,271.770000,4.120000,28.01,0,0,96.630000,7.41,35.34,168.140000,9.33,0.000000,0,8.99,0,0,101.210000,0,35.34,0,4.180000,9.34,0

